	PD_whole_tree	chao1	observed_otus
007-1	21.4811	546.949152542	370.0
011-1	27.63346	1037.62337662	566.0
014-1	46.58345	1930.4010989	1206.0
021-1	44.58482	1619.45856354	1026.0
023-1	47.84757	1814.42937853	1084.0
024-1	46.47554	1713.94387755	1142.0
026-1	33.9811	1291.22131148	802.0
027-1	33.57483	1128.33333333	742.0
028-1	38.42543	1529.78947368	887.0
029-1	51.98964	1942.92073171	1101.0
030-1	62.20383	2304.88311688	1372.0
033-1	54.51929	1971.5	1264.0
034-1	45.25215	1686.37931034	1098.0
035-1	48.22035	1910.41363636	1244.0
037-1	38.82064	872.0	872.0
038-1	43.36781	1645.48076923	1032.0
039-1	49.78076	1870.97237569	1190.0
040-1	50.32089	1738.77880184	1220.0
041-1	57.35374	1454.0	1454.0
043-1	57.48665	2182.25726141	1449.0
044-1	44.1695	1753.828125	954.0
046-1	42.8522	1657.32352941	1009.0
047-1	53.90515	1948.05128205	1171.0
050-1	20.82171	568.568181818	363.0
051-1	66.49925	2309.76	1556.0
052-1	47.52296	1752.24431818	1134.0
055-1	58.28347	2155.13304721	1432.0
057-1	82.84194	3174.27821522	2225.0
