	PD_whole_tree	chao1	observed_otus
007-1	14.24255	317.777777778	176.0
011-1	20.5421	651.59375	353.0
014-1	21.18292	753.016129032	368.0
021-1	21.38174	905.660377358	360.0
023-1	25.79449	869.441558442	422.0
024-1	23.22457	860.421875	401.0
026-1	15.96383	711.5	284.0
027-1	21.27449	644.797101449	365.0
028-1	20.90007	610.379746835	361.0
029-1	25.52355	819.285714286	402.0
030-1	31.34172	909.031578947	474.0
033-1	25.96322	1082.15789474	426.0
034-1	24.94849	940.785714286	459.0
035-1	25.14883	938.915492958	435.0
037-1	21.98292	675.590909091	368.0
038-1	23.60509	843.828947368	431.0
039-1	23.41094	747.0	399.0
040-1	22.79836	829.828947368	417.0
041-1	24.93891	980.04	448.0
043-1	25.45571	898.563829787	465.0
044-1	21.24268	575.71875	324.0
046-1	23.1712	853.03125	386.0
047-1	29.21587	1108.37333333	478.0
050-1	12.92684	329.193548387	200.0
051-1	31.99827	1279.78947368	499.0
052-1	22.81108	717.647058824	373.0
055-1	27.28315	916.413793103	461.0
057-1	32.34597	1235.26506024	512.0
