	007-1	011-1	014-1	021-1	023-1	024-1	026-1	027-1	028-1	029-1	030-1	033-1	034-1	035-1	037-1	038-1	039-1	040-1	041-1	043-1	044-1	046-1	047-1	050-1	051-1	052-1	055-1	057-1
007-1	0.0	0.983672474717	0.963798031121	0.960543337646	0.973475745438	0.936495241142	0.980098769072	0.896417523201	0.963270351404	0.908218255305	0.982014097059	0.948011759245	0.923687320615	0.936309709647	0.89561928774	0.972563780845	0.930323498045	0.980220562078	0.966014378532	0.964798004296	0.941754974461	0.878451089353	0.970513184009	0.978397341211	0.972077049425	0.933363701438	0.928543281229	0.971492162713
011-1	0.983672474717	0.0	0.932783569317	0.98353909465	0.985139022052	0.953807740325	0.923004870738	0.930434782609	0.963248369887	0.958597662771	0.98159119763	0.967713004484	0.978559463987	0.980042334442	0.989363342069	0.917696381289	0.975299803114	0.95109279828	0.993166089965	0.95164644714	0.95853706239	0.976320151551	0.978413524057	0.950132225161	0.934685328002	0.856845142674	0.96432914471	0.973993196532
014-1	0.963798031121	0.932783569317	0.0	0.860005877167	0.879234353356	0.692827988338	0.941912814319	0.866103081538	0.847743066425	0.88573503601	0.893466745144	0.885961418085	0.821985084581	0.861504095309	0.870222308892	0.84387423202	0.868212911501	0.838733825259	0.83188727249	0.857008072125	0.790362530961	0.859734734735	0.888232203835	0.977905549454	0.866747962973	0.899970020985	0.858702762542	0.885809656886
021-1	0.960543337646	0.98353909465	0.860005877167	0.0	0.859576169532	0.896754519712	0.966165666914	0.923656009211	0.886948237536	0.919519245398	0.862484389921	0.830233868695	0.857273559012	0.88623775032	0.902538663554	0.905482041588	0.849233778937	0.895203915171	0.867160294711	0.865741035603	0.895739209008	0.844213532165	0.887941945827	0.983639067923	0.876841243863	0.932680170704	0.882153249273	0.855719837406
023-1	0.973475745438	0.985139022052	0.879234353356	0.859576169532	0.0	0.789873417722	0.973730297723	0.894467414845	0.825351129722	0.793556979938	0.739903846154	0.856388272219	0.75782358341	0.776971194687	0.815773028371	0.835262983791	0.861005492184	0.771138669673	0.878919993881	0.776633717738	0.874754791006	0.778107024577	0.830005598059	0.993983043122	0.764836301825	0.863519091847	0.891818004296	0.763620965465
024-1	0.936495241142	0.953807740325	0.692827988338	0.896754519712	0.789873417722	0.0	0.924525781459	0.900402590583	0.772366664048	0.825013176719	0.865871399476	0.870211429768	0.67293034488	0.803334036717	0.835900405327	0.801047904192	0.891790562379	0.735187580854	0.871753720455	0.761555948472	0.776477069274	0.793752943023	0.839813115301	0.992972133693	0.813500912224	0.86143572621	0.89140761229	0.835005772134
026-1	0.980098769072	0.923004870738	0.941912814319	0.966165666914	0.973730297723	0.924525781459	0.0	0.957726180945	0.935193910837	0.863924712443	0.971239535512	0.975706398181	0.945791128187	0.914010863163	0.966837569543	0.944814198558	0.955485665901	0.89748244977	0.97577247191	0.928402366864	0.931990247658	0.928581776039	0.889961685824	0.827080670626	0.946290109059	0.935635792779	0.973664877084	0.960230645298
027-1	0.896417523201	0.930434782609	0.866103081538	0.923656009211	0.894467414845	0.900402590583	0.957726180945	0.0	0.933456922627	0.911102879896	0.927037102787	0.888935775171	0.887826167704	0.880528334043	0.893832837436	0.833976833977	0.848475515861	0.90322083526	0.892034972327	0.890519694474	0.871262458472	0.893762183236	0.853114478114	0.942183495643	0.884712186409	0.901189643107	0.857375079511	0.914371257485
028-1	0.963270351404	0.963248369887	0.847743066425	0.886948237536	0.825351129722	0.772366664048	0.935193910837	0.933456922627	0.0	0.846331791143	0.84933577281	0.859966550099	0.659930429021	0.801533742331	0.765239545144	0.791512763687	0.890855663612	0.747952110901	0.861275201037	0.757282215704	0.923117272387	0.768266320796	0.847719493015	0.989692585895	0.816620173249	0.893427380571	0.901902420085	0.843991567112
029-1	0.908218255305	0.958597662771	0.88573503601	0.919519245398	0.793556979938	0.825013176719	0.863924712443	0.911102879896	0.846331791143	0.0	0.837512384727	0.886310566258	0.782794676806	0.787637969095	0.836207414529	0.838843948794	0.936805228054	0.812310388998	0.918026055471	0.79564731409	0.786541921555	0.781923235658	0.814948498988	0.824633936262	0.764324019193	0.775905853205	0.915896025994	0.825622288194
030-1	0.982014097059	0.98159119763	0.893466745144	0.862484389921	0.739903846154	0.865871399476	0.971239535512	0.927037102787	0.84933577281	0.837512384727	0.0	0.826123773904	0.788404247193	0.800668705983	0.825248392753	0.823636363636	0.861005878511	0.838431372549	0.863516289991	0.778514927277	0.873972984264	0.820537275473	0.765093860984	0.992547818167	0.768836669171	0.910065013243	0.850039463299	0.714605133709
033-1	0.948011759245	0.967713004484	0.885961418085	0.830233868695	0.856388272219	0.870211429768	0.975706398181	0.888935775171	0.859966550099	0.886310566258	0.826123773904	0.0	0.847008922042	0.859699453552	0.857005595433	0.886817093521	0.823821808343	0.857079896745	0.829304213513	0.851159357894	0.923051187688	0.778351690087	0.876702393424	0.993996840442	0.820260149783	0.934632160512	0.843907587663	0.806842449335
