	007-1	011-1	014-1	021-1	023-1	024-1	026-1	027-1	028-1	029-1	030-1	033-1	034-1	035-1	037-1	038-1	039-1	040-1	041-1	043-1	044-1	046-1	047-1	050-1	051-1	052-1	055-1	057-1
007-1	0.0	0.771381013633	0.794573321472	0.796212435801	0.835399658088	0.818489570429	0.770686763419	0.74289532654	0.768778854242	0.827749149461	0.83859262039	0.81638411876	0.801824233859	0.789055828924	0.785268206249	0.805195946552	0.764873688839	0.831665954241	0.81616784487	0.822023522013	0.767043611701	0.805081070338	0.823439395531	0.751107543459	0.824025106256	0.783560773518	0.810138631195	0.861843352009
011-1	0.771381013633	0.0	0.788217397168	0.835074230702	0.840361713716	0.765833014004	0.72456306425	0.757361382845	0.777252855994	0.837505953134	0.842200015208	0.823389938581	0.822535244488	0.82266390846	0.832325423214	0.753201974682	0.805438976088	0.82654733191	0.859900359065	0.818654055667	0.788816616346	0.829839874586	0.840730684807	0.748162617639	0.817651367795	0.715133646314	0.827360144871	0.848249512404
014-1	0.794573321472	0.788217397168	0.0	0.66790021321	0.687503761415	0.622325118812	0.718945403061	0.651722034827	0.639587361134	0.695525609151	0.730871246766	0.700416947903	0.628059880048	0.6548498735	0.672486978094	0.658747297962	0.644444031812	0.635598087445	0.622820041014	0.659536857356	0.653072816153	0.655123635698	0.687923926992	0.822882529526	0.680253845501	0.677943374032	0.66465576025	0.724070489261
021-1	0.796212435801	0.835074230702	0.66790021321	0.0	0.655873360166	0.692236834887	0.773267171365	0.709640379984	0.66069988022	0.694459149557	0.676685150433	0.655851671856	0.622866973722	0.6394807152	0.657661787034	0.685318443123	0.657087620705	0.663823790784	0.628762364551	0.643258212277	0.683153914678	0.647985322781	0.659014829675	0.83881235501	0.673185473227	0.727736509828	0.697507192192	0.676513526224
023-1	0.835399658088	0.840361713716	0.687503761415	0.655873360166	0.0	0.618187579539	0.774951505526	0.719925945921	0.644312880513	0.677063045591	0.632740679616	0.635542067101	0.576533277801	0.631295471908	0.630334783941	0.657419040711	0.663894367705	0.597948548175	0.620266898963	0.590404536218	0.67625470292	0.594116323141	0.636481108431	0.864682714592	0.607228484218	0.696361670485	0.663032421367	0.618166552104
024-1	0.818489570429	0.765833014004	0.622325118812	0.692236834887	0.618187579539	0.0	0.685292736388	0.728569304803	0.605011680634	0.684664767461	0.689886438486	0.671761358271	0.589487891095	0.634604038172	0.67993241818	0.623291916662	0.678422195672	0.586776647141	0.660098959534	0.605198437737	0.671654037286	0.663595236695	0.657265583899	0.836833978142	0.629855774088	0.663285103227	0.716605391631	0.673754744045
026-1	0.770686763419	0.72456306425	0.718945403061	0.773267171365	0.774951505526	0.685292736388	0.0	0.74275275942	0.698266981499	0.73752381165	0.804072386094	0.771750809461	0.739759474598	0.742567588859	0.769410230284	0.698463037344	0.74598382391	0.749383013848	0.788359689392	0.754788606995	0.719079488252	0.748535093182	0.750529934963	0.707360778336	0.76128941827	0.706931911696	0.794248250499	0.794944054346
027-1	0.74289532654	0.757361382845	0.651722034827	0.709640379984	0.719925945921	0.728569304803	0.74275275942	0.0	0.683599537799	0.749539907045	0.768772560392	0.730095769567	0.684125637012	0.678351183107	0.68198661805	0.674302861264	0.671270018083	0.704252769782	0.707762584982	0.713563071469	0.705115574573	0.689060649639	0.715860607723	0.773360291057	0.744899850678	0.706411953143	0.694751670702	0.783822213735
028-1	0.768778854242	0.777252855994	0.639587361134	0.66069988022	0.644312880513	0.605011680634	0.698266981499	0.683599537799	0.0	0.674794363538	0.689113990603	0.667282471152	0.590133954627	0.607670254548	0.658664607938	0.599465115837	0.654812307634	0.610193661688	0.644707329667	0.621079359036	0.656803868642	0.614455800056	0.658286861204	0.825502709106	0.647999968044	0.655475960258	0.701080609536	0.698113904353
029-1	0.827749149461	0.837505953134	0.695525609151	0.694459149557	0.677063045591	0.684664767461	0.73752381165	0.749539907045	0.674794363538	0.0	0.639794966549	0.702302592302	0.660384891172	0.698266749994	0.689207437011	0.673193321988	0.725875995934	0.632315290665	0.702853953391	0.627599178688	0.685777818476	0.655364042064	0.615212230148	0.829197356585	0.623147742198	0.732932082299	0.727044886939	0.638311740447
030-1	0.83859262039	0.842200015208	0.730871246766	0.676685150433	0.632740679616	0.689886438486	0.804072386094	0.768772560392	0.689113990603	0.639794966549	0.0	0.647146786909	0.640212026538	0.683008180736	0.675498167386	0.701140154114	0.681067737787	0.639612385585	0.624409428072	0.599076627942	0.70078518387	0.643145546673	0.586387219104	0.881007042635	0.589072866558	0.716569625825	0.662173241622	0.570529359108
033-1	0.81638411876	0.823389938581	0.700416947903	0.655851671856	0.635542067101	0.671761358271	0.771750809461	0.730095769567	0.667282471152	0.702302592302	0.647146786909	0.0	0.656483179687	0.657983543325	0.665352942489	0.689179592805	0.646971396756	0.63018474966	0.618566667449	0.626891877148	0.684472910927	0.622561634013	0.652843784735	0.858177148115	0.606897609192	0.721008525962	0.675214300571	0.622197388919
034-1	0.801824233859	0.822535244488	0.628059880048	0.622866973722	0.576533277801	0.589487891095	0.739759474598	0.684125637012	0.590133954627	0.660384891172	0.640212026538	0.656483179687	0.0	0.557741044987	0.604234506056	0.6433738765	0.649809959076	0.556155631713	0.583105678921	0.552639512586	0.672859528291	0.570580163293	0.63668380116	0.841940917724	0.640151308195	0.673363924693	0.669951804588	0.63779469949
035-1	0.789055828924	0.82266390846	0.6548498735	0.6394807152	0.631295471908	0.634604038172	0.742567588859	0.678351183107	0.607670254548	0.698266749994	0.683008180736	0.657983543325	0.557741044987	0.0	0.618282279624	0.666268048665	0.61907192257	0.618974662554	0.604175913296	0.600142015922	0.652685577223	0.605739318673	0.652443133379	0.844921444789	0.641557818423	0.691666845451	0.682686031766	0.647135949313
037-1	0.785268206249	0.832325423214	0.672486978094	0.657661787034	0.630334783941	0.67993241818	0.769410230284	0.68198661805	0.658664607938	0.689207437011	0.675498167386	0.665352942489	0.604234506056	0.618282279624	0.0	0.684961234505	0.662053491947	0.628570747242	0.627832152008	0.633467355964	0.676378735268	0.616626196161	0.644958074067	0.839573460822	0.661345811522	0.719911046867	0.682690540206	0.682441868827
038-1	0.805195946552	0.753201974682	0.658747297962	0.685318443123	0.657419040711	0.623291916662	0.698463037344	0.674302861264	0.599465115837	0.673193321988	0.701140154114	0.689179592805	0.6433738765	0.666268048665	0.684961234505	0.0	0.69208442679	0.646023917252	0.707437497056	0.641522634249	0.667050544761	0.664076889168	0.669237726393	0.809547945681	0.673919288322	0.645089299024	0.738464135105	0.703871346062
039-1	0.764873688839	0.805438976088	0.644444031812	0.657087620705	0.663894367705	0.678422195672	0.74598382391	0.671270018083	0.654812307634	0.725875995934	0.681067737787	0.646971396756	0.649809959076	0.61907192257	0.662053491947	0.69208442679	0.0	0.660642690916	0.622326022439	0.664471775687	0.658131003758	0.647842653209	0.647523810468	0.81943723572	0.653980850136	0.697964633897	0.661368299083	0.693086566717
040-1	0.831665954241	0.82654733191	0.635598087445	0.663823790784	0.597948548175	0.586776647141	0.749383013848	0.704252769782	0.610193661688	0.632315290665	0.639612385585	0.63018474966	0.556155631713	0.618974662554	0.628570747242	0.646023917252	0.660642690916	0.0	0.615971035744	0.536496253258	0.699695422559	0.583118331928	0.595524345596	0.85935242317	0.587313920069	0.674158379805	0.682306070782	0.630233848963
041-1	0.81616784487	0.859900359065	0.622820041014	0.628762364551	0.620266898963	0.660098959534	0.788359689392	0.707762584982	0.644707329667	0.702853953391	0.624409428072	0.618566667449	0.583105678921	0.604175913296	0.627832152008	0.707437497056	0.622326022439	0.615971035744	0.0	0.594523482173	0.660100771671	0.619022267842	0.63021811341	0.879136882299	0.611595904234	0.706350921495	0.594776437804	0.617849417842
043-1	0.822023522013	0.818654055667	0.659536857356	0.643258212277	0.590404536218	0.605198437737	0.754788606995	0.713563071469	0.621079359036	0.627599178688	0.599076627942	0.626891877148	0.552639512586	0.600142015922	0.633467355964	0.641522634249	0.664471775687	0.536496253258	0.594523482173	0.0	0.636075413959	0.595170911164	0.603877295594	0.861655461784	0.561163260046	0.667869829556	0.672561038394	0.569548539356
044-1	0.767043611701	0.788816616346	0.653072816153	0.683153914678	0.67625470292	0.671654037286	0.719079488252	0.705115574573	0.656803868642	0.685777818476	0.70078518387	0.684472910927	0.672859528291	0.652685577223	0.676378735268	0.667050544761	0.658131003758	0.699695422559	0.660100771671	0.636075413959	0.0	0.675280675323	0.675966055469	0.794410688531	0.659969992772	0.686262027888	0.682676261357	0.688988734679
046-1	0.805081070338	0.829839874586	0.655123635698	0.647985322781	0.594116323141	0.663595236695	0.748535093182	0.689060649639	0.614455800056	0.655364042064	0.643145546673	0.622561634013	0.570580163293	0.605739318673	0.616626196161	0.664076889168	0.647842653209	0.583118331928	0.619022267842	0.595170911164	0.675280675323	0.0	0.623652935963	0.832369169471	0.627911806076	0.687027212593	0.677627158313	0.659429380897
047-1	0.823439395531	0.840730684807	0.687923926992	0.659014829675	0.636481108431	0.657265583899	0.750529934963	0.715860607723	0.658286861204	0.615212230148	0.586387219104	0.652843784735	0.63668380116	0.652443133379	0.644958074067	0.669237726393	0.647523810468	0.595524345596	0.63021811341	0.603877295594	0.675966055469	0.623652935963	0.0	0.836243392176	0.57262929384	0.695972455874	0.659227933338	0.604712509052
050-1	0.751107543459	0.748162617639	0.822882529526	0.83881235501	0.864682714592	0.836833978142	0.707360778336	0.773360291057	0.825502709106	0.829197356585	0.881007042635	0.858177148115	0.841940917724	0.844921444789	0.839573460822	0.809547945681	0.81943723572	0.85935242317	0.879136882299	0.861655461784	0.794410688531	0.832369169471	0.836243392176	0.0	0.853028787715	0.82664796711	0.854336465284	0.887609483337
051-1	0.824025106256	0.817651367795	0.680253845501	0.673185473227	0.607228484218	0.629855774088	0.76128941827	0.744899850678	0.647999968044	0.623147742198	0.589072866558	0.606897609192	0.640151308195	0.641557818423	0.661345811522	0.673919288322	0.653980850136	0.587313920069	0.611595904234	0.561163260046	0.659969992772	0.627911806076	0.57262929384	0.853028787715	0.0	0.674951064086	0.661574223842	0.539667407844
052-1	0.783560773518	0.715133646314	0.677943374032	0.727736509828	0.696361670485	0.663285103227	0.706931911696	0.706411953143	0.655475960258	0.732932082299	0.716569625825	0.721008525962	0.673363924693	0.691666845451	0.719911046867	0.645089299024	0.697964633897	0.674158379805	0.706350921495	0.667869829556	0.686262027888	0.687027212593	0.695972455874	0.82664796711	0.674951064086	0.0	0.686809267038	0.709680388681
055-1	0.810138631195	0.827360144871	0.66465576025	0.697507192192	0.663032421367	0.716605391631	0.794248250499	0.694751670702	0.701080609536	0.727044886939	0.662173241622	0.675214300571	0.669951804588	0.682686031766	0.682690540206	0.738464135105	0.661368299083	0.682306070782	0.594776437804	0.672561038394	0.682676261357	0.677627158313	0.659227933338	0.854336465284	0.661574223842	0.686809267038	0.0	0.672844056127
057-1	0.861843352009	0.848249512404	0.724070489261	0.676513526224	0.618166552104	0.673754744045	0.794944054346	0.783822213735	0.698113904353	0.638311740447	0.570529359108	0.622197388919	0.63779469949	0.647135949313	0.682441868827	0.703871346062	0.693086566717	0.630233848963	0.617849417842	0.569548539356	0.688988734679	0.659429380897	0.604712509052	0.887609483337	0.539667407844	0.709680388681	0.672844056127	0.0
