	007-1	011-1	014-1	021-1	023-1	024-1	026-1	027-1	028-1	029-1	030-1	033-1	034-1	035-1	037-1	038-1	039-1	040-1	041-1	043-1	044-1	046-1	047-1	050-1	051-1	052-1	055-1	057-1
007-1	0.0	0.562809601121	0.495613022537	0.832201405692	0.545246996843	0.489167888762	0.55905051277	0.549331296078	0.533181445971	0.580392863884	0.591608237693	0.664776825159	0.506461826196	0.503744607693	0.542890995546	0.433817388987	0.577468465915	0.577662615175	0.720963372408	0.521951162513	0.471813607009	0.571729645643	0.565015685561	0.76216098864	0.577390530276	0.503489266129	0.636451370753	0.562647861194
011-1	0.562809601121	0.0	0.330335181313	0.803694283386	0.484615858378	0.293151184936	0.361725074883	0.402520499436	0.342336353614	0.481566813015	0.46210334187	0.557397289512	0.378673470629	0.434984918042	0.435661973242	0.34405421283	0.43080895876	0.373162047619	0.601553924938	0.357129986685	0.482177268973	0.590523996675	0.390221271377	0.668578737517	0.374879226795	0.314332461521	0.531850223018	0.416823566579
014-1	0.495613022537	0.330335181313	0.0	0.681367578264	0.355701725659	0.190132988823	0.377009452419	0.287775120515	0.306947300286	0.499524707588	0.376723370996	0.457547061756	0.259785162455	0.314510895551	0.342577082308	0.234610552687	0.323051042428	0.302968986289	0.482360370328	0.279019345937	0.387024999996	0.469964226901	0.297739313491	0.732098359248	0.318995808134	0.342632435082	0.432504862049	0.33256869268
021-1	0.832201405692	0.803694283386	0.681367578264	0.0	0.644496289878	0.76536572878	0.787304075242	0.632710429309	0.764321200201	0.813354579942	0.616396675432	0.418276688202	0.659557688243	0.658812895722	0.673894950541	0.737753533992	0.571861950822	0.757058814486	0.3735136648	0.715189068934	0.766826854168	0.561411807247	0.725052947132	0.923364120732	0.756069844461	0.792474491453	0.496939911493	0.662071988868
023-1	0.545246996843	0.484615858378	0.355701725659	0.644496289878	0.0	0.3746971599	0.469128421064	0.307190777073	0.349758722948	0.359787699027	0.259810518078	0.387076111646	0.258729767592	0.185323826847	0.256752302649	0.347042237668	0.357012221678	0.381745081326	0.428869173265	0.316038188944	0.394096025945	0.266565647225	0.371919895505	0.792046866171	0.355549510451	0.281748247916	0.32745607034	0.248493423269
024-1	0.489167888762	0.293151184936	0.190132988823	0.76536572878	0.3746971599	0.0	0.341520215322	0.368899969793	0.200106113998	0.442662584461	0.37806721614	0.507482428799	0.233980046746	0.347912633706	0.340803015201	0.209851762129	0.394345535793	0.232966831985	0.55348075915	0.218350873856	0.390678770619	0.493123578861	0.311088579237	0.715886220337	0.281038274651	0.288714362734	0.466834207379	0.317541735717
026-1	0.55905051277	0.361725074883	0.377009452419	0.787304075242	0.469128421064	0.341520215322	0.0	0.419345403521	0.36093303673	0.372712761635	0.468994594757	0.561606060139	0.37624470333	0.40972672192	0.444827545298	0.389853593186	0.460725137763	0.386902118959	0.603995044762	0.374024433181	0.322136741453	0.565918455178	0.377197526112	0.505924175951	0.416783555187	0.377706559144	0.52806714481	0.4349035022
027-1	0.549331296078	0.402520499436	0.287775120515	0.632710429309	0.307190777073	0.368899969793	0.419345403521	0.0	0.392420196225	0.50154057437	0.344402486159	0.414368690625	0.30275104165	0.341517658713	0.330490424627	0.342756743394	0.290502893895	0.399395770935	0.427232251215	0.368053922722	0.472422318263	0.431057141589	0.319357165966	0.753006286173	0.344170890489	0.364377908328	0.340714176875	0.337242228827
028-1	0.533181445971	0.342336353614	0.306947300286	0.764321200201	0.349758722948	0.200106113998	0.36093303673	0.392420196225	0.0	0.421624482081	0.358133934701	0.507485855067	0.196010041761	0.326166099812	0.303987996064	0.279927390311	0.433027684191	0.171712053176	0.547185881428	0.165188916428	0.469090729854	0.472880994655	0.278663934888	0.716206592488	0.25599669625	0.274058943443	0.455528559208	0.291676257431
029-1	0.580392863884	0.481566813015	0.499524707588	0.813354579942	0.359787699027	0.442662584461	0.372712761635	0.50154057437	0.421624482081	0.0	0.464948580252	0.57643683394	0.432649849308	0.336647908018	0.455394207355	0.424379403104	0.557822153847	0.478280346641	0.62301358996	0.422906773133	0.288680786215	0.388110465492	0.43246757325	0.61720852316	0.413313062363	0.311768246993	0.528952208997	0.428670626752
030-1	0.591608237693	0.46210334187	0.376723370996	0.616396675432	0.259810518078	0.37806721614	0.468994594757	0.344402486159	0.358133934701	0.464948580252	0.0	0.355125373365	0.267332016208	0.314381095334	0.248261882717	0.368754202622	0.310899331648	0.380223717913	0.400530327535	0.305716383455	0.507389327113	0.372327363048	0.33943260869	0.78900986735	0.331270975786	0.386861178224	0.300634408392	0.173575849876
033-1	0.664776825159	0.557397289512	0.457547061756	0.418276688202	0.387076111646	0.507482428799	0.561606060139	0.414368690625	0.507485855067	0.57643683394	0.355125373365	0.0	0.410045324428	0.41548936992	0.4079151667	0.491356247741	0.339271138235	0.500886251001	0.189295393439	0.461976051377	0.57820349578	0.337791026852	0.501825318417	0.808485448418	0.494978780486	0.541469041546	0.232956405738	0.396429127428
034-1	0.506461826196	0.378673470629	0.259785162455	0.659557688243	0.258729767592	0.233980046746	0.37624470333	0.30275104165	0.196010041761	0.432649849308	0.267332016208	0.410045324428	0.0	0.229469967431	0.221987156699	0.292839617424	0.342485904654	0.231205737955	0.446819738409	0.149617972128	0.436363773936	0.374699981496	0.264405382017	0.734177841741	0.278889128099	0.309571292737	0.367510787579	0.212397403407
