	007-1	011-1	014-1	021-1	023-1	024-1	026-1	027-1	028-1	029-1	030-1	033-1	034-1	035-1	037-1	038-1	039-1	040-1	041-1	043-1	044-1	046-1	047-1	050-1	051-1	052-1	055-1	057-1
007-1	0.0	0.984	0.971	0.966	0.984	0.925	0.992	0.904	0.965	0.922	0.98	0.949	0.936	0.957	0.934	0.984	0.95	0.984	0.963	0.975	0.956	0.901	0.979	0.983	0.988	0.95	0.952	0.986
011-1	0.984	0.0	0.935	0.992	0.993	0.97	0.921	0.944	0.973	0.96	0.984	0.983	0.982	0.985	0.995	0.928	0.981	0.943	0.992	0.96	0.966	0.982	0.986	0.947	0.957	0.841	0.971	0.985
014-1	0.971	0.935	0.0	0.89	0.898	0.742	0.952	0.911	0.87	0.913	0.925	0.917	0.857	0.897	0.919	0.881	0.914	0.892	0.866	0.912	0.81	0.881	0.915	0.982	0.911	0.937	0.901	0.94
021-1	0.966	0.992	0.89	0.0	0.894	0.938	0.978	0.946	0.921	0.945	0.908	0.873	0.888	0.924	0.931	0.944	0.89	0.933	0.854	0.915	0.917	0.876	0.93	0.985	0.922	0.961	0.915	0.907
023-1	0.984	0.993	0.898	0.894	0.0	0.848	0.99	0.924	0.866	0.823	0.799	0.91	0.814	0.807	0.863	0.877	0.893	0.802	0.873	0.824	0.913	0.841	0.887	0.997	0.818	0.861	0.911	0.826
024-1	0.925	0.97	0.742	0.938	0.848	0.0	0.95	0.921	0.813	0.859	0.91	0.909	0.741	0.859	0.849	0.86	0.935	0.805	0.901	0.835	0.821	0.827	0.885	0.997	0.882	0.885	0.913	0.908
026-1	0.992	0.921	0.952	0.978	0.99	0.95	0.0	0.978	0.952	0.904	0.987	0.991	0.975	0.944	0.974	0.965	0.982	0.925	0.989	0.957	0.946	0.95	0.92	0.876	0.97	0.954	0.985	0.977
027-1	0.904	0.944	0.911	0.946	0.924	0.921	0.978	0.0	0.951	0.93	0.952	0.914	0.917	0.91	0.912	0.852	0.873	0.915	0.876	0.917	0.892	0.923	0.884	0.951	0.919	0.931	0.878	0.941
028-1	0.965	0.973	0.87	0.921	0.866	0.813	0.952	0.951	0.0	0.88	0.895	0.899	0.727	0.847	0.78	0.84	0.923	0.784	0.884	0.797	0.941	0.792	0.884	0.993	0.87	0.92	0.929	0.885
029-1	0.922	0.96	0.913	0.945	0.823	0.859	0.904	0.93	0.88	0.0	0.881	0.912	0.837	0.843	0.855	0.885	0.958	0.879	0.921	0.853	0.828	0.842	0.872	0.856	0.814	0.795	0.937	0.869
030-1	0.98	0.984	0.925	0.908	0.799	0.91	0.987	0.952	0.895	0.881	0.0	0.879	0.846	0.836	0.86	0.873	0.903	0.891	0.879	0.852	0.905	0.886	0.821	0.997	0.837	0.92	0.886	0.76
033-1	0.949	0.983	0.917	0.873	0.91	0.909	0.991	0.914	0.899	0.912	0.879	0.0	0.88	0.906	0.881	0.93	0.866	0.905	0.828	0.892	0.958	0.814	0.911	0.998	0.899	0.957	0.887	0.875
