	007-1	011-1	014-1	021-1	023-1	024-1	026-1	027-1	028-1	029-1	030-1	033-1	034-1	035-1	037-1	038-1	039-1	040-1	041-1	043-1	044-1	046-1	047-1	050-1	051-1	052-1	055-1	057-1
007-1	0.0	0.767230505939	0.810041870519	0.787835925006	0.825608094869	0.803874633106	0.807755216745	0.730071146256	0.765686103027	0.812812611394	0.830232250796	0.809517577378	0.789100151335	0.779712903364	0.777075484437	0.812791037252	0.749152808133	0.818048756206	0.807229176072	0.828911863938	0.757699604364	0.780741955447	0.833026183752	0.757443614937	0.832904345789	0.796314842794	0.802045935463	0.845308566947
011-1	0.767230505939	0.0	0.772744078217	0.830974769549	0.830473284292	0.77883209296	0.773511822769	0.744611099419	0.781817043439	0.816981551696	0.832514375915	0.814179162896	0.802101206784	0.794002123717	0.822627252408	0.748130512369	0.801842227574	0.810119096645	0.838011756566	0.8151047845	0.782881665531	0.810103151995	0.846349832719	0.792928145393	0.805545331554	0.711364043719	0.832768370958	0.827971181532
014-1	0.810041870519	0.772744078217	0.0	0.713200225407	0.719177731113	0.662697696885	0.772941234764	0.71269482821	0.644381185296	0.736072815935	0.754266060235	0.741306494669	0.664484300571	0.705076979749	0.713147669282	0.674555272672	0.719965348193	0.688297496684	0.695341887764	0.709028869996	0.677373889345	0.684068772159	0.724628868213	0.81220563926	0.737122403774	0.729597880218	0.72899051845	0.758006764862
021-1	0.787835925006	0.830974769549	0.713200225407	0.0	0.694578303751	0.730435245418	0.829930696109	0.725157501494	0.720466216973	0.755206775582	0.719782960147	0.70389870992	0.678947668567	0.690768185803	0.683251182016	0.750026604442	0.70432228308	0.733053408933	0.695160980001	0.730194469213	0.709259121309	0.688498077621	0.707472033074	0.826107947109	0.746109251495	0.793383939351	0.732591750902	0.699423563247
023-1	0.825608094869	0.830473284292	0.719177731113	0.694578303751	0.0	0.667648599305	0.833469052304	0.72099646507	0.678663273992	0.720008659976	0.661714243687	0.700727634758	0.654826619614	0.678004877621	0.668851098829	0.709246731936	0.709095230712	0.645275693506	0.674841888907	0.668123365859	0.733538714879	0.652124089271	0.680708005011	0.856404549534	0.651523572594	0.72934354587	0.691002088867	0.655840573873
024-1	0.803874633106	0.77883209296	0.662697696885	0.730435245418	0.667648599305	0.0	0.755560354135	0.739754340364	0.605628786756	0.697798888051	0.728751916204	0.72925871817	0.637569195465	0.681528523536	0.705472852221	0.658733575238	0.754190453039	0.628068316775	0.730810562393	0.665811197474	0.688467414643	0.691601543938	0.702028422468	0.838811850531	0.699593838247	0.693883682813	0.739268383213	0.699040127093
026-1	0.807755216745	0.773511822769	0.772941234764	0.829930696109	0.833469052304	0.755560354135	0.0	0.816689498217	0.744370959276	0.802302818562	0.841487277447	0.816070886002	0.802729306331	0.795740166189	0.809595139846	0.759697630039	0.817131520422	0.825286373304	0.841881880998	0.818799491126	0.756951750437	0.806245950665	0.818589530877	0.739369760586	0.824803115361	0.779277034393	0.852072055094	0.835111818636
027-1	0.730071146256	0.744611099419	0.71269482821	0.725157501494	0.72099646507	0.739754340364	0.816689498217	0.0	0.707922486182	0.757167434086	0.755292870262	0.741891813431	0.710274725581	0.695024751153	0.692187270889	0.683584099025	0.677499807627	0.729088777804	0.696773560409	0.743317262493	0.697729757876	0.699912831598	0.724306351262	0.781006756595	0.743316237155	0.739434086565	0.701342020715	0.763332975852
028-1	0.765686103027	0.781817043439	0.644381185296	0.720466216973	0.678663273992	0.605628786756	0.744370959276	0.707922486182	0.0	0.678978356797	0.705674718263	0.701277707802	0.619125338265	0.651406451205	0.661517342723	0.643275588285	0.718955470913	0.627299316986	0.698757319653	0.657213975168	0.693950696292	0.652683244473	0.711427366646	0.819714144452	0.694440337877	0.702330992781	0.732552187319	0.710243415152
029-1	0.812812611394	0.816981551696	0.736072815935	0.755206775582	0.720008659976	0.697798888051	0.802302818562	0.757167434086	0.678978356797	0.0	0.709265214153	0.760132620431	0.696535719469	0.735621899088	0.713028795242	0.711947522141	0.777137595008	0.690217515046	0.742648740692	0.688580737189	0.721550217302	0.717834111975	0.671252681675	0.813051485569	0.698307445889	0.762754464715	0.767704704834	0.682442576378
030-1	0.830232250796	0.832514375915	0.754266060235	0.719782960147	0.661714243687	0.728751916204	0.841487277447	0.755292870262	0.705674718263	0.709265214153	0.0	0.686659953091	0.699929996492	0.709525137744	0.684191811954	0.748895742469	0.722288185509	0.697786023036	0.701323121866	0.68623547334	0.738042646654	0.690687300707	0.635003544489	0.878159665855	0.659106160957	0.744924042281	0.698846926131	0.623083781548
033-1	0.809517577378	0.814179162896	0.741306494669	0.70389870992	0.700727634758	0.72925871817	0.816070886002	0.741891813431	0.701277707802	0.760132620431	0.686659953091	0.0	0.709610531414	0.692882055174	0.716953129829	0.753302402509	0.716960421681	0.701968466522	0.674510683153	0.716663825564	0.742427201097	0.662699672033	0.72352473067	0.852540296014	0.688465057068	0.767272958875	0.703620347414	0.673642028048
034-1	0.789100151335	0.802101206784	0.664484300571	0.678947668567	0.654826619614	0.637569195465	0.802729306331	0.710274725581	0.619125338265	0.696535719469	0.699929996492	0.709610531414	0.0	0.627417285823	0.644312015518	0.687590686068	0.697173269107	0.632013791357	0.664031904227	0.619572070135	0.695120087438	0.635167634091	0.681745864663	0.846307928164	0.705503616158	0.738135366849	0.720365998622	0.693310952504
035-1	0.779712903364	0.794002123717	0.705076979749	0.690768185803	0.678004877621	0.681528523536	0.795740166189	0.695024751153	0.651406451205	0.735621899088	0.709525137744	0.692882055174	0.627417285823	0.0	0.64564442719	0.703550072582	0.652206966036	0.662315426374	0.67525309256	0.686728846813	0.680573520863	0.642837983548	0.689296922597	0.828548696597	0.715148749033	0.733830702604	0.71322996532	0.689700547846
037-1	0.777075484437	0.822627252408	0.713147669282	0.683251182016	0.668851098829	0.705472852221	0.809595139846	0.692187270889	0.661517342723	0.713028795242	0.684191811954	0.716953129829	0.644312015518	0.64564442719	0.0	0.711684869846	0.683819342238	0.662496770581	0.647668183225	0.670955275681	0.674775995031	0.655539579656	0.639732286611	0.822397737477	0.706747428885	0.759907534294	0.705837958618	0.691574778402
038-1	0.812791037252	0.748130512369	0.674555272672	0.750026604442	0.709246731936	0.658733575238	0.759697630039	0.683584099025	0.643275588285	0.711947522141	0.748895742469	0.753302402509	0.687590686068	0.703550072582	0.711684869846	0.0	0.729925345072	0.690041384839	0.741541295639	0.701929030066	0.702997367402	0.696271928297	0.722460725209	0.783101358671	0.710718475957	0.684492107435	0.76830446611	0.733694847741
039-1	0.749152808133	0.801842227574	0.719965348193	0.70432228308	0.709095230712	0.754190453039	0.817131520422	0.677499807627	0.718955470913	0.777137595008	0.722288185509	0.716960421681	0.697173269107	0.652206966036	0.683819342238	0.729925345072	0.0	0.728255691355	0.636978836599	0.745953967941	0.7018794622	0.66715175002	0.714321731234	0.81101121919	0.71244286834	0.750502602015	0.698548082959	0.740870523107
040-1	0.818048756206	0.810119096645	0.688297496684	0.733053408933	0.645275693506	0.628068316775	0.825286373304	0.729088777804	0.627299316986	0.690217515046	0.697786023036	0.701968466522	0.632013791357	0.662315426374	0.662496770581	0.690041384839	0.728255691355	0.0	0.679645182061	0.629378199209	0.721818712666	0.636004716614	0.661422163821	0.855315950254	0.678955626091	0.736087298339	0.707867708013	0.686342585148
041-1	0.807229176072	0.838011756566	0.695341887764	0.695160980001	0.674841888907	0.730810562393	0.841881880998	0.696773560409	0.698757319653	0.742648740692	0.701323121866	0.674510683153	0.664031904227	0.67525309256	0.647668183225	0.741541295639	0.636978836599	0.679645182061	0.0	0.701635727173	0.722652200514	0.655516505726	0.699341105695	0.85323483432	0.701210461545	0.741168006521	0.66445243559	0.712150615183
043-1	0.828911863938	0.8151047845	0.709028869996	0.730194469213	0.668123365859	0.665811197474	0.818799491126	0.743317262493	0.657213975168	0.688580737189	0.68623547334	0.716663825564	0.619572070135	0.686728846813	0.670955275681	0.701929030066	0.745953967941	0.629378199209	0.701635727173	0.0	0.713694284446	0.662093798054	0.681427721439	0.859595459602	0.683135538483	0.71005873672	0.744417489019	0.677405153485
044-1	0.757699604364	0.782881665531	0.677373889345	0.709259121309	0.733538714879	0.688467414643	0.756951750437	0.697729757876	0.693950696292	0.721550217302	0.738042646654	0.742427201097	0.695120087438	0.680573520863	0.674775995031	0.702997367402	0.7018794622	0.721818712666	0.722652200514	0.713694284446	0.0	0.696679066844	0.722169477206	0.75523005617	0.720943669193	0.726995109536	0.732111913999	0.718933228659
046-1	0.780741955447	0.810103151995	0.684068772159	0.688498077621	0.652124089271	0.691601543938	0.806245950665	0.699912831598	0.652683244473	0.717834111975	0.690687300707	0.662699672033	0.635167634091	0.642837983548	0.655539579656	0.696271928297	0.66715175002	0.636004716614	0.655516505726	0.662093798054	0.696679066844	0.0	0.681733424997	0.819408409735	0.661171763824	0.733758880872	0.683889747381	0.69029979792
047-1	0.833026183752	0.846349832719	0.724628868213	0.707472033074	0.680708005011	0.702028422468	0.818589530877	0.724306351262	0.711427366646	0.671252681675	0.635003544489	0.72352473067	0.681745864663	0.689296922597	0.639732286611	0.722460725209	0.714321731234	0.661422163821	0.699341105695	0.681427721439	0.722169477206	0.681733424997	0.0	0.844864665438	0.668657853855	0.746421320616	0.712338495388	0.653537518834
050-1	0.757443614937	0.792928145393	0.81220563926	0.826107947109	0.856404549534	0.838811850531	0.739369760586	0.781006756595	0.819714144452	0.813051485569	0.878159665855	0.852540296014	0.846307928164	0.828548696597	0.822397737477	0.783101358671	0.81101121919	0.855315950254	0.85323483432	0.859595459602	0.75523005617	0.819408409735	0.844864665438	0.0	0.865667598117	0.834332503989	0.848003128527	0.868642475228
051-1	0.832904345789	0.805545331554	0.737122403774	0.746109251495	0.651523572594	0.699593838247	0.824803115361	0.743316237155	0.694440337877	0.698307445889	0.659106160957	0.688465057068	0.705503616158	0.715148749033	0.706747428885	0.710718475957	0.71244286834	0.678955626091	0.701210461545	0.683135538483	0.720943669193	0.661171763824	0.668657853855	0.865667598117	0.0	0.725457913917	0.713079922379	0.65464302613
052-1	0.796314842794	0.711364043719	0.729597880218	0.793383939351	0.72934354587	0.693883682813	0.779277034393	0.739434086565	0.702330992781	0.762754464715	0.744924042281	0.767272958875	0.738135366849	0.733830702604	0.759907534294	0.684492107435	0.750502602015	0.736087298339	0.741168006521	0.71005873672	0.726995109536	0.733758880872	0.746421320616	0.834332503989	0.725457913917	0.0	0.735745720852	0.748859600294
055-1	0.802045935463	0.832768370958	0.72899051845	0.732591750902	0.691002088867	0.739268383213	0.852072055094	0.701342020715	0.732552187319	0.767704704834	0.698846926131	0.703620347414	0.720365998622	0.71322996532	0.705837958618	0.76830446611	0.698548082959	0.707867708013	0.66445243559	0.744417489019	0.732111913999	0.683889747381	0.712338495388	0.848003128527	0.713079922379	0.735745720852	0.0	0.73127831288
057-1	0.845308566947	0.827971181532	0.758006764862	0.699423563247	0.655840573873	0.699040127093	0.835111818636	0.763332975852	0.710243415152	0.682442576378	0.623083781548	0.673642028048	0.693310952504	0.689700547846	0.691574778402	0.733694847741	0.740870523107	0.686342585148	0.712150615183	0.677405153485	0.718933228659	0.69029979792	0.653537518834	0.868642475228	0.65464302613	0.748859600294	0.73127831288	0.0
