	007-1	011-1	014-1	021-1	023-1	024-1	026-1	027-1	028-1	029-1	030-1	033-1	034-1	035-1	037-1	038-1	039-1	040-1	041-1	043-1	044-1	046-1	047-1	050-1	051-1	052-1	055-1	057-1
007-1	0.0	0.55912669	0.49774293	0.83308167	0.55648414	0.47439416	0.56633491	0.55232696	0.51771298	0.58887683	0.58116359	0.65880536	0.51801537	0.51171024	0.5516961	0.4284727	0.60484843	0.57027946	0.72803565	0.53493439	0.4834248	0.58231573	0.56956001	0.76022376	0.57985652	0.5194716	0.64786994	0.55826659
011-1	0.55912669	0.0	0.33030922	0.81625136	0.48097849	0.30222033	0.36980852	0.41452467	0.34568383	0.49342348	0.45762206	0.56785495	0.38169142	0.42384907	0.43114415	0.34542153	0.46683992	0.37635573	0.6171485	0.36252938	0.49270691	0.58901504	0.40349402	0.67857603	0.37894417	0.32361997	0.53022865	0.41344524
014-1	0.49774293	0.33030922	0.0	0.69491522	0.36214131	0.20061515	0.37554028	0.31360773	0.30435211	0.51146362	0.38435092	0.47524187	0.27716754	0.30624273	0.34979751	0.24118469	0.36814654	0.30279627	0.50605784	0.28597098	0.38881635	0.4762646	0.30136242	0.72901671	0.32649653	0.35758933	0.44759811	0.34605574
021-1	0.83308167	0.81625136	0.69491522	0.0	0.65938509	0.77186517	0.79360278	0.64389983	0.77065387	0.82942234	0.65152246	0.43539855	0.65694644	0.66859255	0.68800543	0.74774465	0.55563608	0.76454063	0.38924566	0.73446312	0.76778147	0.5591392	0.73461826	0.92066487	0.77023119	0.81471503	0.50633861	0.6912788
023-1	0.55648414	0.48097849	0.36214131	0.65938509	0.0	0.36225746	0.46734685	0.30670856	0.3448886	0.37474057	0.25968039	0.39822624	0.26166105	0.18920368	0.27709336	0.35174904	0.37647395	0.37973976	0.44008627	0.33150591	0.39934056	0.27746175	0.36520679	0.78949468	0.36301204	0.28772112	0.34303136	0.26074691
024-1	0.47439416	0.30222033	0.20061515	0.77186517	0.36225746	0.0	0.34623465	0.3727348	0.1942349	0.43775411	0.36639611	0.51708218	0.24097379	0.3246389	0.31899372	0.2114796	0.43262365	0.25721696	0.56779079	0.24049433	0.38331586	0.46839473	0.32126103	0.7141848	0.2994751	0.2823689	0.47268288	0.31944189
026-1	0.56633491	0.36980852	0.37554028	0.79360278	0.46734685	0.34623465	0.0	0.41222571	0.35362177	0.38815972	0.46633018	0.56223733	0.382535	0.39457003	0.43566291	0.39356935	0.48811288	0.38359027	0.61672122	0.37973482	0.33577765	0.56327776	0.37620042	0.50662649	0.42453669	0.38092483	0.53173755	0.4341053
027-1	0.55232696	0.41452467	0.31360773	0.64389983	0.30670856	0.3727348	0.41222571	0.0	0.39121318	0.48796677	0.34475391	0.42195356	0.30150511	0.3311285	0.33523204	0.3438952	0.32158201	0.40026314	0.44393405	0.37836909	0.4725166	0.42496551	0.32016819	0.74293686	0.34741326	0.37032778	0.3408352	0.33788235
028-1	0.51771298	0.34568383	0.30435211	0.77065387	0.3448886	0.1942349	0.35362177	0.39121318	0.0	0.42364333	0.35456767	0.5151576	0.20913093	0.30637142	0.29148602	0.2818433	0.46837385	0.18474068	0.55892133	0.17756257	0.46407584	0.45760143	0.28597313	0.71479546	0.2810777	0.27811952	0.46447644	0.29809867
029-1	0.58887683	0.49342348	0.51146362	0.82942234	0.37474057	0.43775411	0.38815972	0.48796677	0.42364333	0.0	0.470958	0.58257435	0.4542277	0.36525485	0.47529593	0.42947661	0.57773208	0.49575413	0.63541656	0.45544274	0.31125881	0.39471508	0.44171488	0.62722169	0.42947737	0.31480703	0.55121117	0.4381101
030-1	0.58116359	0.45762206	0.38435092	0.65152246	0.25968039	0.36639611	0.46633018	0.34475391	0.35456767	0.470958	0.0	0.37141951	0.2577977	0.30514283	0.25100935	0.37090855	0.35540108	0.38196577	0.43048182	0.32578002	0.50288375	0.37941696	0.34054122	0.78718289	0.34631243	0.38922427	0.33004139	0.18946832
033-1	0.65880536	0.56785495	0.47524187	0.43539855	0.39822624	0.51708218	0.56223733	0.42195356	0.5151576	0.58257435	0.37141951	0.0	0.40544255	0.42465298	0.41754292	0.50293296	0.32142471	0.51329326	0.20523771	0.47606113	0.57788842	0.32308515	0.50974519	0.80741258	0.5046328	0.55745822	0.2340842	0.41060763
034-1	0.51801537	0.38169142	0.27716754	0.65694644	0.26166105	0.24097379	0.382535	0.30150511	0.20913093	0.4542277	0.2577977	0.40544255	0.0	0.21646061	0.21243785	0.30650653	0.36134228	0.23683355	0.44388648	0.1777424	0.45051101	0.37980128	0.27477876	0.73441225	0.29533895	0.33130567	0.36467293	0.20878262
035-1	0.51171024	0.42384907	0.30624273	0.66859255	0.18920368	0.3246389	0.39457003	0.3311285	0.30637142	0.36525485	0.30514283	0.42465298	0.21646061	0.0	0.26794554	0.34147208	0.36767481	0.35130826	0.46236585	0.29904965	0.35611364	0.30181841	0.35103969	0.75208408	0.37360276	0.25691666	0.38518136	0.28511931
