	PD_whole_tree	chao1	observed_otus
B.2004.01.S1.405609	34.82903	1110.01886792	601.0
B.2004.02.S1.405533	32.3879	983.510638298	565.0
B.2004.03.S1.405563	35.52619	1248.45454545	656.0
B.2004.04.S1.405549	35.99046	1095.27722772	618.0
B.2004.05.S1.405536	30.67634	841.841463415	495.0
B.2004.06.S1.405567	33.8696	1067.15789474	659.0
B.2004.07.S1.405529	29.6442	872.4375	519.0
B.2004.08.S1.405610	33.2627	1045.65	579.0
B.2005.01.S1.405588	18.79471	559.0	342.0
B.2005.02.S1.405604	19.95908	678.762711864	384.0
B.2005.03.S1.405591	19.31014	671.661290323	379.0
B.2005.04.S1.405545	24.56643	908.12345679	502.0
B.2005.05.S1.405611	22.43544	837.878378378	482.0
B.2005.06.S1.405537	23.4993	842.875	461.0
B.2005.07.S1.405586	22.64921	802.142857143	458.0
B.2005.08.S1.405559	20.85394	888.064516129	437.0
B.2005.09.S1.405592	26.05578	903.259259259	562.0
B.2005.10.S1.405573	20.305	677.789473684	392.0
B.2006.01.S1.405568	30.56249	1078.7875	580.0
B.2006.02.S1.405606	35.196	1009.95934959	655.0
B.2006.03.S1.405589	37.18668	1139.89344262	703.0
B.2006.04.S1.405572	36.75901	1207.05737705	715.0
B.2006.05.S1.405597	34.91373	1183.55789474	653.0
B.2006.06.S1.405542	33.2981	953.058823529	581.0
B.2006.07.S1.405582	34.34386	1088.55660377	622.0
B.2006.08.S1.405615	34.11439	1008.33018868	613.0
B.2006.09.S1.405526	37.22189	1203.44117647	668.0
B.2008.01.S1.405595	21.36863	624.615384615	401.0
B.2008.02.S1.405555	23.26677	646.0	436.0
B.2008.03.S1.405528	24.0048	787.956521739	442.0
B.2008.04.S1.405565	24.80017	831.578947368	479.0
B.2008.05.S1.405541	23.27119	905.172413793	459.0
B.2008.06.S1.405543	23.41471	724.714285714	412.0
B.2008.07.S1.405599	22.41229	635.506329114	413.0
B.2008.08.S1.405550	21.7265	621.413333333	409.0
B.2008.09.S1.405553	19.62755	609.615384615	359.0
B.2008.10.S1.405544	18.89378	553.542372881	327.0
B.2009.01.S1.405540	19.048	560.789473684	332.0
B.2009.02.S1.405570	14.03562	393.8125	236.0
B.2009.03.S1.405564	16.68375	486.029411765	283.0
B.2009.04.S1.405531	17.58685	446.02	286.0
B.2009.05.S1.405596	16.59131	435.285714286	292.0
B.2009.06.S1.405554	21.72578	627.126760563	390.0
B.2009.07.S1.405524	22.48572	618.0	388.0
B.2009.08.S1.405578	21.83409	691.9375	381.0
B.2009.09.S1.405547	21.74915	789.018518519	398.0
B.2009.10.S1.405585	19.13398	601.018181818	349.0
B.2011.01.S1.405525	30.91459	1149.48453608	620.0
B.2011.02.S1.405575	28.61743	919.978723404	525.0
B.2011.03.S1.405538	30.47636	860.52293578	554.0
B.2011.04.S1.405598	26.81198	1000.47887324	489.0
B.2011.05.S1.405539	26.01001	830.913043478	498.0
B.2011.06.S1.405532	26.50901	812.75	499.0
B.2011.07.S1.405534	29.83928	1105.37037037	570.0
B.2011.08.S1.405530	30.6297	937.490566038	569.0
B.2011.09.S1.405577	27.3984	850.180722892	493.0
B.2011.10.S1.405602	27.39017	867.905263158	535.0
B.2012.01.S1.405593	21.38906	635.142857143	392.0
B.2012.02.S1.405552	22.0247	671.820895522	401.0
B.2012.03.S1.405546	20.73149	602.085714286	392.0
B.2012.04.S1.405562	19.05623	548.161290323	343.0
B.2012.05.S1.405616	23.03553	746.5	414.0
B.2012.06.S1.405601	20.92827	528.077922078	367.0
B.2012.07.S1.405580	21.67259	631.577464789	384.0
B.2012.08.S1.405556	22.8466	658.0	391.0
B.2012.09.S1.405527	21.19494	603.818181818	381.0
B.2012.10.S1.405569	19.64671	594.611111111	341.0
B.2016.01.S1.405584	19.37033	571.0	354.0
B.2016.02.S1.405600	24.17646	787.48	475.0
B.2016.03.S1.405618	25.7696	726.777777778	461.0
B.2016.04.S1.405579	25.14788	928.130434783	509.0
B.2016.05.S1.405583	26.23742	1008.63888889	508.0
B.2016.06.S1.405581	24.79345	804.1875	475.0
B.2016.07.S1.405551	26.20485	908.943661972	505.0
B.2016.08.S1.405590	27.54641	840.529411765	528.0
B.2019.01.S1.405535	30.39687	1070.75892857	632.0
B.2019.02.S1.405607	26.67107	828.677419355	502.0
B.2019.03.S1.405560	23.8596	845.625	472.0
B.2019.04.S1.405614	26.41349	920.011494253	533.0
B.2019.05.S1.405612	27.08108	1045.42857143	550.0
B.2019.06.S1.405608	24.80146	861.010869565	509.0
B.2019.07.S1.405558	27.09732	957.125	529.0
B.2019.08.S1.405613	27.4896	1037.87912088	571.0
B.2019.09.S1.405605	26.17234	891.304878049	487.0
B.2019.10.S1.405561	24.44746	893.246153846	463.0
B.2020.01.S1.405576	20.86845	697.5	426.0
B.2020.02.S1.405548	17.14122	480.942307692	339.0
B.2020.03.S1.405571	19.94819	686.519230769	407.0
B.2020.04.S1.405587	18.30256	560.971014493	388.0
B.2020.05.S1.405574	18.40736	638.681818182	408.0
B.2020.06.S1.405557	19.46766	557.037974684	404.0
B.2020.07.S1.405566	16.746	463.482758621	332.0
B.2020.08.S1.405603	18.12913	578.333333333	363.0
B.2020.09.S1.405594	18.9966	590.714285714	409.0
B.2020.10.S1.405617	18.65278	646.101694915	391.0
