	PD_whole_tree	chao1	observed_otus
B.2004.01.S1.405609	22.94243	660.12244898	309.0
B.2004.02.S1.405533	22.24077	766.0	311.0
B.2004.03.S1.405563	21.45718	647.857142857	317.0
B.2004.04.S1.405549	25.01684	704.603448276	337.0
B.2004.05.S1.405536	20.94492	644.0	280.0
B.2004.06.S1.405567	22.78436	905.565217391	343.0
B.2004.07.S1.405529	18.56315	627.692307692	268.0
B.2004.08.S1.405610	21.0489	693.471698113	318.0
B.2005.01.S1.405588	12.51708	353.527777778	196.0
B.2005.02.S1.405604	13.20087	473.2	219.0
B.2005.03.S1.405591	14.38474	436.066666667	241.0
B.2005.04.S1.405545	16.31082	501.519230769	272.0
B.2005.05.S1.405611	14.95084	463.630434783	246.0
B.2005.06.S1.405537	13.57626	515.076923077	217.0
B.2005.07.S1.405586	15.08759	499.333333333	251.0
B.2005.08.S1.405559	14.16671	549.428571429	247.0
B.2005.09.S1.405592	17.56006	664.018181818	313.0
B.2005.10.S1.405573	12.96917	459.571428571	220.0
B.2006.01.S1.405568	17.02517	511.947368421	241.0
B.2006.02.S1.405606	21.79857	657.319148936	303.0
B.2006.03.S1.405589	21.34973	614.454545455	305.0
B.2006.04.S1.405572	21.47978	566.263157895	293.0
B.2006.05.S1.405597	21.80922	662.066666667	292.0
B.2006.06.S1.405542	20.63407	614.139534884	284.0
B.2006.07.S1.405582	23.56686	752.234042553	316.0
B.2006.08.S1.405615	21.20312	633.608695652	295.0
B.2006.09.S1.405526	23.16923	622.234042553	302.0
B.2008.01.S1.405595	12.74158	386.0	201.0
B.2008.02.S1.405555	13.65318	407.5	201.0
B.2008.03.S1.405528	15.30862	504.0	222.0
B.2008.04.S1.405565	15.07369	412.636363636	214.0
B.2008.05.S1.405541	16.26285	451.23255814	244.0
B.2008.06.S1.405543	14.4679	397.75	200.0
B.2008.07.S1.405599	15.13028	376.357142857	212.0
B.2008.08.S1.405550	15.15873	470.096774194	212.0
B.2008.09.S1.405553	12.88627	511.652173913	196.0
B.2008.10.S1.405544	12.81476	292.823529412	167.0
B.2009.01.S1.405540	11.83349	318.0	168.0
B.2009.02.S1.405570	9.27637	207.303030303	132.0
B.2009.03.S1.405564	11.20825	303.25	177.0
B.2009.04.S1.405531	11.28567	241.024390244	162.0
B.2009.05.S1.405596	11.55746	311.53125	172.0
B.2009.06.S1.405554	13.96187	423.676470588	203.0
B.2009.07.S1.405524	15.21085	429.87804878	219.0
B.2009.08.S1.405578	14.39057	429.40625	210.0
B.2009.09.S1.405547	14.77514	414.108695652	229.0
B.2009.10.S1.405585	12.85734	348.894736842	194.0
B.2011.01.S1.405525	18.99378	662.488372093	292.0
B.2011.02.S1.405575	17.06181	830.454545455	245.0
B.2011.03.S1.405538	19.04923	599.0	276.0
B.2011.04.S1.405598	17.57795	587.0	245.0
B.2011.05.S1.405539	16.35146	550.277777778	244.0
B.2011.06.S1.405532	18.82099	807.525	315.0
B.2011.07.S1.405534	19.99652	593.654545455	304.0
B.2011.08.S1.405530	19.49616	575.4	282.0
B.2011.09.S1.405577	17.31835	484.783783784	233.0
B.2011.10.S1.405602	18.62317	558.784313725	287.0
B.2012.01.S1.405593	14.20486	368.384615385	209.0
B.2012.02.S1.405552	14.22818	377.025641026	206.0
B.2012.03.S1.405546	13.77024	449.636363636	211.0
B.2012.04.S1.405562	13.70354	374.428571429	200.0
B.2012.05.S1.405616	15.46777	562.869565217	215.0
B.2012.06.S1.405601	13.36902	433.107142857	199.0
B.2012.07.S1.405580	14.35846	491.230769231	212.0
B.2012.08.S1.405556	15.47337	324.926829268	209.0
B.2012.09.S1.405527	13.80206	384.689655172	200.0
B.2012.10.S1.405569	12.82257	438.772727273	181.0
B.2016.01.S1.405584	12.72977	357.137931034	176.0
B.2016.02.S1.405600	14.27664	458.675675676	225.0
B.2016.03.S1.405618	16.57831	491.285714286	229.0
B.2016.04.S1.405579	15.69477	362.914893617	221.0
B.2016.05.S1.405583	15.29681	491.483870968	221.0
B.2016.06.S1.405581	14.45696	481.677419355	207.0
B.2016.07.S1.405551	16.05177	525.40625	230.0
B.2016.08.S1.405590	16.9601	431.2	228.0
B.2019.01.S1.405535	17.76714	602.071428571	276.0
B.2019.02.S1.405607	15.13354	583.833333333	231.0
B.2019.03.S1.405560	14.90667	594.555555556	229.0
B.2019.04.S1.405614	16.2593	573.5	263.0
B.2019.05.S1.405612	17.42449	714.236842105	276.0
B.2019.06.S1.405608	16.80747	573.714285714	284.0
B.2019.07.S1.405558	15.4392	496.142857143	251.0
B.2019.08.S1.405613	18.08935	531.659574468	281.0
B.2019.09.S1.405605	16.65037	568.857142857	266.0
B.2019.10.S1.405561	16.5386	509.285714286	247.0
B.2020.01.S1.405576	14.38503	377.5	217.0
B.2020.02.S1.405548	11.07324	260.571428571	168.0
B.2020.03.S1.405571	11.78029	324.9375	209.0
B.2020.04.S1.405587	12.05452	394.27027027	214.0
B.2020.05.S1.405574	12.45136	405.525	221.0
B.2020.06.S1.405557	11.7465	290.208333333	203.0
B.2020.07.S1.405566	11.37564	415.0	197.0
B.2020.08.S1.405603	11.40896	349.27027027	196.0
B.2020.09.S1.405594	12.00883	381.022222222	225.0
B.2020.10.S1.405617	13.04674	359.02173913	219.0
