	B.2004.01.S1.405609	B.2004.02.S1.405533	B.2004.03.S1.405563	B.2004.04.S1.405549	B.2004.05.S1.405536	B.2004.06.S1.405567	B.2004.07.S1.405529	B.2004.08.S1.405610	B.2005.01.S1.405588	B.2005.02.S1.405604	B.2005.03.S1.405591	B.2005.04.S1.405545	B.2005.05.S1.405611	B.2005.06.S1.405537	B.2005.07.S1.405586	B.2005.08.S1.405559	B.2005.09.S1.405592	B.2005.10.S1.405573	B.2006.01.S1.405568	B.2006.02.S1.405606	B.2006.03.S1.405589	B.2006.04.S1.405572	B.2006.05.S1.405597	B.2006.06.S1.405542	B.2006.07.S1.405582	B.2006.08.S1.405615	B.2006.09.S1.405526	B.2008.01.S1.405595	B.2008.02.S1.405555	B.2008.03.S1.405528	B.2008.04.S1.405565	B.2008.05.S1.405541	B.2008.06.S1.405543	B.2008.07.S1.405599	B.2008.08.S1.405550	B.2008.09.S1.405553	B.2008.10.S1.405544	B.2009.01.S1.405540	B.2009.02.S1.405570	B.2009.03.S1.405564	B.2009.04.S1.405531	B.2009.05.S1.405596	B.2009.06.S1.405554	B.2009.07.S1.405524	B.2009.08.S1.405578	B.2009.09.S1.405547	B.2009.10.S1.405585	B.2011.01.S1.405525	B.2011.02.S1.405575	B.2011.03.S1.405538	B.2011.04.S1.405598	B.2011.05.S1.405539	B.2011.06.S1.405532	B.2011.07.S1.405534	B.2011.08.S1.405530	B.2011.09.S1.405577	B.2011.10.S1.405602	B.2012.01.S1.405593	B.2012.02.S1.405552	B.2012.03.S1.405546	B.2012.04.S1.405562	B.2012.05.S1.405616	B.2012.06.S1.405601	B.2012.07.S1.405580	B.2012.08.S1.405556	B.2012.09.S1.405527	B.2012.10.S1.405569	B.2016.01.S1.405584	B.2016.02.S1.405600	B.2016.03.S1.405618	B.2016.04.S1.405579	B.2016.05.S1.405583	B.2016.06.S1.405581	B.2016.07.S1.405551	B.2016.08.S1.405590	B.2019.01.S1.405535	B.2019.02.S1.405607	B.2019.03.S1.405560	B.2019.04.S1.405614	B.2019.05.S1.405612	B.2019.06.S1.405608	B.2019.07.S1.405558	B.2019.08.S1.405613	B.2019.09.S1.405605	B.2019.10.S1.405561	B.2020.01.S1.405576	B.2020.02.S1.405548	B.2020.03.S1.405571	B.2020.04.S1.405587	B.2020.05.S1.405574	B.2020.06.S1.405557	B.2020.07.S1.405566	B.2020.08.S1.405603	B.2020.09.S1.405594	B.2020.10.S1.405617
B.2004.01.S1.405609	0.0	0.633269720102	0.695874822191	0.558171533405	0.597259837502	0.669320269443	0.675221799747	0.671889990406	0.801793298726	0.845486668808	0.84258778758	0.832279944504	0.828848698721	0.86542991755	0.843973839925	0.848739495798	0.840718933994	0.897345132743	0.880662445202	0.90638990639	0.843807040417	0.888820106475	0.878475518785	0.843688501546	0.875888067276	0.887036781926	0.841197700842	0.89680453728	0.88638390014	0.910185873606	0.907390451275	0.8729519977	0.915671531771	0.912111468382	0.921013412817	0.923041117145	0.933126202101	0.902767608727	0.892901618929	0.921848348581	0.937360178971	0.925994165515	0.866258607498	0.856093979442	0.880908326325	0.909493024838	0.85917333769	0.898309899162	0.946968650739	0.877828723562	0.87615723175	0.936986710467	0.924435028249	0.863983777882	0.867247334435	0.934503614102	0.877781164279	0.812578222778	0.84285061672	0.889583030655	0.903958468527	0.838438438438	0.871382636656	0.856075373619	0.877819268111	0.86985472155	0.893545426736	0.90644820296	0.848797250859	0.848955392434	0.830473218929	0.915753334214	0.883058853568	0.829599798641	0.822345944578	0.812871972318	0.823619418556	0.785180758889	0.760441738638	0.778380823157	0.849693759311	0.746230007616	0.719076241696	0.730487208734	0.787317073171	0.938974776241	0.962150085425	0.936143397283	0.959496600608	0.972618049735	0.934127334216	0.962352209085	0.95982078335	0.938309326349	0.961871750433
B.2004.02.S1.405533	0.633269720102	0.0	0.563218390805	0.368567454798	0.338811019816	0.362426493346	0.349567446331	0.341849935317	0.754731986639	0.75860948668	0.717037296445	0.73476702509	0.737037587283	0.759595358524	0.752204030227	0.735289214869	0.755012531328	0.881204231082	0.841070989929	0.893713189974	0.783947368421	0.875359060822	0.883883335616	0.794151050539	0.879888677311	0.899012380025	0.815679395493	0.832099455231	0.83292635908	0.906536438768	0.90204620462	0.831881533101	0.911514970952	0.908063767219	0.921084337349	0.912784313725	0.9267454029	0.919810622873	0.919735599622	0.915347233109	0.929864253394	0.915877696725	0.808816705336	0.758706057105	0.891404255319	0.886019283747	0.762353330028	0.88351742935	0.912146144192	0.755193543566	0.779107225035	0.875056586691	0.855202002145	0.748935499133	0.759902868417	0.881651512893	0.760628465804	0.772540335337	0.854086501462	0.879641861148	0.888414834263	0.761760242792	0.866341463415	0.862964180085	0.879547169811	0.862343224228	0.889301175015	0.895972259269	0.875667022412	0.886797832906	0.775649435844	0.876849260296	0.870410923612	0.784916201117	0.778118217797	0.784206848358	0.797724399494	0.761171497585	0.760331760332	0.833307938443	0.83687824485	0.725635103926	0.731925783749	0.729025877699	0.732565789474	0.875136911281	0.955697042048	0.866214113987	0.951775537045	0.96190744921	0.860941910563	0.947467757156	0.950357716455	0.865647508452	0.951250597419
B.2004.03.S1.405563	0.695874822191	0.563218390805	0.0	0.530015250243	0.593898402648	0.590227651305	0.626575028637	0.61189719896	0.861431213544	0.88141490287	0.851541918488	0.844112306188	0.843704001071	0.865219721329	0.849168311249	0.860554813826	0.866404715128	0.650646144911	0.908599729851	0.727962203158	0.872452649245	0.712652874614	0.708638906153	0.890059080401	0.729158409301	0.896860421132	0.89795167423	0.890393621061	0.888067581837	0.77206975801	0.77756402549	0.886500655308	0.773574782025	0.763987227544	0.783256570035	0.794857383729	0.849818328623	0.754432742301	0.709695603157	0.726723774751	0.900432900433	0.729714683368	0.905092271403	0.884722834877	0.733413933807	0.894351145038	0.875460032386	0.882795280695	0.904208264881	0.863043185793	0.852637377772	0.697109512824	0.870580808081	0.837639418326	0.843950347838	0.734800697893	0.848493226431	0.861551528879	0.717640558088	0.72362673726	0.840842598011	0.869339879978	0.709808473593	0.722905682484	0.844984389847	0.735989010989	0.856865464632	0.762378640777	0.745812090313	0.815884476534	0.882113821138	0.902728926622	0.781069958848	0.88906938965	0.882682215743	0.851589211093	0.863885001908	0.843605756177	0.838655462185	0.687063655031	0.840011917176	0.817327621943	0.812410637689	0.827581142605	0.827909703899	0.939100174	0.790363482671	0.931140407014	0.775609756098	0.78748403576	0.93095142513	0.764225352113	0.776314056119	0.927104042412	0.770052714062
B.2004.04.S1.405549	0.558171533405	0.368567454798	0.530015250243	0.0	0.366253869969	0.396276991809	0.410623556582	0.422401739941	0.726605504587	0.741613356218	0.683769282361	0.709145427286	0.711053837342	0.741362007168	0.714761544285	0.714971209213	0.730299834262	0.873397936855	0.796545562835	0.883240667196	0.74200942315	0.853268765133	0.853096876654	0.74208578868	0.85395480226	0.864015049718	0.761743215031	0.81597409606	0.816778690565	0.902431962942	0.894225855902	0.81375157541	0.903818547229	0.901102174561	0.915566516756	0.904948702474	0.92192451743	0.917569880205	0.907370970183	0.910132689988	0.922372302438	0.91009557945	0.775528431081	0.726235741445	0.892950391645	0.888137271077	0.722081218274	0.874861572536	0.907596982759	0.737903225806	0.755463673952	0.869186046512	0.854626304088	0.739460115256	0.750365390237	0.877046825625	0.752409191994	0.757566539924	0.848888888889	0.872346447778	0.883409484796	0.754785912611	0.859440887084	0.859914813062	0.87467287002	0.857163893388	0.884540990924	0.88827248097	0.865789134082	0.877253337003	0.762793650794	0.87287261475	0.862774451098	0.767007011933	0.752906257729	0.758909287257	0.765599565925	0.735640540934	0.7336461496	0.81220657277	0.816838046272	0.714878482513	0.706379707917	0.714240506329	0.723669666825	0.852851660712	0.946611909651	0.841343528127	0.943348365276	0.956954093448	0.836483390607	0.941309937982	0.941424950718	0.83843537415	0.950382848392
B.2004.05.S1.405536	0.597259837502	0.338811019816	0.593898402648	0.366253869969	0.0	0.337467059371	0.357406515808	0.349100923376	0.726896112173	0.744182262002	0.706666666667	0.718701217608	0.717261904762	0.755029056772	0.719602586343	0.722778891116	0.737643182175	0.871535702641	0.824129873324	0.895198902606	0.773356173409	0.879939969985	0.873011519473	0.774776055737	0.8720657277	0.88994148788	0.794864864865	0.82428651371	0.823680823681	0.905779650813	0.896879957694	0.82405118511	0.909877648463	0.902325581395	0.920953386634	0.917661847894	0.928721174004	0.910491997629	0.902569761942	0.904522613065	0.917759430144	0.904539800995	0.798884412767	0.733465608466	0.887107776262	0.883387959289	0.733443708609	0.886206896552	0.917318435754	0.761077844311	0.802397049785	0.894800483676	0.884649829841	0.793680884676	0.798418972332	0.891310839056	0.794167566734	0.745523688797	0.847363552266	0.870332255219	0.879664639158	0.753457972336	0.857305750122	0.852510288066	0.873601451467	0.858434196415	0.882298280935	0.890209696808	0.868804275217	0.880336998429	0.7684929707	0.883876134544	0.870227038184	0.77139224412	0.7660444899	0.775195968645	0.775745638717	0.749886587026	0.749928387282	0.820512820513	0.845973154362	0.741209130167	0.73561929178	0.718626155878	0.732410611303	0.871109282874	0.946865037194	0.854674220963	0.949648711944	0.958456973294	0.852678571429	0.946746494407	0.947060544019	0.856007067138	0.952760932014
B.2004.06.S1.405567	0.669320269443	0.362426493346	0.590227651305	0.396276991809	0.337467059371	0.0	0.312056737589	0.298070939639	0.743071505129	0.7459375	0.715197313182	0.715057799129	0.699498207885	0.722078667815	0.708308065494	0.695979497037	0.718165359083	0.88605415558	0.792511328404	0.884161696488	0.742223355431	0.86983395952	0.873592155824	0.754116355653	0.866496959412	0.882685322212	0.765904637492	0.787383493178	0.787912772586	0.895057254675	0.888221000128	0.790241166573	0.89823199655	0.889932885906	0.911969785009	0.903912977791	0.918649935093	0.926317292589	0.918157017278	0.916050128341	0.926616915423	0.915956333184	0.774332985542	0.705854355069	0.898022552705	0.877395902181	0.706115965052	0.86832986833	0.907215104518	0.739870223504	0.793878456306	0.882404307961	0.860568687907	0.76886864085	0.761159080931	0.882928232418	0.776722090261	0.754797441365	0.851950749147	0.872467053989	0.881981697696	0.763827919227	0.868939630904	0.869510268562	0.880331926045	0.866116189914	0.887663885578	0.874967708602	0.875710594315	0.887847891981	0.759979659293	0.872724925778	0.863619333084	0.739162561576	0.73505014238	0.758075415597	0.776178188238	0.739953407105	0.734143982313	0.836932569414	0.829444891392	0.736459415344	0.737376847291	0.722706385676	0.716002530044	0.835983041865	0.944494410896	0.821462747779	0.938478905037	0.946808510638	0.815627240143	0.936988791275	0.935429296489	0.812970058181	0.942340131882
B.2004.07.S1.405529	0.675221799747	0.349567446331	0.626575028637	0.410623556582	0.357406515808	0.312056737589	0.0	0.252899484536	0.729678339407	0.734951456311	0.70706190061	0.723645396678	0.711621021466	0.742662318411	0.721769134253	0.709447119376	0.734394506866	0.889447236181	0.792554494244	0.895699658703	0.742130115425	0.878221890176	0.873618124744	0.755517826825	0.877974018391	0.892416470262	0.77646267653	0.794514826674	0.80064061499	0.898487797574	0.891038294512	0.795138888889	0.9091583791	0.901619121049	0.915666266507	0.903734958587	0.921942499628	0.920389208315	0.902790843525	0.911603935655	0.920154539601	0.914025050255	0.771613499769	0.71888870623	0.899304966944	0.890946502058	0.707654320988	0.881343817012	0.909103544128	0.7617274758	0.814458199603	0.894752668772	0.876824492702	0.783189316575	0.788900650234	0.897222634784	0.797114794352	0.744090765837	0.857997239687	0.881234459558	0.889179470415	0.757484124584	0.875931324911	0.869394435352	0.890209053993	0.868637610485	0.891866913124	0.881680404148	0.867287234043	0.882068769537	0.760136018833	0.871130596519	0.865930396815	0.756962025316	0.748759068347	0.748990110043	0.772644547109	0.734657039711	0.721248396751	0.830271747381	0.831526271893	0.729406350667	0.737412364563	0.710064028895	0.714285714286	0.843613537118	0.946582044162	0.829175475687	0.946410368429	0.959223847019	0.822057735011	0.944531494829	0.940928270042	0.824813241541	0.949849230281
B.2004.08.S1.405610	0.671889990406	0.341849935317	0.61189719896	0.422401739941	0.349100923376	0.298070939639	0.252899484536	0.0	0.732288501519	0.737014047697	0.70688744055	0.712987623375	0.705241152755	0.727272727273	0.715416270972	0.698239731769	0.728188976378	0.878579610538	0.8105574741	0.892390257328	0.757071107587	0.877837702245	0.878662814693	0.766904422254	0.875754453113	0.896575821104	0.783651891013	0.796771929825	0.800697044017	0.89306751246	0.886221986474	0.794280711993	0.89818835155	0.892329236035	0.90493490766	0.899384955054	0.916153268219	0.916728624535	0.904113924051	0.905437352246	0.92070198245	0.912310812919	0.771108692272	0.715518672199	0.894196199281	0.890543817111	0.707495429616	0.874297246648	0.908645088973	0.745531019979	0.801696222051	0.886546337024	0.871582733813	0.770096717932	0.773913043478	0.889737827715	0.773304428616	0.751908396947	0.843725823921	0.866056940552	0.880858085809	0.751677852349	0.859712230216	0.857237276933	0.87164314975	0.858548585486	0.881877525645	0.882368703108	0.868935942107	0.88452722063	0.760938323669	0.877091980185	0.864924311036	0.758224942617	0.755096807283	0.763516360062	0.780945659845	0.744764795144	0.731283230349	0.826926022362	0.829543540509	0.731620492184	0.724670311997	0.712249295541	0.714521998015	0.841265474553	0.94510326449	0.827483302544	0.942722866794	0.948681599093	0.820815290429	0.938962681847	0.939838591343	0.819766582952	0.942976133269
B.2005.01.S1.405588	0.801793298726	0.754731986639	0.861431213544	0.726605504587	0.726896112173	0.743071505129	0.729678339407	0.732288501519	0.0	0.28578313253	0.403114186851	0.383903792784	0.297352941176	0.431895155353	0.402896745055	0.399143045485	0.395939872927	0.73640167364	0.736694677871	0.937856173677	0.723823184248	0.929668152551	0.925935973956	0.721355265008	0.945765661253	0.938550564894	0.742513368984	0.612340896514	0.68127388535	0.850684116597	0.844060701204	0.688371424465	0.869654969036	0.864624808576	0.844686242361	0.891682184978	0.906481207458	0.671646162859	0.823135606414	0.772642679901	0.656384848969	0.690724815725	0.45423936333	0.504895561358	0.623149394347	0.88157223073	0.51862745098	0.902272727273	0.930939226519	0.754437869822	0.856102003643	0.917562724014	0.925481193714	0.835257410296	0.860618804446	0.926822071407	0.846974546563	0.655765920826	0.83186110265	0.865736704446	0.885445399968	0.690644240877	0.853031033928	0.844354183591	0.889453241709	0.877100045406	0.895670797002	0.914893617021	0.857237276933	0.874911760553	0.802886490703	0.908346539884	0.889172625128	0.729641283826	0.731966590737	0.696290143965	0.697829716194	0.674585387719	0.67233078448	0.840168878166	0.911920529801	0.747105423522	0.757949691505	0.730443285528	0.732964709709	0.744744337447	0.936645636172	0.722408963585	0.934895833333	0.949420148107	0.735588235294	0.94211918469	0.932350390286	0.713329452852	0.954301922471
B.2005.02.S1.405604	0.845486668808	0.75860948668	0.88141490287	0.741613356218	0.744182262002	0.7459375	0.734951456311	0.737014047697	0.28578313253	0.0	0.425739068862	0.424075531078	0.326135852452	0.368768768769	0.426073131955	0.396328111841	0.378044922493	0.693243465395	0.757425742574	0.924575217571	0.709206686124	0.908370044053	0.909957188234	0.706387854483	0.924907612712	0.916374351059	0.715335419785	0.663801606313	0.731053245239	0.866828454421	0.858378810063	0.728977439203	0.884227935649	0.882481637756	0.852538765582	0.903373990179	0.9133846386	0.681947140511	0.881118881119	0.771093873674	0.62226575253	0.699733584078	0.473684210526	0.524095381024	0.625666609324	0.869474416986	0.549507430289	0.890577507599	0.904627936419	0.728164127319	0.844819575654	0.91226199543	0.912870571222	0.827361044752	0.84679025586	0.918760343012	0.811508553655	0.693610223642	0.863247863248	0.877351503481	0.884615384615	0.691482843137	0.856767411301	0.873505976096	0.885722992534	0.87523162446	0.895098345301	0.916890801506	0.903416733925	0.91168009206	0.837301587302	0.913452492944	0.91663420335	0.797030970054	0.788958949942	0.740025377132	0.72849652827	0.720816824139	0.727312076179	0.880633748654	0.898121509562	0.777397792632	0.78901453958	0.761865112406	0.742439348621	0.772714719691	0.941152868798	0.760022827793	0.939536941454	0.952746939937	0.765781976308	0.947268106734	0.937232945337	0.757009345794	0.95494770716
