	B.2004.01.S1.405609	B.2004.02.S1.405533	B.2004.03.S1.405563	B.2004.04.S1.405549	B.2004.05.S1.405536	B.2004.06.S1.405567	B.2004.07.S1.405529	B.2004.08.S1.405610	B.2005.01.S1.405588	B.2005.02.S1.405604	B.2005.03.S1.405591	B.2005.04.S1.405545	B.2005.05.S1.405611	B.2005.06.S1.405537	B.2005.07.S1.405586	B.2005.08.S1.405559	B.2005.09.S1.405592	B.2005.10.S1.405573	B.2006.01.S1.405568	B.2006.02.S1.405606	B.2006.03.S1.405589	B.2006.04.S1.405572	B.2006.05.S1.405597	B.2006.06.S1.405542	B.2006.07.S1.405582	B.2006.08.S1.405615	B.2006.09.S1.405526	B.2008.01.S1.405595	B.2008.02.S1.405555	B.2008.03.S1.405528	B.2008.04.S1.405565	B.2008.05.S1.405541	B.2008.06.S1.405543	B.2008.07.S1.405599	B.2008.08.S1.405550	B.2008.09.S1.405553	B.2008.10.S1.405544	B.2009.01.S1.405540	B.2009.02.S1.405570	B.2009.03.S1.405564	B.2009.04.S1.405531	B.2009.05.S1.405596	B.2009.06.S1.405554	B.2009.07.S1.405524	B.2009.08.S1.405578	B.2009.09.S1.405547	B.2009.10.S1.405585	B.2011.01.S1.405525	B.2011.02.S1.405575	B.2011.03.S1.405538	B.2011.04.S1.405598	B.2011.05.S1.405539	B.2011.06.S1.405532	B.2011.07.S1.405534	B.2011.08.S1.405530	B.2011.09.S1.405577	B.2011.10.S1.405602	B.2012.01.S1.405593	B.2012.02.S1.405552	B.2012.03.S1.405546	B.2012.04.S1.405562	B.2012.05.S1.405616	B.2012.06.S1.405601	B.2012.07.S1.405580	B.2012.08.S1.405556	B.2012.09.S1.405527	B.2012.10.S1.405569	B.2016.01.S1.405584	B.2016.02.S1.405600	B.2016.03.S1.405618	B.2016.04.S1.405579	B.2016.05.S1.405583	B.2016.06.S1.405581	B.2016.07.S1.405551	B.2016.08.S1.405590	B.2019.01.S1.405535	B.2019.02.S1.405607	B.2019.03.S1.405560	B.2019.04.S1.405614	B.2019.05.S1.405612	B.2019.06.S1.405608	B.2019.07.S1.405558	B.2019.08.S1.405613	B.2019.09.S1.405605	B.2019.10.S1.405561	B.2020.01.S1.405576	B.2020.02.S1.405548	B.2020.03.S1.405571	B.2020.04.S1.405587	B.2020.05.S1.405574	B.2020.06.S1.405557	B.2020.07.S1.405566	B.2020.08.S1.405603	B.2020.09.S1.405594	B.2020.10.S1.405617
B.2004.01.S1.405609	0.0	0.520063718108	0.525945828391	0.499412537602	0.540593571029	0.5443768389	0.557263390854	0.558118177096	0.717715502389	0.724652852218	0.759073980862	0.712578248279	0.725289497637	0.715276902867	0.699619986919	0.7305692619	0.724226508177	0.722929852211	0.656303105	0.655438535182	0.643997684755	0.646414962412	0.646268194055	0.635714661909	0.6594520669	0.659122677187	0.66679224503	0.742577429802	0.714876654633	0.737817882174	0.74336930328	0.730836301439	0.732397419254	0.746250062149	0.731547730522	0.761250501297	0.76594380606	0.740726898673	0.797897775929	0.762996599685	0.737405764694	0.770059592635	0.717663784395	0.704663007509	0.719722285864	0.729802468726	0.743143163986	0.681177462736	0.70859965923	0.671357898502	0.676535163996	0.718845004964	0.710135684015	0.667981829537	0.662041634082	0.703824739369	0.694764347602	0.705635901566	0.703342670478	0.734270623439	0.750451954605	0.705037156194	0.705184945049	0.712014756924	0.710136150435	0.728526223026	0.737611438024	0.741497227314	0.729728077308	0.705842165555	0.699733819762	0.714256538313	0.727633030655	0.699782366395	0.695558593944	0.665753111376	0.699092560366	0.700675204169	0.674509335408	0.679397203808	0.694671136664	0.646439289453	0.666286789743	0.656052584617	0.669456081033	0.773958582579	0.794507275486	0.765527023665	0.785433733254	0.822688490425	0.778377126946	0.79257519039	0.78699696189	0.79143363819	0.797404343139
B.2004.02.S1.405533	0.520063718108	0.0	0.460894897985	0.458439659135	0.457602072436	0.44324977879	0.476728350163	0.464805789769	0.699619890685	0.715066257068	0.704501014762	0.694435670028	0.708338928934	0.673792649467	0.683599864143	0.720659198176	0.69352973564	0.709192936007	0.64494305352	0.645443296093	0.639587300209	0.641379477017	0.640787387136	0.632706999097	0.646578771987	0.659805442695	0.673428877488	0.705866874794	0.69927948701	0.709837640418	0.71429294067	0.69742602869	0.70137305922	0.70085700468	0.694245737883	0.719665075256	0.720124828665	0.701662806767	0.751363457746	0.721483487838	0.735574470798	0.720154263356	0.699613010387	0.664289793238	0.725074618724	0.706477118044	0.695450448169	0.631644262254	0.671552386239	0.629336533512	0.654007337494	0.666223200462	0.663327078556	0.629365118173	0.614414638249	0.630300839282	0.628446003012	0.709341602206	0.695050109024	0.706887897189	0.712601627237	0.680207553213	0.685189838737	0.690587965726	0.682264602518	0.708395011555	0.694945525136	0.717531957491	0.694279209269	0.694346249294	0.660978939475	0.669319916671	0.674849973987	0.673681105789	0.66063762294	0.631147594596	0.650264558245	0.636513819335	0.629978210645	0.626748316543	0.668530140005	0.619447465395	0.622818422712	0.633538511725	0.626946988193	0.742116431409	0.76041434381	0.75649059897	0.774470239408	0.786967857858	0.757314284537	0.766601424484	0.764871737885	0.757232116037	0.779232495709
B.2004.03.S1.405563	0.525945828391	0.460894897985	0.0	0.452862112016	0.469323360424	0.4712718248	0.495155176813	0.487243290126	0.700246116475	0.694105037362	0.704441742165	0.667585059422	0.686296939312	0.67165227082	0.673915045439	0.700038044205	0.692461382876	0.675242801725	0.648946641832	0.642186787228	0.616480038694	0.625425554026	0.618360216889	0.624265076121	0.625214225983	0.644513087619	0.669384182063	0.706426123386	0.678909637385	0.696719412931	0.698091887067	0.693979264886	0.686304048435	0.695596633858	0.692531106592	0.710622835647	0.710337402653	0.697671260859	0.742085402074	0.72453924813	0.708082523286	0.70791856819	0.69261890593	0.66622730178	0.686451023709	0.703324721332	0.690188328574	0.633070861606	0.66893257696	0.640306034686	0.648936965663	0.642417519676	0.661556136897	0.637889630781	0.619948161398	0.618963591539	0.639694800077	0.691012146866	0.673828649329	0.684325711338	0.693293286392	0.680335251704	0.674670601258	0.676591363418	0.679896993014	0.70980551024	0.690845870331	0.686988933653	0.680900889237	0.678015022922	0.661089756137	0.643961745095	0.660631776123	0.666111771598	0.669736109471	0.636431405465	0.655551928892	0.648585157914	0.628821896459	0.607545603702	0.644515894923	0.637706611256	0.633751286228	0.626572078191	0.620449277856	0.742716089458	0.749471758208	0.737234372375	0.766362745902	0.772466783335	0.738767468304	0.763422642162	0.73838868354	0.747649608821	0.761197678013
B.2004.04.S1.405549	0.499412537602	0.458439659135	0.452862112016	0.0	0.440731625969	0.461916504111	0.458255709369	0.46522434626	0.716651549665	0.713320951677	0.717348107715	0.70211966574	0.699583628338	0.692481021227	0.686510607539	0.71922283302	0.706532479781	0.712734370409	0.651207617269	0.643507778638	0.624805730714	0.619367071503	0.632469429108	0.622706044297	0.635937815152	0.644805993525	0.660282427774	0.732182023179	0.70781238722	0.726827544716	0.718759846573	0.713539543339	0.704241059987	0.733783599497	0.712080349711	0.729233406958	0.733603298653	0.714893895225	0.759947350026	0.733415184674	0.716911514657	0.723708441518	0.680049682032	0.660403966819	0.7042431242	0.705562308518	0.690820569941	0.653800533248	0.672746157546	0.618969128629	0.624027188867	0.668473734555	0.656612670636	0.617721829435	0.608641896152	0.645520103779	0.631208524173	0.701474736932	0.693613235374	0.724269797766	0.732176508225	0.693713553504	0.702073354102	0.706795379247	0.701256383123	0.708625669817	0.710353463181	0.722546388372	0.703324288969	0.695392369447	0.672127583465	0.670264035197	0.686209786135	0.666980657117	0.66231296934	0.635555575652	0.63972146448	0.645250402067	0.6271488765	0.623590862717	0.652851536696	0.622647021066	0.621717354186	0.61678351679	0.621055905057	0.752530255451	0.770773513679	0.748419825115	0.774903734091	0.801203340369	0.760173805112	0.779874772599	0.758130269726	0.772422295021	0.778542335729
B.2004.05.S1.405536	0.540593571029	0.457602072436	0.469323360424	0.440731625969	0.0	0.471594134057	0.464856679671	0.481620781352	0.690507639205	0.685821393098	0.701722034152	0.678000022495	0.680094574727	0.670740642051	0.660109878651	0.70718485701	0.698745791954	0.679389405914	0.663811173973	0.651489450383	0.647850185439	0.647911697573	0.653802721044	0.626313092988	0.652975760475	0.664703348612	0.670706922391	0.689547952325	0.677776478671	0.699859503108	0.694196884094	0.68889777309	0.68733855961	0.697060296815	0.690644235586	0.714434961189	0.722916596891	0.690035151519	0.736863218821	0.704936681204	0.682643044973	0.689492769394	0.674718857027	0.645029264806	0.685588348966	0.683178958389	0.666469623492	0.651791061634	0.682173242417	0.63807545731	0.642906008167	0.665810492879	0.667285574355	0.646161190963	0.62547103247	0.63507580622	0.637939705447	0.688600317968	0.688724848647	0.688042280458	0.714657957221	0.66775694641	0.680575044028	0.695858200143	0.678661581406	0.706703434245	0.690312570025	0.698386958764	0.693949234005	0.686649489118	0.659295349893	0.665688251658	0.671118408901	0.65933709283	0.650511191513	0.625354672265	0.628312619161	0.636792689825	0.624773565126	0.614174917365	0.661474487266	0.625041648341	0.62033217756	0.617056648718	0.608139851092	0.728141438059	0.745844907495	0.725541049036	0.760079642243	0.77134557306	0.728058282447	0.744500777037	0.738789730454	0.734774574218	0.752986893615
B.2004.06.S1.405567	0.5443768389	0.44324977879	0.4712718248	0.461916504111	0.471594134057	0.0	0.464181987052	0.454708489006	0.702100817762	0.73058379956	0.710977301164	0.696506225364	0.701544263	0.685874147531	0.689387595808	0.70464656679	0.691981422216	0.703755058503	0.645894796395	0.638846680659	0.637461641847	0.64077964551	0.644129114922	0.633690636382	0.631183591892	0.655980181319	0.666016733267	0.719546411903	0.695479139354	0.717589579651	0.707680443606	0.69348431757	0.694037457422	0.705838271547	0.702558379634	0.728600432964	0.718612946086	0.711538583281	0.759915838783	0.724008926045	0.732311869838	0.722962521676	0.686236904404	0.667359054304	0.711456658425	0.703569761961	0.69779928202	0.632770444595	0.660136424279	0.63353824114	0.64643766749	0.655484829086	0.662120474858	0.633320033122	0.595394848593	0.644290122091	0.634662844481	0.710743389017	0.689095350716	0.707261705855	0.728216804096	0.683540581813	0.680103717049	0.700191008691	0.682131131161	0.715865979737	0.702438938051	0.721179235709	0.697495228874	0.675357362904	0.655148424221	0.667267841226	0.669793826495	0.657563789488	0.637221232949	0.628571495639	0.650585241435	0.632226637003	0.605676143019	0.631608700582	0.652259635297	0.603815575262	0.631009991348	0.616734483806	0.629909006054	0.754235953476	0.765567908282	0.750250738049	0.774884121329	0.777666661912	0.757457675329	0.767679625334	0.754518453936	0.751402617874	0.776838013369
B.2004.07.S1.405529	0.557263390854	0.476728350163	0.495155176813	0.458255709369	0.464856679671	0.464181987052	0.0	0.467453774681	0.690124440978	0.716453920896	0.706307322418	0.691752975135	0.699349970181	0.695678104543	0.684360764053	0.709458179921	0.705611281682	0.683949752687	0.645503548971	0.666556163642	0.641658167403	0.639298280701	0.650570609965	0.6642285236	0.64781838672	0.667560204058	0.688906623007	0.693697008806	0.697137399129	0.71885585606	0.711440514701	0.700315272233	0.702346511904	0.711683168513	0.693842940377	0.70705648653	0.717916736664	0.694578388514	0.73540168967	0.726816901408	0.718878290718	0.710355119124	0.679268257253	0.653812662496	0.720219121277	0.704900644962	0.684600596347	0.651543808334	0.664300639036	0.636877780861	0.64977390673	0.670706156327	0.653654657106	0.642613951688	0.622073066323	0.653017360974	0.65202760591	0.695855523413	0.681902030098	0.704697429178	0.713704603682	0.678346931694	0.682021482756	0.690416474632	0.699628400139	0.695802949013	0.696855060915	0.712251449536	0.683907060818	0.687561298005	0.661306231128	0.672432122695	0.67038221811	0.662649278178	0.668389119605	0.641652692801	0.653300169978	0.638825025625	0.627163207046	0.637534589878	0.664705462538	0.644659818489	0.648125472492	0.625662988819	0.624595515337	0.76550974612	0.764729318808	0.760817276458	0.772374695025	0.785516241203	0.768646736097	0.780286635349	0.761038103527	0.763530651683	0.77481366744
B.2004.08.S1.405610	0.558118177096	0.464805789769	0.487243290126	0.46522434626	0.481620781352	0.454708489006	0.467453774681	0.0	0.702360992915	0.713492335721	0.693986551546	0.682361977448	0.684133546241	0.66617100232	0.669809830462	0.702003217371	0.687157159858	0.690105901305	0.658550456953	0.664864479026	0.648694496964	0.63584283158	0.664541404225	0.650191193577	0.644443580038	0.679464989709	0.678542696996	0.709129209169	0.69589830449	0.7080206834	0.699326241286	0.68457986003	0.687379671936	0.698835904891	0.694136041705	0.717012158854	0.709089406047	0.700736504395	0.73977979734	0.718727481542	0.728686560335	0.713651714834	0.671959012416	0.640887409872	0.705517424962	0.699090410767	0.682060703502	0.643534407871	0.646047376865	0.620558355311	0.646889868524	0.657218541906	0.658141683792	0.625007217941	0.59861147332	0.61833665874	0.607489172679	0.700129079091	0.676549089675	0.699908213275	0.709924292805	0.662123208306	0.684482438434	0.693643940131	0.67515419145	0.706619894597	0.688643391294	0.708113551828	0.688795543848	0.687124019579	0.667076359952	0.651431270503	0.665412371478	0.647375602673	0.650855868208	0.645661513508	0.654515261974	0.65553938073	0.625071423437	0.631684208688	0.662234185324	0.619240632926	0.628862933689	0.623616032784	0.627896305292	0.740231943204	0.757646534547	0.741530661935	0.766738631463	0.772258345818	0.737801242275	0.766285893601	0.742959699828	0.74704679337	0.774975613002
B.2005.01.S1.405588	0.717715502389	0.699619890685	0.700246116475	0.716651549665	0.690507639205	0.702100817762	0.690124440978	0.702360992915	0.0	0.470911291147	0.510802731489	0.512917489325	0.488116558712	0.556810023367	0.528635637448	0.561900416283	0.542056734015	0.486293889576	0.686989686591	0.732177929525	0.722760020141	0.728004130561	0.716917990976	0.727515378792	0.743853664706	0.735755200194	0.757425234139	0.607698206243	0.625493935524	0.63448687545	0.63238957131	0.607002226298	0.626648589326	0.63967608663	0.611342375788	0.657316426254	0.672341644242	0.573101803253	0.622976061499	0.598849015874	0.587807768432	0.61029323401	0.572535089954	0.602465025596	0.608494087895	0.646357281581	0.583920804352	0.678229243639	0.673205101871	0.682642080797	0.666607121086	0.66065259404	0.704740175918	0.691021678326	0.698120846383	0.677504634434	0.674715479886	0.614807483888	0.594497802881	0.599818982725	0.617533404823	0.594380443888	0.612580699693	0.640670741232	0.622424985064	0.635730792771	0.613998387625	0.664788661438	0.652166057905	0.688501958522	0.667031386315	0.68118717412	0.669990153423	0.642844023554	0.659917254638	0.653643639485	0.638484136134	0.639543966357	0.61644793983	0.65596092671	0.669718547522	0.661282766346	0.68133652389	0.632586949091	0.65219238396	0.685596196685	0.64095059519	0.675248979156	0.680802557796	0.71015055034	0.669354339493	0.670020985856	0.650077360218	0.676260381311	0.694537117024
B.2005.02.S1.405604	0.724652852218	0.715066257068	0.694105037362	0.713320951677	0.685821393098	0.73058379956	0.716453920896	0.713492335721	0.470911291147	0.0	0.472795621227	0.492413566599	0.460404958573	0.524187118044	0.500269441403	0.508552258932	0.509003198451	0.476482658598	0.666788495682	0.725940805478	0.711806454114	0.722094672722	0.723220057007	0.707853059149	0.729193067246	0.719629983314	0.733266519703	0.618415044031	0.647092220957	0.640537354712	0.645627445688	0.635662665204	0.634139436604	0.642169139172	0.64076975348	0.68895826068	0.683720463811	0.610670959745	0.646286922805	0.631828149381	0.580836456084	0.64343356477	0.605292645282	0.619627881534	0.616285602946	0.624723061679	0.589724590334	0.686474164369	0.691308456888	0.688006268172	0.681010621332	0.667497335377	0.708395965872	0.704383698217	0.687363015023	0.681816195429	0.684921687026	0.628127992292	0.623909436614	0.638752621092	0.644329230622	0.620519173337	0.656536755088	0.666416703238	0.65702277613	0.661676165724	0.648913506604	0.662752106291	0.657640663912	0.668855709749	0.676309239227	0.676045294145	0.678514870518	0.651604340319	0.66876211987	0.65955529646	0.657853274448	0.648157403397	0.658257781934	0.674229320908	0.68785980086	0.671261790771	0.666873829092	0.640870617399	0.660626095244	0.704979864597	0.684151351873	0.698457969971	0.717218474883	0.738597085912	0.690954354256	0.714714967086	0.681986311253	0.697020274017	0.719077886663
