	B.2004.01.S1.405609	B.2004.02.S1.405533	B.2004.03.S1.405563	B.2004.04.S1.405549	B.2004.05.S1.405536	B.2004.06.S1.405567	B.2004.07.S1.405529	B.2004.08.S1.405610	B.2005.01.S1.405588	B.2005.02.S1.405604	B.2005.03.S1.405591	B.2005.04.S1.405545	B.2005.05.S1.405611	B.2005.06.S1.405537	B.2005.07.S1.405586	B.2005.08.S1.405559	B.2005.09.S1.405592	B.2005.10.S1.405573	B.2006.01.S1.405568	B.2006.02.S1.405606	B.2006.03.S1.405589	B.2006.04.S1.405572	B.2006.05.S1.405597	B.2006.06.S1.405542	B.2006.07.S1.405582	B.2006.08.S1.405615	B.2006.09.S1.405526	B.2008.01.S1.405595	B.2008.02.S1.405555	B.2008.03.S1.405528	B.2008.04.S1.405565	B.2008.05.S1.405541	B.2008.06.S1.405543	B.2008.07.S1.405599	B.2008.08.S1.405550	B.2008.09.S1.405553	B.2008.10.S1.405544	B.2009.01.S1.405540	B.2009.02.S1.405570	B.2009.03.S1.405564	B.2009.04.S1.405531	B.2009.05.S1.405596	B.2009.06.S1.405554	B.2009.07.S1.405524	B.2009.08.S1.405578	B.2009.09.S1.405547	B.2009.10.S1.405585	B.2011.01.S1.405525	B.2011.02.S1.405575	B.2011.03.S1.405538	B.2011.04.S1.405598	B.2011.05.S1.405539	B.2011.06.S1.405532	B.2011.07.S1.405534	B.2011.08.S1.405530	B.2011.09.S1.405577	B.2011.10.S1.405602	B.2012.01.S1.405593	B.2012.02.S1.405552	B.2012.03.S1.405546	B.2012.04.S1.405562	B.2012.05.S1.405616	B.2012.06.S1.405601	B.2012.07.S1.405580	B.2012.08.S1.405556	B.2012.09.S1.405527	B.2012.10.S1.405569	B.2016.01.S1.405584	B.2016.02.S1.405600	B.2016.03.S1.405618	B.2016.04.S1.405579	B.2016.05.S1.405583	B.2016.06.S1.405581	B.2016.07.S1.405551	B.2016.08.S1.405590	B.2019.01.S1.405535	B.2019.02.S1.405607	B.2019.03.S1.405560	B.2019.04.S1.405614	B.2019.05.S1.405612	B.2019.06.S1.405608	B.2019.07.S1.405558	B.2019.08.S1.405613	B.2019.09.S1.405605	B.2019.10.S1.405561	B.2020.01.S1.405576	B.2020.02.S1.405548	B.2020.03.S1.405571	B.2020.04.S1.405587	B.2020.05.S1.405574	B.2020.06.S1.405557	B.2020.07.S1.405566	B.2020.08.S1.405603	B.2020.09.S1.405594	B.2020.10.S1.405617
B.2004.01.S1.405609	0.0	0.282744856425	0.345398255337	0.243300528549	0.330515437854	0.302996557734	0.427030558637	0.375959978204	0.630625007956	0.602945172687	0.600860562299	0.548268258035	0.574344767652	0.407312442379	0.570096865772	0.515206574709	0.498141741571	0.599980199726	0.621453718185	0.369109243751	0.352651713957	0.327670610236	0.352310929311	0.295019353808	0.309246421291	0.306315719566	0.289710934474	0.649924650575	0.574547736979	0.467775416964	0.471274031738	0.507753507684	0.504222394428	0.474575620201	0.581072720883	0.469448052009	0.489078791779	0.729118284382	0.867260490368	0.82192181725	0.752234163116	0.789763761985	0.664418530762	0.602229115883	0.590938807277	0.60262205947	0.685339493193	0.469370349015	0.345830414286	0.382604155411	0.393752898497	0.484834618731	0.313146384325	0.306816885226	0.287278612946	0.403072637006	0.303416569273	0.536810977496	0.49296107867	0.527760794968	0.498212925862	0.431681058697	0.411536915391	0.409682514525	0.337332905299	0.369458752953	0.473323341998	0.666908887018	0.539583407816	0.476239812608	0.513537050691	0.517248592087	0.531527267409	0.519686814299	0.482460463691	0.476189779131	0.600245141696	0.571862928426	0.474342096068	0.422857884795	0.358130503684	0.262908180096	0.223671050064	0.334839891963	0.348814786136	0.431199810259	0.717457843495	0.553546109963	0.615497052168	0.484896651028	0.465985756408	0.64898655197	0.667839570305	0.595154177528	0.501233138358
B.2004.02.S1.405533	0.282744856425	0.0	0.146753747183	0.108215931258	0.128143776187	0.0919067208197	0.194554899326	0.139683056735	0.484728014551	0.457878299799	0.448655421025	0.397723185627	0.426252391424	0.249603499801	0.425515890022	0.360073155194	0.359408612873	0.456395964362	0.482941266003	0.271551881793	0.248765594925	0.277428318729	0.273229449937	0.308156013673	0.341049744592	0.337793556493	0.323805382641	0.496474767224	0.428373719942	0.36392191141	0.343181926297	0.371936983085	0.36124948391	0.332710992375	0.449172944496	0.389395709864	0.452969637943	0.591671661442	0.725766829735	0.676123307178	0.607797504325	0.645486561701	0.524380689464	0.441008681543	0.449228926112	0.459238104123	0.536083334055	0.320004072019	0.271014990716	0.278485245202	0.324926447623	0.339299592595	0.304004911013	0.279522503188	0.254651936185	0.290634619736	0.262188763915	0.397479458001	0.353634518316	0.386109251442	0.352458666834	0.292393723566	0.281598047151	0.275966029848	0.342903282864	0.352828777714	0.392570490861	0.516349569002	0.40909728337	0.351784964091	0.367671805563	0.3677291178	0.374232255887	0.370882926857	0.338217113527	0.337971040955	0.465140829844	0.441499092676	0.352058719812	0.31218096613	0.244798393864	0.198888560996	0.204889158254	0.236242370528	0.228332693301	0.304074893132	0.575898323949	0.414516284813	0.471762290084	0.339855505969	0.319715817519	0.509633962248	0.527896619977	0.447738026527	0.357480560688
B.2004.03.S1.405563	0.345398255337	0.146753747183	0.0	0.152976674187	0.114203114008	0.135394648155	0.17256720269	0.125698688526	0.419689039308	0.385417166977	0.380307982171	0.331606740788	0.358162846296	0.204156593655	0.355333230034	0.295955704265	0.291016359884	0.36109449897	0.411516298482	0.253756214493	0.256379666607	0.256509396054	0.246799460732	0.326238853815	0.364326763159	0.355741054309	0.34760800522	0.424211461455	0.398329056844	0.322437111471	0.29499342913	0.299625302377	0.289947654193	0.26418044829	0.35703873406	0.348657601522	0.445658697364	0.497611220208	0.629510548616	0.58031330124	0.528598029752	0.549199244049	0.453537710598	0.367680056805	0.359639681906	0.385322570262	0.45875873	0.241366439699	0.281847962578	0.272577869396	0.350591127585	0.245363926095	0.353654618494	0.329227582939	0.306071620361	0.251081512169	0.312597339852	0.329258139658	0.270450127264	0.298031772491	0.275078610335	0.247592449703	0.201758001071	0.204397803012	0.382968746131	0.351750362113	0.366689023227	0.418810534265	0.31582302934	0.269280078749	0.296062055465	0.289309968304	0.302259296922	0.299256308926	0.267898285545	0.273670823171	0.395359525001	0.374569449412	0.286810786381	0.221105699959	0.176921214896	0.216761533235	0.248998532507	0.181670748258	0.184324339828	0.265193419393	0.481809993371	0.347027801168	0.379022622381	0.251878951856	0.252233207298	0.416472926584	0.434744148769	0.378477076918	0.264174782302
B.2004.04.S1.405549	0.243300528549	0.108215931258	0.152976674187	0.0	0.152187832564	0.108650056164	0.224765517462	0.179834597065	0.480150290153	0.452714389319	0.439820755916	0.391041537421	0.421998308186	0.24527873384	0.420608185625	0.354350426674	0.354668140292	0.44957004937	0.468814271983	0.237785378658	0.213357219086	0.231194642223	0.230524753798	0.253561696197	0.30098979861	0.293343578181	0.273949550868	0.483848255164	0.411740137371	0.337919946715	0.31839958091	0.361220442784	0.353788997337	0.325237847799	0.438856222428	0.361123401314	0.415095478528	0.584025613148	0.716962296284	0.666962233595	0.598440901956	0.637682668481	0.512185536865	0.430366266532	0.441863837492	0.455156209376	0.52323191966	0.313315220523	0.241920777305	0.245846556402	0.300223136523	0.326482067344	0.278909832663	0.245765303043	0.227869596841	0.262412473797	0.234289152677	0.390007960123	0.347455493336	0.379479095034	0.343882851466	0.284155175278	0.274323160549	0.271113117111	0.313220453528	0.319686386505	0.363303317784	0.503889134564	0.401876231688	0.339652690933	0.360444115284	0.359898912031	0.363858401389	0.360918677413	0.32599599747	0.330438089617	0.455387129667	0.433483189782	0.342534944008	0.30335951853	0.235424962039	0.162336036367	0.167908115693	0.227686416797	0.221698228526	0.287319705201	0.563319677487	0.404217268852	0.461160564453	0.330609032131	0.306751260648	0.499576520455	0.517506599175	0.435511164728	0.347323874165
B.2004.05.S1.405536	0.330515437854	0.128143776187	0.114203114008	0.152187832564	0.0	0.130930053186	0.157470555056	0.106549806689	0.437706015513	0.408346519129	0.394887283748	0.347602863744	0.376142787729	0.22555545759	0.374447261941	0.312503545536	0.309334393821	0.407591219768	0.438713972367	0.310871530424	0.287838469665	0.323354297526	0.308419663792	0.344648673731	0.394079021069	0.383952593232	0.36483379102	0.448893170911	0.427929522728	0.373838137484	0.348220774039	0.324877815375	0.340701173923	0.315134857332	0.403187670871	0.400730404565	0.46886304816	0.54565211766	0.674726803153	0.628289380494	0.558657212944	0.598471549964	0.476666804773	0.388051547964	0.406449640068	0.415095135861	0.480732810747	0.27621234155	0.306062532291	0.286553591536	0.338329031855	0.281737998791	0.369070385901	0.335411820747	0.323562909569	0.301900733102	0.325211556996	0.345844854893	0.308342325143	0.336805184136	0.303921684643	0.274957340252	0.246508788703	0.233681265182	0.391488607658	0.387278318125	0.405049410294	0.460236847151	0.360485516218	0.292796479869	0.320258071148	0.318187676928	0.325612616711	0.320064495607	0.28479740438	0.295920506474	0.416251318081	0.39639093547	0.308048602223	0.266543110537	0.21722751716	0.244768714997	0.257253349531	0.211640276378	0.217434912233	0.272068899602	0.527044807949	0.367347538993	0.42631220858	0.307342803801	0.274501673562	0.465712132313	0.48173563683	0.401863779631	0.315510482017
B.2004.06.S1.405567	0.302996557734	0.0919067208197	0.135394648155	0.108650056164	0.130930053186	0.0	0.177223241408	0.124278317252	0.479719777982	0.442416359572	0.433696276433	0.382380950194	0.408658659643	0.223404652544	0.406320275675	0.33916428522	0.341320470887	0.443494104754	0.463107561456	0.251671545209	0.225036292897	0.257330076672	0.254231224624	0.289593622018	0.328426535216	0.322186583281	0.307475245886	0.465636886163	0.392050161887	0.336456175037	0.318195653002	0.351142422155	0.340690818185	0.312057881772	0.428536808926	0.366190547562	0.439809790661	0.580309224472	0.7143739252	0.660733710381	0.589974114364	0.630458344357	0.506930408375	0.415035640457	0.442956527068	0.442609380439	0.514084973412	0.289949374676	0.243161465321	0.248977820458	0.316434799547	0.314175601307	0.301506093488	0.270126554468	0.244560421946	0.263051948057	0.255411830559	0.387800152629	0.344580137536	0.369960318082	0.333939428493	0.275157360768	0.266574969278	0.269619161005	0.338896780053	0.333179724405	0.369332554033	0.484298385525	0.398666519039	0.342565586375	0.353322408226	0.353878018732	0.36111380286	0.353976044571	0.32505752452	0.326544356017	0.452977521155	0.43645044462	0.345089880519	0.304535997105	0.232382717327	0.191906365061	0.207704023728	0.229276328796	0.221258570965	0.289634594093	0.559813009375	0.398355265508	0.445495747073	0.314440468291	0.303307848038	0.495748516305	0.512409570075	0.428840097341	0.332029776731
B.2004.07.S1.405529	0.427030558637	0.194554899326	0.17256720269	0.224765517462	0.157470555056	0.177223241408	0.0	0.0889801199027	0.366880975783	0.338587048188	0.333667675073	0.282624631532	0.307065629692	0.248028212948	0.306371148461	0.240986854059	0.256971711153	0.341057736823	0.355878855161	0.36494994798	0.335194164961	0.370948498629	0.358139872696	0.404737708585	0.459215691221	0.439859150503	0.421867339881	0.368046798162	0.425792211451	0.380052754218	0.355949431846	0.301232199855	0.333611882862	0.313921967958	0.327460586195	0.408330375571	0.487319395822	0.472031679635	0.599288369882	0.551783362744	0.482891626384	0.524145043968	0.400811645164	0.31643459197	0.331764319141	0.34237646648	0.40870579919	0.229906190619	0.360016238929	0.333806530734	0.385620723856	0.277632496139	0.434391413723	0.404817860433	0.378628437821	0.341363007757	0.388645592499	0.277460833574	0.276392553314	0.269057713527	0.25955493766	0.282566801392	0.276459113519	0.245854367858	0.459507590058	0.437481608124	0.406241619562	0.381431821124	0.291535766446	0.250195659503	0.249069817142	0.287952593531	0.305440761331	0.271045356874	0.24550588974	0.246537913913	0.348669113288	0.32818105	0.237915674271	0.236982952348	0.251471321427	0.29456436113	0.321545694158	0.248847990587	0.25997140967	0.328339421782	0.45972474392	0.299366294864	0.354474157103	0.320650061245	0.260900441941	0.398881232191	0.415231564839	0.330753376886	0.262272976869
B.2004.08.S1.405610	0.375959978204	0.139683056735	0.125698688526	0.179834597065	0.106549806689	0.124278317252	0.0889801199027	0.0	0.415032804835	0.38333257505	0.377509607419	0.324394388387	0.349374988708	0.21749915699	0.347368833549	0.280647801429	0.28335479506	0.385694572782	0.40504836414	0.327855405107	0.301829799925	0.332642341974	0.321392841232	0.362993016593	0.411116002891	0.398484807987	0.381544805701	0.413996469497	0.416935648845	0.366401180524	0.342268299172	0.297967346872	0.321882431324	0.297080086995	0.370275257219	0.39734653873	0.472180579838	0.518438501838	0.651182438894	0.598918506139	0.530638555928	0.569370910954	0.445738212371	0.358686877911	0.378292331111	0.384068143671	0.455593642596	0.243543827199	0.309164107096	0.281842607376	0.356789893713	0.258757306783	0.375530396702	0.345049709437	0.323017944926	0.295010288008	0.329308186013	0.321829468665	0.280647007815	0.310757300843	0.274221133848	0.260224859807	0.237525822491	0.217175880674	0.406215457063	0.390902810265	0.397952083592	0.429433742945	0.335506674508	0.281036921116	0.292911736845	0.298703805372	0.30908384551	0.306033366629	0.273338357329	0.266855455884	0.39340414343	0.376333361126	0.285478585017	0.251673779168	0.214102720687	0.255029735925	0.27520429719	0.21286270736	0.226140318776	0.288318787585	0.498207900549	0.339501956751	0.393809905757	0.288652117227	0.243547819422	0.435743804374	0.453197230738	0.370684013117	0.280622601007
B.2005.01.S1.405588	0.630625007956	0.484728014551	0.419689039308	0.480150290153	0.437706015513	0.479719777982	0.366880975783	0.415032804835	0.0	0.103414749934	0.134387099745	0.180204289049	0.110512734146	0.347232812706	0.172929839896	0.220153254228	0.233471810413	0.178358288124	0.172016397849	0.466681996997	0.439861565302	0.51753116915	0.493694852102	0.568209290205	0.650320066937	0.613857778727	0.589763007653	0.224259049103	0.447814663248	0.491060363728	0.465827656449	0.337599251384	0.395247979453	0.399668361244	0.275347455518	0.528212016352	0.633127462363	0.177936330814	0.315399313246	0.266482020362	0.182582478193	0.231489703741	0.103562654508	0.13084749845	0.135153503393	0.210722502634	0.119631971568	0.35749479944	0.540805099118	0.512074499931	0.577341919965	0.367301779769	0.638848170689	0.605641272998	0.586691660827	0.506757023965	0.587224904606	0.209993817264	0.354320329096	0.288736739626	0.335033916607	0.404632620843	0.398613885746	0.379563641454	0.637507870895	0.618009934339	0.519438862063	0.229643948041	0.21238514943	0.292568172728	0.2867576683	0.353462252474	0.385842491667	0.331723267254	0.324624425628	0.278825593342	0.197144076491	0.184672558193	0.234249577513	0.314831334573	0.376491208259	0.465810243811	0.504702785457	0.378349922717	0.372919645053	0.383258477723	0.197642554708	0.231876561275	0.227349481706	0.368675526387	0.297631565466	0.181852140399	0.197780485944	0.206966973217	0.313389293936
B.2005.02.S1.405604	0.602945172687	0.457878299799	0.385417166977	0.452714389319	0.408346519129	0.442416359572	0.338587048188	0.38333257505	0.103414749934	0.0	0.0986882870792	0.146336804851	0.0720756631909	0.290938188312	0.131951873506	0.175757624566	0.173632311816	0.118355484011	0.14024901455	0.414050138184	0.374922074322	0.458041180287	0.438313588507	0.502069427564	0.586890890031	0.552139291191	0.52543012449	0.225929127835	0.444890687147	0.449056384077	0.422949014471	0.295403234672	0.355483034085	0.356749921867	0.232319933564	0.48459456929	0.586876049096	0.20755887388	0.365418881534	0.301297344631	0.214840055617	0.267124493656	0.143961025254	0.118945155338	0.134484689791	0.172638678002	0.156338025142	0.313142551484	0.487627966501	0.465345718553	0.532160734493	0.320084810221	0.591949284442	0.561234318936	0.539869703578	0.456382956718	0.535341318227	0.17677906902	0.31613592371	0.238170528798	0.284100453313	0.354569724323	0.347732541379	0.344014693643	0.579750139102	0.566766761338	0.467588011	0.242409286031	0.201298682259	0.255805994925	0.27587081191	0.347058837103	0.390870998746	0.336112310038	0.307282119331	0.237513989405	0.173020680735	0.157998009087	0.210863941189	0.278709511695	0.340377646431	0.431096660048	0.469258666921	0.34325443979	0.33662501866	0.342792247859	0.226679484381	0.195655443882	0.185518157732	0.323463754824	0.253392362339	0.161042973086	0.176760630031	0.169861395898	0.265231021485
