	B.2004.01.S1.405609	B.2004.02.S1.405533	B.2004.03.S1.405563	B.2004.04.S1.405549	B.2004.05.S1.405536	B.2004.06.S1.405567	B.2004.07.S1.405529	B.2004.08.S1.405610	B.2005.01.S1.405588	B.2005.02.S1.405604	B.2005.03.S1.405591	B.2005.04.S1.405545	B.2005.05.S1.405611	B.2005.06.S1.405537	B.2005.07.S1.405586	B.2005.08.S1.405559	B.2005.09.S1.405592	B.2005.10.S1.405573	B.2006.01.S1.405568	B.2006.02.S1.405606	B.2006.03.S1.405589	B.2006.04.S1.405572	B.2006.05.S1.405597	B.2006.06.S1.405542	B.2006.07.S1.405582	B.2006.08.S1.405615	B.2006.09.S1.405526	B.2008.01.S1.405595	B.2008.02.S1.405555	B.2008.03.S1.405528	B.2008.04.S1.405565	B.2008.05.S1.405541	B.2008.06.S1.405543	B.2008.07.S1.405599	B.2008.08.S1.405550	B.2008.09.S1.405553	B.2008.10.S1.405544	B.2009.01.S1.405540	B.2009.02.S1.405570	B.2009.03.S1.405564	B.2009.04.S1.405531	B.2009.05.S1.405596	B.2009.06.S1.405554	B.2009.07.S1.405524	B.2009.08.S1.405578	B.2009.09.S1.405547	B.2009.10.S1.405585	B.2011.01.S1.405525	B.2011.02.S1.405575	B.2011.03.S1.405538	B.2011.04.S1.405598	B.2011.05.S1.405539	B.2011.06.S1.405532	B.2011.07.S1.405534	B.2011.08.S1.405530	B.2011.09.S1.405577	B.2011.10.S1.405602	B.2012.01.S1.405593	B.2012.02.S1.405552	B.2012.03.S1.405546	B.2012.04.S1.405562	B.2012.05.S1.405616	B.2012.06.S1.405601	B.2012.07.S1.405580	B.2012.08.S1.405556	B.2012.09.S1.405527	B.2012.10.S1.405569	B.2016.01.S1.405584	B.2016.02.S1.405600	B.2016.03.S1.405618	B.2016.04.S1.405579	B.2016.05.S1.405583	B.2016.06.S1.405581	B.2016.07.S1.405551	B.2016.08.S1.405590	B.2019.01.S1.405535	B.2019.02.S1.405607	B.2019.03.S1.405560	B.2019.04.S1.405614	B.2019.05.S1.405612	B.2019.06.S1.405608	B.2019.07.S1.405558	B.2019.08.S1.405613	B.2019.09.S1.405605	B.2019.10.S1.405561	B.2020.01.S1.405576	B.2020.02.S1.405548	B.2020.03.S1.405571	B.2020.04.S1.405587	B.2020.05.S1.405574	B.2020.06.S1.405557	B.2020.07.S1.405566	B.2020.08.S1.405603	B.2020.09.S1.405594	B.2020.10.S1.405617
B.2004.01.S1.405609	0.0	0.555930095092	0.58043308042	0.534380694603	0.586131655875	0.566324155136	0.579570328168	0.573599582371	0.733704251934	0.739336436687	0.766187537847	0.738988749498	0.734243036432	0.7540658929	0.724596921863	0.749751022526	0.735218896729	0.733133004877	0.704392913119	0.668197084566	0.662878995998	0.674998963496	0.651592478363	0.692094731402	0.691117615755	0.688135568037	0.68754843956	0.782161420561	0.753381008036	0.78014357874	0.78274796597	0.738047101199	0.761605747211	0.764560966864	0.760323893753	0.789291583159	0.780165973235	0.757024457823	0.794200720288	0.771812746711	0.763059874767	0.756348859316	0.715011650596	0.707260505443	0.724239517512	0.734726677316	0.715234119582	0.71910884191	0.749736222303	0.69665554362	0.706339610763	0.729566359118	0.731464989357	0.694494120823	0.693683949047	0.724181333861	0.696224138937	0.729850853438	0.693676118528	0.758226195429	0.74546159766	0.722170509007	0.746104394123	0.739741980997	0.712300849063	0.742627785283	0.749391567546	0.739243408915	0.743801711469	0.721439492416	0.7176391167	0.751974475021	0.754752080081	0.702177271677	0.712239628297	0.670623272339	0.729594114409	0.704650125722	0.690924567189	0.704276854603	0.731300600487	0.684050880291	0.682700235004	0.698496621722	0.671642047152	0.767875439013	0.79567144199	0.798860944453	0.80968828121	0.839235413861	0.780467542877	0.802941260596	0.796808220742	0.810663826428	0.796456303066
B.2004.02.S1.405533	0.555930095092	0.0	0.519835473858	0.510367433964	0.511656351647	0.492964398249	0.556566372996	0.508123191572	0.719429838394	0.724719012178	0.705898336082	0.684846646821	0.709751827917	0.715893055352	0.684535868852	0.739291634391	0.70137035199	0.725373899407	0.68873615759	0.677154469762	0.677610309364	0.673377676917	0.646844859269	0.681971734605	0.678903995967	0.679240826045	0.694298503892	0.732769191479	0.736945948362	0.746642834135	0.72403720948	0.694376513194	0.73621151993	0.713241294394	0.705092240906	0.752991227248	0.735086204439	0.74937109342	0.783235697668	0.738199937606	0.741328964371	0.722547796412	0.730199750969	0.68879731679	0.732017143969	0.715215171438	0.705682066683	0.663883803444	0.685155578037	0.660273792145	0.648768208451	0.69327316665	0.675148450577	0.633582511322	0.644569973295	0.657896433168	0.649239816148	0.716147134146	0.686541506952	0.729655210367	0.713761424555	0.692326632071	0.706033965264	0.717099841527	0.703964964503	0.702390021428	0.715228551014	0.707101441613	0.712481529393	0.689702171899	0.660620508544	0.691332148693	0.700950134993	0.685378665822	0.654071412287	0.656856382884	0.686598985878	0.654198700334	0.641785516098	0.638886849053	0.659850644691	0.640289537727	0.63958023771	0.647476394999	0.627234718003	0.737185949746	0.774648540073	0.758389007012	0.773737867098	0.781926215032	0.744064126977	0.750740549562	0.775268524076	0.768050961921	0.771088772378
B.2004.03.S1.405563	0.58043308042	0.519835473858	0.0	0.557380377228	0.522031102733	0.521047759736	0.571392823396	0.545681480004	0.727487175338	0.722106732583	0.705760897079	0.701329514254	0.708947364315	0.728640130527	0.698655132003	0.731361020498	0.698565084854	0.70434086185	0.685826990536	0.696655474961	0.669681465004	0.65961818578	0.658221056859	0.676907103657	0.661082296796	0.684655657236	0.704580169512	0.712374268389	0.703331012821	0.710271508864	0.725313525975	0.685729726038	0.72003061231	0.698156691046	0.682538774459	0.726440212857	0.723320415771	0.75875703708	0.757302983705	0.754428270465	0.746046791285	0.745794481284	0.724630557836	0.714242484384	0.729229935905	0.723215585146	0.730407995563	0.674333610368	0.691940519088	0.668992767695	0.672998924057	0.686280396277	0.664291486859	0.663147839749	0.659347969201	0.679151452845	0.664114351879	0.71273181955	0.687832726743	0.715268779401	0.6807835445	0.681512657853	0.692207024099	0.711412225948	0.688790730141	0.714356816335	0.707389839814	0.678336666459	0.696277070429	0.692558835813	0.684641812953	0.681889696007	0.682851314686	0.683506162353	0.669309301154	0.668606399625	0.717291129221	0.678066589889	0.680959701866	0.661798110904	0.648476771884	0.68403553524	0.66059291322	0.687133564067	0.650155284909	0.723387530217	0.745995467447	0.76226167348	0.770327914269	0.771027177017	0.740158388553	0.75221109118	0.760265131483	0.763819665331	0.75949525462
B.2004.04.S1.405549	0.534380694603	0.510367433964	0.557380377228	0.0	0.513325540128	0.508999273545	0.564954116719	0.55245517758	0.748149519307	0.761893515814	0.752786966197	0.720676590833	0.729071389186	0.751194424283	0.716482860218	0.748944777206	0.735325454631	0.756639372487	0.707589107993	0.656964516806	0.6577536887	0.66530240131	0.654554241571	0.663036191606	0.665072459228	0.691199569585	0.670515652444	0.765767844815	0.76148532007	0.758973756095	0.763327674966	0.725126893755	0.753496215951	0.758295275369	0.743883023793	0.763932017274	0.756698116525	0.775217334657	0.805642731489	0.762274211701	0.774307134694	0.750947266255	0.728273076017	0.710900104884	0.737573200579	0.72478728017	0.733627327627	0.710168628203	0.725926026854	0.673506628694	0.670467534527	0.706190617823	0.695901554732	0.667509340207	0.665875017309	0.701536250393	0.672535918177	0.723772082472	0.717348873085	0.755369098228	0.747160998262	0.725507936493	0.736712993283	0.729631510448	0.729541934626	0.734538652594	0.758674569195	0.74508845012	0.753818293685	0.712242000419	0.713930916402	0.728387140934	0.718558690985	0.717099854056	0.701880493173	0.66321367532	0.713195248579	0.68335881518	0.67259701673	0.68808822052	0.694886397855	0.668132325413	0.666064986418	0.648539273802	0.666150529682	0.752551923353	0.805609683774	0.78833610095	0.802671942856	0.816492575006	0.776686752781	0.793507996982	0.799249073291	0.803402122327	0.793303751027
B.2004.05.S1.405536	0.586131655875	0.511656351647	0.522031102733	0.513325540128	0.0	0.512658090076	0.576561220405	0.571928761405	0.71190859024	0.711975876464	0.706725021396	0.704533434405	0.708626744729	0.719970484685	0.694036115015	0.734128489187	0.722669322286	0.707389099851	0.705779395389	0.697251131735	0.672439720982	0.706521039876	0.702619786668	0.681200561661	0.70847264355	0.697346635954	0.711594239724	0.731778957993	0.731937361596	0.760763978499	0.747687548154	0.703466249075	0.736302589499	0.723150472034	0.710823347093	0.756149545053	0.744390242451	0.750434205149	0.766776952853	0.740713136494	0.740752534077	0.725653730973	0.705106156931	0.687747074306	0.702176500814	0.712466775427	0.695479714908	0.699807992437	0.720793223559	0.693136164088	0.654298100368	0.699608694151	0.693371785954	0.665952419123	0.677725002264	0.69054859477	0.661866355356	0.703959198979	0.710997553054	0.731021242639	0.708442909335	0.700919171818	0.726890578588	0.735933504294	0.689113443445	0.729843236239	0.743544138665	0.715891593179	0.717926933808	0.721418653346	0.700086850827	0.683597588018	0.726728787493	0.694749353579	0.66428430978	0.680944599214	0.708807575128	0.68087930121	0.672755364831	0.675266918659	0.70157517335	0.683409142721	0.676707963462	0.673027168937	0.661597305736	0.733434787752	0.764148361669	0.768093197434	0.782695239631	0.786273036124	0.73751686649	0.751779513705	0.771287035462	0.765024604881	0.76039933687
B.2004.06.S1.405567	0.566324155136	0.492964398249	0.521047759736	0.508999273545	0.512658090076	0.0	0.518481400358	0.50929436679	0.731905605898	0.753619278063	0.726625544503	0.711754661486	0.728297595995	0.73588516081	0.690303279295	0.727739704803	0.714273285469	0.73269079716	0.693599315846	0.662925924426	0.658066785776	0.67399863458	0.650965394398	0.681133913489	0.658636446507	0.691244552243	0.682826836933	0.744376706003	0.750557983476	0.750907316638	0.751014481852	0.719645646041	0.748118595209	0.731532693746	0.711165210137	0.760487456542	0.742897903836	0.766560892635	0.794516793097	0.73668689522	0.759619403365	0.732727874561	0.727437225051	0.696410215943	0.716032919355	0.710956228556	0.709015740274	0.68502240566	0.711964302627	0.678933978894	0.677993586867	0.702145369938	0.689018443706	0.658755640525	0.656414271832	0.688327426299	0.655010587429	0.716424457089	0.692880022319	0.736357489432	0.735864267869	0.704886689821	0.712081011259	0.728343596426	0.705965023129	0.718054840666	0.731957323711	0.723261441407	0.743334529156	0.693491099514	0.675030895411	0.696116031151	0.701828530316	0.66113889	0.655411142935	0.663972746711	0.707970071768	0.663598357218	0.672722933769	0.660284650175	0.679377391412	0.644599789936	0.636989617785	0.648910692848	0.630955348551	0.748176625511	0.785207180631	0.768009555196	0.79266342713	0.79197298134	0.755905608265	0.770558769522	0.766211699536	0.776918250159	0.772575877523
B.2004.07.S1.405529	0.579570328168	0.556566372996	0.571392823396	0.564954116719	0.576561220405	0.518481400358	0.0	0.528582322877	0.708304691546	0.739957030674	0.743531729476	0.718228776917	0.718927758192	0.725752172882	0.715207711791	0.744889804458	0.71968570581	0.715250762318	0.70480496732	0.707280334299	0.674977201359	0.695328778179	0.687728626379	0.704381747939	0.706993344378	0.720308583554	0.72854236747	0.72049385562	0.731678001634	0.756762480634	0.752838171483	0.723905393264	0.753744213659	0.744162946254	0.708262978705	0.739686578917	0.741317500743	0.777321636157	0.77076977896	0.74754421672	0.759087600238	0.750619181755	0.728240511566	0.724567057471	0.714386980063	0.720518312609	0.711561078106	0.710030606648	0.703868207352	0.680499322751	0.699140141247	0.713314022694	0.696758746838	0.681904541179	0.678016043327	0.711914579239	0.667214791043	0.688089959976	0.688012505586	0.745595593401	0.715146618522	0.690381045327	0.709863439861	0.722603572888	0.714731946633	0.718395781682	0.728782166015	0.733302731423	0.723181289587	0.714261880144	0.690760280315	0.705468998507	0.701096668847	0.661592706427	0.670505206712	0.690650787856	0.72580676266	0.687984903317	0.673082191859	0.710451368036	0.719857460418	0.711185680292	0.681587512158	0.678863478447	0.677157303782	0.763771668959	0.770712430715	0.774885496676	0.790412559175	0.800548782256	0.766181084861	0.782203259873	0.768355835865	0.780947163045	0.783240064761
B.2004.08.S1.405610	0.573599582371	0.508123191572	0.545681480004	0.55245517758	0.571928761405	0.50929436679	0.528582322877	0.0	0.717938219145	0.73332433402	0.710981361534	0.69652675507	0.702545623871	0.709296526057	0.670653499438	0.711312696397	0.702100294279	0.710122924448	0.69930869515	0.678931489997	0.65975437941	0.669065531702	0.668006384899	0.696681401956	0.693334700064	0.705334410689	0.703702987091	0.744491483545	0.740780306549	0.744137093211	0.744707786702	0.705283901163	0.741956759368	0.722340409002	0.711716603221	0.738815521987	0.738201352505	0.753992391115	0.777998691977	0.719002767135	0.738008974364	0.733303161268	0.704767947319	0.674888190636	0.724229702565	0.718652555073	0.710521161626	0.680563971724	0.68497102746	0.658662982557	0.680295613291	0.684512108176	0.675687319181	0.657195210641	0.632743098727	0.683467357979	0.64361571915	0.691513747847	0.673969958122	0.726315261951	0.707484718707	0.677007503559	0.711872856188	0.707334098549	0.685112233745	0.696191900301	0.702770367	0.715778600334	0.717907250128	0.700063429724	0.672758580333	0.714056193355	0.689745723464	0.688484679232	0.680968522868	0.675048641121	0.698916592082	0.660666612779	0.657918071856	0.661823523049	0.694875256585	0.657108787581	0.627397033516	0.643545689108	0.622871381408	0.747018000204	0.766733982431	0.7728777232	0.777352254961	0.794842397187	0.741221861595	0.755312214735	0.756517698188	0.775673638695	0.775085575345
B.2005.01.S1.405588	0.733704251934	0.719429838394	0.727487175338	0.748149519307	0.71190859024	0.731905605898	0.708304691546	0.717938219145	0.0	0.504625158373	0.56666501498	0.535367134963	0.525848707457	0.575395551479	0.572053081671	0.590621570146	0.583590027111	0.562673065752	0.687640460419	0.729948913935	0.725286790439	0.73108356064	0.723077295072	0.731990781912	0.749515611501	0.752496287478	0.769099300739	0.656536435271	0.652771700353	0.67344871298	0.68532556463	0.640629959493	0.670070880322	0.670369787917	0.637184591945	0.689459328813	0.693141736618	0.613147170972	0.647344149557	0.639954346668	0.625093647454	0.629128068933	0.629755359199	0.620106936011	0.629439620549	0.65001874684	0.624899879585	0.719934515733	0.681098287727	0.70448717633	0.708076712564	0.665644548926	0.713866513777	0.709898596798	0.714963520058	0.699311933505	0.703259522992	0.65816059828	0.646597677302	0.681542166113	0.633222947759	0.661659359994	0.626267139753	0.664599300885	0.683764288969	0.644997240482	0.677708009474	0.69066887941	0.668198928245	0.711409113597	0.697623283731	0.708219701051	0.703629869431	0.687022090352	0.703910668566	0.691968171054	0.65824819183	0.650166860271	0.656221106053	0.683468636406	0.703097973883	0.689735268809	0.682398082732	0.680446506813	0.670782090677	0.698128355444	0.683358411881	0.716649342198	0.683519943079	0.715833878079	0.662435529644	0.692071924023	0.700529107426	0.681267269919	0.701201615431
B.2005.02.S1.405604	0.739336436687	0.724719012178	0.722106732583	0.761893515814	0.711975876464	0.753619278063	0.739957030674	0.73332433402	0.504625158373	0.0	0.514763468458	0.521803526832	0.476416467774	0.523110448762	0.563757605543	0.547138560133	0.520965497611	0.516831976079	0.653021917665	0.739196451826	0.697364348217	0.733097321727	0.733036997685	0.732786597289	0.739531414071	0.737537286952	0.738260775144	0.642005391682	0.678023448376	0.690675662022	0.696479448543	0.636549916519	0.684891262242	0.66755947062	0.657911100973	0.682413110038	0.708970292893	0.630174254388	0.659358238056	0.679323113815	0.587228331892	0.643715090838	0.627198736908	0.633367950017	0.652848546871	0.634889738694	0.602442728931	0.718266856596	0.692042087793	0.696333048886	0.678633264601	0.651959203428	0.694684879687	0.6996968332	0.704752642723	0.673999250087	0.690822357027	0.642143320048	0.665267979969	0.669357607883	0.620375811614	0.663027242054	0.635871041276	0.684162102183	0.676479670327	0.663186874118	0.659586040934	0.679599785523	0.663867568913	0.711072271969	0.702232945262	0.697188166031	0.706148149708	0.700544522656	0.675527960348	0.685206153987	0.671555936466	0.664943116184	0.665195792808	0.673610154678	0.712711614291	0.68300748118	0.675208666928	0.687061739841	0.675756199433	0.702727029471	0.696268586574	0.723270157391	0.708816060638	0.725916577389	0.704313403278	0.737443406777	0.714934331176	0.712365878362	0.734686016887
