	B.2004.01.S1.405609	B.2004.02.S1.405533	B.2004.03.S1.405563	B.2004.04.S1.405549	B.2004.05.S1.405536	B.2004.06.S1.405567	B.2004.07.S1.405529	B.2004.08.S1.405610	B.2005.01.S1.405588	B.2005.02.S1.405604	B.2005.03.S1.405591	B.2005.04.S1.405545	B.2005.05.S1.405611	B.2005.06.S1.405537	B.2005.07.S1.405586	B.2005.08.S1.405559	B.2005.09.S1.405592	B.2005.10.S1.405573	B.2006.01.S1.405568	B.2006.02.S1.405606	B.2006.03.S1.405589	B.2006.04.S1.405572	B.2006.05.S1.405597	B.2006.06.S1.405542	B.2006.07.S1.405582	B.2006.08.S1.405615	B.2006.09.S1.405526	B.2008.01.S1.405595	B.2008.02.S1.405555	B.2008.03.S1.405528	B.2008.04.S1.405565	B.2008.05.S1.405541	B.2008.06.S1.405543	B.2008.07.S1.405599	B.2008.08.S1.405550	B.2008.09.S1.405553	B.2008.10.S1.405544	B.2009.01.S1.405540	B.2009.02.S1.405570	B.2009.03.S1.405564	B.2009.04.S1.405531	B.2009.05.S1.405596	B.2009.06.S1.405554	B.2009.07.S1.405524	B.2009.08.S1.405578	B.2009.09.S1.405547	B.2009.10.S1.405585	B.2011.01.S1.405525	B.2011.02.S1.405575	B.2011.03.S1.405538	B.2011.04.S1.405598	B.2011.05.S1.405539	B.2011.06.S1.405532	B.2011.07.S1.405534	B.2011.08.S1.405530	B.2011.09.S1.405577	B.2011.10.S1.405602	B.2012.01.S1.405593	B.2012.02.S1.405552	B.2012.03.S1.405546	B.2012.04.S1.405562	B.2012.05.S1.405616	B.2012.06.S1.405601	B.2012.07.S1.405580	B.2012.08.S1.405556	B.2012.09.S1.405527	B.2012.10.S1.405569	B.2016.01.S1.405584	B.2016.02.S1.405600	B.2016.03.S1.405618	B.2016.04.S1.405579	B.2016.05.S1.405583	B.2016.06.S1.405581	B.2016.07.S1.405551	B.2016.08.S1.405590	B.2019.01.S1.405535	B.2019.02.S1.405607	B.2019.03.S1.405560	B.2019.04.S1.405614	B.2019.05.S1.405612	B.2019.06.S1.405608	B.2019.07.S1.405558	B.2019.08.S1.405613	B.2019.09.S1.405605	B.2019.10.S1.405561	B.2020.01.S1.405576	B.2020.02.S1.405548	B.2020.03.S1.405571	B.2020.04.S1.405587	B.2020.05.S1.405574	B.2020.06.S1.405557	B.2020.07.S1.405566	B.2020.08.S1.405603	B.2020.09.S1.405594	B.2020.10.S1.405617
B.2004.01.S1.405609	0.0	0.29822239	0.34906402	0.26042332	0.35191526	0.29854278	0.44565283	0.36408545	0.63255194	0.60154597	0.60573118	0.53158194	0.58873627	0.41655804	0.57765721	0.5082832	0.49955271	0.59336058	0.64149747	0.36743912	0.38109599	0.3078864	0.34268407	0.29539592	0.30935133	0.31208384	0.28958693	0.67869022	0.58333532	0.49329706	0.47191948	0.50465827	0.50930896	0.48346021	0.59476074	0.46970197	0.48864275	0.75865292	0.86425286	0.80923889	0.75463922	0.78208841	0.65712494	0.6328907	0.58119489	0.59237293	0.69721575	0.46565362	0.3635366	0.39513119	0.39750992	0.51507013	0.32072659	0.3088244	0.29865196	0.40947102	0.30619111	0.54498125	0.50604511	0.53845321	0.50166811	0.44399901	0.4416675	0.43149239	0.33136579	0.37000869	0.48056553	0.66536226	0.54623892	0.48232328	0.51280089	0.52501918	0.55336456	0.523065	0.501669	0.48012865	0.61052076	0.58991893	0.49323157	0.43148312	0.3601007	0.27557448	0.23148846	0.35234451	0.37039035	0.44289005	0.73626214	0.55415022	0.59621812	0.48014863	0.47563314	0.66934128	0.67729097	0.60992824	0.51748213
B.2004.02.S1.405533	0.29822239	0.0	0.13887517	0.11397565	0.13414233	0.10517843	0.21227256	0.12894242	0.46789555	0.43743862	0.42936035	0.36158385	0.42077278	0.24733555	0.41755514	0.33577237	0.3400968	0.43347373	0.48107516	0.27775405	0.23673152	0.28554057	0.28330612	0.31128117	0.34552714	0.35551139	0.3254696	0.51112763	0.42710875	0.37807177	0.35104145	0.3499332	0.35455083	0.32904886	0.43944161	0.38738758	0.4595534	0.60173145	0.70750103	0.64469906	0.59064617	0.61916244	0.49932647	0.46045393	0.41737978	0.43177518	0.52725662	0.30129619	0.27947409	0.28041708	0.33935291	0.35528856	0.33142046	0.27744489	0.27705213	0.30278705	0.2698376	0.38546616	0.35311692	0.37977448	0.34591106	0.28845954	0.29133469	0.27710924	0.33798408	0.3515941	0.38683388	0.50236917	0.39133287	0.33743253	0.34617088	0.36043005	0.38358445	0.36302609	0.33577287	0.3266969	0.45961757	0.43771454	0.34725002	0.31102553	0.22627151	0.20701461	0.21611303	0.23594246	0.2287669	0.2933957	0.57959087	0.39351855	0.43733699	0.31975502	0.31231497	0.51152379	0.51969296	0.44830355	0.36041738
B.2004.03.S1.405563	0.34906402	0.13887517	0.0	0.1501303	0.12552376	0.1404168	0.18752209	0.12121751	0.43399748	0.39774911	0.39590582	0.32879424	0.38105669	0.2103579	0.37578125	0.29071276	0.30121435	0.36966824	0.43839881	0.26896606	0.24911351	0.27429962	0.26864993	0.3340256	0.35840175	0.38062024	0.34904133	0.45896524	0.3978703	0.33484848	0.30718178	0.30337109	0.29988996	0.27246135	0.37703824	0.35265793	0.45393047	0.54218236	0.64485306	0.58286257	0.5446964	0.55777159	0.45826406	0.4117936	0.36383165	0.38866507	0.48418607	0.24178452	0.28150938	0.26173293	0.34344472	0.28035245	0.36247861	0.30920318	0.31604678	0.26238806	0.30936499	0.34621267	0.29406427	0.31934363	0.28922519	0.26605287	0.23759148	0.23788491	0.36839941	0.33761483	0.36628545	0.42516524	0.32398636	0.28342356	0.30285251	0.30935944	0.3204184	0.31529938	0.28805796	0.29103433	0.40624236	0.40051047	0.31348371	0.2490626	0.1891328	0.21878782	0.26040166	0.20010847	0.19668695	0.26517523	0.50590206	0.35700754	0.36621788	0.26719613	0.26948964	0.4452734	0.45862411	0.40310068	0.28705587
B.2004.04.S1.405549	0.26042332	0.11397565	0.1501303	0.0	0.16150336	0.11019914	0.23775093	0.17193053	0.46257136	0.43600999	0.428898	0.36291272	0.41519005	0.24741792	0.41308717	0.33261876	0.33751187	0.43047126	0.47126641	0.2331693	0.21515871	0.24358392	0.24142935	0.2641785	0.31165385	0.32080342	0.27646159	0.50116372	0.41005296	0.35229296	0.32455128	0.34270875	0.34718126	0.32271523	0.43418212	0.35792285	0.43345797	0.59952026	0.70412558	0.63991515	0.58739804	0.61615065	0.49084424	0.4533634	0.41657305	0.43053965	0.52207795	0.29994448	0.25613002	0.24629273	0.31867744	0.34460081	0.31339379	0.2538486	0.26241698	0.27287376	0.25604743	0.37662415	0.34875975	0.37535497	0.34042371	0.28223271	0.2897544	0.27557451	0.31068835	0.31867959	0.35823639	0.49210216	0.38387816	0.32588964	0.34001411	0.35324048	0.37582716	0.35326244	0.32479604	0.31897417	0.44888248	0.42882037	0.33329085	0.3001023	0.21567608	0.1606112	0.19197664	0.22242803	0.22117429	0.28261385	0.57263454	0.38754946	0.43166694	0.31618379	0.30530294	0.50469974	0.51497673	0.44006958	0.35437417
B.2004.05.S1.405536	0.35191526	0.13414233	0.12552376	0.16150336	0.0	0.15185276	0.17106829	0.10060243	0.42880852	0.39683581	0.39456862	0.32892772	0.38134897	0.2373228	0.37835201	0.29782694	0.30151813	0.39373136	0.44654225	0.32155712	0.27563079	0.33737398	0.32776005	0.35140382	0.40139895	0.408558	0.36790375	0.47169502	0.42764288	0.38857454	0.36262914	0.31147661	0.34950604	0.31846255	0.40541534	0.40351661	0.48279009	0.5671685	0.67111448	0.60838629	0.5544765	0.58328381	0.46026664	0.41815522	0.38689247	0.39833485	0.48593679	0.26815288	0.31761538	0.28830085	0.35025878	0.31160147	0.40011239	0.34207108	0.35382186	0.32091184	0.34128911	0.34460307	0.32000671	0.34366563	0.30941773	0.28673143	0.2606657	0.25112137	0.39324589	0.38381327	0.40521683	0.45396696	0.35076758	0.2922749	0.31030279	0.32065474	0.34348726	0.32416902	0.2906665	0.29639415	0.4188037	0.40344387	0.31348579	0.27579046	0.22019844	0.25475034	0.2836124	0.21939729	0.21890851	0.26781871	0.54108744	0.35922076	0.40367842	0.31946293	0.27679108	0.47424682	0.48644577	0.41086166	0.32517691
B.2004.06.S1.405567	0.29854278	0.10517843	0.1404168	0.11019914	0.15185276	0.0	0.20122773	0.12596373	0.48467524	0.44715171	0.44122286	0.36961848	0.42424067	0.24314106	0.42047113	0.32826574	0.34713433	0.4435858	0.48681359	0.25335324	0.23414799	0.26665754	0.26290157	0.2906455	0.31870047	0.34086966	0.30420127	0.500752	0.40622518	0.3539379	0.32228466	0.35234241	0.34368158	0.32497945	0.44232732	0.36335879	0.44096201	0.61156184	0.72094694	0.65297297	0.59877884	0.62865163	0.5046133	0.45861016	0.43283591	0.43916041	0.52677951	0.29359178	0.25145982	0.25481029	0.31934462	0.35362725	0.31651339	0.25469976	0.25757104	0.2774819	0.25675983	0.39860689	0.36194973	0.38591427	0.34756823	0.29559843	0.30280402	0.29613995	0.32348979	0.33541313	0.36695155	0.49476764	0.39812974	0.3512625	0.35438731	0.3702659	0.38851648	0.36552852	0.3417433	0.33830505	0.4574328	0.45137921	0.36414611	0.32322248	0.2358965	0.19402442	0.20720714	0.24492541	0.24096183	0.29992571	0.5799292	0.39999276	0.43353252	0.31415057	0.31450824	0.51583542	0.52691441	0.4476555	0.35417739
B.2004.07.S1.405529	0.44565283	0.21227256	0.18752209	0.23775093	0.17106829	0.20122773	0.0	0.1332468	0.35705307	0.3287962	0.32665329	0.26036867	0.3068489	0.26005237	0.3066221	0.24712815	0.25316072	0.32671159	0.36656902	0.38427611	0.33271536	0.39594201	0.38647646	0.42222097	0.47132724	0.47419113	0.43508248	0.37891419	0.41743551	0.39307245	0.36608557	0.2991886	0.33942857	0.3258856	0.32617803	0.40731394	0.499868	0.49368965	0.59307331	0.53079324	0.47751855	0.5094605	0.38549915	0.34380933	0.31121386	0.32559116	0.41068662	0.24013043	0.37006729	0.33877488	0.39765039	0.26959632	0.45912324	0.39976661	0.40244395	0.35947499	0.40008544	0.27100892	0.2889593	0.27383002	0.2643228	0.30104802	0.27345001	0.24724478	0.45668984	0.4352649	0.40477056	0.36580619	0.27946637	0.25339425	0.2394439	0.29974409	0.31980717	0.27167367	0.24685419	0.2598653	0.34204877	0.33346122	0.2467193	0.25557077	0.27515963	0.31233229	0.34994265	0.26499604	0.26832764	0.32768496	0.46621071	0.29258429	0.32075691	0.33834622	0.27292649	0.40572171	0.41614984	0.33578441	0.26584492
B.2004.08.S1.405610	0.36408545	0.12894242	0.12121751	0.17193053	0.10060243	0.12596373	0.1332468	0.0	0.43429767	0.40082316	0.39961335	0.32638571	0.37810106	0.22223097	0.37485562	0.28556917	0.29965886	0.40051345	0.44319726	0.32293959	0.27630874	0.33368573	0.32673062	0.35596429	0.39346874	0.40424475	0.37147686	0.46029439	0.40942479	0.37908853	0.34849883	0.31247508	0.32765351	0.30406252	0.39768223	0.3951768	0.47743554	0.56853273	0.67515709	0.60729388	0.55443761	0.5845053	0.45996031	0.41725851	0.3880848	0.39375564	0.4871063	0.24869111	0.29322409	0.27041744	0.35219511	0.30052358	0.37375022	0.32074145	0.32264061	0.30473837	0.31739782	0.34584916	0.30825074	0.33756618	0.29699374	0.27083614	0.25207535	0.2437929	0.38039658	0.37006724	0.39106846	0.44592681	0.34662247	0.30178587	0.30268988	0.32467361	0.34285259	0.32739185	0.29373245	0.29814616	0.41412785	0.41125364	0.32501252	0.28384723	0.22120011	0.24888801	0.27336619	0.22033242	0.21956214	0.27794362	0.53496961	0.36104319	0.39200909	0.29935146	0.27245721	0.47378405	0.48637594	0.40671633	0.31438464
B.2005.01.S1.405588	0.63255194	0.46789555	0.43399748	0.46257136	0.42880852	0.48467524	0.35705307	0.43429767	0.0	0.11574311	0.14642672	0.20220962	0.11088579	0.3461595	0.17515831	0.24286214	0.24029449	0.19242948	0.16048981	0.47427486	0.42089279	0.53735678	0.51564107	0.56935846	0.64529821	0.63498098	0.58327081	0.20843676	0.431956	0.4795957	0.48103512	0.34316889	0.40484622	0.39996763	0.27952156	0.53281349	0.65047107	0.21007882	0.3173296	0.25989859	0.19032268	0.22708563	0.11220046	0.1067811	0.15230121	0.23049387	0.13251607	0.37467806	0.5381996	0.50115143	0.58397088	0.33248501	0.65575857	0.58881222	0.59552622	0.5097943	0.59108837	0.20924717	0.36434847	0.29424601	0.33385055	0.40912417	0.37737822	0.36442525	0.62435145	0.60255167	0.51715997	0.22162638	0.21832596	0.29681934	0.29507367	0.35363412	0.3747852	0.32258434	0.32476106	0.28537801	0.20835196	0.17677307	0.22389553	0.31160544	0.38703144	0.4581108	0.510348	0.37410729	0.35396117	0.37140663	0.2043099	0.2396187	0.24364064	0.39330047	0.2888044	0.1785322	0.19692561	0.20498616	0.29980329
B.2005.02.S1.405604	0.60154597	0.43743862	0.39774911	0.43600999	0.39683581	0.44715171	0.3287962	0.40082316	0.11574311	0.0	0.11134039	0.16558363	0.08016348	0.28169559	0.1301576	0.20169195	0.17605896	0.12994015	0.15123984	0.42146463	0.36105678	0.47340363	0.4534057	0.50117937	0.5774447	0.57025981	0.5128506	0.21770285	0.43132953	0.43412927	0.43576313	0.29333074	0.36397449	0.3546023	0.23796995	0.48453514	0.59887894	0.24190821	0.37363777	0.30403264	0.22986057	0.26856114	0.14906763	0.13848609	0.13715354	0.19412986	0.17145316	0.32494417	0.48120641	0.44798238	0.53234437	0.29182256	0.60149936	0.53767219	0.54486161	0.45283101	0.5340881	0.17084168	0.31891478	0.24082988	0.27717036	0.35217758	0.32438731	0.3284511	0.55908878	0.54769314	0.45723372	0.24323439	0.21224021	0.25967359	0.28007918	0.35462913	0.38283345	0.32519377	0.30430669	0.24615906	0.18905725	0.15430698	0.20024906	0.27548361	0.34412163	0.41769861	0.46561399	0.33754734	0.31596048	0.32449008	0.24464833	0.20492197	0.20421569	0.34461054	0.24250195	0.18220195	0.18766406	0.16634715	0.24797484
