# Constructed from biom file
#OTU ID	B.2004.01.S1.405609	B.2004.02.S1.405533	B.2004.03.S1.405563	B.2004.04.S1.405549	B.2004.05.S1.405536	B.2004.06.S1.405567	B.2004.07.S1.405529	B.2004.08.S1.405610	B.2005.01.S1.405588	B.2005.02.S1.405604	B.2005.03.S1.405591	B.2005.04.S1.405545	B.2005.05.S1.405611	B.2005.06.S1.405537	B.2005.07.S1.405586	B.2005.08.S1.405559	B.2005.09.S1.405592	B.2005.10.S1.405573	B.2006.01.S1.405568	B.2006.02.S1.405606	B.2006.03.S1.405589	B.2006.04.S1.405572	B.2006.05.S1.405597	B.2006.06.S1.405542	B.2006.07.S1.405582	B.2006.08.S1.405615	B.2006.09.S1.405526	B.2008.01.S1.405595	B.2008.02.S1.405555	B.2008.03.S1.405528	B.2008.04.S1.405565	B.2008.05.S1.405541	B.2008.06.S1.405543	B.2008.07.S1.405599	B.2008.08.S1.405550	B.2008.09.S1.405553	B.2008.10.S1.405544	B.2009.01.S1.405540	B.2009.02.S1.405570	B.2009.03.S1.405564	B.2009.04.S1.405531	B.2009.05.S1.405596	B.2009.06.S1.405554	B.2009.07.S1.405524	B.2009.08.S1.405578	B.2009.09.S1.405547	B.2009.10.S1.405585	B.2011.01.S1.405525	B.2011.02.S1.405575	B.2011.03.S1.405538	B.2011.04.S1.405598	B.2011.05.S1.405539	B.2011.06.S1.405532	B.2011.07.S1.405534	B.2011.08.S1.405530	B.2011.09.S1.405577	B.2011.10.S1.405602	B.2012.01.S1.405593	B.2012.02.S1.405552	B.2012.03.S1.405546	B.2012.04.S1.405562	B.2012.05.S1.405616	B.2012.06.S1.405601	B.2012.07.S1.405580	B.2012.08.S1.405556	B.2012.09.S1.405527	B.2012.10.S1.405569	B.2016.01.S1.405584	B.2016.02.S1.405600	B.2016.03.S1.405618	B.2016.04.S1.405579	B.2016.05.S1.405583	B.2016.06.S1.405581	B.2016.07.S1.405551	B.2016.08.S1.405590	B.2019.01.S1.405535	B.2019.02.S1.405607	B.2019.03.S1.405560	B.2019.04.S1.405614	B.2019.05.S1.405612	B.2019.06.S1.405608	B.2019.07.S1.405558	B.2019.08.S1.405613	B.2019.09.S1.405605	B.2019.10.S1.405561	B.2020.01.S1.405576	B.2020.02.S1.405548	B.2020.03.S1.405571	B.2020.04.S1.405587	B.2020.05.S1.405574	B.2020.06.S1.405557	B.2020.07.S1.405566	B.2020.08.S1.405603	B.2020.09.S1.405594	B.2020.10.S1.405617
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.000314564328405	0.0	0.000519345624513	0.00029744199881	0.000322788896062	0.0	0.0	0.0	0.0	0.000656383327863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000254129606099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000324780772978	0.0	0.0	0.0	0.000361532899494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000311235605353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002523977789	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002523977789	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	0.0	0.0	0.000259672812257	0.00029744199881	0.000322788896062	0.0	0.0	0.000975609756098	0.0	0.0	0.000384319754035	0.000302297460701	0.0	0.000553556601162	0.0095590502621	0.00103806228374	0.0030534351145	0.000329380764163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046490004649	0.0	0.00021404109589	0.000282007896221	0.000447828034035	0.0	0.000277469478357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000324780772978	0.0	0.0	0.0	0.000361532899494	0.000370507595406	0.0	0.0	0.0	0.000558347292016	0.0	0.0	0.0	0.0	0.0	0.000277777777778	0.0	0.0	0.000295159386068	0.0	0.0	0.000287273771905	0.0	0.0	0.0	0.0	0.0	0.000683526999316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00173010380623	0.000249376558603	0.0	0.0	0.000579038795599	0.00104821802935	0.0	0.000636334712059	0.00236646382691	0.000673174015483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000282007896221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000677966101695	0.000361532899494	0.00111152278622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000249376558603	0.0	0.0	0.0	0.0	0.0	0.0	0.000338066260987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000302297460701	0.000552181115406	0.000553556601162	0.0	0.00103806228374	0.00030534351145	0.000329380764163	0.0	0.0	0.000222667557337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000616332819723	0.0	0.000974342318935	0.000599880023995	0.00148986889154	0.00101694915254	0.00144613159798	0.00111152278622	0.000339904826649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000315656565657
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000328191663932	0.000384319754035	0.000302297460701	0.000276090557703	0.0	0.0	0.0	0.000916030534351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022758306782	0.0	0.000209775540172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000276090557703	0.0	0.000534759358289	0.0	0.000315656565657
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.0	0.0	0.0	0.0086258179655	0.00129115558425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000246913580247	0.00107020547945	0.000282007896221	0.000223914017017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0277058518902	0.00984736582964	0.0128419877164	0.0258064516129	0.0244457077885	0.0169014084507	0.00959158415842	0.00977011494253	0.015	0.0109370381318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015037593985	0.00227946204696	0.00691421254802	0.00243740305783	0.0034137460173	0.00923936398797	0.00566393958464	0.00338696020322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.170179301667	0.237053715021	0.33367956375	0.306960142772	0.298902517753	0.280942439606	0.311841685286	0.289105691057	0.689427312775	0.697735477519	0.662567255957	0.621523579202	0.673384870237	0.517575422087	0.659574468085	0.603114186851	0.59358778626	0.673583662714	0.660242400159	0.394799618321	0.389445557782	0.348305430788	0.367906533143	0.308259212198	0.262237762238	0.272303921569	0.290562529056	0.624197530864	0.439212328767	0.396785109983	0.406403940887	0.501190791215	0.470310765816	0.461813842482	0.589917870292	0.397121861604	0.317597765363	0.801095890411	0.820030816641	0.838226299694	0.837609613511	0.831133773245	0.749404052443	0.653898305085	0.687997107737	0.656909966654	0.727396329028	0.392024857587	0.270064007878	0.293132328308	0.212609970674	0.461910176236	0.223742454728	0.257425742574	0.253735632184	0.3225	0.258350576411	0.630874572051	0.509149940968	0.593412526998	0.554438860972	0.477449008905	0.490956922065	0.472959355055	0.287542662116	0.292213473316	0.389699315272	0.584187742082	0.50581262822	0.46709346991	0.503212940394	0.45516613564	0.438332617104	0.435703796937	0.445385266723	0.556599110232	0.658104738155	0.619345661451	0.53553038105	0.453676896352	0.417889587701	0.329297105729	0.288259624563	0.392832995267	0.411645910468	0.531823599523	0.790744920993	0.648914689551	0.683717193358	0.548378989696	0.580618442849	0.74269005848	0.744385026738	0.681104493774	0.599116161616
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.00849323686694	0.0373110324863	0.0488184887042	0.0416418798334	0.0532601678502	0.0471219803161	0.0427705075008	0.0419512195122	0.0302076777848	0.0121430915655	0.0576479631053	0.0411124546554	0.0265046935395	0.0143924716302	0.0197348134443	0.0262975778547	0.0161832061069	0.0240447957839	0.00337770713292	0.00572519083969	0.00734802939212	0.0138832176399	0.0188364329995	0.00762388818297	0.00645508337816	0.00686274509804	0.00395165039517	0.0195061728395	0.0188356164384	0.0129723632262	0.013210927004	0.00714474728764	0.0102663706992	0.0119331742243	0.00962900028321	0.00520514390692	0.0100558659218	0.0246575342466	0.0576271186441	0.0290519877676	0.0253329002923	0.0212957408518	0.0134088200238	0.0562711864407	0.0339840925524	0.023712486106	0.06288239293	0.00699119627136	0.00443131462334	0.00335008375209	0.0049853372434	0.00284252416146	0.00482897384306	0.00804455445545	0.0155172413793	0.0075	0.0133018031333	0.0133831310302	0.0123966942149	0.0197084233261	0.0120603015075	0.0106291295605	0.0194015126603	0.0265367819953	0.00568828213879	0.00904053659959	0.00506103006847	0.0189109136478	0.036699338956	0.0279129321383	0.033237314425	0.025261720528	0.0335195530726	0.0344031885882	0.03683319221	0.0116164112704	0.01072319202	0.0130867709815	0.0136457260556	0.0150550086856	0.0157232704403	0.0118133490845	0.00922685332485	0.00912778904665	0.0124537192864	0.0	0.000902934537246	0.0017667844523	0.000267809319764	0.000502638853983	0.00138045278851	0.00215450907972	0.00160427807487	0.00135354629128	0.000631313131313
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.0	0.0	0.0	0.00059488399762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000211685012701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.010066058509	0.154712126086	0.097117631784	0.0490779298037	0.138153647515	0.127646883388	0.209064794127	0.188617886179	0.00220264317181	0.00131276665573	0.000768639508071	0.00362756952842	0.00193263390392	0.00193744810407	0.00154178230034	0.000346020761246	0.0018320610687	0.00197628458498	0.00476852771707	0.00357824427481	0.0017813404587	0.00326663944467	0.00333810205055	0.00152477763659	0.00188273265196	0.000980392156863	0.00185960018596	0.0106172839506	0.00406678082192	0.0104342921602	0.0145544111061	0.0103201905266	0.0130410654828	0.0131264916468	0.0130274709714	0.00704225352113	0.00279329608939	0.00438356164384	0.00308166409861	0.00366972477064	0.00357258850276	0.00569886022795	0.00446960667461	0.00305084745763	0.00180766449747	0.00185253797703	0.00271923861319	0.0178663904713	0.00221565731167	0.00474595198213	0.0111436950147	0.00341102899375	0.0140845070423	0.00711633663366	0.0120689655172	0.00333333333333	0.0103458468815	0.00280112044818	0.000590318772137	0.00242980561555	0.00201005025126	0.00229819017524	0.00164419598816	0.00100772589856	0.000853242320819	0.00145815106445	0.00178624590652	0.0084301663249	0.00683838614087	0.00537772087068	0.0099711943275	0.00432407828858	0.00300816501934	0.00356618418292	0.00592718035563	0.00148294611962	0.000997506234414	0.00199146514936	0.00154479917611	0.0031847133758	0.0	0.000590667454223	0.0	0.00169033130494	0.000673174015483	0.00214541120381	0.0020316027088	0.0020191822312	0.0037493304767	0.00351847197788	0.00303699613473	0.00430901815943	0.00454545454545	0.00460205739036	0.00126262626263
