	PD_whole_tree	chao1	observed_otus
SRR515153	21.12599	631.789473684	346.0
SRR518987	21.48672	574.25	332.0
SRR521172	22.82551	663.651515152	380.0
SRR521173	23.43268	785.833333333	391.0
SRR521174	20.77129	625.444444444	364.0
SRR521175	24.5559	796.6	430.0
SRR521176	23.73737	684.230769231	375.0
SRR521177	22.01077	786.518518519	384.0
SRR521178	21.91477	652.344262295	358.0
SRR521179	21.12423	595.474576271	352.0
SRR521180	25.74227	808.194805195	445.0
SRR521181	30.51183	1072.43902439	540.0
SRR521182	22.15912	590.888888889	328.0
SRR521183	22.90589	680.844827586	368.0
SRR521184	22.38715	674.0	359.0
SRR521185	25.03567	909.21875	446.0
SRR521186	19.93194	689.139534884	331.0
SRR521187	20.1261	681.542372881	374.0
SRR521188	25.78246	686.375	437.0
SRR521189	24.08023	858.693548387	419.0
SRR521190	24.73245	761.776315789	439.0
SRR521191	26.6081	771.97826087	468.0
SRR521192	19.09613	497.058823529	309.0
SRR521193	24.00797	757.818181818	406.0
SRR521194	22.04702	669.529411765	343.0
SRR521195	21.45556	663.375	366.0
SRR521196	22.66373	776.084745763	397.0
SRR521197	26.64408	826.045977011	474.0
SRR521198	20.0986	648.596491228	350.0
SRR521199	22.45107	706.915254237	373.0
SRR521200	21.64814	614.0	370.0
SRR521201	12.50751	344.923076923	218.0
SRR521202	11.98676	315.034482759	189.0
SRR521203	22.35978	763.090909091	408.0
SRR521204	11.85342	361.0	181.0
SRR521205	23.03203	712.015384615	384.0
SRR521206	11.45102	331.8125	163.0
SRR521207	25.49932	838.178571429	408.0
SRR521208	12.10279	420.0	192.0
SRR521209	15.57267	420.6	228.0
SRR521210	8.98833	232.75	112.0
SRR521211	24.39954	807.344827586	407.0
SRR521212	22.09647	685.278688525	372.0
SRR521213	22.18357	769.666666667	371.0
SRR521214	18.72278	520.385964912	311.0
SRR521215	25.84209	1005.51785714	463.0
SRR521216	15.89857	403.576923077	217.0
SRR521217	12.41987	322.243243243	214.0
SRR521219	22.91705	955.765957447	410.0
SRR521220	19.11126	654.842105263	353.0
SRR521221	27.18275	941.272727273	504.0
SRR521222	21.18975	574.38028169	355.0
SRR521223	11.69145	317.5	193.0
SRR521224	11.09752	213.333333333	162.0
SRR521225	25.13071	845.514285714	446.0
SRR521226	25.36358	717.9375	446.0
SRR521227	29.08486	1121.36842105	470.0
SRR521228	5.08128	115.428571429	40.0
SRR521229	11.5888	374.4	192.0
SRR521230	22.59383	648.269230769	335.0
SRR521231	11.3048	247.0	178.0
SRR521232	13.83304	304.333333333	198.0
SRR521233	19.69402	583.477272727	298.0
SRR521234	11.22272	219.096774194	162.0
SRR521235	17.37782	515.09375	249.0
SRR521236	16.04153	417.567567568	231.0
SRR521237	14.98862	371.137931034	190.0
SRR521238	12.18376	283.757575758	188.0
SRR521239	14.44506	341.636363636	212.0
SRR521240	11.03778	288.736842105	188.0
SRR521241	16.91215	406.0	238.0
SRR521242	18.2411	489.734693878	294.0
SRR521243	16.50949	611.576923077	248.0
SRR521244	13.03821	375.96875	215.0
SRR521245	18.02175	495.52173913	284.0
SRR521246	12.09996	373.055555556	170.0
SRR521247	16.13378	451.103448276	229.0
SRR521248	12.81673	278.666666667	190.0
SRR521249	18.41014	515.736842105	256.0
SRR521250	23.04644	650.214285714	380.0
SRR521251	11.79506	305.25	160.0
SRR521252	16.70602	423.117647059	237.0
SRR521253	14.59376	322.833333333	204.0
SRR521254	17.01493	374.272727273	233.0
SRR521255	14.74569	348.03030303	204.0
SRR521256	14.00795	397.5	212.0
SRR521257	14.42237	361.236842105	223.0
SRR521258	15.42055	377.303030303	215.0
SRR521259	12.59752	272.277777778	191.0
SRR521260	11.37291	305.535714286	184.0
SRR521261	11.35277	261.40625	177.0
SRR521262	12.93952	354.0	207.0
SRR521263	18.03063	512.03125	250.0
SRR521264	19.51045	537.875	251.0
SRR521265	17.30531	416.042553191	259.0
