	PD_whole_tree	chao1	observed_otus
SRR515153	17.14022	494.923076923	249.0
SRR518987	17.73123	520.947368421	250.0
SRR521172	18.54371	538.553191489	278.0
SRR521173	17.4744	562.7	243.0
SRR521174	14.53642	480.8	230.0
SRR521175	18.14052	588.022222222	280.0
SRR521176	18.53533	722.935483871	265.0
SRR521177	15.64897	413.024390244	233.0
SRR521178	15.86389	417.146341463	222.0
SRR521179	16.309	455.294117647	231.0
SRR521180	18.24335	597.075	267.0
SRR521181	20.99891	644.72	308.0
SRR521182	18.24052	516.416666667	250.0
SRR521183	16.18121	433.717391304	240.0
SRR521184	15.65078	412.228571429	215.0
SRR521185	16.63519	419.256410256	230.0
SRR521186	14.39749	411.129032258	207.0
SRR521187	13.73576	454.357142857	212.0
SRR521188	17.76649	558.87804878	264.0
SRR521189	17.28994	498.466666667	260.0
SRR521190	17.27111	540.5	260.0
SRR521191	19.72703	577.7	287.0
SRR521192	13.06654	368.037037037	192.0
SRR521193	18.5091	599.153846154	273.0
SRR521194	17.30452	651.84	240.0
SRR521195	16.9087	460.87804878	250.0
SRR521196	17.86446	528.395833333	270.0
SRR521197	18.34216	555.666666667	273.0
SRR521198	15.34761	445.857142857	240.0
SRR521199	18.30324	538.666666667	270.0
SRR521200	15.764	465.848484848	231.0
SRR521201	10.61526	283.615384615	159.0
SRR521202	10.07504	247.916666667	153.0
SRR521203	15.86624	458.45	239.0
SRR521204	10.84184	238.44	150.0
SRR521205	19.186	662.5	280.0
SRR521206	9.78532	221.352941176	134.0
SRR521207	20.34264	589.146341463	275.0
SRR521208	9.46119	279.8	152.0
SRR521209	13.11429	383.272727273	176.0
SRR521211	19.19708	613.5	267.0
SRR521212	16.12121	518.451612903	231.0
SRR521213	16.90674	723.4	246.0
SRR521214	14.47368	400.567567568	214.0
SRR521215	18.57161	628.916666667	280.0
SRR521216	13.52907	376.6875	164.0
SRR521217	10.48722	254.12	149.0
SRR521219	16.20755	737.875	247.0
SRR521220	15.329	538.125	255.0
SRR521221	20.30963	644.625	309.0
SRR521222	15.29312	409.525	225.0
SRR521223	10.46897	259.55	149.0
SRR521224	10.21392	195.363636364	152.0
SRR521225	18.66806	583.25	281.0
SRR521226	18.58695	658.857142857	288.0
SRR521227	19.56737	727.0	287.0
SRR521229	10.13845	355.666666667	162.0
SRR521230	19.4679	549.857142857	273.0
SRR521231	9.9497	227.3125	154.0
SRR521232	12.34915	319.047619048	157.0
SRR521233	15.04245	419.0	193.0
SRR521234	10.18455	195.666666667	149.0
SRR521235	14.11615	322.0	181.0
SRR521236	13.44848	344.896551724	181.0
SRR521237	13.91089	367.954545455	165.0
SRR521238	10.23839	234.636363636	143.0
SRR521239	12.12145	319.64	170.0
SRR521240	8.90406	242.636363636	136.0
SRR521241	14.24126	327.615384615	177.0
SRR521242	13.01927	369.777777778	179.0
SRR521243	15.00272	482.043478261	202.0
SRR521244	10.38036	270.181818182	154.0
SRR521245	13.15916	374.230769231	180.0
SRR521246	11.22271	315.647058824	148.0
SRR521247	13.45839	320.2	174.0
SRR521248	11.49154	291.136363636	165.0
SRR521249	14.78084	338.464285714	179.0
SRR521250	16.41107	477.459459459	233.0
SRR521252	13.22945	288.0	183.0
SRR521253	13.25261	284.447368421	186.0
SRR521254	15.76561	362.0	203.0
SRR521255	11.43478	267.913043478	144.0
SRR521256	12.54268	308.103448276	170.0
SRR521257	12.23518	346.538461538	182.0
SRR521258	12.67763	318.454545455	160.0
SRR521259	11.03621	266.130434783	155.0
SRR521260	9.84021	287.05	152.0
SRR521261	11.13907	280.75	162.0
SRR521262	11.50016	336.5	177.0
SRR521263	14.54981	335.7	190.0
SRR521264	15.69524	396.833333333	197.0
SRR521265	12.52949	367.807692308	185.0
