	SRR515153	SRR518987	SRR521172	SRR521173	SRR521174	SRR521175	SRR521176	SRR521177	SRR521178	SRR521179	SRR521180	SRR521181	SRR521182	SRR521183	SRR521184	SRR521185	SRR521186	SRR521187	SRR521188	SRR521189	SRR521190	SRR521191	SRR521192	SRR521193	SRR521194	SRR521195	SRR521196	SRR521197	SRR521198	SRR521199	SRR521200	SRR521201	SRR521202	SRR521203	SRR521204	SRR521205	SRR521206	SRR521207	SRR521208	SRR521209	SRR521210	SRR521211	SRR521212	SRR521213	SRR521214	SRR521215	SRR521216	SRR521217	SRR521219	SRR521220	SRR521221	SRR521222	SRR521223	SRR521224	SRR521225	SRR521226	SRR521227	SRR521228	SRR521229	SRR521230	SRR521231	SRR521232	SRR521233	SRR521234	SRR521235	SRR521236	SRR521237	SRR521238	SRR521239	SRR521240	SRR521241	SRR521242	SRR521243	SRR521244	SRR521245	SRR521246	SRR521247	SRR521248	SRR521249	SRR521250	SRR521251	SRR521252	SRR521253	SRR521254	SRR521255	SRR521256	SRR521257	SRR521258	SRR521259	SRR521260	SRR521261	SRR521262	SRR521263	SRR521264	SRR521265
SRR515153	0.0	0.322869955157	0.313593539704	0.431316042267	0.412721186035	0.467933491686	0.501988862371	0.407479833781	0.44794188862	0.384251596122	0.524365596227	0.630055248619	0.448928472029	0.394444444444	0.503169758159	0.436552620182	0.408755533694	0.485372340426	0.439982249834	0.52967806841	0.466870763175	0.454203851574	0.467003908945	0.344473007712	0.283123425693	0.456275720165	0.432744043044	0.402998846597	0.436821192053	0.452112306481	0.415481070653	0.426975259377	0.448418563405	0.464697738809	0.467599634925	0.477022305832	0.488023952096	0.50252016129	0.47734580532	0.495207667732	0.840152235966	0.50430210325	0.470806302132	0.555895865237	0.473379019504	0.518718989626	0.522363335174	0.426689436448	0.493014871564	0.506605554058	0.510791366906	0.478046373952	0.471309192201	0.483810122603	0.502778448901	0.45832290363	0.47619047619	0.966404199475	0.398145378403	0.549194991055	0.518340348767	0.531127313517	0.686438592173	0.56669820246	0.639581657281	0.552873563218	0.544943820225	0.496443812233	0.455804932114	0.419691969197	0.584585952446	0.646209386282	0.397940642035	0.417802726544	0.560296846011	0.617323852618	0.587980352499	0.504531722054	0.694924554184	0.402693915467	0.605045045045	0.675143560295	0.496458467482	0.578021978022	0.663244353183	0.593794886527	0.512408759124	0.581116327595	0.435215946844	0.493529411765	0.517753389283	0.511886849233	0.550899970493	0.588183161004	0.463879333157
SRR518987	0.322869955157	0.0	0.345474922948	0.446988551518	0.433597621407	0.461981883063	0.491862068966	0.433206590621	0.459337349398	0.38329659564	0.54539122359	0.620461292533	0.427908326081	0.403775563713	0.501094091904	0.450357781753	0.422959183673	0.501603298213	0.441871130475	0.504960835509	0.485882087192	0.467898832685	0.484653818701	0.345085470085	0.300209205021	0.451095670764	0.444237423476	0.413702554309	0.457701846239	0.454297407913	0.421144713822	0.445336285635	0.492740191535	0.464660936008	0.504616364215	0.481958041958	0.554790231684	0.499738356881	0.513893129771	0.515789473684	0.833333333333	0.504210004953	0.484412470024	0.553552492047	0.464912280702	0.532649253731	0.548906789413	0.453579559828	0.504659832246	0.514454111704	0.500232450023	0.475946775844	0.50406504065	0.507742998353	0.509140996744	0.446089893479	0.464987405542	0.964752700398	0.425086018142	0.574812967581	0.514465408805	0.553216374269	0.702323206536	0.605289256198	0.668434272956	0.579484103179	0.548724656638	0.520926090828	0.453652902108	0.418911174785	0.594079134643	0.669515669516	0.405576679341	0.415299026426	0.568410945751	0.647218453189	0.610256410256	0.509481668774	0.703343812518	0.399038461538	0.602130087486	0.707775562518	0.495945945946	0.590654820665	0.709866666667	0.635382308846	0.531564501372	0.620390455531	0.457587997692	0.483097725876	0.5027100271	0.500157381177	0.572617946346	0.631367706082	0.45444536196
SRR521172	0.313593539704	0.345474922948	0.0	0.457382953181	0.455892899833	0.498680738786	0.514846235419	0.436461388074	0.480029048656	0.427895981087	0.536596317916	0.612903225806	0.471897607123	0.429437010856	0.517370892019	0.456159341849	0.440865502828	0.480168402393	0.482253771074	0.53482524516	0.477044162659	0.472646161071	0.503448275862	0.359033667438	0.320574162679	0.490357418359	0.449282786885	0.435885608856	0.445974576271	0.482161594963	0.438765670203	0.427127659574	0.484042553191	0.464821222607	0.490267639903	0.483073616335	0.529482190961	0.487528344671	0.483343074226	0.51237689646	0.838326200666	0.494384707288	0.485290711142	0.538147486604	0.462450592885	0.508455467869	0.532431686448	0.471219512195	0.498986258166	0.498113207547	0.481681276691	0.465844636252	0.488721804511	0.509113764928	0.484057971014	0.481981981982	0.47534612582	0.9685204617	0.435406698565	0.54217585693	0.527502254283	0.533501541912	0.68405511811	0.554224464061	0.623056300268	0.557023843723	0.546333853354	0.515927189989	0.458725761773	0.453945559527	0.589071038251	0.650530785563	0.414471692401	0.444681988242	0.551588221655	0.589660743134	0.589832466782	0.509513742072	0.695556774547	0.448339911772	0.597982708934	0.667031164571	0.490183456711	0.598870056497	0.665896843726	0.598506605399	0.53415061296	0.607822685789	0.470799889289	0.494854454572	0.519845111326	0.512033694344	0.556932153392	0.611931482575	0.44708994709
SRR521173	0.431316042267	0.446988551518	0.457382953181	0.0	0.461139896373	0.492333097429	0.445628997868	0.427879321735	0.428384279476	0.36695875187	0.471751988578	0.55175879397	0.453870887954	0.456689342404	0.521342110852	0.387924230466	0.330823737821	0.544538492543	0.430300585031	0.483054676909	0.454509257416	0.309260832625	0.505313607001	0.427649769585	0.433484162896	0.470262793914	0.43257523547	0.447857889237	0.446153846154	0.450363764375	0.415270828801	0.475885008316	0.502217584138	0.528428093645	0.596467754884	0.455286502038	0.582058047493	0.448166591218	0.591836734694	0.613409415121	0.877742946708	0.552870090634	0.521191775073	0.572802197802	0.515080113101	0.552006552007	0.621807465619	0.475489118488	0.540098199673	0.53835056504	0.523887300939	0.500888099467	0.592079207921	0.537317543376	0.525386794509	0.392125984252	0.378887428822	0.974522292994	0.481149485895	0.586750788644	0.556673728814	0.616533864542	0.727010857523	0.680198840099	0.698492462312	0.629007633588	0.603174603175	0.551071878941	0.537817196354	0.477239353891	0.641275249452	0.700329521225	0.507462686567	0.503221188261	0.62620747585	0.714446952596	0.646637688571	0.593617021277	0.722588522589	0.431034482759	0.698604651163	0.732164597029	0.579865016873	0.61265474553	0.734008283479	0.682014754515	0.551483870968	0.619514472456	0.486459871984	0.536623376623	0.583427282976	0.570633448184	0.549361812972	0.656844850065	0.554977536061
SRR521174	0.412721186035	0.433597621407	0.455892899833	0.461139896373	0.0	0.450317124736	0.517338995046	0.359947356877	0.374510656807	0.371087928465	0.473277789067	0.633486881634	0.487318394484	0.285907859079	0.467738523376	0.396382225718	0.41067490075	0.441767068273	0.292060301508	0.523852385239	0.400912517358	0.504866694879	0.395474361636	0.439192290041	0.388463271744	0.439393939394	0.422557767101	0.347491151364	0.449917511195	0.46529562982	0.277139761647	0.408090844571	0.452609711763	0.43273635985	0.520639147803	0.547386010981	0.513130252101	0.557709648332	0.516585240422	0.526988636364	0.870817120623	0.507308684437	0.430602006689	0.596443228454	0.493664946035	0.525907792738	0.551100244499	0.355813444274	0.454137790461	0.566674646876	0.484947111473	0.449800973021	0.512074913751	0.472184160044	0.516388105058	0.51333183957	0.508289703316	0.974715549937	0.417475728155	0.630036630037	0.499209277807	0.544868616758	0.701611123372	0.600439681231	0.67357636407	0.515197568389	0.515795206972	0.458699472759	0.475594800098	0.332846003899	0.543494063484	0.661193741549	0.461538461538	0.410786410074	0.564016736402	0.660864682762	0.573428353271	0.503970354685	0.694140530027	0.366987850859	0.657107616405	0.707636363636	0.538332400672	0.594853545031	0.685609532539	0.626740947075	0.508348317493	0.547652254765	0.428921568627	0.483971044467	0.494111048794	0.499340543392	0.527093596059	0.552037373475	0.450435601601
SRR521175	0.467933491686	0.461981883063	0.498680738786	0.492333097429	0.450317124736	0.0	0.375975039002	0.37734037446	0.39548156956	0.427044609665	0.518992932862	0.600869565217	0.374045801527	0.431970260223	0.503922473466	0.433624547198	0.432987201159	0.548288641814	0.470536883457	0.492470994816	0.40017211704	0.501038541426	0.476943942134	0.486506935687	0.478862793572	0.3080999243	0.399195575666	0.443083900227	0.416103896104	0.35460627895	0.460445286594	0.550339071466	0.587622903412	0.489226581991	0.668649613325	0.505268703899	0.665592972182	0.536482809795	0.674485125858	0.680501174628	0.838309600367	0.578774360178	0.500797084946	0.617330328074	0.554406823469	0.585273896651	0.703543413579	0.50790608529	0.503656104587	0.556025369979	0.550298474464	0.545652700412	0.664392905866	0.624078624079	0.574276222117	0.469287469287	0.492722500597	0.965656565657	0.509069631363	0.673957421989	0.587180241106	0.653391925295	0.752054132431	0.725816389402	0.753943217666	0.680450070323	0.670631290027	0.607242339833	0.617263843648	0.469145782808	0.700589180503	0.752090301003	0.580692922712	0.50786163522	0.64030088899	0.724834332597	0.682692307692	0.617134416544	0.759677419355	0.431636612646	0.660350877193	0.759378349411	0.657340458975	0.649693251534	0.74666330899	0.678290213723	0.629142857143	0.67613200307	0.540005424464	0.544172661871	0.599117554365	0.585638610948	0.631062355658	0.718497109827	0.56875973015
SRR521176	0.501988862371	0.491862068966	0.514846235419	0.445628997868	0.517338995046	0.375975039002	0.0	0.424783027965	0.413422498209	0.48623425105	0.531263858093	0.562636403317	0.360547945205	0.475230271347	0.531510658017	0.48192513369	0.448459859326	0.60954256949	0.514460999124	0.484254897099	0.425485961123	0.492931633835	0.512482977758	0.50291360527	0.499379190464	0.323700887199	0.379292929293	0.475409836066	0.405532359081	0.32006204757	0.492388201713	0.562368972746	0.598255813953	0.566385789114	0.666267942584	0.498676548438	0.642625846335	0.504596273292	0.665899942496	0.691056910569	0.86660490968	0.569441169535	0.551795106334	0.644779874214	0.59491041288	0.584502338009	0.677086164719	0.561597690087	0.576418242492	0.602761550717	0.547613762486	0.57188032109	0.658897724157	0.630636195182	0.564823641563	0.460513326752	0.449796309609	0.969418960245	0.53	0.646437994723	0.60035471475	0.643389456252	0.738349514563	0.749690210657	0.755942947702	0.695787390444	0.657773689052	0.622620380739	0.589198036007	0.531004603304	0.680839612487	0.746118338229	0.579041381364	0.525013164824	0.654840924697	0.727070771184	0.677657760091	0.615681615682	0.724473257699	0.458629383452	0.688559322034	0.761981690899	0.642744230161	0.62924120913	0.74348596003	0.694177501413	0.624353819644	0.69468003084	0.562823657672	0.547584610934	0.598732171157	0.602958579882	0.636099825885	0.707728065078	0.567778936392
SRR521177	0.407479833781	0.433206590621	0.436461388074	0.427879321735	0.359947356877	0.37734037446	0.424783027965	0.0	0.25094297759	0.34737299175	0.444720496894	0.581395348837	0.411083123426	0.37560525709	0.416738567731	0.371371371371	0.377447670493	0.46737574146	0.396396396396	0.493223064553	0.270303030303	0.455879180151	0.356326703343	0.439418795407	0.419829767656	0.380070339977	0.316822429907	0.388370118846	0.321290944123	0.377268385864	0.382847038019	0.468568665377	0.502127659574	0.424326045426	0.582969432314	0.490971205466	0.584073177294	0.5166858458	0.585571353344	0.580933946286	0.855586930214	0.516334137251	0.434903047091	0.59394644936	0.515703668185	0.540220328414	0.6224056014	0.382931188561	0.445482866044	0.540871267744	0.495544041451	0.494922139472	0.570960423494	0.539629005059	0.525686448184	0.469350411711	0.476964166481	0.97458369851	0.444623655914	0.638166711337	0.521469079125	0.582551356835	0.724324324324	0.63190529876	0.689235265465	0.6245786881	0.614074280927	0.510791366906	0.534370296036	0.366558684276	0.644697720515	0.693275658671	0.50258222343	0.437105390966	0.592237150778	0.660040334198	0.634705575821	0.541090317331	0.724017901542	0.346145633141	0.638324873096	0.704511650967	0.585989089865	0.591240875912	0.698572431547	0.633488854329	0.571278274592	0.595820470197	0.447480571572	0.487953402171	0.553956834532	0.540540540541	0.54965480616	0.671982987772	0.487006737247
SRR521178	0.44794188862	0.459337349398	0.480029048656	0.428384279476	0.374510656807	0.39548156956	0.413422498209	0.25094297759	0.0	0.353713670614	0.479153830355	0.587532888079	0.412821152407	0.38071297989	0.463529411765	0.392133492253	0.378848728246	0.513798701299	0.405240706886	0.506830601093	0.261976347966	0.453145057766	0.379643231899	0.442638179285	0.440948472412	0.368959107807	0.291039592498	0.401389181225	0.306132188022	0.371658386563	0.381547227701	0.488383233533	0.525664648592	0.444210526316	0.633270321361	0.493352671018	0.594781682641	0.525547445255	0.620015637217	0.636145733461	0.865766481334	0.503043478261	0.439137785292	0.622058144901	0.554394299287	0.543092783505	0.670133729569	0.407751937984	0.453646477132	0.572848484848	0.502878289474	0.531543624161	0.625561657514	0.562969140951	0.513501646542	0.461346633416	0.477493380406	0.976734166308	0.462090981644	0.642970822281	0.520577231427	0.586137619287	0.73163652601	0.675494842487	0.711942098914	0.655030800821	0.627624309392	0.544136352073	0.550310559006	0.35982230997	0.666257668712	0.705365853659	0.532006455083	0.456819821987	0.591370558376	0.689458689459	0.651792623162	0.58615136876	0.721250923418	0.34985175773	0.642118458164	0.726491529585	0.612152186258	0.597334073868	0.710111317254	0.639209648448	0.589169487113	0.619764705882	0.457298907646	0.493186582809	0.579965850882	0.567798876705	0.552693823916	0.68271507498	0.513230035757
SRR521179	0.384251596122	0.38329659564	0.427895981087	0.36695875187	0.371087928465	0.427044609665	0.48623425105	0.34737299175	0.353713670614	0.0	0.460950080515	0.609126984127	0.437682570594	0.373407821229	0.430666108085	0.284628872005	0.292730844794	0.456932564154	0.378733572282	0.504787352483	0.377751572327	0.374397653467	0.376233552632	0.378433598184	0.336900780379	0.423120599591	0.397012222725	0.35587628866	0.403263403263	0.415164123902	0.357357357357	0.374824520356	0.429451000513	0.406475561972	0.538137822199	0.512275731822	0.496757457847	0.514610751729	0.506097560976	0.520487005385	0.865494841421	0.473079378591	0.41999586007	0.589442815249	0.478301229984	0.508183471408	0.555716702925	0.320762895535	0.439127801333	0.535037878788	0.489018738666	0.47778507332	0.520584652862	0.457792207792	0.510098839708	0.478492239468	0.482617145325	0.974380165289	0.39709694142	0.588524166451	0.461598542046	0.520215633423	0.670161642639	0.616386326641	0.648444863336	0.559949937422	0.549878999731	0.47841191067	0.461687681862	0.358708744881	0.568758984188	0.636676875957	0.437254388263	0.376409774436	0.531800290035	0.622055971183	0.582997987928	0.484967320261	0.674038461538	0.312175897117	0.626747720365	0.679769894535	0.499033416183	0.552432432432	0.646338698708	0.595095095095	0.5	0.539664290642	0.42573297795	0.430906768838	0.491835040133	0.466388744138	0.512295081967	0.611282051282	0.436888681882
