	SRR515153	SRR518987	SRR521172	SRR521173	SRR521174	SRR521175	SRR521176	SRR521177	SRR521178	SRR521179	SRR521180	SRR521181	SRR521182	SRR521183	SRR521184	SRR521185	SRR521186	SRR521187	SRR521188	SRR521189	SRR521190	SRR521191	SRR521192	SRR521193	SRR521194	SRR521195	SRR521196	SRR521197	SRR521198	SRR521199	SRR521200	SRR521201	SRR521202	SRR521203	SRR521204	SRR521205	SRR521206	SRR521207	SRR521208	SRR521209	SRR521211	SRR521212	SRR521213	SRR521214	SRR521215	SRR521216	SRR521217	SRR521219	SRR521220	SRR521221	SRR521222	SRR521223	SRR521224	SRR521225	SRR521226	SRR521227	SRR521229	SRR521230	SRR521231	SRR521232	SRR521233	SRR521234	SRR521235	SRR521236	SRR521237	SRR521238	SRR521239	SRR521240	SRR521241	SRR521242	SRR521243	SRR521244	SRR521245	SRR521246	SRR521247	SRR521248	SRR521249	SRR521250	SRR521252	SRR521253	SRR521254	SRR521255	SRR521256	SRR521257	SRR521258	SRR521259	SRR521260	SRR521261	SRR521262	SRR521263	SRR521264	SRR521265
SRR515153	0.0	0.06439435	0.10967159	0.20827625	0.10736633	0.17892581	0.22046562	0.08627641	0.11474698	0.07268103	0.2142397	0.42651899	0.15825579	0.09364192	0.13018444	0.11983433	0.08190937	0.12509944	0.15826404	0.29258172	0.16000927	0.23878469	0.15638056	0.10974215	0.08914304	0.15282248	0.16353667	0.1541911	0.17877216	0.16164715	0.11552873	0.28584265	0.28965784	0.11833316	0.2927695	0.30875335	0.30656818	0.30961566	0.28730102	0.28058544	0.16990361	0.1692898	0.3550671	0.15150102	0.28074621	0.25778572	0.28848624	0.19107854	0.28234354	0.2408471	0.18889541	0.28659308	0.31547271	0.28578928	0.27196158	0.31549839	0.28248768	0.2981462	0.31467867	0.27558105	0.33502123	0.33428354	0.21098939	0.24648417	0.29415084	0.30636001	0.2666034	0.30357508	0.25289712	0.23141917	0.22881381	0.28660883	0.21750166	0.2591852	0.25593119	0.2856963	0.29832361	0.08329911	0.26453928	0.2507433	0.18105916	0.23851765	0.25566032	0.25432571	0.29103945	0.29095365	0.29367358	0.30178942	0.29261687	0.18524739	0.20217403	0.27419846
SRR518987	0.06439435	0.0	0.11556928	0.21891716	0.1090577	0.1919725	0.22557117	0.0910676	0.12191657	0.08237808	0.22938267	0.42898974	0.1644264	0.10943087	0.12462263	0.1348883	0.09290126	0.12898403	0.16381051	0.29260565	0.1713536	0.2428526	0.16403575	0.10646226	0.08193389	0.16887425	0.1763954	0.16964849	0.18850333	0.17574492	0.12454652	0.28941406	0.29252541	0.13139161	0.29392005	0.31681016	0.31284369	0.31333297	0.29032953	0.28010133	0.17743812	0.18365409	0.36320073	0.16040747	0.28901084	0.25594433	0.29221987	0.20242021	0.28832437	0.24588607	0.195145	0.28727477	0.3150639	0.29414005	0.28264499	0.32407368	0.28995843	0.30684945	0.31073062	0.2742423	0.34020584	0.33635967	0.22027824	0.24520958	0.29483575	0.30574174	0.26336689	0.30663179	0.24941223	0.23038208	0.22924924	0.2818652	0.22164385	0.26417569	0.25615766	0.28371447	0.30001886	0.08384948	0.27821817	0.24884917	0.17920429	0.24723112	0.25908781	0.2541316	0.29387864	0.29164846	0.28721485	0.29697635	0.28642892	0.18727826	0.20414412	0.27000279
SRR521172	0.10967159	0.11556928	0.0	0.15134632	0.161115	0.13494086	0.17466027	0.14138242	0.12480769	0.1393541	0.17478637	0.36814468	0.10640672	0.10464717	0.18409087	0.08306756	0.11766296	0.16416607	0.10677387	0.24084019	0.11904316	0.1899154	0.22109445	0.09826398	0.13602881	0.11931417	0.11672386	0.11863101	0.12144447	0.11917696	0.08614696	0.3337227	0.33674325	0.08338721	0.33913849	0.2445084	0.35301665	0.24701101	0.33535073	0.32643643	0.11891056	0.11782471	0.29367671	0.10802983	0.22609854	0.30177531	0.35078291	0.13620561	0.22012981	0.18993293	0.12429856	0.33349869	0.35696236	0.22426433	0.21681921	0.25569724	0.33328687	0.24971697	0.35750912	0.32091952	0.32307138	0.37346631	0.19580938	0.28791178	0.33756137	0.35112718	0.31270997	0.35916931	0.29952479	0.2751602	0.27165928	0.33659738	0.26554853	0.30045905	0.298177	0.33241571	0.2810921	0.15060322	0.21874721	0.29772217	0.22729143	0.28641212	0.30134769	0.2981874	0.3436477	0.34128394	0.33931943	0.34960811	0.334827	0.22623168	0.24772248	0.32190055
SRR521173	0.20827625	0.21891716	0.15134632	0.0	0.24858718	0.10905324	0.09194269	0.2218036	0.19315089	0.21933186	0.09287131	0.28259728	0.12787478	0.19535543	0.27051467	0.14172536	0.18640602	0.25853763	0.13022435	0.16511699	0.12371674	0.09031596	0.30608359	0.17807992	0.23789831	0.14056517	0.11323284	0.11395487	0.13403369	0.11752638	0.16797292	0.42708306	0.42453399	0.17048999	0.43950451	0.16405552	0.44507415	0.16310555	0.43385213	0.42551257	0.15383724	0.13535659	0.22360113	0.18829197	0.15728478	0.39843647	0.44041079	0.12920111	0.15557797	0.12128669	0.15728736	0.43235313	0.44750032	0.16018079	0.11838241	0.1625769	0.42339919	0.21784307	0.45042496	0.4185409	0.3099362	0.47277947	0.26003286	0.38212208	0.42478691	0.44254718	0.40644505	0.45331063	0.39088553	0.36990192	0.36894292	0.43599546	0.35935421	0.39803557	0.39216782	0.42808005	0.31556528	0.2344813	0.21127955	0.39399989	0.31467719	0.3808479	0.40022401	0.38477444	0.43075772	0.4271607	0.43444061	0.44078961	0.42753346	0.31182576	0.33852386	0.42175805
SRR521174	0.10736633	0.1090577	0.161115	0.24858718	0.0	0.21250618	0.26307777	0.09119858	0.13315153	0.09135218	0.25220431	0.46074686	0.19203898	0.10448197	0.10778253	0.17195132	0.12244422	0.09966227	0.16820327	0.32907407	0.19305988	0.28083946	0.11417493	0.15862952	0.08939275	0.19145535	0.19985924	0.18796807	0.21026015	0.19905254	0.1226199	0.2564675	0.26636977	0.16618971	0.27296061	0.35594248	0.28607157	0.35417685	0.26847529	0.26229235	0.2150614	0.20832371	0.39406745	0.19221485	0.32214052	0.23891415	0.25425417	0.23022459	0.32388903	0.27378673	0.22064582	0.26757101	0.28678118	0.32758393	0.30933167	0.35296386	0.24959423	0.35190831	0.28430468	0.25275124	0.37279228	0.30476861	0.25415376	0.2177374	0.26153215	0.27216376	0.24537021	0.26248783	0.22550647	0.23896304	0.20500338	0.2576559	0.19418883	0.23782191	0.22649262	0.25959681	0.33144164	0.07725396	0.31745705	0.23278681	0.19516127	0.22289036	0.23857467	0.22836204	0.26319748	0.25710552	0.26537201	0.27278263	0.26385748	0.1642868	0.1739536	0.23957333
SRR521175	0.17892581	0.1919725	0.13494086	0.10905324	0.21250618	0.0	0.11250305	0.17109782	0.15357095	0.19282396	0.10806795	0.32356986	0.08379586	0.15340293	0.22435001	0.11815622	0.1761744	0.22460013	0.11167809	0.18833187	0.07408362	0.14707538	0.25870303	0.16370092	0.21524905	0.08974113	0.0781222	0.09937841	0.09312487	0.0872186	0.14516788	0.40150256	0.41351197	0.12862745	0.41584465	0.2026461	0.43279753	0.21372997	0.41464323	0.40431523	0.1370724	0.09825923	0.24890717	0.16001405	0.20203716	0.38421551	0.40146507	0.09855511	0.18032653	0.15828395	0.13310624	0.40974873	0.4310846	0.20296433	0.16922429	0.2155588	0.39036951	0.24606283	0.42464028	0.39616244	0.3287518	0.45065997	0.24336122	0.36244924	0.41006479	0.41729686	0.38869417	0.40647485	0.37372263	0.3496721	0.35070374	0.40057854	0.33253053	0.37529163	0.3742006	0.40420231	0.31107518	0.20070124	0.21564135	0.37485137	0.29846541	0.35814374	0.37467583	0.36874068	0.40969722	0.4053645	0.40671441	0.41463083	0.40209052	0.29391376	0.3199896	0.39789805
SRR521176	0.22046562	0.22557117	0.17466027	0.09194269	0.26307777	0.11250305	0.0	0.22036589	0.19976238	0.24289727	0.10061398	0.27506393	0.12566983	0.20702318	0.27508778	0.15806465	0.20536571	0.28213224	0.14906644	0.15412134	0.12520899	0.11330393	0.30624978	0.20953831	0.26135954	0.12208152	0.11641801	0.12601778	0.13805618	0.10916441	0.19033531	0.44094855	0.44532334	0.18640262	0.45117788	0.16304421	0.463149	0.16084896	0.4501706	0.44357862	0.16556555	0.15099572	0.22083744	0.2161244	0.15152333	0.40972048	0.4539396	0.14684062	0.16154568	0.10727586	0.18563727	0.44353244	0.46901573	0.1574844	0.12608948	0.16176697	0.4393915	0.21099014	0.46328233	0.42881111	0.30486181	0.49086248	0.27893561	0.39922899	0.438624	0.46113595	0.41743558	0.46056584	0.40271256	0.37820107	0.38321611	0.43731261	0.37242378	0.4104904	0.40503475	0.43877202	0.32435325	0.24149517	0.22106196	0.40790568	0.32624806	0.39415305	0.41102388	0.40086011	0.44720541	0.44154217	0.43798562	0.45074106	0.43674085	0.33090857	0.34890041	0.4282428
SRR521177	0.08627641	0.0910676	0.14138242	0.2218036	0.09119858	0.17109782	0.22036589	0.0	0.09451141	0.0714449	0.21918021	0.4350925	0.1583925	0.10382109	0.10090267	0.13722788	0.10161586	0.12448083	0.16712275	0.30227585	0.14498052	0.25928884	0.12705771	0.13988266	0.10500301	0.15222563	0.15654972	0.18081199	0.15971909	0.1624423	0.12170714	0.2809638	0.28934989	0.13438417	0.29980313	0.3233211	0.31482091	0.32494011	0.29777325	0.28827087	0.19474708	0.18590927	0.36840977	0.16689649	0.30598262	0.26717013	0.27373889	0.20681599	0.29373317	0.25232049	0.20109654	0.29459409	0.31353988	0.30977793	0.28658875	0.32795216	0.27724921	0.32837227	0.30857928	0.27929112	0.3641059	0.33307697	0.23050422	0.24812026	0.29801599	0.29569954	0.27317683	0.27722483	0.25854727	0.23896864	0.23267658	0.28201072	0.22088953	0.25833839	0.26069086	0.28305809	0.3219918	0.08583386	0.29158805	0.25961881	0.18267553	0.245369	0.25834851	0.25322434	0.29063028	0.2805574	0.28819171	0.30092121	0.2874412	0.1777829	0.2095832	0.27223483
SRR521178	0.11474698	0.12191657	0.12480769	0.19315089	0.13315153	0.15357095	0.19976238	0.09451141	0.0	0.12552647	0.20518422	0.39491537	0.13472949	0.08860022	0.15678174	0.11524659	0.10480985	0.17215608	0.13841538	0.27478838	0.11095335	0.22590971	0.17368028	0.10544339	0.15020836	0.13460158	0.12598525	0.15371636	0.12511712	0.14113429	0.10220503	0.32956497	0.33920938	0.1139452	0.36005386	0.28935285	0.3671886	0.29425246	0.3539069	0.34490456	0.16328107	0.15925846	0.3369312	0.15179952	0.27863921	0.32695504	0.3250117	0.17603256	0.2618216	0.22616608	0.17700511	0.35205622	0.36608601	0.27967916	0.24560844	0.29341223	0.32949362	0.31213494	0.36072255	0.33206287	0.36641411	0.38702478	0.24256409	0.30639115	0.34892936	0.34854805	0.32637608	0.32842022	0.31360236	0.28979293	0.28916943	0.33427405	0.26986804	0.3159644	0.31661817	0.33565606	0.32278867	0.12517323	0.27775326	0.31569204	0.22673246	0.30040271	0.31049998	0.30754975	0.33722399	0.32357907	0.33490422	0.35300448	0.34166475	0.23015619	0.26293693	0.31553044
SRR521179	0.07268103	0.08237808	0.1393541	0.21933186	0.09135218	0.19282396	0.24289727	0.0714449	0.12552647	0.0	0.22958949	0.44738046	0.17728148	0.11875155	0.10700671	0.13035628	0.08858376	0.11541467	0.17852969	0.31189407	0.17438002	0.2519504	0.13316125	0.13125082	0.08185149	0.17913691	0.18082804	0.17565437	0.19760843	0.17860058	0.13276616	0.26198214	0.26963937	0.13800791	0.28508437	0.33232804	0.29350247	0.33451587	0.28036197	0.26957381	0.1969066	0.19591513	0.38082447	0.17240203	0.31193554	0.25047169	0.26578505	0.20977561	0.30576763	0.26764283	0.21174512	0.27901957	0.2933535	0.31518867	0.29604667	0.34513744	0.26280001	0.32812919	0.29151196	0.26259856	0.35607166	0.31998563	0.2312759	0.23192612	0.28100087	0.28477868	0.25841687	0.28151901	0.23944985	0.22548126	0.21749388	0.26795788	0.20226093	0.24617033	0.24481612	0.26398919	0.31467964	0.07527156	0.28841475	0.24077957	0.17615631	0.22419834	0.24287411	0.23967584	0.27620476	0.27074318	0.27090433	0.28233011	0.27330358	0.1676638	0.19487172	0.25733805
