# Constructed from biom file
#OTU ID	SRR515153	SRR518987	SRR521172	SRR521173	SRR521174	SRR521175	SRR521176	SRR521177	SRR521178	SRR521179	SRR521180	SRR521181	SRR521182	SRR521183	SRR521184	SRR521185	SRR521186	SRR521187	SRR521188	SRR521189	SRR521190	SRR521191	SRR521192	SRR521193	SRR521194	SRR521195	SRR521196	SRR521197	SRR521198	SRR521199	SRR521200	SRR521201	SRR521202	SRR521203	SRR521204	SRR521205	SRR521206	SRR521207	SRR521208	SRR521209	SRR521210	SRR521211	SRR521212	SRR521213	SRR521214	SRR521215	SRR521216	SRR521217	SRR521219	SRR521220	SRR521221	SRR521222	SRR521223	SRR521224	SRR521225	SRR521226	SRR521227	SRR521228	SRR521229	SRR521230	SRR521231	SRR521232	SRR521233	SRR521234	SRR521235	SRR521236	SRR521237	SRR521238	SRR521239	SRR521240	SRR521241	SRR521242	SRR521243	SRR521244	SRR521245	SRR521246	SRR521247	SRR521248	SRR521249	SRR521250	SRR521251	SRR521252	SRR521253	SRR521254	SRR521255	SRR521256	SRR521257	SRR521258	SRR521259	SRR521260	SRR521261	SRR521262	SRR521263	SRR521264	SRR521265
k__Bacteria;p__;c__;o__;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000808407437348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000699300699301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000526592943655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000442673749447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000520291363163
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.000522466039707	0.0	0.0	0.0	0.0	0.0	0.00115207373272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000491883915396	0.000473260766682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013986013986	0.0	0.0	0.0	0.0	0.00105318588731	0.0	0.0	0.0	0.0	0.0	0.0	0.00169971671388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00117027501463	0.000453309156845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000554938956715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000682128240109	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000374812593703	0.0	0.0	0.000416319733555	0.000362187613184	0.0	0.0	0.0	0.0	0.0	0.000416493127863	0.0	0.0	0.0	0.0	0.000977517106549	0.0	0.0	0.0	0.0	0.000525762355415	0.000655307994758	0.0	0.0041958041958	0.0	0.000674308833446	0.000947418285173	0.000639386189258	0.00157977883096	0.0	0.0	0.0	0.0	0.000516262261229	0.000388048117967	0.00226628895184	0.000446030330062	0.0	0.0	0.0	0.00045516613564	0.0	0.000755287009063	0.000438212094654	0.0	0.000885347498893	0.0	0.0	0.00801603206413	0.00068073519401	0.00175541252194	0.00770625566636	0.00304414003044	0.00480769230769	0.000616142945163	0.0014847809948	0.00241254523522	0.00114155251142	0.0	0.00166481687014	0.00210378681627	0.000692041522491	0.0015923566879	0.0061099796334	0.00485044462409	0.00374064837905	0.0020646937371	0.00279642058166	0.0	0.00871459694989	0.00833333333333	0.00320256204964	0.0135542168675	0.00343305541932	0.00738916256158	0.00382653061224	0.00252908447142	0.000569800569801	0.000648088139987	0.0	0.000682128240109	0.00065274151436	0.00261780104712	0.000520291363163
k__Bacteria;p__Actinobacteria;c__OPB41;o__;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000416319733555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000421585160202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000473260766682	0.0	0.000488758553275	0.0	0.0	0.0	0.0	0.000525762355415	0.0	0.000403714170367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000429737859905	0.0	0.0	0.0	0.0	0.00056657223796	0.0	0.0	0.0	0.000385951370127	0.0	0.0	0.0	0.0	0.0	0.000442673749447	0.0	0.0	0.0	0.0	0.0	0.0	0.00076103500761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000408329930584	0.00108932461874	0.0	0.0	0.0	0.0	0.0	0.000637755102041	0.0	0.0	0.000648088139987	0.0	0.0	0.0	0.0	0.000520291363163
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.0236941303177	0.0268848626534	0.0156081808396	0.0156046814044	0.025376344086	0.0212215320911	0.0188087774295	0.0259623992838	0.0373955125385	0.0265598650927	0.0258089368259	0.058095952024	0.0167050691244	0.019495958155	0.0407993338884	0.0282506338283	0.0479855138072	0.00828625235405	0.02	0.00755073147711	0.019145802651	0.0174927113703	0.050963081862	0.0467289719626	0.0189304306673	0.0162481536189	0.019550342131	0.0258272800646	0.0166840458811	0.0138178096213	0.017903930131	0.0362776025237	0.0425950196592	0.0222042793702	0.0237762237762	0.0182403433476	0.0357383681726	0.0175272382757	0.0281329923274	0.0326487625066	0.0816326530612	0.0451224752901	0.0150467669784	0.000485201358564	0.00619514713474	0.0364765230889	0.0243626062323	0.0740410347904	0.010073614878	0.00161987041037	0.0428406020841	0.00136549840692	0.0265435660704	0.0256797583082	0.0319894829097	0.0121608980355	0.0194776449757	0.0208333333333	0.0121130551817	0.0187040748163	0.0279101429544	0.0392042129901	0.0213055303717	0.00684931506849	0.00747863247863	0.00616142945163	0.011135857461	0.0325693606755	0.0291095890411	0.0410342889264	0.0283018867925	0.015427769986	0.0249134948097	0.0382165605096	0.0399185336049	0.0137429264349	0.0137157107232	0.0447350309704	0.0151006711409	0.0355247039608	0.0533769063181	0.00166666666667	0.0256204963971	0.0579819277108	0.00490436488475	0.0326354679803	0.03125	0.0728376327769	0.0472934472934	0.051198963059	0.0370668815471	0.0225102319236	0.0124020887728	0.0143979057592	0.0520291363163
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.0	0.0	0.0	0.000433463372345	0.00516129032258	0.0	0.0	0.000447627573859	0.00087989441267	0.000421585160202	0.0	0.0	0.0	0.00142653352354	0.0	0.0	0.0	0.0	0.00264150943396	0.0	0.000368188512518	0.0	0.0	0.0	0.0	0.0	0.000488758553275	0.00161420500404	0.0	0.0	0.00480349344978	0.0	0.000655307994758	0.0	0.0	0.0	0.0	0.000473709142586	0.0	0.0	0.0	0.000429737859905	0.000813338755592	0.0	0.0	0.0	0.0	0.000446030330062	0.0	0.0	0.0	0.00045516613564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000585137507314	0.0	0.0	0.0	0.00308071472582	0.00742390497402	0.000603136308806	0.0	0.0	0.00277469478357	0.000350631136045	0.0	0.0	0.0	0.000808407437348	0.00623441396509	0.0	0.0	0.0	0.00108932461874	0.0	0.0	0.000753012048193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00458115183246	0.000520291363163
