	PD_whole_tree	chao1	observed_otus
EM031.441732	53.67968	2285.80861244	1426.0
EM032.441683	70.53043	2571.76848875	1864.0
EM033.441685	59.38254	2405.26859504	1770.0
EM034.441676	48.83036	1921.17307692	1382.0
EM035.441593	64.85526	2715.0031746	1861.0
EM036.441587	62.09001	2518.2192691	1758.0
EM037.441737	38.04864	1392.1025641	878.0
EM038.441649	59.29077	1983.3	1347.0
EM039.441743	62.46144	2428.5	1640.0
EM040.441709	48.55644	2090.98019802	1291.0
EM042.441674	59.64374	2398.42045455	1597.0
EM043.441739	56.46638	2419.66666667	1540.0
EM044.441601	106.20499	4156.1971831	2940.0
EM046.441741	50.38097	1855.88157895	1058.0
EM047.441722	22.38242	1014.12345679	518.0
EM047.T3.441645	35.48681	1598.0304878	1033.0
EM049.441600	55.65454	2437.42335766	1524.0
EM049.T3.441671	55.36612	2239.81707317	1502.0
EM050.441672	38.83492	1538.42073171	1007.0
EM052.441625	63.94355	2462.75961538	1725.0
EM053.441738	56.26955	2590.08	1886.0
EM053.T3.441688	31.19559	1354.80952381	822.0
EM054.441707	56.5006	2327.95378151	1506.0
EM054.T3.441749	55.2483	2242.19469027	1455.0
EM055.441603	72.52467	2892.83382789	1961.0
EM055.T3.441626	70.191	3194.09904153	1950.0
EM056.441606	55.26066	1994.76363636	1301.0
EM056.T3.441716	47.99717	1818.18965517	1081.0
EM057.441605	58.68676	2360.32	1642.0
EM057.T3.441589	48.60394	1638.12707182	1070.0
EM058.441637	68.84583	2786.78370787	1929.0
EM059.441715	63.70035	2616.5034965	1719.0
EM059.T3.441604	32.19305	995.166666667	681.0
EM060.441677	49.48753	1897.5462963	1299.0
EM060.T3.441729	55.27097	2181.51162791	1387.0
EM061.441673	61.9366	2685.21848739	2029.0
EM062.441720	76.38525	3265.18591549	2215.0
EM063.441621	63.35695	2629.11392405	1810.0
EM063.T3.441695	68.14478	2741.28289474	1918.0
EM064.441592	68.45997	2606.88157895	1809.0
EM065.441667	49.55194	1775.27727273	1176.0
EM065.T3.441614	50.18462	1911.7804878	1251.0
EM066.441656	48.81168	1924.30131004	1186.0
EM066.T3.441647	61.06073	2399.89078498	1605.0
EM067.441615	43.92358	1703.66071429	1078.0
EM068.441712	40.61149	1176.04316547	905.0
EM069.441700	29.84485	1110.42857143	615.0
EM070.441682	73.90576	3145.90185676	2157.0
EM071.441747	71.96094	2891.71768707	1861.0
EM071.T3.441734	54.01163	2298.88446215	1474.0
EM072.441643	70.69343	2650.26262626	1786.0
EM072.T3.441632	57.37458	2061.8959276	1281.0
EM073.441594	45.24924	1886.62686567	1256.0
EM073.T3.441721	50.1072	2125.03053435	1446.0
EM074.441596	59.50743	2360.16304348	1577.0
EM075.441644	61.2215	2348.85185185	1653.0
EM076.441622	43.97343	1836.09677419	1122.0
EM077.441646	46.96439	1545.77486911	1047.0
EM077.T3.441639	56.72367	2414.24175824	1644.0
EM078.441658	65.56132	2776.79153094	1857.0
EM079.441724	53.12471	2007.64171123	1212.0
EM080.441727	40.53452	1443.848	944.0
EM081.441618	72.81048	2827.26843658	2122.0
EM082.441607	29.4979	1203.024	774.0
EM082.T3.441751	34.49532	1569.10638298	951.0
EM083.441666	59.10014	2607.63076923	1831.0
EM083.T3.441744	51.845	2276.3125	1591.0
EM084.441599	61.51952	2682.84437086	1809.0
EM085.441675	63.48047	2463.75958188	1657.0
EM086.441698	59.19413	2241.76171875	1448.0
EM086.T3.441746	59.75102	2119.5	1402.0
EM087.441726	54.63495	2176.47887324	1330.0
EM088.441638	44.7146	1999.00641026	1180.0
EM089.441742	51.13324	2279.20930233	1340.0
EM089.T3.441624	69.51579	2807.22383721	1971.0
EM090.441664	56.38216	2384.044	1561.0
EM090.T3.441662	50.68978	2200.72687225	1417.0
EM091.441686	66.23404	2836.98402556	1896.0
EM092.441616	65.92438	2391.30201342	1589.0
EM093.441602	75.03132	3172.26439791	2252.0
EM093.T3.441670	56.92088	2203.1512605	1438.0
EM094.441640	48.81126	2075.1	1311.0
EM094.T3.441588	53.54353	2275.764	1523.0
EM095.441717	28.04971	726.25	472.0
EM095.T3.441590	61.83552	2590.51315789	1572.0
EM096.441706	43.16851	1661.0	1127.0
EM098.441733	41.73623	1381.48148148	1032.0
EM098.T3.441740	43.58351	1607.06535948	1075.0
EM099.441708	50.44277	2050.92116183	1359.0
EM100.441714	64.93063	2407.08602151	1599.0
EM100.T3.441627	71.12466	2566.76899696	1758.0
EM101.441623	51.81482	2014.42922374	1253.0
EM102.441633	46.89554	1669.64137931	1111.0
EM103.441691	47.79838	1738.30681818	1177.0
EM105.441629	54.98653	2254.2455516	1522.0
EM106.441745	47.16575	1637.96531792	1009.0
EM107.441620	41.4487	1549.02941176	790.0
EM108.441694	61.32589	2512.65822785	1550.0
EM109.441669	54.34987	1810.25462963	1300.0
EM110.441723	50.9765	1883.63380282	1213.0
EM111.441634	39.15913	1525.28346457	928.0
EM112.441630	31.73289	1206.13953488	808.0
EM113.441619	50.17626	2166.15879828	1448.0
EM114.441710	49.67033	2108.47643979	1289.0
EM115.441641	34.38751	1118.54205607	769.0
EM116.441657	54.40988	2181.85148515	1407.0
EM117.441609	36.29439	1375.06944444	875.0
EM118.441693	58.00896	2282.9795082	1458.0
EM122.441699	39.26099	1586.82065217	1140.0
EM123.441687	30.93784	1053.75833333	786.0
EM124.441697	65.73198	2811.45962733	1960.0
EM125.441659	51.60749	2079.04115226	1407.0
EM126.441679	40.55009	1584.09615385	1044.0
EM129.441689	52.3197	2318.82995951	1334.0
EM130.441701	43.14304	1810.45762712	1100.0
EM131.441591	50.76839	1836.28504673	1258.0
EM132.441696	39.27716	1408.23376623	948.0
EM133.441663	54.10708	2168.33783784	1383.0
EM134.441735	48.91821	1708.765	1174.0
EM135.441660	34.78326	1215.64788732	788.0
EM136.441650	48.5907	1921.41450777	1206.0
EM137.441680	43.13829	1625.80254777	1060.0
EM138.441753	53.89371	2054.28205128	1383.0
EM139.441611	45.54979	1624.89221557	1028.0
EM140.441608	45.06935	1895.53960396	1212.0
EM141.441684	38.53686	1478.18867925	1006.0
EM142.441711	44.00236	1570.39263804	1093.0
EM144.441736	60.24236	2234.35632184	1446.0
EM145.441690	68.91056	2741.92368421	2034.0
EM146.441718	57.2802	2321.984	1460.0
EM147.441617	24.77895	1000.04237288	690.0
EM148.441631	51.73493	2096.2972973	1431.0
EM149.441655	64.5173	2506.53333333	1737.0
EM150.441648	55.63911	2281.12916667	1497.0
EM151.441595	51.64875	1788.2	1199.0
EM152.441730	49.02746	2138.33783784	1345.0
EM155.441678	46.69087	1634.05479452	1152.0
EM156.441613	50.25421	1864.04608295	1235.0
EM158.441731	49.1299	1801.7635468	1214.0
EM159.441719	51.79851	1771.99456522	1173.0
EM160.441703	64.59891	2537.53684211	1802.0
EM161.441598	0.78797	3.0	2.0
EM162.441728	65.77711	2687.17857143	1608.0
EM163.441642	63.83945	2640.15517241	1710.0
EM165.441597	56.4707	2250.81276596	1463.0
EM166.441748	45.33718	1800.46835443	1036.0
