	PD_whole_tree	chao1	observed_otus
EM031.441732	22.25571	725.131147541	348.0
EM032.441683	25.85351	1089.44444444	438.0
EM033.441685	22.28645	868.265060241	450.0
EM034.441676	19.63166	776.775862069	350.0
EM035.441593	25.70188	1001.76623377	450.0
EM036.441587	24.32219	920.361445783	443.0
EM037.441737	20.35874	994.081081081	343.0
EM038.441649	25.06096	725.75	356.0
EM039.441743	24.76716	887.789473684	431.0
EM040.441709	19.80953	663.417910448	339.0
EM042.441674	23.86085	760.661764706	370.0
EM043.441739	25.00233	970.032608696	476.0
EM044.441601	28.10509	1072.74193548	420.0
EM046.441741	20.28395	590.029411765	239.0
EM047.441722	8.60441	469.666666667	136.0
EM047.T3.441645	14.88278	645.294117647	282.0
EM049.441600	22.62674	1062.0	432.0
EM049.T3.441671	21.87517	858.803571429	372.0
EM050.441672	16.9436	580.770833333	292.0
EM052.441625	24.07373	936.185185185	369.0
EM053.441738	20.88872	1078.05882353	436.0
EM053.T3.441688	14.12306	628.243243243	267.0
EM054.441707	20.93283	727.0	349.0
EM054.T3.441749	19.85762	604.924242424	330.0
EM055.441603	29.20717	1220.34782609	476.0
EM055.T3.441626	26.94715	1053.78571429	451.0
EM056.441606	21.85002	808.0	346.0
EM056.T3.441716	17.75072	664.285714286	249.0
EM057.441605	26.00224	1058.0	456.0
EM057.T3.441589	17.33386	615.032258065	235.0
EM058.441637	26.01364	997.208333333	443.0
EM059.441715	23.50004	1150.5	428.0
EM059.T3.441604	14.26467	402.488372093	228.0
EM060.441677	20.20446	904.0	371.0
EM060.T3.441729	22.79368	812.118644068	385.0
EM061.441673	21.53578	938.089552239	416.0
EM062.441720	24.67982	943.859375	389.0
EM063.441621	22.92938	956.593220339	412.0
EM063.T3.441695	26.14327	1271.94285714	487.0
EM064.441592	26.86381	948.405797101	426.0
EM065.441667	19.92348	610.375	313.0
EM065.T3.441614	20.98519	710.051724138	346.0
EM066.441656	18.5123	617.428571429	254.0
EM066.T3.441647	24.08659	870.09375	372.0
EM067.441615	19.56205	734.181818182	354.0
EM068.441712	17.0407	437.023255814	239.0
EM069.441700	14.67038	363.1875	229.0
