	EM031.441732	EM032.441683	EM033.441685	EM034.441676	EM035.441593	EM036.441587	EM037.441737	EM038.441649	EM039.441743	EM040.441709	EM042.441674	EM043.441739	EM044.441601	EM046.441741	EM047.441722	EM047.T3.441645	EM049.441600	EM049.T3.441671	EM050.441672	EM052.441625	EM053.441738	EM053.T3.441688	EM054.441707	EM054.T3.441749	EM055.441603	EM055.T3.441626	EM056.441606	EM056.T3.441716	EM057.441605	EM057.T3.441589	EM058.441637	EM059.441715	EM059.T3.441604	EM060.441677	EM060.T3.441729	EM061.441673	EM062.441720	EM063.441621	EM063.T3.441695	EM064.441592	EM065.441667	EM065.T3.441614	EM066.441656	EM066.T3.441647	EM067.441615	EM068.441712	EM069.441700	EM070.441682	EM071.441747	EM071.T3.441734	EM072.441643	EM072.T3.441632	EM073.441594	EM073.T3.441721	EM074.441596	EM075.441644	EM076.441622	EM077.441646	EM077.T3.441639	EM078.441658	EM079.441724	EM080.441727	EM081.441618	EM082.441607	EM082.T3.441751	EM083.441666	EM083.T3.441744	EM084.441599	EM085.441675	EM086.441698	EM086.T3.441746	EM087.441726	EM088.441638	EM089.441742	EM089.T3.441624	EM090.441664	EM090.T3.441662	EM091.441686	EM092.441616	EM093.441602	EM093.T3.441670	EM094.441640	EM094.T3.441588	EM095.441717	EM095.T3.441590	EM096.441706	EM098.441733	EM098.T3.441740	EM099.441708	EM100.441714	EM100.T3.441627	EM101.441623	EM102.441633	EM103.441691	EM105.441629	EM106.441745	EM107.441620	EM108.441694	EM109.441669	EM110.441723	EM111.441634	EM112.441630	EM113.441619	EM114.441710	EM115.441641	EM116.441657	EM117.441609	EM118.441693	EM122.441699	EM123.441687	EM124.441697	EM125.441659	EM126.441679	EM129.441689	EM130.441701	EM131.441591	EM132.441696	EM133.441663	EM134.441735	EM135.441660	EM136.441650	EM137.441680	EM138.441753	EM139.441611	EM140.441608	EM141.441684	EM142.441711	EM144.441736	EM145.441690	EM146.441718	EM147.441617	EM148.441631	EM149.441655	EM150.441648	EM151.441595	EM152.441730	EM155.441678	EM156.441613	EM158.441731	EM159.441719	EM160.441703	EM161.441598	EM162.441728	EM163.441642	EM165.441597	EM166.441748	EM167.441702	EM168.441668	EM169.441653	EM170.441651	EM173.441754	EM174.441652	EM178.441705	EM179.441612	EM180.441692	EM182.441681	EM183.441654	EM209.441665	EM222.441725	EMC01.441661	EMC02.441750	EMC03.441713	EMC04.441704	EMC05.441628	EMC06.441610	EMC07.441636	EMC08.441752	EMC09.441635
EM031.441732	0.0	0.819014022915	0.854859586921	0.900212314225	0.772300201605	0.761091409134	0.864551810498	0.822914961197	0.701757500444	0.721787427417	0.81222159483	0.906883269134	0.909908817048	0.952922663345	0.8427734375	0.911217183771	0.754308286669	0.694773654556	0.904726399072	0.82004600723	0.881120133747	0.923711031175	0.873671286873	0.858211002881	0.846279528899	0.8555353902	0.865518118708	0.901957058712	0.673776461643	0.910765972467	0.821417633648	0.765255653716	0.809046464812	0.862719454682	0.812007874016	0.67174561113	0.870374331551	0.881274400446	0.777910210568	0.767272472599	0.701902666821	0.706234918658	0.931877796636	0.887083765411	0.882557936923	0.768739314317	0.649477776217	0.746117752206	0.824791830322	0.674753399094	0.868634123445	0.89252374381	0.606287057503	0.670245339328	0.873383144533	0.86359874193	0.873056393595	0.911194062242	0.884238471371	0.877463522578	0.689018390979	0.907977648318	0.862979293408	0.700429454279	0.689497716895	0.84440267335	0.849794791147	0.765118433241	0.856847213302	0.871930227221	0.835002002403	0.813124798452	0.909394952873	0.819130110832	0.812294476881	0.681366191094	0.642467948718	0.762311365141	0.915230554262	0.854616332731	0.834784550123	0.788770982057	0.755776576031	0.967844062325	0.861127163235	0.826296848942	0.866120429775	0.86748844376	0.879835462979	0.879235270105	0.844370737525	0.887716051979	0.875759937646	0.780313414589	0.858154918001	0.932770151355	0.957864816286	0.884290966765	0.872551450533	0.857828273136	0.700112827296	0.944657029478	0.840942798733	0.826383147591	0.687657222978	0.898337712338	0.896699092352	0.816127333846	0.946904476076	0.931349959339	0.768702181921	0.835157037756	0.86301369863	0.895317611445	0.907095674409	0.609880520875	0.885809800299	0.738571153476	0.852521845776	0.806514341274	0.715569090217	0.879918322469	0.817966323361	0.733689400164	0.80758131191	0.759750168565	0.804017372421	0.853414882773	0.724161385067	0.806094654409	0.749208793089	0.76799349105	0.85435223059	0.824018677951	0.869864719064	0.766006521912	0.775349207498	0.799361408353	0.851878583744	0.894161859815	0.870879567863	1.0	0.849641162399	0.769127516779	0.830252170662	0.791656934648	0.844901734104	0.779400951027	0.794514099876	0.783698330776	0.835753095217	0.816116943674	0.894252201557	0.739393531903	0.832639047837	0.892948701349	0.771656487598	0.849680290169	0.846698670024	0.811529933481	0.871972479197	0.909353421218	0.856259764962	0.866848857512	0.87845705968	0.881008185195	0.88259042597	0.838429706669
EM032.441683	0.819014022915	0.0	0.711376421163	0.809887240697	0.733836141354	0.721331112864	0.784851896425	0.788645911882	0.719604119915	0.832634032634	0.583530451509	0.84361977885	0.810718235987	0.877129609661	0.935512849305	0.912025540972	0.777185285184	0.781187458306	0.853387128262	0.781541204116	0.793808775475	0.847480544455	0.80731941189	0.77397969174	0.739957187735	0.7488797118	0.7683692019	0.817551963048	0.764676081312	0.901383042694	0.718843802112	0.733054859371	0.905928751536	0.763715201408	0.745281589869	0.82863548259	0.785056713568	0.797454720671	0.717640025002	0.736842105263	0.863893674625	0.839192244557	0.853245994403	0.806926141587	0.811228806389	0.818241009717	0.824291440023	0.786824539472	0.737518871362	0.813515981735	0.801922273297	0.829912586853	0.824025529975	0.796752485028	0.803093340109	0.763566017492	0.823959071717	0.829036177106	0.815114273394	0.751935801774	0.752021563342	0.777477534092	0.785561081387	0.918260770846	0.902120450322	0.798250332663	0.808780308597	0.749327829228	0.768855252896	0.775958454254	0.739885308748	0.745995350467	0.812234071946	0.850429329818	0.827668635802	0.81239628519	0.78036953697	0.735362466701	0.761589042591	0.738235294118	0.749245525443	0.744862803002	0.739556847076	0.93057880363	0.826813944062	0.786922631812	0.773061878215	0.778868742847	0.817626082527	0.731529078329	0.71746544606	0.774134070855	0.75828605091	0.780563329959	0.821479683903	0.877084683333	0.905623279591	0.770904325033	0.739534279497	0.788886846781	0.846420609363	0.953298675934	0.775776791376	0.778453518679	0.829388496206	0.831771550384	0.884859765099	0.808016877637	0.966991160345	0.92183908046	0.785671213209	0.736889421636	0.829488993452	0.796557582921	0.808836249917	0.855066091401	0.822620793126	0.709625898397	0.741655193514	0.833670802194	0.805556400816	0.780404878505	0.75969865748	0.799566805677	0.8570497906	0.820200161049	0.817053210216	0.852927296449	0.765421952848	0.754129416066	0.924203502919	0.740589898571	0.720994137763	0.753977356271	0.772636929393	0.902328365733	0.875712157069	0.838624072021	0.71121400482	0.749499609865	0.795788232772	1.0	0.822697245419	0.766724923359	0.754174276024	0.826714285714	0.813806789992	0.801422643746	0.694746679127	0.789181494662	0.766998313079	0.936269554753	0.831330977621	0.788987038719	0.821436106618	0.857155496572	0.785141217142	0.828413726902	0.714125035149	0.811359854313	0.82023911187	0.830097087379	0.796309143888	0.714259692158	0.816249002394	0.733205150615	0.838727443548	0.663244837758
EM033.441685	0.854859586921	0.711376421163	0.0	0.711499030202	0.679123069258	0.551319648094	0.787524077641	0.862962287263	0.72951798861	0.816857440166	0.816460159162	0.763069937567	0.846677488611	0.889077296324	0.847250509165	0.860202481107	0.734473709787	0.689140318248	0.749210221763	0.75446941976	0.654116052848	0.610174401761	0.632706737836	0.624398421024	0.736669533434	0.803730921425	0.77755142461	0.876878020208	0.713336786618	0.907577433628	0.672192815111	0.672651896519	0.880948680489	0.637358981339	0.698942942241	0.76213173544	0.755869997789	0.773536338244	0.750644160488	0.750955011405	0.845588453217	0.8476912063	0.820702731528	0.830808751882	0.76138504515	0.783915081736	0.836743086255	0.683641197232	0.794225192283	0.731334526359	0.809914595162	0.859554022422	0.781135606749	0.770330944664	0.86389194475	0.737825842345	0.635138344615	0.831870161003	0.796458099684	0.700805398346	0.830569827184	0.764268215225	0.719769146207	0.833566395218	0.827029313034	0.613819136714	0.678888528362	0.648956855326	0.749330655957	0.860532202991	0.85762195122	0.698388381641	0.752184018594	0.846573846574	0.786617772109	0.820378800652	0.785422384873	0.69942228185	0.885663006757	0.609991338343	0.721300138313	0.740109645873	0.675779768331	0.946363674339	0.757842246186	0.749216096159	0.666093045336	0.714683933912	0.811029267975	0.813786063504	0.790900960679	0.861558416907	0.694416243655	0.786979869626	0.783995925582	0.896655540284	0.957610304538	0.779208366131	0.751904583489	0.771507835788	0.836340321474	0.899317690131	0.725173139702	0.733694081799	0.824745160385	0.769272330401	0.754313404735	0.857445957996	0.924131404623	0.859514755503	0.80278409406	0.742942179328	0.655115720248	0.767722793261	0.793449432817	0.806569925052	0.6794267766	0.676756916704	0.743941984553	0.797535211268	0.744574780059	0.71383950024	0.816768840176	0.771091078645	0.812619502868	0.785498069927	0.796537569159	0.828985507246	0.697523335408	0.792504628743	0.865820838139	0.70668074197	0.70696401777	0.702797798082	0.814833375094	0.882156720039	0.862846830589	0.874217893311	0.713997985901	0.836556619131	0.65944866575	1.0	0.753367937832	0.734809075816	0.721325350302	0.826794814789	0.837854354099	0.849799851217	0.688707971409	0.829907625183	0.712059173161	0.904223245378	0.835610989573	0.680114967	0.853074978939	0.799341184576	0.797485814602	0.661817024846	0.716219468175	0.740252674847	0.804573804574	0.889487785658	0.673964370036	0.842462546816	0.840980283766	0.772966285184	0.785384998754	0.743461308592
EM034.441676	0.900212314225	0.809887240697	0.711499030202	0.0	0.70530159085	0.636840984886	0.809919870169	0.908204946769	0.805898944876	0.850701934298	0.828985507246	0.814126698314	0.89822646112	0.943068748994	0.839780324737	0.812142368734	0.750476917207	0.754087930267	0.818572064958	0.822025692337	0.723684210526	0.679074889868	0.740469161667	0.713545173017	0.78904109589	0.813251725856	0.838660252984	0.903673651692	0.717708781958	0.953881310159	0.780754200207	0.703639224614	0.862933354758	0.696179949583	0.813853455948	0.75220228385	0.826833895447	0.756771545828	0.75191832488	0.770998660208	0.862827343839	0.851786938962	0.917887898474	0.87724246869	0.74255572571	0.831164615975	0.868145916085	0.6916052371	0.841368872965	0.747622067216	0.822806004619	0.899880905121	0.756874892445	0.732857739157	0.851214336241	0.719695743648	0.78118609407	0.878852104616	0.865756688021	0.748659835787	0.800874786863	0.8061663758	0.847413840488	0.821532559175	0.83020782196	0.734836065574	0.784396950006	0.70285899935	0.808384071664	0.870832396793	0.876968889585	0.809148264984	0.826352270089	0.877962408063	0.853330697766	0.782040412604	0.734242709313	0.757360232518	0.936491342698	0.781765851181	0.834026106614	0.791967355575	0.763215410261	0.964828041534	0.873231431905	0.777444511098	0.726708544615	0.731894996502	0.766792001367	0.850273807934	0.856563812306	0.846615428877	0.680604303373	0.818769286622	0.696716600897	0.917697594502	0.973033707865	0.837138615961	0.821090909091	0.767788009773	0.796610169492	0.94335557409	0.692536962234	0.807541164626	0.774847788396	0.835611520016	0.813781298515	0.834488769164	0.926751270744	0.904204364023	0.79676209005	0.752131435471	0.714825462012	0.768268910759	0.846358829163	0.872017925399	0.656617710212	0.680355998039	0.866536556073	0.80655240981	0.680337036761	0.72426781459	0.815107913669	0.738309497027	0.869206688555	0.821516828513	0.742369020501	0.884930958575	0.767820773931	0.771457085828	0.808306175315	0.738587424634	0.697802403504	0.772135602918	0.820121703854	0.912211067009	0.807138295608	0.820296695887	0.684751480915	0.830517153098	0.762874404629	1.0	0.82027561322	0.79550966669	0.73601916907	0.77403342593	0.830184425305	0.832466230729	0.714058776807	0.840427943243	0.75415109102	0.908924498015	0.833948207314	0.756221532774	0.853730410323	0.79642063877	0.80764388124	0.737607620443	0.713779557883	0.759609423435	0.794134977111	0.902564731869	0.664799626592	0.837236969291	0.823050150293	0.741347003712	0.794570208652	0.799777450734
EM035.441593	0.772300201605	0.733836141354	0.679123069258	0.70530159085	0.0	0.61998855617	0.730771397983	0.84581043956	0.7232483362	0.770183974456	0.796447683772	0.761139550412	0.825985595937	0.89499381103	0.760418016151	0.790285094515	0.689332963271	0.692767199538	0.811548279201	0.713143290476	0.759765564111	0.740314219004	0.677028308276	0.63579334463	0.654708680568	0.668745933948	0.792059477274	0.858451156812	0.667204072974	0.915276281075	0.740846681922	0.654598895978	0.87967891109	0.699420508944	0.672040644877	0.759315119653	0.76326394486	0.736257288496	0.680389091541	0.730341218955	0.84321411073	0.817425334706	0.811467047541	0.774311479405	0.777034870223	0.805576441103	0.836544250452	0.647346226552	0.78563441426	0.681536355584	0.764608650403	0.81825229338	0.776030128489	0.743007136412	0.786581469649	0.616619037151	0.802005320237	0.786123959297	0.768939914753	0.659528051485	0.764945815172	0.727975140674	0.773064070899	0.845345676291	0.837671424573	0.741184224981	0.751500892423	0.610330105175	0.685721802533	0.816769809489	0.814190480234	0.664543161315	0.782556241573	0.82637746198	0.796004650671	0.748870410449	0.727369270634	0.726332771137	0.872551415901	0.718716385801	0.745668827342	0.73889614631	0.700447570332	0.90224642614	0.780610298792	0.73641596855	0.691678593335	0.729972211195	0.787897167919	0.770525789041	0.729833949791	0.779874776386	0.710160471928	0.736607491984	0.706589307915	0.822891735886	0.890330607892	0.68970102192	0.747047719391	0.706097263944	0.824740569923	0.938891997762	0.62512750765	0.768979875087	0.805869469996	0.849332829129	0.790583153348	0.750343760743	0.951543120854	0.870145587869	0.756759780703	0.714409653758	0.792394655704	0.687650823628	0.815567449878	0.812524227367	0.696364062867	0.670088812841	0.773112309002	0.768993786225	0.662870709428	0.64278288352	0.751919822986	0.678111775228	0.84799570656	0.841330343797	0.760351265953	0.843204455393	0.72922460066	0.744349322825	0.886718572144	0.688378033206	0.601616814875	0.750163505559	0.780942722342	0.847346904371	0.841693686821	0.821482741187	0.64787414966	0.778709527137	0.7877319869	1.0	0.810631229236	0.706965155628	0.743863676497	0.790674404643	0.813025833911	0.771759747102	0.665512528474	0.785145360414	0.724554314238	0.93016876379	0.801603206413	0.765947682423	0.820327034172	0.788859616108	0.765298013245	0.711183067446	0.647426547197	0.695683181608	0.741190523591	0.824612920448	0.703457873889	0.786737272837	0.761420666581	0.729421600669	0.72268650186	0.737561804697
EM036.441587	0.761091409134	0.721331112864	0.551319648094	0.636840984886	0.61998855617	0.0	0.736119840771	0.80154275398	0.678544729629	0.778830506636	0.777449377437	0.732045359093	0.837649583899	0.906602254428	0.803771120725	0.847870107875	0.619126420764	0.68157621397	0.68022603565	0.736592436421	0.61917299982	0.606447734275	0.597046345176	0.593631799739	0.639571389571	0.704250982676	0.786872699442	0.838344575283	0.60433473811	0.905648357871	0.608637805752	0.625688198885	0.811760827461	0.612067252276	0.664110545896	0.725728826686	0.699298076408	0.700915635703	0.663325589114	0.686830741144	0.823895963154	0.809836065574	0.816943907157	0.765281361938	0.721877458264	0.731669923343	0.770738355971	0.641309823678	0.745645806431	0.641905052897	0.760921973305	0.80752320469	0.713391255408	0.66618727407	0.759307010475	0.678372768784	0.66640806827	0.797692140213	0.760094621678	0.638727121464	0.698846387371	0.693469533765	0.751510067114	0.822592501838	0.802399010993	0.673344035737	0.716582682617	0.598461232341	0.722238122496	0.829139174467	0.807840616967	0.666693620118	0.729874352288	0.81261682243	0.754507534984	0.772921031717	0.743711323636	0.605646598414	0.857524012807	0.637664091	0.687164179104	0.695213033551	0.633129811521	0.888868101029	0.753086419753	0.709052483269	0.641937984496	0.696250235538	0.753270699798	0.780915353659	0.758660637543	0.81843492934	0.635191120144	0.690107359114	0.744298331698	0.854595214973	0.923015640069	0.724013300564	0.73918089869	0.730243658339	0.812400015607	0.924831261101	0.654565191171	0.738836399801	0.787300930714	0.815570672714	0.737089201878	0.803387902669	0.917471888862	0.859569264216	0.745436465658	0.715462682096	0.62923621649	0.662370755133	0.800778077038	0.75136262701	0.683053839365	0.569116681472	0.702283034822	0.744047619048	0.695602382043	0.667926906112	0.747560875625	0.669084315503	0.827284105131	0.812204234122	0.721085789842	0.801880365172	0.676427752471	0.701989582444	0.842285910417	0.69261652343	0.612804293655	0.673421610944	0.720362970363	0.833280153159	0.784833091437	0.754826421955	0.636838930223	0.782551512495	0.6535864566	1.0	0.759764011799	0.679487179487	0.636954619327	0.713495523368	0.745533849937	0.751340713407	0.596565786649	0.737787523912	0.698659517426	0.887223002609	0.80302641703	0.666958748989	0.796885765468	0.796331370158	0.721692019171	0.681427875061	0.632912391476	0.670796600747	0.710313943182	0.85558960581	0.654317624625	0.789052984166	0.770541000892	0.744242380419	0.734380165289	0.738552491463
EM037.441737	0.864551810498	0.784851896425	0.787524077641	0.809919870169	0.730771397983	0.736119840771	0.0	0.845888075647	0.749273811344	0.855407870732	0.841618100788	0.827662625473	0.892030597033	0.923136469195	0.901584133716	0.941796394372	0.790962400828	0.845837063563	0.845631130201	0.829404239766	0.859261040314	0.835556045409	0.811325806596	0.77510429805	0.770685352275	0.77178030303	0.822255020821	0.863613346087	0.726515473947	0.919749343036	0.778460062365	0.721780986763	0.815431356415	0.730992750584	0.798702025288	0.891858701149	0.832282209439	0.807108110791	0.782476225649	0.763977017237	0.855604813173	0.855760261194	0.852376021171	0.808631037439	0.738032468433	0.801911521555	0.733468654852	0.813586677426	0.814886397801	0.81789443974	0.856494167384	0.848533797217	0.798406893442	0.732545338664	0.828155577299	0.770195877609	0.814810536044	0.789611643788	0.83540443352	0.782728164868	0.815365690002	0.789107902462	0.852777370658	0.904771381661	0.908019197614	0.83166551075	0.827371783901	0.796827446279	0.839150071854	0.827159090909	0.826150474799	0.779171277511	0.815660762619	0.836374884009	0.868767638758	0.816592068284	0.79059568766	0.787305840901	0.902770031604	0.800797115202	0.716997599825	0.786104875381	0.785263393107	0.904057089996	0.904671898755	0.786717214266	0.765289637664	0.794321137986	0.75751222921	0.842044691666	0.84527909901	0.805736037278	0.75230751256	0.782667606092	0.751043687893	0.872691385873	0.932904232495	0.808958333333	0.705033214103	0.79224487465	0.84627935435	0.9566101006	0.772752209692	0.797944416279	0.827338129496	0.881400715743	0.838397703875	0.810143042913	0.977101828943	0.891750119218	0.814626714068	0.812009871127	0.795097011012	0.715554066505	0.804864973531	0.862708196104	0.75	0.681225965678	0.812763532764	0.703691386764	0.809679602888	0.775348617348	0.768428984051	0.811621724269	0.841286549708	0.857412028314	0.761451930883	0.891325162773	0.866739486619	0.767152601311	0.899865229111	0.754847527121	0.711869217233	0.7702172761	0.756621239393	0.890749217056	0.868740833857	0.771217712177	0.70616576203	0.7616789848	0.806030014872	1.0	0.862475673763	0.780655605018	0.716916736429	0.729809560824	0.799892990904	0.74175592477	0.678289606798	0.764905514848	0.70600920069	0.912928260458	0.837237715803	0.822109036031	0.812072464858	0.835012468828	0.77729117022	0.787154551948	0.717757230915	0.818595189661	0.750019276737	0.880414251286	0.821052631579	0.855762749944	0.830389129092	0.783023292168	0.828375286041	0.792805755396
EM038.441649	0.822914961197	0.788645911882	0.862962287263	0.908204946769	0.84581043956	0.80154275398	0.845888075647	0.0	0.760033552716	0.818770861967	0.837448500389	0.898933183605	0.75506769678	0.771944561109	0.85806545773	0.960021286503	0.870419050564	0.877376679619	0.921919027139	0.859294669433	0.926005450491	0.916054066872	0.838671481854	0.843936599243	0.803160607284	0.849313715809	0.880239915634	0.839291841076	0.762904385334	0.861108436828	0.794586876901	0.762162498445	0.883482997203	0.875855188141	0.800321400486	0.861542794234	0.823419750938	0.803800882008	0.734342364159	0.72129476233	0.791246259829	0.797230499562	0.709267953399	0.642025772482	0.871252956916	0.79734586674	0.820610371351	0.835020059532	0.814692982456	0.845365786579	0.832010617839	0.828242746369	0.823514393311	0.821877619447	0.86431018936	0.834932394888	0.875753878334	0.610282180131	0.683822206226	0.794539098668	0.788768499846	0.835162485747	0.842338031812	0.91802236909	0.906194798075	0.907158021484	0.915576776694	0.839559575305	0.85377710082	0.83874641908	0.840581274055	0.805202793155	0.705599407992	0.758485908249	0.787699567922	0.881714453853	0.892986938217	0.811889354143	0.754264343702	0.783127419269	0.677697357347	0.855423363251	0.841702534672	0.91974656811	0.880201624195	0.851504860054	0.836474481798	0.838315217391	0.876572051552	0.808669748968	0.812971952535	0.838256294626	0.888315608438	0.701180257511	0.88245243129	0.883407019054	0.867683337071	0.813691819579	0.731547597025	0.663896967179	0.828765683045	0.957301561745	0.894088847289	0.873661929241	0.817355982275	0.882196162047	0.878394160584	0.847758157111	0.969799287188	0.970565501036	0.82223223771	0.840245879492	0.936009613579	0.839653397392	0.881655004563	0.82021025531	0.887658908664	0.790804278372	0.801749472738	0.820264091278	0.871825710457	0.885641587447	0.808124839738	0.750690073976	0.952867628982	0.909384069655	0.770152695762	0.66182077431	0.856379349557	0.793368025221	0.900202189753	0.783769799063	0.822007588824	0.846047019145	0.69690668053	0.800335990278	0.866272772033	0.755911869881	0.835361901332	0.74466264826	0.864549192539	1.0	0.818990469467	0.822870171157	0.798527990484	0.739169898506	0.833660451423	0.768144640551	0.82320610687	0.764565699729	0.856199327665	0.880385307505	0.850254983774	0.893544525279	0.859944885719	0.876616483304	0.775241635688	0.917765604923	0.837139316693	0.872610104319	0.868950784652	0.883334580558	0.904130387631	0.82020084313	0.851975474368	0.873576756969	0.860247186866	0.818634282301
EM039.441743	0.701757500444	0.719604119915	0.72951798861	0.805898944876	0.7232483362	0.678544729629	0.749273811344	0.760033552716	0.0	0.667470905478	0.803309107778	0.84141982663	0.860891862655	0.918410852713	0.91419326489	0.95189946555	0.700774665872	0.701458246913	0.844946743638	0.745783015508	0.809678084411	0.815656658685	0.786678553235	0.741262283457	0.735612535613	0.718498946692	0.782052198784	0.851038398327	0.722864104378	0.885920728106	0.691998391637	0.676496271915	0.824905234293	0.774075515765	0.769434004391	0.702930353005	0.726180098793	0.77999656888	0.744822412837	0.732818639278	0.739153519417	0.735153531414	0.871498426898	0.81414659923	0.798488019476	0.805361581252	0.746606749817	0.671878878134	0.782293538195	0.624241970502	0.86990881459	0.869615461247	0.658908839779	0.619849188819	0.818153130054	0.761341943869	0.805936680476	0.831971399387	0.827370188582	0.786309949284	0.735594985679	0.826158038147	0.829930285746	0.727678878273	0.743007222587	0.729244474901	0.727005428227	0.668698060942	0.809570621072	0.820745140795	0.80878593621	0.765367108648	0.799387850156	0.764807806302	0.746455599987	0.663063126927	0.63071959712	0.711355060034	0.871145338358	0.808114531462	0.76971204859	0.71173972395	0.664535315985	0.923819872027	0.810475161987	0.736780966312	0.786183585887	0.790585975024	0.8070273285	0.839212139483	0.794210333455	0.830665126258	0.7814450358	0.64131147541	0.806736906868	0.858701746819	0.927973748975	0.838930458527	0.743256945853	0.824971708789	0.772782874618	0.925107213835	0.760982522437	0.733189992181	0.75463450174	0.814797675973	0.840645728442	0.793144584062	0.947791435904	0.927324902399	0.7364146537	0.731585518102	0.752793238508	0.77524118827	0.724186940891	0.727498099362	0.7798283817	0.721822723488	0.806320388715	0.735768297903	0.69738466719	0.774408826139	0.714744232698	0.67681574384	0.817847427104	0.733622014248	0.706305963041	0.814768963094	0.695201512103	0.756857178642	0.724485087462	0.700799062105	0.763450556057	0.706268613872	0.725432702097	0.822130219115	0.814317753017	0.778106884441	0.669081745157	0.81903088985	0.776067718353	1.0	0.790183387271	0.700629193173	0.689008480104	0.735089645079	0.787519246445	0.756520905255	0.684630235877	0.702786377709	0.695430142726	0.885073699667	0.839491086832	0.657186372215	0.779391982782	0.807493473921	0.8053494251	0.792058823529	0.708244752812	0.775755454439	0.778222869629	0.862023653088	0.789491287334	0.836958549416	0.834848545	0.789003192621	0.846023209737	0.778922345483
EM040.441709	0.721787427417	0.832634032634	0.816857440166	0.850701934298	0.770183974456	0.778830506636	0.855407870732	0.818770861967	0.667470905478	0.0	0.831645609305	0.910220474417	0.894907033145	0.946006159492	0.848993697906	0.908196961914	0.693181818182	0.664088540824	0.871109271523	0.814246773293	0.818767715948	0.842588085521	0.817048756861	0.825261353899	0.794468823349	0.820015234503	0.860235362487	0.905293536872	0.790786948177	0.93699954143	0.82799428688	0.761862557949	0.93341543514	0.801362268335	0.807981842255	0.614588793555	0.794489430503	0.808827115338	0.800483075803	0.827197648376	0.834168916313	0.841558744604	0.885364067378	0.848710469757	0.830946681175	0.855506924876	0.833972859148	0.664349719454	0.819243813591	0.557923580454	0.833817104993	0.834367522407	0.72252997686	0.712238574748	0.877814795488	0.789604267461	0.856066169366	0.900164801804	0.876711431379	0.806364672955	0.751257326527	0.878583874545	0.846874738516	0.659246336357	0.657917527147	0.79747451908	0.808279034113	0.694911892088	0.788411481548	0.842895913765	0.81487854656	0.805856527168	0.858811613774	0.761224584749	0.747694577647	0.565796579658	0.637935866128	0.784341042073	0.912225288426	0.793044175786	0.822481686684	0.78491555487	0.758446073615	0.941344246032	0.841631710134	0.784170138128	0.798246630363	0.788493315307	0.865069301736	0.857555668876	0.823029941904	0.781578283889	0.857237431364	0.780393899008	0.818053817272	0.924473556953	0.970177929997	0.868088325349	0.860511211133	0.843510279227	0.848301065236	0.932655879333	0.770327645598	0.834952739771	0.826273281688	0.865262610504	0.859280950057	0.841602590045	0.97244121478	0.942704276862	0.778910481045	0.803702045081	0.853214090775	0.838536585366	0.839209674672	0.637766225055	0.807673713356	0.824969211823	0.827965225384	0.850016999369	0.702613260299	0.819658622719	0.797280189488	0.732665544563	0.890573243443	0.762039860983	0.803696671446	0.804475533974	0.69985168706	0.855326387412	0.69428656895	0.787584050039	0.810680724272	0.824067660676	0.841273790272	0.834691039142	0.876686073844	0.823755119638	0.799342896065	0.850412609702	0.862504065041	1.0	0.831099615957	0.808041229835	0.815110004151	0.876598525156	0.863518758085	0.849348613968	0.783991790662	0.832295828301	0.798691763449	0.913769441903	0.886073176075	0.739559885772	0.829765825101	0.864271663733	0.858020591166	0.830954338241	0.800023591397	0.748130563798	0.803251277288	0.901563937443	0.819150741658	0.873013464821	0.836370247667	0.858748918997	0.851809163133	0.844177706214
