	EM031.441732	EM032.441683	EM033.441685	EM034.441676	EM035.441593	EM036.441587	EM037.441737	EM038.441649	EM039.441743	EM040.441709	EM042.441674	EM043.441739	EM044.441601	EM046.441741	EM047.441722	EM047.T3.441645	EM049.441600	EM049.T3.441671	EM050.441672	EM052.441625	EM053.441738	EM053.T3.441688	EM054.441707	EM054.T3.441749	EM055.441603	EM055.T3.441626	EM056.441606	EM056.T3.441716	EM057.441605	EM057.T3.441589	EM058.441637	EM059.441715	EM059.T3.441604	EM060.441677	EM060.T3.441729	EM061.441673	EM062.441720	EM063.441621	EM063.T3.441695	EM064.441592	EM065.441667	EM065.T3.441614	EM066.441656	EM066.T3.441647	EM067.441615	EM068.441712	EM069.441700	EM070.441682	EM071.441747	EM071.T3.441734	EM072.441643	EM072.T3.441632	EM073.441594	EM073.T3.441721	EM074.441596	EM075.441644	EM076.441622	EM077.441646	EM077.T3.441639	EM078.441658	EM079.441724	EM080.441727	EM081.441618	EM082.441607	EM082.T3.441751	EM083.441666	EM083.T3.441744	EM084.441599	EM085.441675	EM086.441698	EM086.T3.441746	EM087.441726	EM088.441638	EM089.441742	EM089.T3.441624	EM090.441664	EM090.T3.441662	EM091.441686	EM092.441616	EM093.441602	EM093.T3.441670	EM094.441640	EM094.T3.441588	EM095.441717	EM095.T3.441590	EM096.441706	EM098.441733	EM098.T3.441740	EM099.441708	EM100.441714	EM100.T3.441627	EM101.441623	EM102.441633	EM103.441691	EM105.441629	EM106.441745	EM107.441620	EM108.441694	EM109.441669	EM110.441723	EM111.441634	EM112.441630	EM113.441619	EM114.441710	EM115.441641	EM116.441657	EM117.441609	EM118.441693	EM122.441699	EM123.441687	EM124.441697	EM125.441659	EM126.441679	EM129.441689	EM130.441701	EM131.441591	EM132.441696	EM133.441663	EM134.441735	EM135.441660	EM136.441650	EM137.441680	EM138.441753	EM139.441611	EM140.441608	EM141.441684	EM142.441711	EM144.441736	EM145.441690	EM146.441718	EM147.441617	EM148.441631	EM149.441655	EM150.441648	EM151.441595	EM152.441730	EM155.441678	EM156.441613	EM158.441731	EM159.441719	EM160.441703	EM161.441598	EM162.441728	EM163.441642	EM165.441597	EM166.441748	EM167.441702	EM168.441668	EM169.441653	EM170.441651	EM173.441754	EM174.441652	EM178.441705	EM179.441612	EM180.441692	EM182.441681	EM183.441654	EM209.441665	EM222.441725	EMC01.441661	EMC02.441750	EMC03.441713	EMC04.441704	EMC05.441628	EMC06.441610	EMC07.441636	EMC08.441752	EMC09.441635
EM031.441732	0.0	0.617123758018	0.629613796486	0.663973152791	0.595757238307	0.59120582493	0.659180665888	0.672712105858	0.599836235223	0.622193525816	0.61575953933	0.689772304852	0.708835585093	0.706260894798	0.779971750533	0.703337659104	0.625428083483	0.621658055648	0.698226800364	0.629055783146	0.681129718968	0.711486159166	0.628586492993	0.630765569972	0.626913931143	0.632135614722	0.630127543354	0.629801738244	0.631768285778	0.664192000585	0.63823368224	0.639677439767	0.717794629094	0.649252060545	0.656295682745	0.615763136306	0.605642783853	0.649093565777	0.618279016213	0.651026637496	0.638816396711	0.646274737764	0.692308428406	0.655480304333	0.689566532217	0.68567487019	0.718506889877	0.594358039135	0.644901282883	0.618154500997	0.659539529877	0.679461231337	0.639920481292	0.621870284073	0.66485225533	0.613746427025	0.642050106686	0.678549393718	0.633897493451	0.622153969883	0.653880188414	0.683952252826	0.61937134487	0.701260039257	0.684009434835	0.64448912074	0.622734471276	0.608105689975	0.64743005112	0.65374811806	0.654144262078	0.648877459883	0.656639481149	0.646499061576	0.636845797469	0.637065839789	0.616648653979	0.574476224532	0.666352891117	0.628239335259	0.641878412632	0.650553953779	0.639893462779	0.758834203583	0.627553810039	0.659577171391	0.671105002246	0.659563061658	0.659359195985	0.662348472819	0.651201777412	0.674350973008	0.659524856413	0.678296783269	0.632002513769	0.694475406479	0.709997546879	0.647228358084	0.653907832861	0.609044596992	0.672600910575	0.729549047362	0.638143134051	0.610713675039	0.684827439135	0.637864398591	0.712095789286	0.612530902899	0.736131303235	0.767707694378	0.62063957031	0.63822380499	0.698868248731	0.652630810929	0.671462367093	0.603213030465	0.687962778429	0.628959350266	0.685818123223	0.691454830214	0.639256667278	0.673993274504	0.630783950448	0.67245506819	0.62244473194	0.669883087539	0.694224443266	0.665385653528	0.625526806547	0.646569618675	0.768831626547	0.623015650641	0.635914406174	0.601867164912	0.650024063587	0.666310781225	0.669673547603	0.640365288895	0.639717140454	0.682451002962	0.660154306118	0.986686830863	0.622177267552	0.64032736513	0.650600600104	0.668752291474	0.687722286796	0.650273944775	0.638456258593	0.668807394102	0.643294233961	0.707157435602	0.711991267264	0.666002800103	0.691004665237	0.688187427725	0.680079977115	0.718430018381	0.641029351939	0.614622016585	0.64823391	0.66897620566	0.610811710188	0.660208931408	0.645444190532	0.655628011873	0.64397284367	0.633390477802
EM032.441683	0.617123758018	0.0	0.562046852005	0.641456186341	0.559031664848	0.541254895007	0.658021762777	0.561341399883	0.535208740558	0.611008302211	0.531163620333	0.650709542741	0.624913014197	0.62034080873	0.813714449871	0.773106090896	0.552132147562	0.560628744654	0.706991022327	0.550250806626	0.669525089634	0.731053531228	0.57175766152	0.594126254281	0.540247527642	0.557003425339	0.577505971958	0.59333371706	0.581953967702	0.633272966895	0.547747797312	0.543583259128	0.758675443294	0.612073982039	0.570492730218	0.646214650765	0.544703156082	0.609921692488	0.578308990425	0.513990410193	0.626665741064	0.605106775759	0.580900331117	0.534023576846	0.622394376437	0.656474715349	0.7377644604	0.542124910003	0.5072306792	0.587022926745	0.575585648565	0.595939823394	0.651202516147	0.631356506187	0.599493142584	0.566645441363	0.653015091722	0.64352898433	0.610035948937	0.586867831632	0.602354750683	0.634400939278	0.545917481797	0.758749362333	0.723136050296	0.637957927238	0.632908783414	0.584585644124	0.579698053529	0.561333481202	0.54643398861	0.57162834445	0.623631140646	0.614569357695	0.600937981268	0.634377581136	0.62519909741	0.551476865958	0.553804166445	0.539150614009	0.56496261341	0.601031545858	0.593025521138	0.725416627717	0.581709004543	0.660173297653	0.689772193074	0.665295164736	0.65193495761	0.537503678885	0.543135772913	0.59817220224	0.614946517384	0.608114633317	0.641803890863	0.632993545127	0.678943495787	0.56301281827	0.566127342926	0.585352515868	0.704555968213	0.784678268695	0.621205011454	0.58519746905	0.708328844856	0.649472653565	0.70872856238	0.613270719127	0.790235045509	0.815975098529	0.600433790062	0.589711205717	0.714778405601	0.615621408409	0.641930046778	0.627236082155	0.682034783235	0.587628607801	0.576083654995	0.710845460379	0.621469893545	0.644991370619	0.561901149193	0.638907131736	0.679588524277	0.671929279177	0.674226044914	0.586396597825	0.565222048421	0.56372039198	0.806793123298	0.597215389247	0.547291694209	0.592089740574	0.598051992907	0.701286212089	0.661626757395	0.654307299038	0.60369474933	0.623806409182	0.588178420516	0.989864281567	0.589996438464	0.594369249705	0.613969189137	0.63536403331	0.626436853967	0.608339832553	0.577445602308	0.62072835966	0.57374807831	0.71589736273	0.664329446587	0.657159949156	0.691668913634	0.665680932433	0.622574111162	0.728706701743	0.555525887691	0.562140068823	0.598018192476	0.606844480983	0.574307669644	0.560033395646	0.556459727609	0.546460473597	0.571936169808	0.533527507781
EM033.441685	0.629613796486	0.562046852005	0.0	0.615337999591	0.561951151079	0.534964196203	0.637711595726	0.635252356272	0.564588238537	0.610706643959	0.606864651085	0.625573236808	0.6741477535	0.64389711442	0.768885344195	0.718692363046	0.58471711586	0.57285702808	0.66812803008	0.578019705423	0.632319971505	0.685365925166	0.578939094205	0.599162509889	0.600729702381	0.612121991112	0.61040751959	0.634518940665	0.57675211388	0.636819027945	0.574494635638	0.55467980122	0.741582225305	0.585170485742	0.627956683771	0.606559873785	0.579012116325	0.616938483593	0.62564664291	0.578546231809	0.614156471622	0.620689290534	0.596980416068	0.588827907174	0.613792072541	0.701714293875	0.745278979342	0.571841856764	0.605295933516	0.579940795264	0.644873294124	0.641758284711	0.602014091586	0.597063474796	0.649390930707	0.579654957221	0.652051189622	0.656363386431	0.614413930828	0.579688236763	0.630162963576	0.646930390293	0.566716888436	0.710352719977	0.670624956456	0.628959270782	0.608231448859	0.566806087544	0.581802405798	0.630048689053	0.620990916846	0.613316950281	0.625759104134	0.634200037273	0.613698620413	0.614882658666	0.589738142942	0.588566493059	0.626596028133	0.537873970335	0.570093832528	0.572506132836	0.562838884598	0.74768787278	0.607689668564	0.603006413845	0.653904921294	0.645539811305	0.660552934872	0.616352381163	0.607151524802	0.647640429214	0.673692347224	0.625974776508	0.635598208619	0.655258880388	0.705557407752	0.620622324428	0.617322552252	0.600806457748	0.659544489541	0.755218487736	0.600691717488	0.552818479378	0.662362654018	0.635980251322	0.687422599966	0.637605010077	0.759752361686	0.759943714422	0.617958925778	0.60338461763	0.67773788911	0.593582609626	0.596576226594	0.627216966682	0.627980494068	0.601756010104	0.586919874606	0.699400097953	0.622113841349	0.628941327134	0.58158770268	0.653702095895	0.645538618503	0.644478354227	0.692853949473	0.645446039564	0.570207267572	0.605867789276	0.760132635174	0.575040167675	0.576739949146	0.604958282156	0.620526422768	0.678564341398	0.646617507386	0.670826417926	0.624135999406	0.66471275562	0.581270518155	0.987963817953	0.612377964642	0.611189023679	0.624617833121	0.625227329745	0.644762896011	0.648398872493	0.623003823621	0.641606987642	0.609687087542	0.71529753714	0.6977058571	0.611382431792	0.700309162594	0.678094290045	0.64895739193	0.653218965117	0.580946746828	0.584623569498	0.608550689533	0.648159350966	0.558322034177	0.610207041356	0.600234424244	0.594236799789	0.591788295205	0.57860429578
EM034.441676	0.663973152791	0.641456186341	0.615337999591	0.0	0.621479340977	0.605832507649	0.686984783327	0.689851679237	0.623971782048	0.615871258011	0.649171102843	0.645831372107	0.742717024263	0.726862959754	0.744788944703	0.708146138212	0.601869777664	0.625344153815	0.663404916501	0.671497933395	0.584375914651	0.618078342674	0.63049906562	0.649797304827	0.653634813442	0.664836661986	0.694491079758	0.7119535041	0.625662101694	0.707991350037	0.655131408933	0.627977451812	0.727161946666	0.637328924423	0.693018927004	0.580107551761	0.644528360628	0.662694148828	0.651278675067	0.660883864398	0.661469494721	0.641100251317	0.695375990155	0.678160784045	0.67793083513	0.705449548096	0.723561363802	0.619843153721	0.661774183166	0.597441812827	0.688343394682	0.694733025713	0.620644760414	0.606516968476	0.663992253611	0.634919012559	0.632235535929	0.680612312077	0.661364706551	0.637061261761	0.665725763286	0.703385247808	0.630438001232	0.660094317223	0.646826454331	0.633212244072	0.630401561969	0.624277838582	0.638527059848	0.64468105848	0.655204717647	0.680430627386	0.688997468388	0.676360296688	0.661289744218	0.591184003754	0.597407857775	0.615829559871	0.717343460331	0.6391051661	0.669120071523	0.636527307752	0.627440467476	0.757282330229	0.699788765085	0.624979673363	0.654764566023	0.646736606021	0.63621797954	0.662854888107	0.670199129208	0.663371572609	0.678227824296	0.698161518187	0.637922006563	0.722769472634	0.749355346091	0.689721229178	0.682513877434	0.655665703473	0.626278006785	0.725288226559	0.627211099601	0.63865254358	0.638648645067	0.655121722013	0.710172627518	0.65902289792	0.723203482504	0.732133116152	0.634060698642	0.650650070364	0.595391940721	0.663041791584	0.650507988589	0.665388273038	0.646354603008	0.626292303549	0.692473755458	0.657274579716	0.64457617936	0.675598336791	0.630829324416	0.688845353598	0.639962289615	0.640963355398	0.645409622811	0.680020950681	0.625132461625	0.633516843674	0.715746791256	0.626237564252	0.624196698174	0.619952885029	0.652026237962	0.672721610651	0.656168398839	0.651100722107	0.635083146707	0.679359161122	0.607033745049	0.986746599708	0.64071184578	0.640836074807	0.626356214991	0.649163914334	0.661328920811	0.643140201114	0.654741747671	0.66923184458	0.636279507823	0.682855103696	0.683332398123	0.566286525563	0.690342091097	0.654711294985	0.651299958112	0.719109368737	0.640981258436	0.612801173606	0.610433015141	0.701737105416	0.596752550666	0.668682699217	0.644683497662	0.653945216861	0.6544183969	0.640315863844
EM035.441593	0.595757238307	0.559031664848	0.561951151079	0.621479340977	0.0	0.513802657483	0.633942261357	0.607374209002	0.560465574596	0.587827682944	0.585433621479	0.614700758513	0.662716293949	0.640530389812	0.772218005499	0.705576946793	0.555047205347	0.559458903411	0.672623995957	0.578338311587	0.612368379569	0.69055363802	0.557546880731	0.582065513951	0.543169675433	0.553399514237	0.599969229048	0.626028630098	0.559994302548	0.657766489235	0.567215938944	0.569744842712	0.753419357673	0.602943643457	0.591585735703	0.594842474832	0.552606180771	0.610536720657	0.587382225684	0.586401805806	0.626819574607	0.609507166231	0.628425077799	0.580192902362	0.648112880671	0.68756355035	0.74924819602	0.528666510444	0.596717055449	0.561333783894	0.609682162373	0.628913331348	0.598102460898	0.590864150983	0.592968479261	0.565911308981	0.651141907702	0.621335947156	0.564348920365	0.552241292933	0.632693491362	0.648812942704	0.550407361088	0.697095206493	0.657185609925	0.573866034156	0.576024329796	0.544486389672	0.555815741434	0.598212664332	0.60671442585	0.587623900354	0.627602964041	0.621594927632	0.575108591847	0.541255528764	0.551956659349	0.55223133057	0.621964002794	0.541511481043	0.595837745742	0.593044771807	0.576744488525	0.737427338006	0.592659301011	0.614393108174	0.651291042744	0.635431270396	0.593835234188	0.583222615099	0.573663634905	0.633815496482	0.662522090668	0.638254633683	0.579087357078	0.658768976057	0.68083387552	0.576485349767	0.640000762114	0.604450413863	0.674635549716	0.746880114128	0.574697832003	0.589681509179	0.688880433698	0.627146473222	0.664598183926	0.600310892103	0.735221038167	0.749503126663	0.545295956486	0.609227461174	0.675137271562	0.592092163174	0.626317674635	0.604199462075	0.621086647985	0.600836306125	0.611021949994	0.679494123701	0.59428036983	0.602264983676	0.58298572926	0.662484740121	0.650817919607	0.676756506048	0.681629437971	0.627421136383	0.556001567862	0.585888251842	0.768803808219	0.592871873945	0.519667369421	0.593722504094	0.611009983931	0.639106401341	0.617065471049	0.627307091099	0.600290858132	0.659035852073	0.60081825447	0.988797057366	0.591186528782	0.558569616669	0.602207785684	0.633006716963	0.64237792583	0.61298846175	0.608448983407	0.649780653706	0.597199250557	0.693831922046	0.682335143172	0.633044523718	0.681956550133	0.678942911423	0.644328111787	0.712680525917	0.567035935796	0.531432740516	0.585199792828	0.625875773528	0.545884138634	0.576032443287	0.574955947839	0.572232394149	0.573841147229	0.554196970952
EM036.441587	0.59120582493	0.541254895007	0.534964196203	0.605832507649	0.513802657483	0.0	0.646267716267	0.599456632358	0.521382659101	0.591792195059	0.574503521417	0.62667273655	0.654786014698	0.644553325943	0.800007131278	0.739826362095	0.554209048823	0.5661659435	0.677934545237	0.555770018802	0.638337320395	0.693973964489	0.521681641746	0.54979010338	0.560373962507	0.561161377985	0.580972442485	0.594407029243	0.551343461566	0.634438770538	0.551149136571	0.528313648117	0.756243677041	0.57703071873	0.581613925206	0.586545109794	0.54182723473	0.584458957399	0.59412744058	0.561517054868	0.616946960025	0.596771820911	0.586785048694	0.571720703779	0.610524868548	0.675646776556	0.743012143176	0.504817550734	0.588714831033	0.531881184964	0.599647358197	0.616169849879	0.603089621914	0.567243354915	0.608095559915	0.546000406327	0.669783531411	0.647776056447	0.591774945085	0.544351710155	0.601214456933	0.647099605564	0.546281738412	0.700223815242	0.664226550607	0.596282463896	0.577380812654	0.565466881319	0.560282782908	0.575736679987	0.582752579702	0.570925695212	0.630346818919	0.608772566402	0.576508075094	0.583806923117	0.571093489278	0.530506319185	0.596164120672	0.541452678619	0.558246246453	0.58445137844	0.562709883239	0.714661714282	0.549189891236	0.608549779415	0.663099064818	0.634496632293	0.596103469346	0.593243393804	0.570698993924	0.62183513443	0.647069455629	0.600708149591	0.628305818578	0.641357918837	0.674402997008	0.561502250889	0.625101000983	0.605640799171	0.678109224487	0.757329206589	0.569076990218	0.564483350447	0.691331257423	0.648688014014	0.692074750208	0.625356540475	0.747025063826	0.782563386884	0.57542352962	0.592023619849	0.66990266351	0.583917840539	0.597166873782	0.615242511455	0.63556676171	0.577775881975	0.585167020774	0.708709524902	0.597812231185	0.631330232457	0.583176870487	0.631978365798	0.668948695466	0.650806524491	0.673089367667	0.634473969557	0.530367523193	0.578319995703	0.770739717328	0.577623852695	0.531131201508	0.588880685033	0.583799304219	0.635521288907	0.638777046548	0.637280466233	0.576937072726	0.645774211277	0.564709126518	0.988488051533	0.603092602178	0.576981581138	0.592667862464	0.606758752081	0.64302714461	0.631698778733	0.571298190038	0.631239546602	0.621905558563	0.706164874311	0.685662431781	0.623072366993	0.696532217289	0.671409539657	0.643104383948	0.718022089237	0.550913800606	0.542515009358	0.565924244756	0.629573757952	0.532196088421	0.601280764944	0.544080175778	0.565465014298	0.571593262751	0.583118507361
EM037.441737	0.659180665888	0.658021762777	0.637711595726	0.686984783327	0.633942261357	0.646267716267	0.0	0.671229933355	0.640577570806	0.643240491099	0.659886011466	0.680504048324	0.746274290379	0.698698619302	0.739892311997	0.72350355207	0.62803136943	0.619184566637	0.656714795912	0.678289580936	0.705638553608	0.683798480644	0.649244663831	0.647000397212	0.669377932046	0.676805001557	0.688846880589	0.659262307496	0.652077834293	0.694367156831	0.669086050591	0.655519369104	0.695170668648	0.631176667249	0.684222147431	0.669494673999	0.66399392811	0.691919020577	0.67276773071	0.664707434722	0.710242038558	0.698652698828	0.666671169411	0.642995823123	0.617217462095	0.685105746343	0.67880421679	0.66486413514	0.673818342437	0.646976951792	0.683036196559	0.68071633773	0.625915303091	0.621618008497	0.690274845269	0.658010551778	0.665824030502	0.649839307858	0.639708519764	0.670058120318	0.648503039015	0.639312487382	0.660192126058	0.698573636857	0.67967650018	0.687387425	0.656991741484	0.635533544747	0.674708163689	0.659687472391	0.671062683392	0.686463573381	0.626181896289	0.687152234429	0.697364730604	0.641701105718	0.626296229616	0.643397569522	0.68056753364	0.637947930759	0.631406335452	0.635808941414	0.641399329986	0.737230135905	0.698823205733	0.620027029525	0.672758882723	0.634002224562	0.650665667605	0.67649304929	0.683595285974	0.666871686964	0.688538212007	0.667892837453	0.646944982311	0.679561955121	0.696937306819	0.658858747164	0.687243322806	0.627772907833	0.667691739036	0.752024160626	0.642518835505	0.636306511278	0.663107767842	0.670882267408	0.639551959805	0.663787371348	0.785013268894	0.75068218877	0.665692877712	0.653591503715	0.695354990348	0.650042126271	0.641332393771	0.668978473506	0.640471867861	0.661165996105	0.647610559936	0.645141919681	0.652724707762	0.648775538634	0.617653143548	0.689404514428	0.641428698453	0.685470063465	0.670268754776	0.678307944796	0.658153353795	0.647929298309	0.747354699634	0.642075415509	0.657361333722	0.62539470049	0.641995945551	0.697120909243	0.666992762959	0.663200334386	0.627313671794	0.674140266686	0.666623843465	0.981227932111	0.668073651371	0.637407261984	0.641216565313	0.635315146879	0.677818462694	0.656553496158	0.645505655826	0.682651815158	0.640182467767	0.748759586978	0.722055920926	0.663391163773	0.650642102731	0.65872436834	0.644620882329	0.65189025335	0.66770837612	0.651157378464	0.60922380175	0.693408896459	0.635479747179	0.666793778953	0.659233737305	0.635487795193	0.63874928174	0.660010955689
EM038.441649	0.672712105858	0.561341399883	0.635252356272	0.689851679237	0.607374209002	0.599456632358	0.671229933355	0.0	0.576393988996	0.645050272637	0.588543102512	0.666862258236	0.661894966979	0.614186702115	0.80491824172	0.786389027181	0.629351019223	0.620147927139	0.721514201223	0.612796472982	0.728898268255	0.738862020045	0.592889234873	0.61507972062	0.586937694146	0.61087621422	0.609244288199	0.605462418512	0.637478554967	0.677368493765	0.589998894109	0.596210521991	0.750896270964	0.639633237989	0.614195689871	0.69841309891	0.615120797203	0.640245059779	0.624161704216	0.594612297308	0.651622590086	0.645297190234	0.600214171442	0.587584180577	0.641882494431	0.625182995151	0.733179300605	0.604610332522	0.566772150862	0.638767722827	0.597230639861	0.59408898529	0.69012155781	0.677630889472	0.650804214643	0.603514682577	0.698011301347	0.626213850815	0.65924566762	0.635746620921	0.59637890653	0.647564539401	0.633550739112	0.765132774206	0.756826670102	0.712039116112	0.709658366902	0.646490221221	0.61749734977	0.566545043382	0.559225483994	0.612075941169	0.65975311092	0.648761799502	0.639942331423	0.663899316904	0.671719493874	0.624030983109	0.567026274377	0.613655180785	0.583932289017	0.6571945383	0.643247271057	0.703666345083	0.623361832234	0.664886154879	0.672321852512	0.66039346619	0.671406089614	0.570807290342	0.589561241057	0.631092594349	0.649324702482	0.609721304616	0.664255459114	0.62431905056	0.65035902193	0.604389295224	0.618348529712	0.607182704335	0.687498816815	0.773290505796	0.690529846789	0.627369121735	0.692971242886	0.65612377963	0.720234335231	0.643417001043	0.789927861097	0.814196454257	0.658263378973	0.648088172853	0.712456016708	0.633964486164	0.680006953449	0.638664619494	0.675641421142	0.627577833485	0.586423370518	0.693573746943	0.641901256942	0.656469311132	0.595610532231	0.631973648018	0.707051960444	0.707838562952	0.676031917828	0.614779485923	0.632475823501	0.622496848738	0.805480853458	0.640053571936	0.607402690732	0.634047144379	0.582602656347	0.71841046699	0.661508793958	0.65827528725	0.632905836392	0.597116499439	0.631218118481	0.987746727167	0.599027378966	0.610378500484	0.627981799419	0.629795351873	0.614897085453	0.590470998641	0.58109369058	0.609891970712	0.60584042594	0.712051716916	0.624682494652	0.705633482187	0.689846791902	0.657652606537	0.622932400069	0.735716217842	0.613842709744	0.636274454925	0.659475854859	0.623388869385	0.658805721554	0.619876530113	0.614181267876	0.594315815235	0.604592459481	0.605787416508
EM039.441743	0.599836235223	0.535208740558	0.564588238537	0.623971782048	0.560465574596	0.521382659101	0.640577570806	0.576393988996	0.0	0.561687638245	0.580591381219	0.625476752067	0.634424658957	0.634334215236	0.791878844802	0.752124738285	0.568400820689	0.582306778899	0.692131552279	0.555661731049	0.653304820035	0.686910652554	0.539791771691	0.565823439816	0.528823637501	0.542619279721	0.575220239645	0.595305213396	0.567497810125	0.621349160362	0.543260601353	0.530915316667	0.741491643914	0.583514333904	0.574331246319	0.618600613711	0.525363920397	0.591442281028	0.577958049365	0.566543651188	0.592177893272	0.563513235205	0.606667523153	0.55718406805	0.623315977425	0.646586282629	0.722334439045	0.520285054702	0.577709520142	0.533209825812	0.595204415338	0.610804000702	0.598116456208	0.571202133995	0.600101369347	0.520651185066	0.665390634689	0.611033760033	0.597068613563	0.59115747531	0.610174596695	0.647208115494	0.565341423108	0.699206263998	0.680404564243	0.588936037242	0.583753031347	0.560333440822	0.56874369559	0.553047500449	0.559701589282	0.579397794104	0.601723239519	0.571738306063	0.547423416471	0.607320929443	0.588336202168	0.520264011649	0.571274618327	0.541931744178	0.568749520448	0.580147739144	0.572729950422	0.697798961475	0.546728838106	0.648966451812	0.653683292198	0.636966984367	0.62615391467	0.568703529826	0.549962307037	0.613591326048	0.620249880959	0.594206069378	0.623537827932	0.621654002272	0.671473018767	0.572222925803	0.588849365195	0.580835070624	0.669216687421	0.759942221941	0.58581783872	0.55220738085	0.668110422201	0.630201311368	0.705409835184	0.602878244496	0.778781829159	0.788542166581	0.584135964384	0.560987237362	0.669659941151	0.56701408552	0.618857807242	0.599866008348	0.64223129816	0.576930650583	0.595091761432	0.674139247917	0.612989066493	0.643298319805	0.572571497692	0.618203885079	0.659414158442	0.657403837922	0.650345806435	0.583082435836	0.544653702757	0.572855594129	0.765038777807	0.568745752787	0.546297084964	0.549605650543	0.597613082696	0.636795036706	0.632742830194	0.625808535994	0.577282564558	0.643150585294	0.563314832642	0.988368124198	0.575502656411	0.583343671225	0.574273465564	0.627389906475	0.630524127044	0.614874682598	0.581254574129	0.62842656953	0.608577964743	0.73054413371	0.663556439371	0.627557911702	0.691656313587	0.645964263057	0.636225016824	0.712695294068	0.526882416061	0.561056716658	0.593994285942	0.587402303368	0.560925666089	0.60726151806	0.559740866424	0.57191129653	0.585696159117	0.558197689865
EM040.441709	0.622193525816	0.611008302211	0.610706643959	0.615871258011	0.587827682944	0.591792195059	0.643240491099	0.645050272637	0.561687638245	0.0	0.620381169433	0.679809969141	0.709531327222	0.683953738446	0.749712538537	0.700750147095	0.537812095818	0.575029459909	0.656690144634	0.631270424489	0.608784462701	0.654893163287	0.625303708356	0.616582579252	0.610313928675	0.603901916675	0.655196092058	0.659861757868	0.590724896919	0.676576323422	0.586542556105	0.593718806874	0.749533065729	0.581887953724	0.644893451878	0.581483743357	0.594366471627	0.627862798283	0.639475502887	0.620693927048	0.630087877732	0.594691366283	0.62306412824	0.58958084817	0.657632882413	0.718385706298	0.765725484862	0.571938334406	0.637366854325	0.533816066716	0.656922880259	0.653799881076	0.559995284193	0.561650731357	0.631834647072	0.601164477882	0.653797487968	0.679061101605	0.609066976632	0.621256148259	0.669356147353	0.706150272876	0.596179688933	0.665466308531	0.634137741453	0.568903706333	0.56172386669	0.577819133247	0.606016119596	0.607059604348	0.621719141234	0.63569826743	0.629095855659	0.576846739649	0.57912546445	0.586560263522	0.547892688914	0.579597693362	0.641665082666	0.577157805373	0.593786479423	0.593976555518	0.566731109974	0.751211806002	0.633226818786	0.63290849268	0.693485287204	0.675758579189	0.627609745657	0.630188225132	0.624457942797	0.656316178476	0.69470680058	0.670238557068	0.624401597317	0.682977585815	0.71573120876	0.666953659425	0.666180308144	0.623243331545	0.67730949475	0.734531332944	0.575842841278	0.623504940999	0.684918121263	0.642217891136	0.698384708923	0.634222901829	0.75321724654	0.763812012506	0.610935512437	0.575729511842	0.648160874969	0.616198124992	0.635367748155	0.652095887613	0.656605359624	0.645745609146	0.639621211127	0.670805038264	0.633186367817	0.650131719091	0.598874588176	0.682577122933	0.660344116596	0.690903696159	0.683544332603	0.629105593676	0.590524149544	0.623829977794	0.715023361972	0.594462490502	0.603744857908	0.617796065273	0.619510133332	0.628304104549	0.626377356983	0.63691135885	0.64397527109	0.700671823759	0.638290331897	0.985284234857	0.631391712785	0.61447282893	0.633623025803	0.649571098225	0.6687476776	0.670450152528	0.658000442355	0.680366844948	0.636883992405	0.729208374336	0.71992138469	0.611918229693	0.699340216348	0.672156116959	0.682464799936	0.716973819999	0.602764340312	0.554552034618	0.566274641912	0.632237300007	0.561139092256	0.659635665087	0.600415048334	0.633476250609	0.617218287666	0.621066995623
