	EM031.441732	EM032.441683	EM033.441685	EM034.441676	EM035.441593	EM036.441587	EM037.441737	EM038.441649	EM039.441743	EM040.441709	EM042.441674	EM043.441739	EM044.441601	EM046.441741	EM047.441722	EM047.T3.441645	EM049.441600	EM049.T3.441671	EM050.441672	EM052.441625	EM053.441738	EM053.T3.441688	EM054.441707	EM054.T3.441749	EM055.441603	EM055.T3.441626	EM056.441606	EM056.T3.441716	EM057.441605	EM057.T3.441589	EM058.441637	EM059.441715	EM059.T3.441604	EM060.441677	EM060.T3.441729	EM061.441673	EM062.441720	EM063.441621	EM063.T3.441695	EM064.441592	EM065.441667	EM065.T3.441614	EM066.441656	EM066.T3.441647	EM067.441615	EM068.441712	EM069.441700	EM070.441682	EM071.441747	EM071.T3.441734	EM072.441643	EM072.T3.441632	EM073.441594	EM073.T3.441721	EM074.441596	EM075.441644	EM076.441622	EM077.441646	EM077.T3.441639	EM078.441658	EM079.441724	EM080.441727	EM081.441618	EM082.441607	EM082.T3.441751	EM083.441666	EM083.T3.441744	EM084.441599	EM085.441675	EM086.441698	EM086.T3.441746	EM087.441726	EM088.441638	EM089.441742	EM089.T3.441624	EM090.441664	EM090.T3.441662	EM091.441686	EM092.441616	EM093.441602	EM093.T3.441670	EM094.441640	EM094.T3.441588	EM095.441717	EM095.T3.441590	EM096.441706	EM098.441733	EM098.T3.441740	EM099.441708	EM100.441714	EM100.T3.441627	EM101.441623	EM102.441633	EM103.441691	EM105.441629	EM106.441745	EM107.441620	EM108.441694	EM109.441669	EM110.441723	EM111.441634	EM112.441630	EM113.441619	EM114.441710	EM115.441641	EM116.441657	EM117.441609	EM118.441693	EM122.441699	EM123.441687	EM124.441697	EM125.441659	EM126.441679	EM129.441689	EM130.441701	EM131.441591	EM132.441696	EM133.441663	EM134.441735	EM135.441660	EM136.441650	EM137.441680	EM138.441753	EM139.441611	EM140.441608	EM141.441684	EM142.441711	EM144.441736	EM145.441690	EM146.441718	EM147.441617	EM148.441631	EM149.441655	EM150.441648	EM151.441595	EM152.441730	EM155.441678	EM156.441613	EM158.441731	EM159.441719	EM160.441703	EM161.441598	EM162.441728	EM163.441642	EM165.441597	EM166.441748	EM167.441702	EM168.441668	EM169.441653	EM170.441651	EM173.441754	EM174.441652	EM178.441705	EM179.441612	EM180.441692	EM182.441681	EM183.441654	EM209.441665	EM222.441725	EMC01.441661	EMC02.441750	EMC03.441713	EMC04.441704	EMC05.441628	EMC06.441610	EMC07.441636	EMC08.441752	EMC09.441635
EM031.441732	0.0	0.477380517243	0.230218625403	0.331192936166	0.232540806555	0.218934034302	0.213930731083	0.393094326359	0.230613048801	0.309173224148	0.454755159667	0.358121507135	0.417719692511	0.476086862768	0.490663782412	0.374072735312	0.309364874354	0.254959991013	0.372321330729	0.295088937342	0.293050264132	0.549463216411	0.315117213998	0.272054817187	0.382940569576	0.368040119307	0.359086706835	0.426932153528	0.232352311464	0.764276487055	0.24399696501	0.254766198979	0.349045068086	0.276674353583	0.320859293722	0.226434213088	0.299144905854	0.450302375358	0.362217726007	0.354123675108	0.260998877498	0.252833465326	0.417953051787	0.361770705635	0.323158788106	0.378161111025	0.343767187055	0.265182172019	0.425013465376	0.245963869622	0.481030635357	0.587500018932	0.254618040258	0.213989742543	0.538376416219	0.412935955734	0.370886182526	0.358900312199	0.34585882538	0.344956122675	0.238728568822	0.278495481852	0.574644897555	0.516926353388	0.44042616911	0.277113942114	0.283725900296	0.206686165291	0.418727773537	0.307420219385	0.30739016299	0.281446507579	0.374750640592	0.311886666246	0.433775536168	0.231280142371	0.21860176769	0.361087955933	0.423908258753	0.268138520829	0.293124419946	0.262064253071	0.205970148657	0.581647648513	0.361998109872	0.266462935467	0.325101618793	0.256871261148	0.299744441284	0.558631819173	0.48191579512	0.358826356052	0.234514914307	0.279595291115	0.28160003595	0.492488903542	0.659396298997	0.322848978151	0.369231124878	0.390010432849	0.295380225465	0.494189580012	0.299051302638	0.412010022135	0.307292020428	0.436284673683	0.33509105673	0.584159019024	0.393932793903	0.283180936239	0.509500422376	0.209387227936	0.350924085112	0.273565846609	0.373486393833	0.235869784263	0.406489363272	0.22442319888	0.315399365693	0.293992993272	0.304359439468	0.417410069428	0.338823765911	0.303612643107	0.306225215208	0.286987650022	0.244140490243	0.359489716822	0.267884475973	0.302766601497	0.53748129119	0.241399966218	0.306323483332	0.260447668021	0.318304366213	0.222008084402	0.290646805058	0.341920958589	0.253717101817	0.427233961217	0.32996673072	0.875976803089	0.301676940093	0.329154851152	0.243172455006	0.257689525909	0.310274896116	0.302879293075	0.240198400028	0.250304724308	0.270099744796	0.360099434795	0.331200175019	0.44227271541	0.389294264558	0.415558430897	0.340709364666	0.406833877483	0.280121429286	0.339840144549	0.340467438657	0.382858081436	0.239965068341	0.51583399384	0.502736155758	0.350969448978	0.372680029231	0.478168275834
EM032.441683	0.477380517243	0.0	0.455341419045	0.557411574105	0.439671606106	0.428979586428	0.49341972135	0.372629960361	0.437431397169	0.585792225455	0.201427544373	0.447183875868	0.427208839694	0.623063920965	0.745810968103	0.543268556049	0.405009723949	0.440664263418	0.642861712292	0.449121189842	0.500390179641	0.821626071129	0.593500095498	0.566095013805	0.340589993882	0.376397717674	0.515224169761	0.562951632936	0.395901053132	0.550503117164	0.40358652578	0.485401386615	0.590570071919	0.551698444713	0.399119799395	0.465856587207	0.458361956944	0.325435178927	0.333131218661	0.32057940704	0.466682634176	0.461285068987	0.563624879802	0.475915473502	0.51953319985	0.627815559536	0.621941530971	0.407029548019	0.271424026556	0.540050739826	0.37860952631	0.371237498796	0.587581568514	0.524354516835	0.37023880111	0.340100576245	0.642018056108	0.532678249381	0.531195767494	0.408344025469	0.450879760457	0.441545188684	0.368723918958	0.829336492025	0.75062748712	0.551824111198	0.564287723505	0.479407268778	0.391822235797	0.42684103253	0.400868030956	0.439528100937	0.636246160203	0.450995187615	0.355331870755	0.481802828453	0.492844958902	0.364414760254	0.410356902809	0.420988475099	0.514691597817	0.525136865938	0.487171805004	0.36152136769	0.487732890725	0.474018537217	0.600529269846	0.48867753261	0.422107946956	0.313032742332	0.276135161656	0.399621748346	0.461739064581	0.428012944799	0.453243182516	0.642622579884	0.450468705606	0.419958632054	0.330373992001	0.584659905799	0.571246700314	0.638827885846	0.404065900674	0.644314405908	0.588527197459	0.325636612023	0.599450279847	0.408165283882	0.491980919072	0.53754826449	0.309715761037	0.442499143006	0.63288030701	0.441354450077	0.59572640543	0.573910241236	0.693804932928	0.490632733028	0.466282937744	0.553831517348	0.638328297927	0.66713957454	0.35445823736	0.571189017257	0.547351717067	0.565047249461	0.427274274666	0.522853532943	0.363932915867	0.425156528471	0.839898190389	0.494762044181	0.375236154191	0.504851495169	0.463643235901	0.48239778717	0.499218903777	0.403140511425	0.471532775322	0.340339748155	0.403344954957	0.68602865995	0.447093645722	0.34951438114	0.50084165614	0.542764698708	0.427571261611	0.371321398976	0.497349620984	0.513390437143	0.498168719335	0.655280240321	0.428863584412	0.722234718924	0.410124373582	0.632937995167	0.407450131874	0.690395421793	0.374794579921	0.371405187336	0.347823214765	0.445657518824	0.428560216655	0.265926826808	0.311167506	0.360289753795	0.506653312642	0.214314806553
EM033.441685	0.230218625403	0.455341419045	0.0	0.291594851512	0.234367411709	0.148998610952	0.236281862972	0.383408459253	0.193574812716	0.278131845494	0.447025539906	0.311904897089	0.370378528396	0.48116592849	0.524859783523	0.372504612004	0.240337848799	0.201336181176	0.319391739526	0.288202259706	0.193880839044	0.480704860027	0.249839137489	0.23580302365	0.342699965502	0.33528415347	0.357591298946	0.441927528413	0.251213621339	0.732816675505	0.213633931335	0.26550625906	0.391213592398	0.241766743111	0.275604166829	0.162352125493	0.275942441821	0.390532720551	0.336336753057	0.327239993853	0.336989029373	0.310215042503	0.401413989292	0.332871743282	0.2560346256	0.438269996996	0.399918653501	0.225001949	0.398697948941	0.208802651965	0.446263956937	0.551126250186	0.247190511771	0.175504313013	0.503600470588	0.367831761052	0.30723522261	0.358063869877	0.327877516433	0.267866052929	0.272713462852	0.213084734726	0.532396400908	0.491498621073	0.416114426481	0.20662105741	0.229334269298	0.189699813032	0.353025849636	0.287891860912	0.301879506235	0.270994913603	0.348893415032	0.262939039871	0.409989151127	0.181723683949	0.185622352787	0.342421686016	0.414459142482	0.171774728607	0.283103585112	0.274674433336	0.190303973866	0.520242928766	0.326282636081	0.219760369616	0.298543341628	0.247210389088	0.206193861434	0.522465655019	0.4450105536	0.379426529909	0.222932193437	0.255980584231	0.296583100721	0.505876591649	0.650794088248	0.299054211018	0.302242898509	0.389383534704	0.362936787518	0.498196360613	0.279820282038	0.350330559111	0.356342175874	0.401156816231	0.293440930646	0.599732911548	0.330668645135	0.357390873612	0.467998959737	0.244256193121	0.282946043008	0.221657304813	0.314118134555	0.237951500851	0.351370299581	0.250842859717	0.293409227197	0.282611056167	0.353166199893	0.407190965168	0.299672916094	0.3394190089	0.248366835877	0.245807882447	0.247110296321	0.347548791631	0.218533918023	0.319375017351	0.499474114353	0.23419855388	0.257831851812	0.243037154142	0.262505640204	0.266939136716	0.312581101584	0.331835426942	0.262971973113	0.390551283125	0.260135623552	0.837473640933	0.275542057641	0.298498319037	0.230971974938	0.301469198882	0.313992058	0.32839261963	0.216421971547	0.281478602225	0.203115153821	0.394203185541	0.341324819474	0.382813302068	0.322812166145	0.36802896601	0.334463442574	0.332029121469	0.251029238202	0.273924785853	0.274539228982	0.354669660264	0.157835125324	0.491685106358	0.455941069988	0.368736993334	0.366828915525	0.416784543008
EM034.441676	0.331192936166	0.557411574105	0.291594851512	0.0	0.296185378962	0.326894116568	0.244333848198	0.477487692719	0.314759440889	0.256657625708	0.534005895682	0.475088163286	0.488698079234	0.415875299256	0.393410650562	0.431691623342	0.379000393283	0.355154893997	0.268452880207	0.360285296204	0.331776761087	0.380403912317	0.25006850533	0.236341540294	0.476443086572	0.457267837673	0.326288407985	0.41532971519	0.312059451985	0.843650204425	0.344889633355	0.204738048221	0.280825237636	0.198080207414	0.376132273389	0.321841630335	0.373412538572	0.491022924003	0.420157069983	0.43164103587	0.321395680615	0.313810872661	0.401717463312	0.43949481105	0.207310605718	0.314261256866	0.293662354656	0.301162483833	0.502032640878	0.218417111013	0.540986729992	0.674302314983	0.205683129062	0.21803548222	0.608236708439	0.449617472753	0.256170450009	0.342584026984	0.327350514692	0.403772363344	0.331195478333	0.329721510063	0.677535800447	0.406485587282	0.340498023409	0.323450035033	0.31642366253	0.284394746911	0.474156748923	0.368677445275	0.391292305961	0.320529759774	0.279650660545	0.389664878269	0.527646206833	0.3047955887	0.269567034558	0.508666193891	0.525199032859	0.35811242438	0.290299515332	0.354308375356	0.312857116404	0.642055714651	0.404578639179	0.315517623495	0.222840015878	0.251413212763	0.338794484841	0.632037619629	0.5752504643	0.429147792182	0.269380673389	0.330651128791	0.308694013633	0.412331595853	0.752995206443	0.378048724559	0.422808897215	0.281757836581	0.242505313913	0.390310840115	0.377301096949	0.252506530047	0.240244869783	0.464152468368	0.219690159792	0.693243459081	0.440935067064	0.34754956919	0.582983070984	0.24355061982	0.20917745998	0.289675855184	0.224594300021	0.263632989389	0.26629456448	0.221562434878	0.344285093017	0.213438197571	0.255517987534	0.32012590487	0.386605091439	0.21790684812	0.215633664501	0.250704092284	0.279431114892	0.344542853625	0.371466044355	0.380669862058	0.406376854279	0.202389579062	0.368964657708	0.214082639823	0.370175724574	0.28097277972	0.26155170925	0.408162485115	0.243484433191	0.487173068366	0.40879838375	0.935385994724	0.346759041506	0.393252132212	0.226442388888	0.232079332804	0.336115576227	0.382519665845	0.223400924691	0.223119608847	0.209571692732	0.261505025219	0.405320267759	0.310044907153	0.438981257543	0.250365784605	0.407973027887	0.277828898548	0.365505212805	0.395154627929	0.378315568766	0.462874937953	0.300925848555	0.611398310269	0.56784189889	0.40102268839	0.326354138301	0.540535283628
EM035.441593	0.232540806555	0.439671606106	0.234367411709	0.296185378962	0.0	0.231626393585	0.214331499288	0.366710844305	0.272606799344	0.355051391674	0.415866629951	0.355533670125	0.37246376804	0.456652681524	0.454596252645	0.297506984309	0.253380798639	0.254067243951	0.391458873055	0.243770293469	0.326503508484	0.557609674606	0.336753737388	0.279929736913	0.313498705645	0.313174500488	0.323773670431	0.413424609037	0.180753791949	0.738441443457	0.202662918352	0.20719149542	0.331521816322	0.305532955443	0.203310428593	0.270573978184	0.259501407707	0.37477751386	0.306868153608	0.286153147883	0.266930247831	0.230158913673	0.388843144351	0.32043085521	0.306202991182	0.3774771636	0.369670108412	0.164436315041	0.378015972269	0.279325670742	0.401187625717	0.537187292425	0.329604567573	0.260624255035	0.482023613416	0.291833442967	0.415959019792	0.327723363263	0.295146897061	0.262821381915	0.225202763165	0.275734156938	0.522766813636	0.561102012682	0.479757177066	0.321658328852	0.327983968112	0.191985386931	0.317623644585	0.300368395455	0.292141716088	0.172128498823	0.398118938912	0.316042784006	0.411039375011	0.245173406266	0.224616193577	0.4017790987	0.409994937763	0.251714512058	0.301752020445	0.303480959187	0.228695195397	0.512028542794	0.293133692296	0.263466552561	0.313802684751	0.238612633872	0.319979052503	0.488105063879	0.407271742167	0.333612725876	0.204427420362	0.237662100386	0.18380654387	0.458317839912	0.615123390216	0.260186056125	0.311944360308	0.351394646413	0.343522024699	0.439800405745	0.246917043544	0.404272564986	0.345271898253	0.39692317718	0.318053617109	0.550861444305	0.40837098259	0.306723608581	0.462344046236	0.196141396798	0.390165690302	0.164045631449	0.390369880478	0.308278057414	0.421839411948	0.222641548423	0.280036006992	0.288274821979	0.327799654277	0.366072954891	0.256027040526	0.292677643502	0.305664115361	0.351948096187	0.220868200804	0.308953091034	0.282436991791	0.251411157081	0.5802750971	0.242416042684	0.21427669018	0.25138381881	0.272538692188	0.215610754295	0.242755941386	0.278538535982	0.201645315009	0.380558248826	0.328996003076	0.839468010454	0.227752166457	0.259432154782	0.252821000651	0.271683043217	0.246635158	0.253455620866	0.241326017446	0.264880425998	0.276710851002	0.422538202865	0.291294241419	0.489020038115	0.312832586765	0.418801483111	0.286708397885	0.413490558362	0.213696759862	0.235543710789	0.288507546556	0.328397682116	0.224411506294	0.448970455111	0.434779849612	0.294410656953	0.273287003914	0.399267770903
EM036.441587	0.218934034302	0.428979586428	0.148998610952	0.326894116568	0.231626393585	0.0	0.243419595569	0.338546080277	0.19917812095	0.342535583197	0.422932322301	0.279757158213	0.363404291197	0.518465818884	0.539114294642	0.378679831285	0.208660208889	0.193877758078	0.372952192169	0.310423044236	0.240816091862	0.53743905991	0.306558055762	0.269280231911	0.294301762246	0.287277312543	0.384500693474	0.459322254962	0.224873361434	0.714442235676	0.1709770239	0.272818129178	0.389039123159	0.272158350003	0.233876209112	0.167070730699	0.302033387699	0.336925109362	0.273530398175	0.292336858242	0.341667003706	0.312112871674	0.43690305965	0.348893464167	0.300405083089	0.446745731532	0.403546793471	0.189539666752	0.362117714871	0.247814971556	0.367509535369	0.49502356843	0.30905267981	0.229725910225	0.455650285204	0.316350069496	0.379949009624	0.391992607368	0.365031617516	0.233872621237	0.243770707443	0.194581948518	0.514801765009	0.557590871155	0.474629335991	0.268066775306	0.295029101956	0.204767123854	0.320937738545	0.288617157745	0.299596649023	0.264150394636	0.406864528253	0.246310266324	0.367127071577	0.22960807535	0.226215015351	0.292961367772	0.383085082514	0.179696686547	0.322663681002	0.289570211637	0.217192702663	0.469285912528	0.329777449109	0.244197092804	0.319855670962	0.25547368924	0.224290358967	0.477523988233	0.407983202229	0.344735320949	0.208339435649	0.23980979796	0.30190824986	0.525838296825	0.624841071815	0.264212657768	0.287314785351	0.415198524494	0.380147826044	0.519726886507	0.248452447495	0.411922699757	0.37435360548	0.397136050196	0.32244224231	0.556813454263	0.333603283177	0.361101216571	0.440996546451	0.250385790787	0.346769496286	0.205804778772	0.390852849691	0.291833647317	0.404439299625	0.254860392252	0.317783086497	0.312419736348	0.358595000006	0.408643345383	0.276498464952	0.336506001768	0.310082861239	0.307980467387	0.250533896317	0.365039106108	0.185334696789	0.287543682786	0.565556467294	0.261015061703	0.198040083177	0.261466622466	0.24843572622	0.268989079967	0.31486575762	0.265547535932	0.258207816765	0.339416221302	0.246767081446	0.828144484761	0.276974825955	0.25551242515	0.244666572521	0.298959181058	0.314950259275	0.276247821447	0.22730433901	0.276163616738	0.265233017199	0.426935133055	0.290534257047	0.450241391985	0.297586924029	0.421698692561	0.278725071736	0.387922214747	0.211641870517	0.237463370324	0.217096799956	0.343469778337	0.121706072781	0.438418493855	0.432522618525	0.321759422858	0.369636423128	0.387022018694
EM037.441737	0.213930731083	0.49341972135	0.236281862972	0.244333848198	0.214331499288	0.243419595569	0.0	0.408881671266	0.261166212571	0.286278535114	0.468294710868	0.398374981832	0.442046644888	0.446784224482	0.414037842421	0.347348127122	0.304910976163	0.263214388481	0.318669683076	0.31349328125	0.327672706001	0.480242046531	0.27511836415	0.224340824481	0.396978207848	0.392693336793	0.307498244263	0.381578855074	0.224751717894	0.786852299238	0.238694616205	0.1677894514	0.276318428977	0.220863607792	0.307640072201	0.281450254565	0.308584530633	0.413824505343	0.352205173794	0.350989166569	0.25889298462	0.237625293247	0.378819087045	0.377923611625	0.253452716837	0.322835136828	0.282036674403	0.24637485885	0.432069698309	0.216695149222	0.479678470781	0.607783438891	0.241927340921	0.19046199759	0.540680181918	0.379910442197	0.329031438278	0.294173770218	0.288108223401	0.34627602039	0.232968779169	0.2567376393	0.598517240282	0.493885630634	0.412505186369	0.3095408146	0.299654614042	0.212359828035	0.425107815679	0.354446027538	0.34751844702	0.249161500442	0.329243235896	0.347219438535	0.472693722111	0.251917263455	0.218854003135	0.411448681136	0.463636553386	0.268197703229	0.243229164412	0.271638410097	0.229577112822	0.583647643926	0.351406154039	0.259748822869	0.249105917872	0.200922302292	0.305476129441	0.552386430838	0.502809830138	0.384194466929	0.170038658788	0.256262786285	0.236663789699	0.457263280846	0.686449075278	0.316602727188	0.3479892746	0.319759897143	0.263794411974	0.433703122994	0.266990083432	0.357967262711	0.265001302911	0.431472373743	0.249064195884	0.636990236666	0.449943198939	0.26346148316	0.52464413144	0.173335270993	0.310612459013	0.225340631161	0.32625464729	0.249130941361	0.334008383266	0.127515979584	0.275229706188	0.220734147835	0.250405473253	0.333906563801	0.323562158964	0.231924219061	0.247819712874	0.258444728179	0.209832166277	0.295024133966	0.280865681936	0.306165636717	0.512389689376	0.162057863647	0.259996859738	0.197027887409	0.322155800641	0.210960080263	0.234913383578	0.336910435402	0.157622413146	0.430564602963	0.337447426573	0.902484647967	0.296115080915	0.320950565714	0.168072512142	0.200980565483	0.282163835265	0.303036065335	0.166032370268	0.195366556849	0.207495720512	0.345884803724	0.355635969886	0.405342821233	0.369988860625	0.351354186974	0.324069571396	0.339397578759	0.284267905479	0.335045526943	0.320320714551	0.411151399916	0.239581846053	0.549125595394	0.505346769288	0.314619502093	0.290543715789	0.469437808983
EM038.441649	0.393094326359	0.372629960361	0.383408459253	0.477487692719	0.366710844305	0.338546080277	0.408881671266	0.0	0.344377390287	0.469487642132	0.382411490536	0.381125324269	0.224791678962	0.435452401982	0.639464265656	0.438821492919	0.340178075295	0.371992628008	0.57121614095	0.311857127358	0.446122497878	0.739100715201	0.500536615461	0.472278453823	0.316634190583	0.318540851318	0.372955622676	0.38853817793	0.32914042422	0.631701668864	0.306245173757	0.405878720171	0.482862291727	0.474140805533	0.303462065732	0.375244576938	0.326506468506	0.353451712197	0.287962118505	0.245361397437	0.382431876776	0.375698474793	0.356363240512	0.278813137806	0.433190864684	0.534564306923	0.554916804754	0.32217824924	0.276727995644	0.463582368747	0.309680891721	0.417758662279	0.483403449512	0.440420748246	0.336975181603	0.31486488812	0.562317949531	0.351055748767	0.362506153675	0.308466569567	0.363580215162	0.340214085043	0.447047932097	0.737936819635	0.664185762127	0.477209016479	0.484679142231	0.403469049407	0.310157030659	0.309708323901	0.29262653551	0.352844298218	0.483667345004	0.269546321013	0.362151021806	0.393962488397	0.397993937358	0.368686989253	0.276070450467	0.308483961723	0.364689643006	0.446642819531	0.401169559235	0.384563266399	0.3276162234	0.388595502724	0.499889929374	0.392265696053	0.352000045622	0.389566988654	0.364131656244	0.28048828999	0.367933760049	0.313954922155	0.390330145346	0.461143513018	0.513790122721	0.321197631159	0.250778536598	0.428002669124	0.476866512556	0.541830967523	0.347633310784	0.563698452216	0.488930214661	0.378017392165	0.510235449719	0.474466635226	0.407546668809	0.44849747514	0.42539437542	0.360000627832	0.551571932007	0.352370304542	0.471599427569	0.469177138239	0.614154615926	0.407750998611	0.340569335293	0.454550101538	0.55601185085	0.588483398173	0.301148246683	0.458248914065	0.465010912025	0.478968384333	0.347709931886	0.33577942335	0.302625410339	0.322832594883	0.747405660831	0.418364063816	0.291309125736	0.41783028883	0.280370552679	0.371898746402	0.409990669219	0.241855040686	0.388983489694	0.276633646984	0.336072579937	0.756858378184	0.320329543124	0.283679017774	0.407324137666	0.399972040207	0.329601214317	0.281908405533	0.4097064895	0.398307057824	0.413388706654	0.549073114824	0.239357544186	0.64175029175	0.317253760147	0.534018247381	0.303870765399	0.621174295804	0.310759057067	0.315253181764	0.287121692246	0.303761754412	0.353894811396	0.385405816128	0.405482695317	0.296972819479	0.347104065475	0.344509241568
EM039.441743	0.230613048801	0.437431397169	0.193574812716	0.314759440889	0.272606799344	0.19917812095	0.261166212571	0.344377390287	0.0	0.285866870903	0.433292294899	0.341158424554	0.368167594755	0.504467046642	0.566176132957	0.449061906768	0.282023857284	0.241315312656	0.368997048339	0.308461134027	0.245655908837	0.540259713894	0.306811810604	0.278424913947	0.320127669773	0.306668369128	0.386478073883	0.457623167046	0.276634731331	0.730367645187	0.2185566204	0.299771354358	0.414116163658	0.293015134672	0.286403103094	0.191180346626	0.282635068869	0.389240007082	0.333401787295	0.335206472	0.316654358012	0.305735494416	0.441437155859	0.366668435795	0.3132506743	0.453978465232	0.429703256075	0.227682546058	0.385292926692	0.220367546874	0.449832474142	0.525244916736	0.283737260359	0.22719874135	0.488834152845	0.362766371723	0.365630851043	0.369441294463	0.355651426484	0.304669527608	0.294875638655	0.233271481018	0.546949515749	0.51438643415	0.440478401004	0.261197201956	0.274423808657	0.219947194743	0.376348511152	0.268488880619	0.288067629879	0.301397747602	0.366462034374	0.265398115171	0.39255290688	0.197869627811	0.187449270117	0.308545230262	0.393367596856	0.229989413801	0.322210477525	0.294319319614	0.230791963429	0.533670529635	0.363321784438	0.225799320902	0.347695692596	0.278797891254	0.211977550632	0.485994128566	0.415236874935	0.317575792972	0.246234451648	0.242803984012	0.317018574846	0.500144227345	0.613124144045	0.290258910401	0.293810683459	0.412654910525	0.369833007319	0.522371655744	0.275933053356	0.392648145299	0.365914322747	0.400791927609	0.342221427047	0.539672301404	0.331024874185	0.355955745182	0.458871075664	0.249880446729	0.337144878758	0.270195293256	0.342850051524	0.277856140026	0.412214540551	0.272574400097	0.337070054119	0.31480507857	0.383786138737	0.450893449786	0.295568851771	0.339867862037	0.302243961112	0.273668188341	0.246924800495	0.376964675089	0.242119634993	0.287494592894	0.535303714885	0.277893917449	0.28001034078	0.273102620979	0.263318011733	0.283290247527	0.332700407668	0.307404327672	0.269530447516	0.369766435715	0.304859429979	0.847426524352	0.293481055769	0.294167423005	0.252931835556	0.297363082921	0.323152367575	0.304775945083	0.254942440902	0.288017408292	0.220633027842	0.39441032814	0.308892011147	0.427560254612	0.331203049197	0.390676618837	0.336318706492	0.407905028143	0.235375949654	0.30077897213	0.27761726102	0.339092879107	0.197156837275	0.478856245245	0.455523418081	0.34721896825	0.404462051201	0.440240267595
EM040.441709	0.309173224148	0.585792225455	0.278131845494	0.256657625708	0.355051391674	0.342535583197	0.286278535114	0.469487642132	0.285866870903	0.0	0.553195768957	0.427241993138	0.470068442276	0.369852945899	0.5022490262	0.520502107705	0.408461752127	0.343775650399	0.259531510276	0.32565424149	0.293484100294	0.414902756447	0.220580844363	0.222873501817	0.487869142986	0.481243603277	0.319815731909	0.393695101426	0.392765537858	0.875942774421	0.366843579614	0.274550080107	0.382725681017	0.20971173792	0.420221467416	0.273211126593	0.303491851255	0.556758085193	0.484429556397	0.472165320091	0.377134100799	0.37068334152	0.33738201821	0.38515661185	0.277430251173	0.410789673301	0.379280060502	0.362345744857	0.47289998599	0.175047878105	0.56573747508	0.654501362312	0.194042691284	0.199989976253	0.598731705921	0.510292648517	0.24347593617	0.322822431706	0.317309123581	0.436542026022	0.351923252248	0.347833148716	0.660415294356	0.382392517979	0.311377402691	0.2709623281	0.25356992159	0.268529078058	0.504642728665	0.351362461276	0.349690767262	0.369062492928	0.268080543018	0.351990578433	0.513789456273	0.237491571483	0.228068163555	0.479297674513	0.47524475904	0.318852941187	0.243113596995	0.304404736725	0.25586817693	0.633872083431	0.370727726742	0.323915630065	0.280469874433	0.305563619862	0.332090432868	0.658887827902	0.587550021113	0.425460832676	0.333770829446	0.388675991643	0.383716000549	0.389365931152	0.762131206748	0.430696965148	0.447552195613	0.319887775713	0.326217386539	0.474474167863	0.403386891644	0.334866425468	0.327306756488	0.511323016266	0.288492217567	0.720237110949	0.460662281347	0.348257245092	0.608056517135	0.311509527729	0.223002283977	0.350886814053	0.244219856334	0.20428221957	0.322177302479	0.296730687583	0.286492505915	0.286123702596	0.310587196813	0.374659234778	0.423048284738	0.315352945221	0.283357316399	0.248214494734	0.352520546009	0.324449333633	0.374024331377	0.412032384938	0.40374805303	0.263527172799	0.422160102328	0.264568308652	0.371799709279	0.337130105972	0.325466131741	0.435763264887	0.315094374434	0.515164658522	0.420807518468	0.962714238449	0.375620796298	0.445491468345	0.265910194474	0.272378164597	0.392687534403	0.422812765387	0.244577477867	0.265479576021	0.222385435711	0.333856152003	0.409334406111	0.305661024629	0.470922363422	0.317016906031	0.486996874103	0.316545726793	0.391509587019	0.427493829052	0.434370106795	0.405494489348	0.329234695141	0.61163175203	0.586970799376	0.490466401769	0.364231002783	0.579459363126
