	EM031.441732	EM032.441683	EM033.441685	EM034.441676	EM035.441593	EM036.441587	EM037.441737	EM038.441649	EM039.441743	EM040.441709	EM042.441674	EM043.441739	EM044.441601	EM046.441741	EM047.441722	EM047.T3.441645	EM049.441600	EM049.T3.441671	EM050.441672	EM052.441625	EM053.441738	EM053.T3.441688	EM054.441707	EM054.T3.441749	EM055.441603	EM055.T3.441626	EM056.441606	EM056.T3.441716	EM057.441605	EM057.T3.441589	EM058.441637	EM059.441715	EM059.T3.441604	EM060.441677	EM060.T3.441729	EM061.441673	EM062.441720	EM063.441621	EM063.T3.441695	EM064.441592	EM065.441667	EM065.T3.441614	EM066.441656	EM066.T3.441647	EM067.441615	EM068.441712	EM069.441700	EM070.441682	EM071.441747	EM071.T3.441734	EM072.441643	EM072.T3.441632	EM073.441594	EM073.T3.441721	EM074.441596	EM075.441644	EM076.441622	EM077.441646	EM077.T3.441639	EM078.441658	EM079.441724	EM080.441727	EM081.441618	EM082.441607	EM082.T3.441751	EM083.441666	EM083.T3.441744	EM084.441599	EM085.441675	EM086.441698	EM086.T3.441746	EM087.441726	EM088.441638	EM089.441742	EM089.T3.441624	EM090.441664	EM090.T3.441662	EM091.441686	EM092.441616	EM093.441602	EM093.T3.441670	EM094.441640	EM094.T3.441588	EM095.441717	EM095.T3.441590	EM096.441706	EM098.441733	EM098.T3.441740	EM099.441708	EM100.441714	EM100.T3.441627	EM101.441623	EM102.441633	EM103.441691	EM105.441629	EM106.441745	EM107.441620	EM108.441694	EM109.441669	EM110.441723	EM111.441634	EM112.441630	EM113.441619	EM114.441710	EM115.441641	EM116.441657	EM117.441609	EM118.441693	EM122.441699	EM123.441687	EM124.441697	EM125.441659	EM126.441679	EM129.441689	EM130.441701	EM131.441591	EM132.441696	EM133.441663	EM134.441735	EM135.441660	EM136.441650	EM137.441680	EM138.441753	EM139.441611	EM140.441608	EM141.441684	EM142.441711	EM144.441736	EM145.441690	EM146.441718	EM147.441617	EM148.441631	EM149.441655	EM150.441648	EM151.441595	EM152.441730	EM155.441678	EM156.441613	EM158.441731	EM159.441719	EM160.441703	EM162.441728	EM163.441642	EM165.441597	EM166.441748	EM167.441702	EM168.441668	EM169.441653	EM170.441651	EM173.441754	EM174.441652	EM178.441705	EM179.441612	EM180.441692	EM182.441681	EM183.441654	EM209.441665	EM222.441725	EMC01.441661	EMC02.441750	EMC03.441713	EMC04.441704	EMC05.441628	EMC06.441610	EMC07.441636	EMC08.441752	EMC09.441635
EM031.441732	0.0	0.708424958971	0.739146114386	0.738050951116	0.69097661982	0.660098802751	0.703798953779	0.727624432406	0.673586145209	0.72495342689	0.730899185921	0.744567959121	0.762047780362	0.775547129579	0.82022717611	0.764546772488	0.715969543133	0.690838454823	0.730623122819	0.707817311664	0.723492254163	0.738562592366	0.708962743991	0.705677970113	0.704460274017	0.722282742913	0.694348893331	0.714017813777	0.715280347533	0.709400355269	0.730583410892	0.717447225031	0.740146979023	0.737464043441	0.711922866438	0.691816258268	0.697821764928	0.718610049866	0.711096943531	0.75385472879	0.724562501115	0.697287407544	0.768665430339	0.715418290216	0.741911338206	0.734392718712	0.742775984445	0.683495154795	0.735917732231	0.677866010619	0.743646340104	0.74051607452	0.706839265784	0.685051282883	0.761255175935	0.722304032987	0.736761116688	0.730321383056	0.738161791944	0.724323446588	0.721496833247	0.724309368354	0.724819463483	0.754529056193	0.738851633041	0.708386046246	0.705350408515	0.70224364112	0.725757890591	0.764156191975	0.703284763507	0.713018071362	0.749795996189	0.699245184692	0.701818747447	0.711070736919	0.706563154263	0.687224821584	0.742948440452	0.728722603533	0.769100017423	0.70032700622	0.753295485991	0.759271378739	0.721740165158	0.733523625495	0.751180603633	0.713404764619	0.724144225607	0.744928124061	0.712367138432	0.737188151952	0.708719979447	0.738280569884	0.706842246758	0.760280872048	0.782969620293	0.73395740014	0.749484752937	0.681362039412	0.737500431592	0.756344862433	0.677595922707	0.691956735612	0.6961307899	0.721866580127	0.797749871727	0.672640407107	0.764596398222	0.771350114925	0.729312427767	0.67572445022	0.753559174765	0.732369235034	0.740117739534	0.655877207011	0.747457785543	0.698984531265	0.750014710918	0.743757966597	0.649476025183	0.76724350778	0.698406314197	0.668842537949	0.656528266007	0.749909947536	0.72791883636	0.728702515952	0.721153303617	0.706666996311	0.786105124304	0.703211606043	0.742896665958	0.698129979932	0.716422736671	0.727973930985	0.75629964817	0.729481044243	0.6759415392	0.736320467284	0.765437196529	0.723305315021	0.720364269961	0.719279185958	0.700227370057	0.726002898764	0.709356856028	0.681210399656	0.734225117894	0.729898379039	0.759583166488	0.739639959955	0.766908467355	0.708215227579	0.779279661693	0.741449274347	0.770768653992	0.711262711163	0.694998549177	0.714017340251	0.739813855839	0.70265158113	0.728793938551	0.707388329465	0.741115078261	0.704816594685	0.728044946739
EM032.441683	0.708424958971	0.0	0.687780676559	0.717922966865	0.694756304453	0.660898267852	0.692106008689	0.683615280202	0.682450588647	0.691246437424	0.640394013226	0.75054536056	0.734668953514	0.690619563459	0.836672615322	0.816347113269	0.694014019342	0.639223825788	0.739407287012	0.690016259599	0.737127910897	0.765473971439	0.722966269097	0.695555781947	0.672367747181	0.684928497617	0.667715007066	0.690028660354	0.715686502755	0.731024591826	0.6858506196	0.68372386273	0.773813307969	0.697328132221	0.663314731315	0.736427793992	0.688638801796	0.732213842428	0.715326046969	0.646695337716	0.71520677185	0.693997379557	0.679186061224	0.661416879623	0.705335553844	0.705209834127	0.734289375767	0.67885731834	0.662497834792	0.70408605008	0.687746866234	0.674763913836	0.734123207243	0.728101279353	0.734018290237	0.693352767638	0.723867497929	0.717527121426	0.722891666673	0.696453851089	0.677059066662	0.682822279635	0.704539890776	0.811607397255	0.77945233481	0.756179979208	0.739433126535	0.704394331567	0.669297793731	0.684222555625	0.614475640125	0.693114028429	0.712015462257	0.694194243624	0.71611734469	0.712058785914	0.724409438154	0.69485309965	0.670830331825	0.687176857938	0.705247723149	0.685977429031	0.717995514474	0.70297688117	0.719778884571	0.70455051698	0.727024941052	0.720774910038	0.71247525924	0.670810578656	0.658874974001	0.66291338968	0.6882165063	0.687662923213	0.716070236474	0.720306915661	0.718694945936	0.659201107418	0.664441207617	0.65366439584	0.751599653902	0.788694815911	0.715023014456	0.654771667051	0.717273915779	0.691861367352	0.741809066177	0.704833700096	0.826577377219	0.802099599062	0.720415819716	0.677625644916	0.752032025678	0.70078613452	0.704585788016	0.715481126697	0.730366748929	0.69576930184	0.668824220568	0.747635759216	0.684321966256	0.699065735053	0.668183371117	0.693009335077	0.71952886748	0.740754378672	0.744549212782	0.703920797245	0.707933769851	0.663963463605	0.826128153612	0.739483814965	0.701683997526	0.674383434907	0.676274577758	0.797176031243	0.740813756013	0.733881989507	0.645823176784	0.677834519595	0.705900908436	0.677796362611	0.714894061986	0.691180470733	0.691049100432	0.686238451723	0.670064253744	0.663235694465	0.685663216195	0.658994680744	0.783424946214	0.699573857558	0.713840611221	0.704298583023	0.757540236069	0.655288669598	0.747228847044	0.689360025076	0.716154147227	0.698536750725	0.696708252501	0.714441830824	0.672310301331	0.660780486945	0.63388869037	0.659263048866	0.645477179065
EM033.441685	0.739146114386	0.687780676559	0.0	0.702581984452	0.658960989749	0.652579773594	0.665015356403	0.709076086882	0.666365570893	0.686089225246	0.709262832678	0.692267253378	0.756498263987	0.717882613724	0.7897892239	0.772553840992	0.678178246378	0.630330612911	0.702475282401	0.692977119294	0.693211050049	0.694701153884	0.674399566918	0.675173053346	0.689086322523	0.730275971347	0.686288294976	0.697389389025	0.678519628169	0.737423810242	0.685371643111	0.666255064556	0.724751997159	0.622453303334	0.699381400111	0.692920175549	0.713814569747	0.733547341184	0.736235442029	0.686484302301	0.691292788456	0.702401500803	0.700276486421	0.700877361562	0.676831452638	0.757458789065	0.755865456314	0.65643001252	0.725729741739	0.671770537463	0.720891533564	0.693028770186	0.659527203001	0.68692913279	0.770488128789	0.672293870666	0.711159059683	0.707180364023	0.703647803763	0.675660101125	0.711823440299	0.710007470715	0.690143255153	0.75923391952	0.718825498598	0.726162390374	0.703255745482	0.67936448501	0.687943724882	0.714378711268	0.695342808524	0.719729760072	0.687841336915	0.712784511555	0.717961223222	0.670754559348	0.678587313891	0.696400831988	0.723714718579	0.658553250348	0.674759562968	0.687267539191	0.650236004063	0.735224076882	0.700630159245	0.651738930943	0.692559556709	0.708304925185	0.747219632789	0.740543726768	0.708918586697	0.72315785859	0.704956133338	0.676623510682	0.712964753995	0.721112895156	0.780706771125	0.685400880508	0.728825676306	0.668770494275	0.742688167105	0.764194405297	0.708591676363	0.643638325633	0.711789865053	0.703747902514	0.724486697722	0.719074772485	0.791992308837	0.779553405249	0.735574747384	0.687372743651	0.670869922729	0.662844352364	0.672972761983	0.666719296167	0.685870815318	0.702272993174	0.695483162826	0.730774827491	0.661973053885	0.672719830497	0.690937101937	0.712232066596	0.709801247864	0.714323662506	0.740666639798	0.707599583766	0.702536845797	0.690104895931	0.762957850394	0.695701575881	0.706093050292	0.699372547968	0.706909365839	0.77289574375	0.727272756033	0.75119912165	0.686404560172	0.747962529063	0.694922985343	0.695490552112	0.708468356977	0.689468131204	0.688086045638	0.709416042741	0.700483338023	0.667192968709	0.702248736496	0.698825297721	0.755769115836	0.726799448229	0.69820443301	0.712214472876	0.725289406794	0.69529268109	0.680852221759	0.696804259721	0.697453611478	0.667977815001	0.7575413613	0.669859212361	0.700756604291	0.70511798055	0.666362380641	0.668124348951	0.675211969427
EM034.441676	0.738050951116	0.717922966865	0.702581984452	0.0	0.69367086419	0.692836688488	0.728682436696	0.772735735434	0.67726491632	0.704038028633	0.704332208043	0.736640738463	0.767104554276	0.793851288956	0.820985783051	0.786383931554	0.703214529457	0.7075884767	0.727636921122	0.713095421776	0.694943695014	0.685032345629	0.720320300931	0.759568677611	0.718632640178	0.7444174614	0.73888459042	0.766577635827	0.696133307047	0.745563977543	0.762858516611	0.733231322286	0.743264987724	0.691384734554	0.72034103053	0.685258780922	0.715129962975	0.736113400167	0.748660702692	0.735793419939	0.736732544982	0.719362179031	0.76218708635	0.748971265249	0.725431016541	0.722261496903	0.732371964248	0.690865779665	0.745725610807	0.694043161081	0.763627327357	0.763482650341	0.700139031649	0.712381541794	0.750120361158	0.723248702211	0.723383805035	0.762131422287	0.754136154844	0.722139580462	0.733929716869	0.73776286925	0.743255866317	0.751059571295	0.705193361172	0.721669783828	0.715645229169	0.716197381468	0.718879282826	0.759173085372	0.734720932052	0.737975953822	0.767553903953	0.762831590538	0.757591862783	0.674867399496	0.662381027192	0.719651973398	0.79171402348	0.736576828532	0.752293635277	0.697853351924	0.7191626236	0.769737208778	0.762303653738	0.681931482157	0.706314595367	0.683269883691	0.719782183124	0.760640669752	0.733819481769	0.699688688364	0.7033038548	0.752625358354	0.691567880573	0.768920781724	0.818174584771	0.773637235173	0.744324018633	0.720578460399	0.67811765971	0.760901883805	0.70664874987	0.681490108146	0.655996262476	0.707037277916	0.742528257453	0.731709008477	0.785875140022	0.771415963374	0.725497957595	0.70662667775	0.676168005701	0.743074222269	0.706647753013	0.719512195122	0.710340122203	0.71868141413	0.745459646883	0.711829125439	0.685954847968	0.739652255894	0.729605806295	0.721871630445	0.712060055076	0.71290616118	0.712149823056	0.751686063405	0.714019847514	0.67786546099	0.741681612419	0.737806294418	0.70101387356	0.687275098351	0.70882938039	0.767056015351	0.736044746423	0.749317455809	0.686072532466	0.726412899892	0.690436723246	0.723380797961	0.725135335873	0.687694258187	0.721532880977	0.736266496452	0.685531814884	0.720579077882	0.712209757864	0.711249148953	0.755924735345	0.693697774674	0.67890782019	0.727081073659	0.748135513051	0.709273884595	0.72866852733	0.721543351035	0.691847823191	0.702950162315	0.752179579325	0.700397570906	0.728333374918	0.698200946774	0.694926585186	0.735484246477	0.716942227716
EM035.441593	0.69097661982	0.694756304453	0.658960989749	0.69367086419	0.0	0.656879402309	0.674503470676	0.737198493778	0.668559790638	0.646326500929	0.687574028425	0.713733597026	0.706461541568	0.734599179107	0.795146419063	0.756086370044	0.652909580977	0.638743343148	0.718147781214	0.667088783519	0.690274960005	0.709595118455	0.643529886741	0.672332724764	0.633213462595	0.653390360041	0.706262608674	0.724811770589	0.675269299878	0.758029596683	0.680749752109	0.687459134755	0.767399608569	0.687262832021	0.652514457621	0.670814059792	0.675174748494	0.719723279951	0.699573666073	0.684069400315	0.700071085963	0.670050762867	0.724541046943	0.693512627711	0.723860440909	0.753903873306	0.775652466102	0.634386673235	0.703472114501	0.624473304391	0.697676792837	0.704084865259	0.684258214197	0.663646641357	0.708705414643	0.636405444002	0.718342864923	0.686876093878	0.695308880391	0.67543114684	0.707896180945	0.693942261143	0.72057780623	0.742125651881	0.717752910034	0.712430395018	0.679236738082	0.639350610622	0.665817306366	0.690213937409	0.657165436653	0.651375117344	0.710797554229	0.702724617506	0.677550891939	0.647822094361	0.657446833462	0.665527277143	0.702100525056	0.670580045212	0.715302042723	0.667784357962	0.648918920431	0.730812305514	0.699761033717	0.66591125194	0.700726628805	0.730097405908	0.711432268397	0.711912421517	0.673947726	0.699519382277	0.70153847837	0.702708735962	0.661774414921	0.684658189131	0.742799888723	0.678706553478	0.717752141757	0.669048680808	0.733066428069	0.783497508526	0.651873867478	0.689669814982	0.729611234657	0.706225466692	0.735994527685	0.673214276737	0.78394349653	0.772516135194	0.710942128689	0.664673093857	0.712973620219	0.661649359623	0.701681961615	0.686009651032	0.718025109721	0.703867628619	0.691225573182	0.7304384658	0.665640595783	0.650615285114	0.689196742501	0.718169908076	0.719009767316	0.750993786959	0.724934931395	0.705143832661	0.70559373825	0.671492566142	0.778324461491	0.715096073114	0.640282862396	0.701985757621	0.71121691745	0.733513996034	0.739087238248	0.721218225477	0.666638708521	0.712661577885	0.718164712642	0.679458768895	0.684360987159	0.717033932606	0.699621193704	0.701966454314	0.663121526416	0.692790061475	0.69247100156	0.691859731605	0.756891375879	0.707226736808	0.71210894979	0.704232485772	0.756523092863	0.706820587328	0.733141934079	0.650520452535	0.645494300338	0.668517699115	0.694569686245	0.6678702708	0.676876369557	0.672295862575	0.650890564083	0.681212516717	0.68024806553
EM036.441587	0.660098802751	0.660898267852	0.652579773594	0.692836688488	0.656879402309	0.0	0.669605007755	0.6841304477	0.638207536701	0.667664948153	0.705782274096	0.692517042507	0.717537309052	0.755387856769	0.817498519476	0.783504236561	0.678892698317	0.659814504247	0.718465666469	0.677347168792	0.711350999146	0.72229327009	0.640684646487	0.664128863437	0.657280645998	0.703197000747	0.686795345272	0.714414792099	0.662272028768	0.726078448103	0.655750746889	0.681294642451	0.746200033598	0.68857284903	0.644299776428	0.679012655077	0.663528815591	0.69989728842	0.681628021073	0.682479859852	0.694323069364	0.672778313039	0.698308464606	0.661046108638	0.702032566134	0.74489230223	0.723704280268	0.61968383219	0.672818159384	0.640118419704	0.692089350071	0.689267215476	0.694246287353	0.660835340411	0.718080472563	0.664159733263	0.747350042336	0.722916986807	0.713062883929	0.665347182812	0.690505525269	0.67382356223	0.674393365743	0.749448116217	0.720183125779	0.701206691065	0.680540384387	0.704319069447	0.694255645311	0.71545690061	0.667524639871	0.65790824393	0.721411366108	0.711198128507	0.697236282674	0.685974250402	0.68721361453	0.657040955631	0.740551635122	0.705814025786	0.708976843194	0.668216679194	0.69869491791	0.684235833252	0.659594144582	0.691930824143	0.701974488451	0.701860776725	0.684769728981	0.696568156667	0.676647511333	0.698228130641	0.689389795078	0.685309490538	0.707721776607	0.699228733853	0.74966293459	0.655483365229	0.699987014072	0.688030573783	0.723257260241	0.761922805988	0.688429733888	0.655074220535	0.700213138238	0.703349700767	0.716149518971	0.712234940518	0.772790151049	0.805572148448	0.705617147494	0.682325380395	0.726872507682	0.654291715801	0.706272447046	0.672516131757	0.679382373774	0.660038600354	0.682701862592	0.727239733638	0.647144457164	0.703236976787	0.695536172368	0.679435724064	0.729427123643	0.718968037389	0.729975835224	0.730355615688	0.65790026717	0.696277968725	0.780136409703	0.697930894498	0.638158800581	0.656650074784	0.661770731313	0.715567663499	0.723341550207	0.697738136686	0.638347233668	0.714321885291	0.673940959274	0.720837245459	0.661166372847	0.652155226333	0.670906562341	0.691765360237	0.687364304576	0.638700838543	0.694401622649	0.708784788492	0.760518689362	0.713744440261	0.71696607116	0.724981392258	0.766880767816	0.711167770207	0.755854300984	0.65840610622	0.67028366489	0.669396819074	0.730110286485	0.683429233424	0.680362065503	0.659050022277	0.671066939548	0.665523382743	0.673521159202
EM037.441737	0.703798953779	0.692106008689	0.665015356403	0.728682436696	0.674503470676	0.669605007755	0.0	0.706581414005	0.644740481613	0.692890148582	0.699504913223	0.726016978737	0.750003095084	0.747228843393	0.759709060076	0.756425972779	0.670183106487	0.660226855286	0.681432051704	0.719835624853	0.704480167746	0.696942282242	0.683121021647	0.659513201257	0.683354845359	0.693226951863	0.71638867956	0.717380497782	0.698326390846	0.72326977559	0.7151532649	0.701099446545	0.712650366554	0.681671545007	0.711511513783	0.710875174855	0.684974447571	0.711046622596	0.702741449134	0.699500979039	0.713484355388	0.69989849229	0.727351422991	0.678830530693	0.673867128899	0.706807859545	0.711173920834	0.664946329891	0.733838965463	0.668802009198	0.734927807811	0.715213920518	0.678327976274	0.670893806828	0.736620252263	0.699443706523	0.709618955377	0.699769371905	0.687259945565	0.691145242001	0.697924940398	0.725113486217	0.702083068887	0.758394829506	0.705417272646	0.696502258538	0.694158275135	0.66605643286	0.727975497897	0.725940583112	0.700801224929	0.727628231633	0.650000760473	0.712940438066	0.700248342273	0.646904601511	0.663652070883	0.703480885284	0.70710530055	0.670765152142	0.688342103937	0.670751361909	0.707795039034	0.74134815968	0.730425907914	0.666021117289	0.705165840074	0.693350700243	0.701897622442	0.738586208081	0.728518654268	0.715035023425	0.69566937617	0.693209790483	0.668212119976	0.723677095092	0.776404931928	0.677491015422	0.718682521274	0.652902545652	0.722178308794	0.752867418697	0.672015376318	0.660035229437	0.683294255153	0.707497110946	0.678225319983	0.713111352066	0.784235829465	0.74610024787	0.696154404016	0.676428565993	0.699469597525	0.69389783819	0.696180438432	0.69330475484	0.663248047514	0.679577944961	0.702542288959	0.666435227045	0.66910651844	0.692873264028	0.690704973392	0.695354170762	0.672013223253	0.745576388343	0.67249713927	0.729102967285	0.700051946432	0.7094039076	0.768150776701	0.697196913017	0.687488040036	0.654977906244	0.72275856629	0.720471684855	0.698284871065	0.717008212334	0.657720532531	0.723756302905	0.701689848287	0.708298587651	0.669057735362	0.70317775073	0.683944350196	0.693738889228	0.675350675433	0.664398787255	0.732170012565	0.69679518718	0.738376655416	0.734852443445	0.713214896403	0.666492598265	0.705777197682	0.676086099539	0.668319104012	0.71831163082	0.678929486556	0.657720280176	0.748971021002	0.678975212802	0.722785006034	0.691958468807	0.660832862547	0.678486371586	0.689976046287
EM038.441649	0.727624432406	0.683615280202	0.709076086882	0.772735735434	0.737198493778	0.6841304477	0.706581414005	0.0	0.672088665078	0.719861220435	0.672203921522	0.767160000099	0.753725972808	0.682212492459	0.83911636571	0.837994206224	0.760097928127	0.711150646894	0.777951399748	0.675600545558	0.792832290004	0.77863256415	0.698490327912	0.691360110801	0.682812698346	0.70901135868	0.687642867274	0.702547797918	0.73594520297	0.754070850894	0.676385944262	0.712812211492	0.77316811118	0.730494629929	0.713110319182	0.770024725289	0.705899279228	0.736666117357	0.723895157707	0.702754768974	0.729302643004	0.708998514033	0.670139244957	0.674069137994	0.681561183903	0.683370214193	0.738333952025	0.707111604048	0.701908166052	0.723244179912	0.666123777654	0.666328252486	0.757156044748	0.769385105598	0.760325475068	0.715583787468	0.778422545047	0.664825198425	0.724066095944	0.706037588745	0.6640786633	0.680222404391	0.726286217395	0.827883895435	0.811034506372	0.788667072518	0.771059748043	0.749248365523	0.690113566939	0.67920879177	0.669756814033	0.713349347728	0.725869638164	0.721746080258	0.733824308262	0.73351472853	0.757364835649	0.710967786168	0.687256045047	0.726492020944	0.716945282272	0.73769895947	0.763553998742	0.703889402797	0.71175644734	0.727513129365	0.712761123768	0.713119932549	0.750549800701	0.689777365758	0.68450624666	0.673684195681	0.721261003473	0.665410781768	0.729578558389	0.682973325898	0.72320899386	0.699987567093	0.692413159572	0.667745688926	0.765116963388	0.755879306489	0.764584377023	0.693017575766	0.718483445099	0.705391949103	0.772533948087	0.709844317882	0.827963273563	0.826263299651	0.753322202729	0.70910377525	0.788965383894	0.713115382873	0.747718754894	0.691970849011	0.737056133623	0.711873803311	0.677992778576	0.749283281778	0.684565966638	0.705383339328	0.670481892158	0.678124424757	0.768444006491	0.784958858283	0.73687354009	0.658120793458	0.758605744012	0.721274737789	0.821481288306	0.731157171279	0.711975602261	0.702845038857	0.641487488225	0.777338161495	0.740722108493	0.71118571097	0.667134956664	0.653755405675	0.696484179093	0.682874663717	0.731674170462	0.713289363112	0.66610668395	0.663350612053	0.639035676651	0.658180748128	0.688793558433	0.699307263456	0.780540427276	0.679943997088	0.774771316952	0.732635084043	0.705426689039	0.685024854745	0.789305161127	0.730826562962	0.71710754055	0.729198917884	0.737455204447	0.769149969775	0.67357758071	0.70329845749	0.683935165972	0.665493308394	0.684456047172
EM039.441743	0.673586145209	0.682450588647	0.666365570893	0.67726491632	0.668559790638	0.638207536701	0.644740481613	0.672088665078	0.0	0.619895354417	0.691017747759	0.728962608848	0.731572356315	0.723537863524	0.816261328258	0.804728879542	0.67664227075	0.66084375262	0.721236469144	0.664082864741	0.704351512833	0.69870573985	0.655354280388	0.673634245224	0.630975368918	0.649867256279	0.668532129246	0.710472745095	0.677813754702	0.694251714257	0.662074547463	0.671899398592	0.739259172647	0.685362091208	0.679084974218	0.683509285504	0.653648508644	0.682308641174	0.699638093258	0.678750468941	0.660894422221	0.617181013646	0.68424294383	0.666457665533	0.705118771614	0.711998070209	0.706739475043	0.637523171226	0.707700493434	0.63006666178	0.700040158646	0.708903735073	0.672105358826	0.653887945174	0.720716096785	0.652345664885	0.732513183026	0.673239155831	0.719664906648	0.700597039199	0.677928723379	0.687931351926	0.688205492601	0.732373688824	0.72002743336	0.697589220625	0.695526922922	0.661166445807	0.682112940969	0.697321370504	0.658231186751	0.688214151264	0.668818317116	0.659745388385	0.652389799718	0.663280819823	0.649357649807	0.653316306091	0.731113524099	0.683367982722	0.701582433011	0.676605154729	0.70570744452	0.673610542976	0.685864429942	0.686281784543	0.695459663324	0.688979505783	0.685868095237	0.696115042688	0.663286260689	0.679199733403	0.671389244706	0.674194835457	0.685283421812	0.699827427381	0.747221181647	0.684147053397	0.673245402156	0.66647487971	0.7041406254	0.760410610232	0.6631541726	0.649395620496	0.66860613473	0.670056213497	0.735224994705	0.69936720319	0.803789946241	0.772614887478	0.701773312816	0.62986530846	0.699057401078	0.671634889481	0.674595531205	0.672197385236	0.706632389036	0.652748055468	0.689882652695	0.700618789546	0.650695937763	0.693652342735	0.667740493215	0.634611650411	0.690163544819	0.718544919518	0.668122041252	0.700819496104	0.672899966492	0.689850514896	0.769608900867	0.675285153755	0.672601044091	0.640697942732	0.67259765824	0.703396632523	0.725230250728	0.707432693408	0.601896951083	0.689829311583	0.688158545399	0.692838219528	0.679998310542	0.663543480371	0.675630994651	0.690432444632	0.674702353881	0.65977952106	0.682818503593	0.668432261969	0.766523361939	0.690890221027	0.695506028055	0.702627280857	0.730717082145	0.697309787141	0.719445075941	0.668528507123	0.669191151417	0.646636103116	0.697128051424	0.692086819221	0.700036880896	0.672936849402	0.64285884032	0.689601709944	0.653756568197
EM040.441709	0.72495342689	0.691246437424	0.686089225246	0.704038028633	0.646326500929	0.667664948153	0.692890148582	0.719861220435	0.619895354417	0.0	0.705607955862	0.756139312166	0.740401250382	0.734754068459	0.78608078514	0.772804194473	0.671800381969	0.625098166751	0.703318868191	0.695799764857	0.704200100485	0.723847451049	0.693555922604	0.714124094157	0.687479013513	0.693558838034	0.697975902605	0.734155991655	0.702242249518	0.750831021763	0.687405579659	0.688608494122	0.771806134373	0.656208797815	0.687833156697	0.651671399668	0.683684341177	0.732687503429	0.727737806477	0.713474610376	0.671493575471	0.657499183042	0.690147522268	0.669550471381	0.727526817985	0.738200709411	0.762363475557	0.636681096436	0.714424291452	0.604507783294	0.708916527977	0.670696969796	0.648771372998	0.66139859062	0.752436853999	0.65799402701	0.713056508685	0.70909063544	0.711602464251	0.683007180184	0.712710204977	0.723617714791	0.706780807972	0.710230079781	0.699045219781	0.710670155243	0.696491712698	0.640656765713	0.68071479461	0.68461427268	0.677055871775	0.702746878999	0.699155093421	0.659057543153	0.658421489213	0.672475051711	0.641007550103	0.673869769798	0.717492250045	0.671746410388	0.713153936255	0.661198482734	0.65995249508	0.728187669896	0.70908120667	0.675869799189	0.710315211686	0.705275636835	0.699476959574	0.729011505911	0.699897428289	0.681442573273	0.706448945614	0.722466545875	0.668563154605	0.711894214868	0.765243700228	0.729296378219	0.7165205818	0.685757377183	0.721889678023	0.751072335477	0.683145405785	0.693129213834	0.699534090368	0.685459583627	0.729072558902	0.700522355825	0.805096024502	0.780195996112	0.708225996824	0.648956891952	0.729366188041	0.711633489448	0.698426004704	0.707236170179	0.721818290711	0.721793839097	0.683541070826	0.711267479622	0.680081616581	0.669832267165	0.663835196822	0.683296239646	0.731088326263	0.740075794983	0.707574601831	0.736031934655	0.697054318349	0.683995725463	0.722167303515	0.685164183203	0.676609645452	0.690286380024	0.70744198815	0.725974894264	0.726267600454	0.70147859955	0.664858217842	0.735315957358	0.720205334447	0.708037856605	0.700844254243	0.696356594201	0.692405300572	0.711284121605	0.709732331741	0.711377201239	0.704427317281	0.709720022009	0.774599277546	0.72968733661	0.68277498179	0.723635721021	0.733939004091	0.711015184799	0.722181326917	0.693928023006	0.654852088388	0.661562720445	0.72233883223	0.678142802682	0.679443112853	0.674811215036	0.668930139374	0.70478745528	0.687412797786
