	EM031.441732	EM032.441683	EM033.441685	EM034.441676	EM035.441593	EM036.441587	EM037.441737	EM038.441649	EM039.441743	EM040.441709	EM042.441674	EM043.441739	EM044.441601	EM046.441741	EM047.441722	EM047.T3.441645	EM049.441600	EM049.T3.441671	EM050.441672	EM052.441625	EM053.441738	EM053.T3.441688	EM054.441707	EM054.T3.441749	EM055.441603	EM055.T3.441626	EM056.441606	EM056.T3.441716	EM057.441605	EM057.T3.441589	EM058.441637	EM059.441715	EM059.T3.441604	EM060.441677	EM060.T3.441729	EM061.441673	EM062.441720	EM063.441621	EM063.T3.441695	EM064.441592	EM065.441667	EM065.T3.441614	EM066.441656	EM066.T3.441647	EM067.441615	EM068.441712	EM069.441700	EM070.441682	EM071.441747	EM071.T3.441734	EM072.441643	EM072.T3.441632	EM073.441594	EM073.T3.441721	EM074.441596	EM075.441644	EM076.441622	EM077.441646	EM077.T3.441639	EM078.441658	EM079.441724	EM080.441727	EM081.441618	EM082.441607	EM082.T3.441751	EM083.441666	EM083.T3.441744	EM084.441599	EM085.441675	EM086.441698	EM086.T3.441746	EM087.441726	EM088.441638	EM089.441742	EM089.T3.441624	EM090.441664	EM090.T3.441662	EM091.441686	EM092.441616	EM093.441602	EM093.T3.441670	EM094.441640	EM094.T3.441588	EM095.441717	EM095.T3.441590	EM096.441706	EM098.441733	EM098.T3.441740	EM099.441708	EM100.441714	EM100.T3.441627	EM101.441623	EM102.441633	EM103.441691	EM105.441629	EM106.441745	EM107.441620	EM108.441694	EM109.441669	EM110.441723	EM111.441634	EM112.441630	EM113.441619	EM114.441710	EM115.441641	EM116.441657	EM117.441609	EM118.441693	EM122.441699	EM123.441687	EM124.441697	EM125.441659	EM126.441679	EM129.441689	EM130.441701	EM131.441591	EM132.441696	EM133.441663	EM134.441735	EM135.441660	EM136.441650	EM137.441680	EM138.441753	EM139.441611	EM140.441608	EM141.441684	EM142.441711	EM144.441736	EM145.441690	EM146.441718	EM147.441617	EM148.441631	EM149.441655	EM150.441648	EM151.441595	EM152.441730	EM155.441678	EM156.441613	EM158.441731	EM159.441719	EM160.441703	EM162.441728	EM163.441642	EM165.441597	EM166.441748	EM167.441702	EM168.441668	EM169.441653	EM170.441651	EM173.441754	EM174.441652	EM178.441705	EM179.441612	EM180.441692	EM182.441681	EM183.441654	EM209.441665	EM222.441725	EMC01.441661	EMC02.441750	EMC03.441713	EMC04.441704	EMC05.441628	EMC06.441610	EMC07.441636	EMC08.441752	EMC09.441635
EM031.441732	0.0	0.52224826	0.23667351	0.3087128	0.25139382	0.24460577	0.23754709	0.40443045	0.25013406	0.31147539	0.46120076	0.37845893	0.43715216	0.4789651	0.50300213	0.39418415	0.33408498	0.27426205	0.36603561	0.32090065	0.29517906	0.52000073	0.29652167	0.26020943	0.43347883	0.38944109	0.35544557	0.42412792	0.25774724	0.78812571	0.2839625	0.27111539	0.3514617	0.26170228	0.35256894	0.24102698	0.3159299	0.4740203	0.39631593	0.36833533	0.28042929	0.26626729	0.44058907	0.37718526	0.32662057	0.40838945	0.34514436	0.27787479	0.45668646	0.23035813	0.52269969	0.61758557	0.23789708	0.20880633	0.58191866	0.42545584	0.35635326	0.35416039	0.35887438	0.36195786	0.2425707	0.27745999	0.6060814	0.49479383	0.40217172	0.28055529	0.29366442	0.20548272	0.43002683	0.33546072	0.33850723	0.29666975	0.3535875	0.33911934	0.47426045	0.2452113	0.21467789	0.41522628	0.43665674	0.32249925	0.28732973	0.25242019	0.22070681	0.60152801	0.369937	0.28546254	0.33042636	0.25819423	0.31860445	0.57486296	0.51488655	0.37122815	0.26641758	0.32371931	0.31483558	0.4736701	0.68942366	0.3399576	0.39184677	0.39582151	0.2907107	0.52533408	0.32576	0.42809675	0.30426108	0.46116704	0.32676831	0.61338547	0.40397934	0.29319822	0.52486459	0.2342513	0.32396371	0.27758916	0.36818438	0.23429542	0.41155592	0.235968	0.31631832	0.2907139	0.28967494	0.42264116	0.3619595	0.30476348	0.32094884	0.27977055	0.26547998	0.37040923	0.28715661	0.30823313	0.52539869	0.25246106	0.31946275	0.2667047	0.32706315	0.23444432	0.30333321	0.36314604	0.27354944	0.46950832	0.37118094	0.3292541	0.36852442	0.24247256	0.26546453	0.32339588	0.31632879	0.24005716	0.26405355	0.262789	0.35367977	0.35354482	0.41466507	0.38676869	0.40936984	0.35339535	0.39622953	0.3141741	0.35083171	0.35386658	0.38846366	0.26512761	0.53416995	0.52000086	0.37406541	0.37604609	0.52647373
EM032.441683	0.52224826	0.0	0.47520709	0.56725608	0.48154866	0.43811063	0.54045931	0.39154967	0.47773852	0.62321499	0.24963862	0.44388513	0.43222172	0.64109038	0.77276463	0.55102351	0.41791848	0.45404041	0.67099103	0.46377641	0.50801588	0.84245653	0.61755469	0.60553065	0.33683721	0.39137143	0.51368597	0.58044036	0.42635938	0.53396147	0.40777622	0.51764183	0.59445974	0.56971456	0.39373828	0.48652802	0.48889454	0.34232464	0.34050999	0.35829693	0.50196341	0.48638611	0.59083321	0.49214204	0.54062799	0.66673435	0.6438791	0.42521751	0.30811816	0.56314675	0.36991709	0.37042593	0.61151034	0.54354513	0.3679713	0.35584998	0.66225806	0.54312123	0.5380633	0.4328203	0.47681106	0.48089341	0.35328508	0.84458419	0.74453296	0.58352133	0.60082914	0.50900902	0.41448701	0.45131528	0.41075449	0.45348497	0.64604348	0.45246642	0.35481891	0.49290482	0.49928889	0.36580454	0.43466422	0.40807385	0.52900177	0.55032343	0.49862939	0.35803435	0.49479112	0.49536664	0.6421859	0.51093675	0.43391379	0.31281158	0.29196389	0.43485905	0.47117224	0.43595579	0.4810637	0.63187974	0.44087438	0.45195328	0.35729435	0.62425321	0.5849014	0.6804605	0.43229168	0.67314115	0.59823992	0.3456768	0.61570365	0.40384265	0.4998216	0.54156988	0.32496201	0.47419184	0.63542409	0.4703691	0.6210418	0.59474678	0.72707438	0.505313	0.47961474	0.57609304	0.65773164	0.70013538	0.39328184	0.59280916	0.5774789	0.57715907	0.46104456	0.54103747	0.37465057	0.45982139	0.86640855	0.52587318	0.39958781	0.52739326	0.49361383	0.49835102	0.49542751	0.42632072	0.50671474	0.35671672	0.41669544	0.45599494	0.3572337	0.5219177	0.55085549	0.46251636	0.40947413	0.5212367	0.55010245	0.49509958	0.66516609	0.4382929	0.73382869	0.43403551	0.6518824	0.42426405	0.70016477	0.4057893	0.40141737	0.37278944	0.47391124	0.43137703	0.28281993	0.31824272	0.36167991	0.51148819	0.23352353
EM033.441685	0.23667351	0.47520709	0.0	0.26361529	0.25361991	0.17192508	0.2525939	0.39023318	0.20165249	0.2823192	0.44089429	0.33376254	0.38188731	0.47884371	0.52730332	0.3893736	0.25560251	0.20336234	0.31915206	0.28899172	0.20514485	0.4628348	0.24225506	0.2408381	0.38190972	0.3489418	0.34541624	0.43444113	0.25530023	0.75304074	0.24005561	0.26969232	0.38864059	0.23334549	0.29910603	0.17484331	0.27885657	0.40638541	0.37303172	0.34044832	0.34025136	0.30976172	0.42535654	0.34544175	0.26102018	0.4514191	0.38321701	0.22901526	0.41426895	0.19694084	0.47084144	0.57079266	0.24345407	0.1721017	0.54212619	0.36741299	0.30301759	0.34985138	0.33051071	0.27838383	0.25937025	0.1958544	0.55087969	0.48016162	0.38205313	0.22773934	0.24870505	0.18325419	0.36029142	0.29946849	0.31329966	0.25848536	0.33499487	0.28498011	0.439915	0.18258435	0.17692994	0.38209767	0.41420009	0.22971702	0.27109342	0.26802044	0.19743898	0.5330346	0.32346977	0.23360777	0.29718129	0.23288152	0.23144156	0.51579707	0.460913	0.37425412	0.21730253	0.28051988	0.30503821	0.48247421	0.66958465	0.29841077	0.32408602	0.39138482	0.34898629	0.51903361	0.29953781	0.35784084	0.34344103	0.41706399	0.29051688	0.62120276	0.34500805	0.35062387	0.48116796	0.25685599	0.25878118	0.21474837	0.32184337	0.22262885	0.35021125	0.25220019	0.28540531	0.27924657	0.34005957	0.39633019	0.32611995	0.33897381	0.26805477	0.22519444	0.24775397	0.34841846	0.22832602	0.32391468	0.49492076	0.24218559	0.26917752	0.24915475	0.26804356	0.26139843	0.3075151	0.33518229	0.26427737	0.43210181	0.29460099	0.26868689	0.32260033	0.23156653	0.2942851	0.31427499	0.32613296	0.20637957	0.28129804	0.17985823	0.37667282	0.35515057	0.3623975	0.3141665	0.36292115	0.33122698	0.31810276	0.27094041	0.27703846	0.28002447	0.36324887	0.18300158	0.49752848	0.46728457	0.368589	0.35816698	0.45225558
EM034.441676	0.3087128	0.56725608	0.26361529	0.0	0.267619	0.31528905	0.23270449	0.46255879	0.29734354	0.25433295	0.50781384	0.46924489	0.46482876	0.42664016	0.42340361	0.40543703	0.36666214	0.33503059	0.29782473	0.35137881	0.32318956	0.39904221	0.22585563	0.22235341	0.48026355	0.43856865	0.33996665	0.40809108	0.29900402	0.82243445	0.3523788	0.19795143	0.30115468	0.19929374	0.38286992	0.30838164	0.35466464	0.47798818	0.43033321	0.41090091	0.31102323	0.30552417	0.37987603	0.41462764	0.19446251	0.34481159	0.3077108	0.29011573	0.49097854	0.20761595	0.54681133	0.66251307	0.22023096	0.21631477	0.61317564	0.43485474	0.28364318	0.34196479	0.3286151	0.375732	0.318292	0.30339149	0.66758868	0.42697503	0.34599264	0.29470961	0.29867652	0.26322034	0.44531849	0.36755682	0.38420377	0.31720341	0.28813504	0.38373058	0.52745769	0.30334118	0.26390431	0.51348958	0.49617546	0.37969161	0.28618251	0.32943509	0.31494097	0.62271633	0.40197212	0.31376788	0.24226894	0.25443953	0.32712243	0.5989103	0.55931563	0.40329825	0.26844832	0.33410083	0.30887062	0.41624208	0.7429988	0.35985278	0.41247389	0.31163985	0.25384582	0.43498968	0.37055856	0.29342297	0.24445894	0.4541069	0.23947769	0.68650595	0.42349522	0.34009596	0.55655761	0.23467966	0.20787483	0.26056556	0.241279	0.25374026	0.29266584	0.22759482	0.33903398	0.21509992	0.27580228	0.33493308	0.3817173	0.24076548	0.19878276	0.25248435	0.26285034	0.34796121	0.35035941	0.36222163	0.43528695	0.19657472	0.35286215	0.19992268	0.33861617	0.25941882	0.27481765	0.38550022	0.24874758	0.48992884	0.39376614	0.34083692	0.39087534	0.22064594	0.22625917	0.31728392	0.35556493	0.21723974	0.20253569	0.22971246	0.27348507	0.39648848	0.31631373	0.40529781	0.27078496	0.37981083	0.29477191	0.36164804	0.37323761	0.35441626	0.43144756	0.30716799	0.59263287	0.54696522	0.39364429	0.33251759	0.54821945
EM035.441593	0.25139382	0.48154866	0.25361991	0.267619	0.0	0.26425847	0.21796151	0.38646669	0.29995438	0.35872473	0.41892462	0.39747997	0.39053038	0.45042884	0.44942285	0.29581503	0.2817071	0.26415325	0.38664011	0.27043871	0.35377354	0.53773055	0.32044901	0.28347971	0.36641591	0.34757445	0.30359297	0.39506342	0.20606966	0.76426053	0.2509401	0.19939147	0.30397876	0.29064524	0.24138234	0.29706688	0.29232834	0.39718004	0.34993795	0.29911717	0.26156825	0.22057569	0.40365861	0.3368942	0.30558021	0.37574443	0.35865232	0.17159997	0.39913188	0.26344977	0.43767079	0.56555603	0.32434504	0.25418167	0.52953384	0.29995834	0.40921046	0.31668911	0.28770542	0.28801902	0.23086884	0.29230987	0.55373858	0.54184183	0.44593074	0.34455613	0.34967278	0.20776994	0.33886517	0.3283787	0.31849001	0.19307951	0.37036442	0.35452724	0.44788039	0.28434014	0.24095283	0.44361142	0.42292908	0.30776939	0.29362579	0.30411461	0.25153047	0.53128943	0.30230518	0.2902316	0.31140078	0.22670389	0.35249809	0.49282592	0.43519199	0.33964501	0.21670544	0.27690969	0.20379654	0.43217818	0.6466741	0.28302844	0.34484947	0.36626669	0.3151254	0.45012618	0.27463778	0.41008495	0.31599678	0.41030848	0.29809815	0.58557359	0.42939342	0.296118	0.48284739	0.19942228	0.36733831	0.17853592	0.37858374	0.3059811	0.42434236	0.19878304	0.27475368	0.2714019	0.30344082	0.36240002	0.2837374	0.2737998	0.30754516	0.34273485	0.2389991	0.30609627	0.30614391	0.27157123	0.56731279	0.24074088	0.23452335	0.23974062	0.30329423	0.21999714	0.23174421	0.30781412	0.19304866	0.42563766	0.34595714	0.25046658	0.29565606	0.23825716	0.24423381	0.24401652	0.26145811	0.23341298	0.26544495	0.25684756	0.39812331	0.31323554	0.46705723	0.31349045	0.41150106	0.29036643	0.39747347	0.2421362	0.25909755	0.30732306	0.34332906	0.27294525	0.46981749	0.46060424	0.30946339	0.26807593	0.44707249
EM036.441587	0.24460577	0.43811063	0.17192508	0.31528905	0.26425847	0.0	0.27426422	0.33225876	0.21311953	0.3662795	0.41324733	0.29660712	0.36914087	0.52622633	0.5534681	0.4031062	0.22566531	0.19393686	0.39280494	0.32273292	0.24498957	0.53340004	0.31212824	0.2948128	0.31923602	0.29000508	0.38515036	0.46272539	0.23255673	0.7206653	0.18827659	0.28979672	0.40040685	0.27401453	0.25619495	0.18777485	0.32071741	0.33788071	0.30021536	0.30525984	0.35446362	0.32458624	0.46638016	0.36656323	0.32099526	0.47670272	0.40456013	0.20159106	0.37239225	0.25450086	0.38176426	0.504048	0.32177565	0.24286132	0.47867881	0.31595873	0.39543741	0.39810964	0.37582547	0.23882225	0.24709175	0.20916502	0.51564635	0.56316432	0.46262289	0.30856964	0.33025265	0.21464007	0.32144548	0.30407633	0.309789	0.2663155	0.39592679	0.26299875	0.3893619	0.23575917	0.23087464	0.32463017	0.37656971	0.22809788	0.3223305	0.29720568	0.22155488	0.4730372	0.34169381	0.25127893	0.34839081	0.25862486	0.23420654	0.46543577	0.41577302	0.33886676	0.21513881	0.24566364	0.31990571	0.50893557	0.63047117	0.27250929	0.29835944	0.43494154	0.37648015	0.55401961	0.26341725	0.43794058	0.37487479	0.40412423	0.33045822	0.56748688	0.33342091	0.37263801	0.44414674	0.27670633	0.34875476	0.21869857	0.40344017	0.29520105	0.41944597	0.26562219	0.32265173	0.31409343	0.35961765	0.41652491	0.30563135	0.34868189	0.33886127	0.31171468	0.26746035	0.37737118	0.19156504	0.29982088	0.58159822	0.28220497	0.20062708	0.28073185	0.26256652	0.28186449	0.32224964	0.26937865	0.27473055	0.36550155	0.27256171	0.28190897	0.27724717	0.25180549	0.31053004	0.33014259	0.2795012	0.23911329	0.30067056	0.25602901	0.42339516	0.29627741	0.45085896	0.27854636	0.42723573	0.27951562	0.38638474	0.23064255	0.24535078	0.21614593	0.37276709	0.143005	0.4352739	0.43919471	0.31750386	0.38233092	0.40979864
EM037.441737	0.23754709	0.54045931	0.2525939	0.23270449	0.21796151	0.27426422	0.0	0.42585782	0.29096591	0.29856898	0.47595355	0.42940646	0.45680195	0.44439811	0.40564782	0.34343164	0.33237131	0.27428176	0.32072626	0.34578354	0.35649711	0.46374804	0.26867126	0.22643578	0.44879826	0.4209568	0.32601112	0.38644171	0.24839041	0.81119368	0.28413561	0.1690184	0.26009299	0.21799399	0.33344097	0.31603665	0.33486329	0.43558545	0.3975117	0.36185574	0.27526282	0.24831506	0.3934742	0.39407291	0.25569396	0.32487434	0.26507467	0.25846186	0.45975577	0.22923036	0.51973094	0.63563908	0.24166999	0.21964578	0.59055225	0.38648073	0.33287875	0.3179027	0.32423347	0.36274593	0.25230113	0.28291202	0.62753107	0.48205242	0.38676041	0.32660884	0.32950319	0.23086135	0.43762542	0.38979211	0.3799564	0.27872932	0.30786505	0.38797469	0.50857908	0.29248733	0.2506479	0.46101203	0.47892819	0.3277566	0.24811208	0.27761276	0.27597836	0.60101746	0.37874289	0.29657569	0.24742189	0.22887996	0.34545384	0.55448973	0.52655076	0.39575612	0.19431885	0.29778554	0.26363755	0.43350597	0.71863351	0.33090415	0.38076962	0.32523014	0.24500737	0.44625371	0.29725547	0.37100762	0.24380915	0.44867957	0.23668946	0.66956032	0.47739257	0.28119935	0.5427509	0.19074957	0.29341876	0.23699785	0.32415069	0.25498393	0.34199695	0.14260249	0.30011581	0.21300527	0.22559107	0.32233845	0.34748335	0.21435057	0.25848813	0.29637472	0.22558393	0.32316016	0.3075143	0.32210652	0.50726842	0.16861007	0.27719116	0.19374013	0.33536788	0.23086485	0.24332448	0.35999497	0.17530775	0.47589155	0.36715199	0.31850745	0.35434181	0.18313087	0.19374974	0.28789587	0.3122985	0.16940411	0.20724514	0.25299743	0.32989248	0.38258109	0.3857249	0.36244818	0.35236313	0.32430084	0.32967454	0.31257741	0.3441115	0.34017253	0.42328793	0.28193298	0.568182	0.53295941	0.34221044	0.30124266	0.51199836
EM038.441649	0.40443045	0.39154967	0.39023318	0.46255879	0.38646669	0.33225876	0.42585782	0.0	0.34945409	0.48730404	0.39023553	0.39497384	0.24341481	0.45022283	0.65153522	0.45414758	0.34616019	0.3638394	0.57304324	0.30718238	0.43747185	0.73444822	0.49902776	0.47766866	0.33605824	0.32301914	0.36036578	0.39737777	0.33406091	0.64729268	0.30045899	0.41431276	0.47408715	0.46636121	0.30086497	0.38757693	0.33928243	0.36847987	0.31321552	0.26304858	0.39104972	0.37398318	0.37252232	0.28850403	0.4295068	0.54928616	0.55681667	0.32587808	0.28659861	0.4465989	0.33094944	0.4370999	0.47498613	0.43296286	0.37257885	0.31925559	0.56258773	0.34215404	0.34838237	0.32073495	0.36597115	0.36607502	0.46209149	0.73224604	0.63865267	0.4937443	0.50910847	0.39230227	0.31152722	0.32388007	0.30626994	0.34535706	0.47001149	0.27791227	0.38775204	0.38913509	0.39367194	0.39423875	0.27828917	0.29750018	0.36204902	0.44883714	0.39318728	0.3950113	0.32602415	0.37269131	0.51451895	0.39407374	0.35399984	0.39759985	0.37588938	0.29651296	0.36051783	0.30741622	0.39927167	0.43118761	0.53266851	0.33558833	0.26789694	0.44341922	0.47182491	0.56444783	0.35632275	0.57308614	0.47889507	0.38898631	0.5056459	0.4970057	0.41411485	0.43362619	0.42258098	0.36652799	0.53590948	0.36116265	0.46853335	0.45729423	0.62103045	0.39819787	0.33934121	0.44950999	0.54269191	0.59234889	0.31801451	0.45540563	0.47932799	0.47193572	0.35722763	0.3335006	0.30777994	0.34121942	0.74826548	0.42129561	0.30303872	0.41625921	0.30737102	0.37004829	0.39561998	0.25714517	0.39017229	0.32165541	0.34396935	0.31856705	0.29558431	0.39757385	0.38555826	0.33979137	0.2812408	0.40499983	0.41538558	0.38666781	0.54321052	0.23780165	0.62745242	0.33242994	0.52932051	0.31379802	0.6027612	0.31416377	0.33179732	0.28976501	0.32407377	0.35081058	0.38559102	0.41788739	0.29908946	0.34068978	0.36862984
EM039.441743	0.25013406	0.47773852	0.20165249	0.29734354	0.29995438	0.21311953	0.29096591	0.34945409	0.0	0.30505461	0.42661778	0.35921383	0.37811706	0.5091535	0.58029423	0.46451901	0.29322312	0.25370917	0.37691993	0.32272897	0.2467218	0.53669427	0.30928981	0.29794377	0.35580775	0.31431665	0.38175993	0.46301294	0.28820322	0.73621273	0.24431134	0.31849141	0.42251244	0.2901036	0.31752384	0.20146688	0.29844822	0.40642454	0.36821821	0.34337573	0.33196317	0.31640217	0.46686993	0.38180236	0.32733975	0.48274235	0.42663634	0.24439707	0.39846758	0.21731557	0.47378079	0.53379729	0.28848034	0.23319851	0.52201602	0.37505162	0.36839	0.36583577	0.36605676	0.31476734	0.2904827	0.23859889	0.56049106	0.50790553	0.42124018	0.27745635	0.30073282	0.22738566	0.37169749	0.29463452	0.30496713	0.30632375	0.36700904	0.28775636	0.42272665	0.20191992	0.19917157	0.34496806	0.395205	0.27269351	0.31930431	0.29719085	0.23811321	0.53911621	0.37403332	0.23503738	0.3560082	0.28158313	0.22072783	0.4844007	0.42815899	0.31372089	0.24883098	0.25575995	0.33599316	0.47645234	0.6230829	0.3017724	0.30217157	0.42481085	0.36965982	0.55114114	0.29733476	0.41536279	0.36302706	0.41308462	0.34987791	0.56382149	0.33574566	0.35433148	0.46683889	0.28315078	0.32241215	0.2774129	0.35592542	0.28155718	0.4224301	0.28215456	0.33409922	0.32347998	0.38466382	0.45085906	0.31257434	0.34832544	0.32202922	0.26406751	0.26469384	0.38806879	0.25254267	0.30512851	0.53802569	0.2997184	0.29088145	0.28791016	0.26667425	0.29143112	0.34288369	0.3170162	0.2822625	0.40919008	0.32095468	0.30980328	0.3229438	0.26570052	0.30867437	0.33979154	0.30643395	0.25876224	0.30691627	0.21369618	0.39054973	0.3169372	0.41259125	0.32387543	0.39243158	0.34052969	0.39865047	0.25804824	0.30091687	0.28821804	0.35058338	0.21710321	0.49165105	0.46914286	0.35655457	0.40513831	0.47779387
EM040.441709	0.31147539	0.62321499	0.2823192	0.25433295	0.35872473	0.3662795	0.29856898	0.48730404	0.30505461	0.0	0.55546837	0.45711112	0.47841105	0.36868587	0.50943052	0.5197968	0.42418935	0.3677812	0.25148338	0.35787784	0.30778413	0.39515788	0.21962908	0.22902834	0.5266094	0.49105086	0.35661492	0.40520685	0.40976773	0.88844252	0.40686803	0.29199918	0.38377149	0.23249395	0.45699897	0.28613761	0.32007847	0.57489997	0.52421194	0.4844159	0.39386014	0.38428002	0.33908488	0.38911717	0.2845461	0.42662106	0.36613579	0.37867986	0.49152001	0.19415868	0.5953248	0.67367978	0.19544173	0.21678346	0.63587351	0.52095377	0.23551465	0.35031122	0.35935969	0.44723339	0.36613141	0.33717462	0.68015349	0.36616112	0.28564553	0.26265478	0.25120479	0.28219685	0.51338806	0.37639977	0.37920562	0.39855244	0.26026821	0.38333405	0.55020624	0.26615187	0.26933804	0.52741677	0.47646563	0.37062288	0.26997962	0.32280488	0.30351226	0.64779728	0.40002583	0.36024485	0.28183637	0.3309821	0.35624848	0.66620155	0.61138612	0.42423334	0.36375589	0.42019378	0.42061899	0.36176925	0.78215079	0.44045033	0.45710384	0.3199165	0.31811521	0.49732453	0.43079129	0.33943414	0.31805955	0.53279847	0.28854952	0.75071232	0.47094457	0.38794067	0.62823396	0.32978833	0.20802916	0.34307725	0.25291121	0.21615197	0.31777745	0.33041627	0.30648293	0.29634593	0.31500657	0.37480173	0.44527807	0.31926979	0.27666539	0.2710381	0.36513199	0.36718708	0.38986202	0.43334018	0.39047038	0.27949083	0.43252966	0.27900347	0.38901104	0.35119713	0.37307976	0.44294733	0.34079231	0.56115209	0.45172649	0.40355221	0.47859865	0.29287911	0.29956912	0.40183483	0.43433208	0.26639793	0.27776474	0.26229791	0.31796054	0.44356201	0.2821758	0.46772538	0.30473653	0.4890919	0.30411024	0.41858043	0.43495332	0.44361845	0.40461517	0.35162982	0.63354596	0.60457623	0.50563112	0.39036072	0.62231314
