	PD_whole_tree	chao1	observed_otus
DD10	59.86369	2575.98576512	1642.0
DD102	37.36803	1743.38323353	1055.0
DD104	53.24672	2617.19823789	1567.0
DD106	52.19065	2132.01315789	1328.0
DD107	41.82837	1480.42857143	879.0
DD108	54.02559	1950.90816327	1138.0
DD110	69.72098	2625.41791045	1638.0
DD111	31.79735	1292.52631579	787.0
DD112	35.05692	1350.83870968	896.0
DD113	63.96322	2562.45762712	1623.0
DD114	45.71036	2054.86363636	1289.0
DD115	32.77212	1243.25609756	561.0
DD116	52.46018	1914.72588832	1165.0
DD118	52.20499	2164.11965812	1352.0
DD119	64.07722	2475.01968504	1550.0
DD12	50.88634	2073.06091371	1270.0
DD120	54.28449	2067.50867052	1166.0
DD121	57.40204	2149.25	1360.0
DD122	50.60313	1989.56643357	1035.0
DD123	39.66865	1490.52980132	874.0
DD125	35.17878	1624.68421053	963.0
DD128	49.4849	1684.40993789	994.0
DD129	44.04802	1503.3902439	954.0
DD13	50.12488	2074.46305419	1270.0
DD130	57.72326	2385.85201794	1440.0
DD132	46.48694	1827.4076087	1077.0
DD133	31.18866	1271.8877551	728.0
DD134	54.7109	2219.55967078	1399.0
DD135	57.22327	2318.09405941	1362.0
DD136	49.68622	1999.72680412	1244.0
DD137	46.53176	1728.625	1096.0
DD138	32.70902	1142.12658228	528.0
DD139	58.90082	2097.57971014	1278.0
DD14	37.31166	1126.0	686.0
DD140	55.69882	2219.76960784	1270.0
DD141	56.2902	2260.45959596	1310.0
DD144	35.36808	1064.55454545	673.0
DD145	36.14005	1217.14705882	742.0
DD146	60.33424	2486.66071429	1453.0
DD147	54.78063	1788.55958549	1137.0
DD148	58.84141	2187.83769634	1247.0
DD149	76.55037	3326.15471698	1870.0
DD15	50.02564	1860.925	1160.0
DD150	53.44414	2188.53960396	1340.0
DD151	75.29334	3269.9771987	1961.0
DD152	64.82294	2685.48717949	1567.0
DD153	59.38679	2191.8	1243.0
DD154	64.72268	2729.82142857	1873.0
DD155	63.68373	2781.41176471	1787.0
DD157	75.43802	2892.27444795	1968.0
DD160	100.39633	4028.69230769	2833.0
DD161	83.22798	3547.75	2384.0
DD162	82.53131	3474.04507042	2337.0
DD164	60.16605	2453.94323144	1547.0
DD167	78.82107	3241.65706052	2192.0
DD168	69.23606	2750.853125	1901.0
DD169	44.98835	1461.68292683	992.0
DD17	62.2755	2573.96842105	1648.0
DD18	44.98469	1970.28205128	1235.0
DD2	58.70355	2536.98780488	1593.0
DD20	39.42669	1867.11764706	1068.0
DD21	48.92848	1672.8115942	944.0
DD22	39.35143	1705.90909091	1050.0
DD23	46.6686	1805.59615385	1087.0
DD24	57.53795	2248.64	1484.0
DD25	59.61055	2592.16216216	1590.0
DD27	60.76351	2516.23791822	1508.0
DD28	56.02145	2129.03045685	1253.0
DD29	53.2828	1996.24242424	1217.0
DD3	33.05571	972.219298246	670.0
DD30	47.71162	1615.21428571	995.0
DD31	62.67692	2670.01195219	1533.0
DD32	54.46684	1916.01675978	1118.0
DD33	42.17858	1483.23684211	937.0
DD34	41.95393	1358.47368421	878.0
DD36	36.85597	1526.47008547	841.0
DD38	73.65832	3054.26517572	1915.0
DD39	56.05294	1952.43005181	1153.0
DD4	23.80906	590.070588235	427.0
DD42	64.82631	2446.50972763	1500.0
DD43	38.57044	1219.03030303	766.0
DD44	39.6373	1687.17391304	940.0
DD47	70.06763	3207.65822785	1742.0
DD48	68.07485	2653.18181818	1758.0
DD5	68.55313	2672.26	1741.0
DD53	40.11795	1640.77118644	870.0
DD58	48.76896	1982.01639344	1151.0
DD59	45.20072	1543.70895522	918.0
DD6	50.15954	1837.88888889	1232.0
DD60	48.00927	1763.57936508	900.0
DD61	38.23944	1624.02803738	778.0
DD63	41.12777	1482.26229508	815.0
DD64	59.97676	2342.17948718	1410.0
DD65	61.12673	2139.79104478	1333.0
DD67	32.94307	1044.97115385	664.0
DD68	66.25732	2669.96666667	1562.0
DD7	59.24418	2061.10526316	1277.0
DD70	52.22898	1931.04639175	1130.0
DD71	48.7967	1796.12068966	1160.0
DD72	30.48272	982.303571429	641.0
DD79	36.1198	1154.27272727	756.0
DD8	61.26423	2481.62878788	1576.0
DD80	26.40255	941.12345679	535.0
DD81	40.67372	1831.93006993	970.0
DD82	43.33934	1990.04639175	1189.0
DD83	48.6496	2065.05639098	1339.0
DD84	35.96504	1426.76923077	916.0
DD85	33.00814	1608.69230769	813.0
DD86	30.24015	1272.0	698.0
DD87	36.30439	1706.62393162	847.0
DD89	29.01248	1157.84466019	634.0
DD90	30.25292	1272.99082569	690.0
DD93	30.86084	1430.22413793	756.0
DD96	31.48901	1372.76642336	799.0
DD97	47.91633	1500.46296296	907.0
DD98	44.05749	1883.66666667	1073.0
DIET1	9.2733	176.333333333	76.0
DIET10	4.20154	116.0	59.0
DIET11	3.83321	69.5	59.0
DIET12	4.80574	143.5	58.0
DIET13	6.8891	132.8	95.0
DIET14	6.22254	104.111111111	89.0
DIET15	40.27236	1973.18300654	1098.0
DIET16	32.52833	1393.1294964	853.0
DIET17	7.28362	175.125	105.0
DIET18	6.59701	192.25	109.0
DIET19	26.33935	1035.73267327	649.0
DIET2	4.42479	182.333333333	47.0
DIET20	22.75183	812.347826087	498.0
DIET21	13.49287	418.529411765	261.0
DIET22	7.07152	239.235294118	142.0
DIET23	24.78985	815.170731707	532.0
DIET24	16.1237	545.06	356.0
DIET25	15.67262	592.125	301.0
DIET26	15.67618	429.0	277.0
DIET27	13.50987	411.75	288.0
DIET28	20.79059	745.763157895	381.0
DIET29	10.71326	378.652173913	258.0
DIET3	6.12544	130.333333333	89.0
DIET30	10.93769	381.333333333	263.0
DIET31	10.63669	379.105263158	252.0
DIET32	10.45366	335.44	196.0
DIET33	20.43617	683.716981132	403.0
DIET34	21.94935	773.114754098	437.0
DIET35	10.46993	470.055555556	267.0
DIET36	11.82181	402.428571429	288.0
DIET37	11.70095	409.903225806	292.0
DIET38	15.22356	395.896551724	204.0
DIET39	10.2504	185.260869565	132.0
DIET4	6.08821	147.142857143	85.0
DIET40	8.96488	166.0	101.0
DIET41	9.69996	419.0	276.0
DIET42	7.73713	281.230769231	222.0
DIET43	11.09856	410.04	302.0
DIET44	9.78113	633.25	145.0
DIET45	8.15323	326.545454545	171.0
DIET46	11.95578	235.875	186.0
DIET47	11.30019	575.206896552	329.0
DIET48	9.61777	336.171428571	259.0
DIET49	11.6774	540.038461538	326.0
DIET5	9.4568	303.870967742	207.0
DIET50	6.88475	145.5	128.0
DIET51	5.67968	136.75	113.0
DIET52	4.74301	151.1	116.0
DIET53	14.37416	431.081081081	272.0
DIET54	6.69053	224.0	113.0
DIET55	7.76084	180.833333333	133.0
DIET56	8.86706	293.625	147.0
DIET6	8.57409	338.714285714	202.0
DIET7	19.47043	792.584415584	588.0
DIET8	16.91778	748.714285714	516.0
DIET9	11.69757	395.0	236.0
ID100	54.31407	1990.08196721	1354.0
ID103	37.15445	1395.31756757	944.0
ID104	74.75022	3344.24310777	2482.0
ID106	56.99637	2529.21259843	1660.0
ID109	62.54181	2796.08583691	1679.0
ID110	89.36775	3400.98241206	2407.0
ID112	72.72451	2995.40333333	1946.0
ID113	54.72651	2242.84976526	1402.0
ID115	62.07502	2827.51960784	1946.0
ID117	68.26542	2718.72265625	1702.0
ID120	61.07438	2709.25572519	1735.0
ID123	50.16897	2306.71957672	1378.0
ID124	13.26929	332.282608696	209.0
ID125	65.97354	2775.69874477	1613.0
ID127	90.12663	3893.26923077	2735.0
ID128	74.42037	3256.90196078	2047.0
ID129	64.23098	2715.8	1943.0
ID131	83.31013	3587.62352941	2569.0
ID132	68.56083	3039.79120879	2106.0
ID133	91.66774	3829.03160271	2706.0
ID134	90.12184	3687.47345133	2624.0
ID135	75.67259	2974.18505338	1851.0
ID136	99.30112	4104.61790393	2768.0
ID138	91.10124	3502.1300813	2344.0
ID140	69.76459	2782.43956044	1712.0
ID153	68.5409	2628.0	1777.0
ID155	77.62795	3405.97777778	2464.0
ID156	85.94269	3391.84883721	2247.0
ID16	79.32821	3463.24545455	2185.0
ID167	74.13013	3273.96935933	2350.0
ID17	71.00252	2949.72043011	1858.0
ID18	93.40357	4113.37593985	2509.0
ID188	52.7185	2254.99118943	1466.0
ID205	66.86902	2693.33333333	1837.0
ID209	75.03414	3137.57400722	2021.0
ID21	91.90894	4038.44354839	2558.0
ID210	67.87868	2894.77742947	2026.0
ID211	71.04337	3177.15384615	2363.0
ID214	69.11631	2812.69905956	2017.0
ID216	78.07413	3283.89315068	2286.0
ID217	65.97169	2675.62645914	1870.0
ID220	60.46517	2754.04845815	1639.0
ID221	82.13503	3413.1875	2312.0
ID225	72.56412	3057.85173502	2097.0
ID230	77.08232	3248.57425743	2001.0
ID231	60.03546	2552.35968379	1698.0
ID235	91.274	3930.56179775	2659.0
ID237	62.83467	2488.0952381	1575.0
ID238	81.18438	3260.40963855	2050.0
