	PD_whole_tree	chao1	observed_otus
DD10	13.80848	384.5	157.0
DD102	10.57304	485.5	139.0
DD104	11.49285	408.1875	135.0
DD106	13.84949	394.869565217	162.0
DD107	10.05162	219.555555556	104.0
DD108	16.45886	384.0	153.0
DD110	17.31813	971.0	190.0
DD111	9.05096	270.571428571	103.0
DD112	8.76941	203.0	93.0
DD113	16.40035	537.272727273	185.0
DD114	9.59502	434.75	123.0
DD115	15.89256	481.0	160.0
DD116	14.80011	457.4	147.0
DD118	12.47998	385.833333333	143.0
DD119	16.41953	578.05	178.0
DD12	12.00531	341.105263158	135.0
DD120	14.50314	323.666666667	130.0
DD121	15.39473	384.84	158.0
DD122	15.66759	342.0	152.0
DD123	11.88775	308.5	130.0
DD125	8.90737	354.833333333	111.0
DD128	15.96731	334.125	152.0
DD129	10.7935	208.0	112.0
DD13	12.15986	458.866666667	142.0
DD130	11.66855	403.5	151.0
DD132	14.42387	418.0	153.0
DD133	8.45423	259.363636364	93.0
DD134	14.25803	362.0	160.0
DD135	15.18171	499.055555556	166.0
DD136	10.53816	586.428571429	112.0
DD137	11.04289	298.066666667	118.0
DD138	13.51971	411.235294118	143.0
DD139	14.96294	322.043478261	144.0
DD14	8.72446	426.2	84.0
DD140	15.0532	408.5	156.0
DD141	15.59095	443.833333333	152.0
DD144	9.21515	221.0	88.0
DD145	9.34569	277.4	107.0
DD146	12.26024	313.3	139.0
DD147	12.05076	411.875	110.0
DD148	10.5473	212.375	98.0
DD149	16.42015	370.045454545	154.0
DD15	12.83102	487.5	141.0
DD150	12.79017	371.666666667	134.0
DD151	14.52177	387.0	156.0
DD152	9.84717	352.214285714	115.0
DD153	10.94467	244.166666667	110.0
DD154	10.79042	729.6	141.0
DD155	10.63516	370.75	126.0
DD157	15.24025	307.517241379	160.0
DD160	17.56126	404.903225806	186.0
DD161	13.34481	285.037037037	140.0
DD162	13.95438	529.875	162.0
DD164	9.28812	354.6	99.0
DD167	16.08957	518.0	178.0
DD168	14.58496	359.25	153.0
DD169	11.75951	304.882352941	119.0
DD17	14.92626	648.625	172.0
DD18	9.27947	317.571428571	114.0
DD2	17.65293	401.576923077	171.0
DD20	10.49009	622.625	122.0
DD21	12.72706	224.894736842	112.0
DD22	10.92454	613.666666667	128.0
DD23	11.93111	435.076923077	127.0
DD24	12.62979	313.047619048	139.0
DD25	15.63637	464.6	179.0
DD27	15.25081	417.913043478	162.0
DD28	16.33733	477.9375	156.0
DD29	10.73116	300.647058824	124.0
DD3	7.39271	160.571428571	80.0
DD30	16.36657	329.5	175.0
DD31	14.43623	340.125	158.0
DD32	14.18736	353.555555556	136.0
DD33	10.56758	236.176470588	110.0
DD34	10.64546	178.0	102.0
DD36	7.86896	226.153846154	90.0
DD38	16.36746	378.5	175.0
DD39	17.52092	411.25	166.0
DD4	7.46224	316.0	71.0
DD42	16.90867	462.0	172.0
DD43	8.42637	151.272727273	73.0
DD44	10.32754	543.375	118.0
DD47	13.13312	387.772727273	149.0
DD48	15.12688	471.625	156.0
DD5	16.19438	522.125	161.0
DD53	9.97863	382.153846154	114.0
DD58	12.28937	366.555555556	134.0
DD59	10.79045	305.0	115.0
