	DD10	DD102	DD104	DD106	DD107	DD108	DD110	DD111	DD112	DD113	DD114	DD115	DD116	DD118	DD119	DD12	DD120	DD121	DD122	DD123	DD125	DD128	DD129	DD13	DD130	DD132	DD133	DD134	DD135	DD136	DD137	DD138	DD139	DD14	DD140	DD141	DD144	DD145	DD146	DD147	DD148	DD149	DD15	DD150	DD151	DD152	DD153	DD154	DD155	DD157	DD160	DD161	DD162	DD164	DD167	DD168	DD169	DD17	DD18	DD2	DD20	DD21	DD22	DD23	DD24	DD25	DD27	DD28	DD29	DD3	DD30	DD31	DD32	DD33	DD34	DD36	DD38	DD39	DD4	DD42	DD43	DD44	DD47	DD48	DD5	DD53	DD58	DD59	DD6	DD60	DD61	DD63	DD64	DD65	DD67	DD68	DD7	DD70	DD71	DD72	DD79	DD8	DD80	DD81	DD82	DD83	DD84	DD85	DD86	DD87	DD89	DD90	DD93	DD96	DD97	DD98	DIET1	DIET10	DIET11	DIET12	DIET13	DIET14	DIET15	DIET16	DIET17	DIET18	DIET19	DIET2	DIET20	DIET21	DIET22	DIET23	DIET24	DIET25	DIET26	DIET27	DIET28	DIET29	DIET3	DIET30	DIET31	DIET32	DIET33	DIET34	DIET35	DIET36	DIET37	DIET38	DIET39	DIET4	DIET40	DIET41	DIET42	DIET43	DIET44	DIET45	DIET46	DIET47	DIET48	DIET49	DIET5	DIET50	DIET51	DIET52	DIET53	DIET54	DIET55	DIET56	DIET6	DIET7	DIET8	DIET9	ID100	ID103	ID104	ID106	ID109	ID110	ID112	ID113	ID115	ID117	ID120	ID123	ID124	ID125	ID127	ID128	ID129	ID131	ID132	ID133	ID134	ID135	ID136	ID138	ID140	ID153	ID155	ID156	ID16	ID167	ID17	ID18	ID188	ID205	ID209	ID21	ID210	ID211	ID214	ID216	ID217	ID220	ID221	ID225	ID230	ID231	ID235	ID237	ID238	ID239	ID240	ID241	ID25	ID254	ID255	ID256	ID257	ID258	ID259	ID260	ID261	ID262	ID263	ID264	ID265	ID266	ID27	ID28	ID29	ID3	ID30	ID31	ID32	ID33	ID34	ID35	ID36	ID37	ID38	ID39	ID4	ID40	ID42	ID43	ID44	ID45	ID46	ID47	ID49	ID5	ID50	ID51	ID52	ID53	ID54	ID55	ID56	ID57	ID58	ID59	ID6	ID60	ID61	ID63	ID64	ID7	ID8	ID83	ID85	ID86	ID87	ID89	ID9	ID90	ID91	ID92	ID95	ID97	ID98	ID99	ITS3.DD102	ITS3.DD107	ITS3.DD115	ITS3.DD116	ITS3.DD119	ITS3.DD136	ITS3.DD58	ITS3.DIET14	ITS3.DIET54	ITS3.ID128
DD10	0.0	0.512	0.548	0.478	0.578	0.906	0.63	0.59	0.658	0.494	0.53	0.516	0.616	0.48	0.584	0.482	0.89	0.818	0.914	0.546	0.512	0.928	0.542	0.512	0.506	0.668	0.596	0.504	0.654	0.654	0.458	0.624	0.906	0.944	0.512	0.666	0.58	0.506	0.66	0.916	0.956	0.806	0.662	0.592	0.542	0.518	0.95	0.538	0.526	0.538	0.746	0.568	0.552	0.61	0.728	0.58	0.694	0.578	0.494	0.626	0.506	0.928	0.538	0.544	0.816	0.45	0.494	0.676	0.632	0.598	0.586	0.724	0.902	0.564	0.684	0.52	0.688	0.902	0.642	0.716	0.622	0.536	0.528	0.58	0.734	0.5	0.516	0.636	0.48	0.928	0.512	0.582	0.542	0.612	0.656	0.69	0.898	0.628	0.668	0.712	0.58	0.428	0.712	0.652	0.496	0.52	0.548	0.53	0.584	0.508	0.542	0.496	0.524	0.504	0.92	0.48	1.0	0.998	1.0	1.0	1.0	0.998	0.986	0.974	1.0	1.0	0.998	1.0	0.996	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.996	1.0	0.996	0.996	0.998	0.992	0.996	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	0.998	1.0	0.998	1.0	1.0	0.996	0.986	0.996	0.626	0.568	0.524	0.488	0.58	0.626	0.558	0.586	0.51	0.64	0.516	0.502	0.594	0.952	0.404	0.576	0.512	0.718	0.684	0.644	0.63	0.904	0.902	0.832	0.936	0.61	0.592	0.944	0.66	0.522	0.806	0.588	0.518	0.446	0.572	0.696	0.566	0.584	0.606	0.47	0.664	0.512	0.624	0.57	0.924	0.684	0.53	0.676	0.892	0.744	0.736	0.622	0.7	0.588	0.528	0.52	0.726	0.808	0.662	0.668	0.58	0.652	0.728	0.602	0.74	0.488	0.574	0.758	0.562	0.604	0.568	0.696	0.582	0.614	0.69	0.578	0.652	0.65	0.65	0.62	0.888	0.64	0.562	0.69	0.582	0.568	0.698	0.582	0.7	0.65	0.4	0.482	0.632	0.698	0.502	0.578	0.7	0.614	0.752	0.48	0.594	0.604	0.738	0.734	0.718	0.72	0.606	0.602	0.578	0.562	0.468	0.56	0.912	0.5	0.666	0.696	0.55	0.918	0.718	0.458	0.898	0.92	0.918	0.916	0.918	0.912	0.954	0.938	0.924	0.922
DD102	0.512	0.0	0.506	0.646	0.598	0.874	0.652	0.488	0.542	0.666	0.286	0.646	0.634	0.55	0.628	0.548	0.928	0.836	0.906	0.674	0.286	0.904	0.592	0.574	0.546	0.686	0.478	0.644	0.68	0.676	0.532	0.638	0.934	0.982	0.554	0.702	0.6	0.57	0.706	0.942	0.962	0.814	0.706	0.668	0.588	0.4	0.964	0.532	0.39	0.574	0.75	0.648	0.63	0.612	0.714	0.65	0.702	0.604	0.376	0.62	0.308	0.934	0.376	0.602	0.76	0.61	0.636	0.708	0.554	0.62	0.648	0.77	0.892	0.612	0.692	0.398	0.718	0.932	0.66	0.782	0.646	0.516	0.46	0.652	0.75	0.428	0.408	0.586	0.378	0.912	0.536	0.626	0.596	0.648	0.666	0.7	0.932	0.566	0.666	0.72	0.578	0.626	0.64	0.588	0.488	0.54	0.526	0.446	0.482	0.504	0.528	0.506	0.362	0.484	0.934	0.538	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.994	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.67	0.518	0.51	0.468	0.614	0.656	0.64	0.616	0.528	0.726	0.55	0.49	0.638	0.946	0.6	0.616	0.448	0.724	0.61	0.578	0.586	0.892	0.882	0.864	0.934	0.614	0.556	0.954	0.666	0.368	0.824	0.534	0.404	0.602	0.616	0.734	0.53	0.414	0.62	0.576	0.702	0.63	0.648	0.62	0.938	0.69	0.694	0.73	0.888	0.782	0.774	0.522	0.742	0.584	0.64	0.564	0.736	0.844	0.702	0.718	0.618	0.678	0.754	0.604	0.762	0.392	0.544	0.776	0.68	0.658	0.506	0.692	0.652	0.552	0.746	0.53	0.686	0.676	0.59	0.584	0.91	0.6	0.446	0.662	0.518	0.606	0.722	0.514	0.748	0.674	0.574	0.646	0.666	0.694	0.51	0.578	0.714	0.608	0.788	0.648	0.548	0.52	0.772	0.798	0.734	0.75	0.596	0.568	0.616	0.482	0.562	0.598	0.924	0.528	0.674	0.752	0.6	0.916	0.77	0.582	0.902	0.914	0.918	0.91	0.916	0.914	0.966	0.942	0.922	0.924
DD104	0.548	0.506	0.0	0.632	0.586	0.87	0.68	0.596	0.62	0.652	0.51	0.622	0.682	0.534	0.68	0.556	0.93	0.814	0.884	0.656	0.518	0.888	0.622	0.606	0.546	0.614	0.566	0.652	0.73	0.636	0.546	0.592	0.936	0.972	0.62	0.716	0.57	0.55	0.66	0.938	0.956	0.798	0.622	0.562	0.666	0.59	0.948	0.43	0.562	0.61	0.762	0.658	0.614	0.56	0.686	0.672	0.638	0.612	0.558	0.588	0.524	0.938	0.538	0.568	0.76	0.632	0.636	0.698	0.598	0.59	0.666	0.75	0.902	0.532	0.626	0.578	0.674	0.92	0.602	0.734	0.584	0.392	0.6	0.668	0.734	0.558	0.576	0.642	0.494	0.924	0.566	0.706	0.662	0.584	0.588	0.69	0.932	0.606	0.582	0.664	0.51	0.606	0.69	0.454	0.388	0.468	0.376	0.384	0.602	0.354	0.4	0.406	0.524	0.366	0.932	0.562	0.998	1.0	1.0	1.0	0.998	0.998	0.998	0.998	1.0	1.0	1.0	0.998	0.996	0.998	0.998	0.998	0.998	1.0	1.0	1.0	1.0	0.998	1.0	0.998	0.998	0.998	0.994	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	0.998	0.998	0.998	0.998	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	0.998	0.998	0.672	0.594	0.394	0.444	0.584	0.732	0.67	0.692	0.43	0.738	0.47	0.438	0.546	0.948	0.576	0.646	0.506	0.548	0.492	0.66	0.646	0.884	0.876	0.856	0.936	0.678	0.402	0.952	0.618	0.518	0.834	0.65	0.574	0.6	0.662	0.77	0.644	0.582	0.61	0.614	0.676	0.596	0.656	0.568	0.926	0.592	0.692	0.618	0.89	0.724	0.728	0.568	0.752	0.676	0.672	0.636	0.63	0.844	0.684	0.64	0.642	0.666	0.734	0.642	0.746	0.528	0.676	0.78	0.68	0.71	0.55	0.566	0.6	0.6	0.684	0.594	0.616	0.612	0.654	0.622	0.894	0.516	0.552	0.504	0.666	0.656	0.666	0.408	0.726	0.664	0.566	0.646	0.682	0.58	0.398	0.452	0.626	0.674	0.728	0.61	0.636	0.592	0.796	0.722	0.706	0.726	0.506	0.636	0.688	0.57	0.578	0.65	0.91	0.572	0.546	0.662	0.674	0.942	0.694	0.636	0.906	0.922	0.92	0.922	0.91	0.908	0.968	0.946	0.924	0.922
DD106	0.478	0.646	0.632	0.0	0.674	0.868	0.63	0.664	0.656	0.484	0.626	0.512	0.724	0.608	0.728	0.592	0.884	0.778	0.878	0.482	0.644	0.88	0.674	0.632	0.554	0.594	0.65	0.368	0.66	0.66	0.568	0.686	0.906	0.966	0.646	0.706	0.716	0.628	0.642	0.934	0.952	0.774	0.672	0.706	0.66	0.678	0.932	0.676	0.614	0.656	0.672	0.528	0.558	0.728	0.646	0.656	0.73	0.648	0.62	0.584	0.636	0.914	0.656	0.656	0.78	0.414	0.498	0.652	0.652	0.712	0.714	0.7	0.866	0.698	0.692	0.678	0.65	0.896	0.762	0.682	0.712	0.616	0.68	0.716	0.692	0.63	0.618	0.69	0.624	0.9	0.638	0.73	0.704	0.676	0.714	0.658	0.9	0.638	0.676	0.704	0.634	0.494	0.65	0.742	0.618	0.702	0.686	0.604	0.684	0.608	0.642	0.63	0.594	0.65	0.91	0.578	0.998	1.0	1.0	1.0	0.996	0.998	1.0	1.0	1.0	1.0	1.0	0.998	0.994	0.992	0.992	0.998	0.994	1.0	1.0	1.0	1.0	0.994	1.0	0.992	0.992	0.992	0.988	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.994	0.994	0.994	0.992	0.994	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.796	0.642	0.656	0.632	0.678	0.798	0.652	0.748	0.656	0.776	0.616	0.608	0.652	0.944	0.47	0.696	0.568	0.7	0.684	0.704	0.606	0.848	0.866	0.838	0.938	0.742	0.688	0.938	0.662	0.656	0.83	0.756	0.674	0.542	0.758	0.714	0.738	0.67	0.736	0.59	0.742	0.624	0.662	0.646	0.912	0.684	0.494	0.644	0.84	0.716	0.722	0.666	0.78	0.736	0.704	0.666	0.742	0.756	0.664	0.684	0.7	0.684	0.64	0.726	0.702	0.616	0.75	0.798	0.596	0.792	0.606	0.696	0.692	0.656	0.632	0.672	0.766	0.696	0.624	0.65	0.874	0.68	0.61	0.696	0.764	0.738	0.624	0.676	0.676	0.772	0.53	0.518	0.798	0.708	0.594	0.654	0.824	0.76	0.69	0.508	0.702	0.644	0.778	0.68	0.672	0.682	0.702	0.7	0.732	0.684	0.58	0.706	0.906	0.604	0.706	0.644	0.692	0.93	0.73	0.628	0.908	0.934	0.926	0.926	0.924	0.924	0.956	0.938	0.922	0.93
DD107	0.578	0.598	0.586	0.674	0.0	0.884	0.724	0.644	0.72	0.608	0.594	0.624	0.638	0.548	0.628	0.428	0.942	0.696	0.928	0.626	0.544	0.936	0.306	0.524	0.566	0.498	0.62	0.69	0.708	0.444	0.542	0.642	0.948	0.982	0.584	0.716	0.534	0.424	0.716	0.962	0.964	0.83	0.524	0.5	0.608	0.522	0.964	0.5	0.532	0.616	0.736	0.64	0.61	0.518	0.728	0.662	0.622	0.648	0.514	0.646	0.562	0.932	0.56	0.298	0.868	0.642	0.63	0.7	0.654	0.552	0.646	0.722	0.934	0.392	0.594	0.452	0.758	0.936	0.456	0.732	0.578	0.592	0.574	0.646	0.786	0.508	0.546	0.684	0.55	0.94	0.43	0.498	0.56	0.576	0.608	0.746	0.94	0.638	0.62	0.644	0.574	0.566	0.728	0.664	0.54	0.628	0.602	0.584	0.558	0.558	0.628	0.56	0.602	0.536	0.928	0.518	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.458	0.506	0.578	0.46	0.648	0.592	0.642	0.566	0.566	0.702	0.6	0.518	0.558	0.934	0.588	0.62	0.626	0.72	0.724	0.706	0.736	0.914	0.91	0.862	0.946	0.62	0.642	0.948	0.72	0.584	0.79	0.614	0.488	0.62	0.632	0.676	0.584	0.616	0.62	0.558	0.67	0.612	0.654	0.462	0.928	0.652	0.626	0.498	0.89	0.754	0.758	0.65	0.73	0.6	0.544	0.544	0.7	0.816	0.504	0.44	0.646	0.654	0.792	0.588	0.564	0.554	0.604	0.778	0.662	0.518	0.662	0.66	0.63	0.656	0.766	0.644	0.604	0.482	0.682	0.622	0.908	0.652	0.596	0.708	0.548	0.532	0.51	0.632	0.756	0.574	0.56	0.592	0.484	0.668	0.528	0.644	0.698	0.594	0.556	0.602	0.64	0.652	0.744	0.542	0.726	0.744	0.602	0.658	0.49	0.514	0.54	0.498	0.912	0.522	0.648	0.528	0.612	0.946	0.734	0.534	0.894	0.918	0.904	0.906	0.904	0.906	0.958	0.948	0.936	0.912
DD108	0.906	0.874	0.87	0.868	0.884	0.0	0.902	0.946	0.916	0.874	0.864	0.87	0.858	0.86	0.86	0.838	0.468	0.902	0.392	0.898	0.876	0.376	0.904	0.858	0.844	0.848	0.916	0.858	0.88	0.87	0.902	0.878	0.466	0.544	0.872	0.866	0.944	0.878	0.884	0.454	0.51	0.89	0.896	0.936	0.908	0.896	0.48	0.868	0.87	0.858	0.84	0.892	0.912	0.964	0.852	0.872	0.918	0.856	0.854	0.884	0.876	0.424	0.89	0.868	0.934	0.876	0.87	0.892	0.834	0.938	0.886	0.878	0.45	0.922	0.93	0.898	0.878	0.436	0.95	0.904	0.962	0.91	0.88	0.878	0.874	0.9	0.786	0.84	0.842	0.464	0.872	0.89	0.864	0.914	0.936	0.854	0.422	0.912	0.882	0.906	0.894	0.882	0.948	0.87	0.878	0.912	0.882	0.884	0.954	0.9	0.892	0.916	0.872	0.864	0.436	0.862	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.968	0.938	0.864	0.9	0.942	0.88	0.912	0.924	0.918	0.95	0.91	0.896	0.958	0.464	0.874	0.884	0.858	0.896	0.872	0.87	0.768	0.428	0.412	0.926	0.516	0.952	0.866	0.484	0.896	0.866	0.684	0.872	0.89	0.884	0.91	0.848	0.926	0.91	0.952	0.876	0.964	0.9	0.86	0.932	0.482	0.916	0.886	0.904	0.564	0.878	0.902	0.93	0.718	0.974	0.942	0.872	0.952	0.918	0.928	0.922	0.868	0.88	0.864	0.974	0.882	0.862	0.86	0.622	0.88	0.938	0.836	0.872	0.888	0.938	0.892	0.83	0.932	0.882	0.82	0.716	0.446	0.92	0.86	0.864	0.944	0.884	0.892	0.864	0.876	0.894	0.88	0.894	0.962	0.91	0.886	0.896	0.962	0.972	0.91	0.86	0.936	0.948	0.93	0.908	0.862	0.874	0.914	0.954	0.894	0.958	0.902	0.914	0.408	0.886	0.922	0.934	0.882	0.516	0.914	0.898	0.98	0.982	0.98	0.982	0.978	0.98	0.992	0.984	0.982	0.978
DD110	0.63	0.652	0.68	0.63	0.724	0.902	0.0	0.574	0.618	0.634	0.672	0.65	0.714	0.644	0.678	0.65	0.93	0.832	0.914	0.662	0.648	0.898	0.71	0.658	0.584	0.678	0.64	0.662	0.678	0.69	0.582	0.542	0.922	0.976	0.682	0.706	0.676	0.65	0.546	0.952	0.954	0.658	0.66	0.712	0.652	0.672	0.964	0.708	0.664	0.624	0.586	0.678	0.596	0.746	0.546	0.698	0.7	0.66	0.65	0.534	0.654	0.928	0.646	0.71	0.744	0.61	0.654	0.484	0.624	0.674	0.664	0.576	0.914	0.72	0.69	0.676	0.534	0.922	0.728	0.562	0.678	0.668	0.66	0.656	0.564	0.656	0.648	0.646	0.648	0.936	0.644	0.694	0.674	0.648	0.66	0.544	0.922	0.626	0.664	0.674	0.654	0.652	0.68	0.732	0.672	0.694	0.706	0.664	0.644	0.67	0.648	0.68	0.638	0.674	0.922	0.592	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.756	0.62	0.682	0.656	0.634	0.748	0.674	0.672	0.678	0.726	0.658	0.656	0.65	0.946	0.632	0.626	0.652	0.738	0.706	0.71	0.692	0.918	0.922	0.744	0.934	0.698	0.68	0.944	0.59	0.648	0.806	0.694	0.674	0.644	0.686	0.674	0.71	0.708	0.736	0.656	0.712	0.666	0.6	0.62	0.928	0.722	0.666	0.724	0.886	0.592	0.562	0.676	0.754	0.714	0.712	0.662	0.74	0.648	0.674	0.648	0.652	0.58	0.618	0.706	0.732	0.656	0.684	0.768	0.67	0.756	0.686	0.712	0.596	0.564	0.608	0.638	0.762	0.674	0.598	0.652	0.9	0.696	0.68	0.732	0.686	0.678	0.7	0.692	0.562	0.746	0.632	0.662	0.738	0.7	0.66	0.652	0.784	0.704	0.776	0.656	0.656	0.638	0.712	0.744	0.532	0.542	0.69	0.64	0.702	0.68	0.666	0.654	0.904	0.652	0.708	0.696	0.646	0.932	0.604	0.682	0.902	0.924	0.918	0.918	0.906	0.904	0.968	0.946	0.934	0.92
DD111	0.59	0.488	0.596	0.664	0.644	0.946	0.574	0.0	0.432	0.666	0.514	0.684	0.69	0.59	0.662	0.608	0.962	0.834	0.954	0.692	0.478	0.968	0.63	0.602	0.52	0.686	0.352	0.72	0.722	0.704	0.514	0.666	0.966	0.988	0.636	0.754	0.636	0.572	0.762	0.974	0.968	0.892	0.69	0.65	0.638	0.496	0.986	0.638	0.53	0.604	0.824	0.712	0.6	0.616	0.78	0.694	0.676	0.674	0.518	0.56	0.48	0.962	0.536	0.64	0.648	0.652	0.694	0.748	0.4	0.596	0.652	0.8	0.972	0.64	0.696	0.528	0.772	0.966	0.67	0.784	0.638	0.56	0.52	0.656	0.806	0.426	0.496	0.468	0.544	0.958	0.58	0.68	0.67	0.626	0.612	0.766	0.97	0.466	0.686	0.74	0.604	0.626	0.484	0.664	0.586	0.628	0.622	0.532	0.368	0.596	0.602	0.586	0.502	0.574	0.954	0.55	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.67	0.346	0.612	0.552	0.634	0.708	0.66	0.626	0.604	0.7	0.606	0.564	0.496	0.966	0.628	0.606	0.546	0.724	0.728	0.698	0.712	0.952	0.938	0.912	0.962	0.54	0.642	0.972	0.718	0.574	0.844	0.62	0.568	0.612	0.662	0.718	0.654	0.572	0.702	0.62	0.714	0.624	0.61	0.572	0.96	0.68	0.704	0.734	0.944	0.834	0.808	0.466	0.776	0.538	0.658	0.642	0.708	0.864	0.652	0.612	0.658	0.686	0.82	0.534	0.756	0.534	0.638	0.794	0.682	0.696	0.614	0.69	0.684	0.336	0.776	0.612	0.656	0.66	0.55	0.666	0.936	0.594	0.602	0.758	0.612	0.658	0.708	0.646	0.814	0.684	0.598	0.63	0.686	0.676	0.574	0.618	0.722	0.52	0.778	0.682	0.434	0.412	0.738	0.756	0.794	0.814	0.602	0.426	0.682	0.434	0.612	0.626	0.956	0.606	0.66	0.698	0.658	0.96	0.81	0.638	0.906	0.932	0.926	0.916	0.914	0.926	0.954	0.946	0.924	0.924
DD112	0.658	0.542	0.62	0.656	0.72	0.916	0.618	0.432	0.0	0.698	0.572	0.684	0.756	0.642	0.726	0.668	0.946	0.844	0.942	0.702	0.518	0.94	0.726	0.676	0.614	0.698	0.376	0.712	0.73	0.704	0.608	0.706	0.952	0.986	0.69	0.748	0.7	0.676	0.752	0.966	0.97	0.89	0.712	0.724	0.742	0.566	0.982	0.686	0.604	0.668	0.822	0.702	0.652	0.692	0.782	0.744	0.738	0.684	0.596	0.546	0.518	0.956	0.598	0.714	0.57	0.668	0.69	0.768	0.418	0.698	0.74	0.812	0.95	0.712	0.702	0.61	0.768	0.958	0.736	0.808	0.704	0.616	0.624	0.744	0.812	0.488	0.558	0.49	0.614	0.944	0.65	0.758	0.724	0.664	0.692	0.762	0.96	0.438	0.676	0.724	0.634	0.676	0.436	0.712	0.638	0.676	0.69	0.542	0.42	0.64	0.654	0.64	0.52	0.622	0.95	0.606	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.766	0.458	0.646	0.61	0.718	0.8	0.732	0.744	0.666	0.764	0.662	0.614	0.684	0.962	0.67	0.696	0.62	0.698	0.696	0.708	0.69	0.924	0.906	0.926	0.958	0.646	0.672	0.972	0.706	0.624	0.858	0.718	0.634	0.67	0.74	0.752	0.728	0.636	0.762	0.674	0.75	0.672	0.65	0.662	0.956	0.68	0.704	0.728	0.92	0.832	0.814	0.478	0.77	0.628	0.726	0.724	0.71	0.876	0.716	0.71	0.73	0.706	0.82	0.624	0.768	0.59	0.732	0.8	0.7	0.784	0.68	0.654	0.752	0.432	0.778	0.654	0.718	0.708	0.542	0.69	0.932	0.616	0.668	0.72	0.726	0.734	0.704	0.692	0.82	0.764	0.654	0.696	0.762	0.676	0.606	0.626	0.776	0.598	0.784	0.696	0.542	0.452	0.774	0.784	0.794	0.802	0.656	0.516	0.76	0.528	0.674	0.714	0.944	0.664	0.658	0.724	0.734	0.964	0.826	0.716	0.914	0.944	0.932	0.928	0.932	0.934	0.958	0.948	0.934	0.936
DD113	0.494	0.666	0.652	0.484	0.608	0.874	0.634	0.666	0.698	0.0	0.688	0.418	0.678	0.522	0.666	0.516	0.916	0.756	0.898	0.5	0.66	0.906	0.606	0.558	0.514	0.626	0.68	0.488	0.65	0.65	0.576	0.622	0.9	0.972	0.632	0.662	0.67	0.584	0.656	0.94	0.93	0.782	0.64	0.626	0.574	0.656	0.952	0.68	0.63	0.594	0.66	0.488	0.504	0.714	0.688	0.646	0.692	0.578	0.646	0.608	0.658	0.932	0.662	0.594	0.836	0.44	0.416	0.628	0.68	0.708	0.624	0.656	0.88	0.64	0.65	0.672	0.664	0.902	0.726	0.66	0.692	0.61	0.672	0.642	0.698	0.644	0.672	0.702	0.634	0.898	0.57	0.656	0.644	0.628	0.696	0.652	0.894	0.684	0.648	0.68	0.646	0.416	0.724	0.742	0.636	0.676	0.662	0.652	0.706	0.648	0.652	0.636	0.618	0.672	0.902	0.544	0.998	1.0	1.0	1.0	0.996	0.998	0.996	0.996	1.0	1.0	1.0	0.998	0.988	0.994	0.994	0.998	0.994	1.0	1.0	1.0	1.0	0.994	1.0	0.994	0.994	0.994	0.99	0.994	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.994	0.994	0.994	0.994	0.994	0.994	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	0.992	0.998	0.712	0.696	0.66	0.646	0.704	0.702	0.524	0.696	0.678	0.62	0.622	0.634	0.668	0.944	0.446	0.662	0.63	0.716	0.7	0.646	0.646	0.912	0.888	0.8	0.936	0.718	0.686	0.942	0.686	0.678	0.772	0.67	0.694	0.46	0.642	0.658	0.672	0.714	0.69	0.512	0.642	0.57	0.624	0.606	0.916	0.724	0.454	0.61	0.88	0.706	0.704	0.7	0.72	0.714	0.6	0.616	0.714	0.722	0.586	0.624	0.638	0.608	0.678	0.68	0.676	0.618	0.658	0.75	0.492	0.706	0.67	0.672	0.638	0.652	0.664	0.668	0.712	0.638	0.646	0.624	0.882	0.722	0.646	0.712	0.692	0.648	0.602	0.688	0.686	0.656	0.472	0.478	0.708	0.688	0.618	0.658	0.762	0.722	0.672	0.436	0.71	0.668	0.704	0.664	0.656	0.68	0.678	0.692	0.684	0.682	0.536	0.672	0.904	0.616	0.672	0.648	0.648	0.924	0.672	0.532	0.894	0.928	0.916	0.91	0.914	0.912	0.95	0.946	0.934	0.92
