	PD_whole_tree	chao1	observed_otus
100001.1247426	36.66936	1534.18987342	934.0
100003.1246884	31.19717	1433.45	671.0
100009.1247231	26.65506	1211.52586207	682.0
100015.1247049	48.50102	1913.65053763	1099.0
100016.1247155	20.84311	929.898305085	381.0
100043.1246460	26.39974	967.0	662.0
100046.1246388	34.59619	1588.72916667	846.0
100047.1246185	35.97349	1523.7283237	968.0
100048.1246661	32.7242	1375.2	847.0
100049.1247075	46.69008	1635.86956522	920.0
100051.1247218	41.16173	1943.26744186	1043.0
100052.1246453	34.6358	1498.70588235	864.0
100058.1247305	21.92866	818.018181818	384.0
100060.1247170	26.88711	827.25	541.0
100062.1246762	33.3293	1156.75572519	722.0
100065.1246135	28.12634	988.51	543.0
100068.1246376	37.81321	1653.38942308	1103.0
100070.1246721	25.50872	1101.8961039	580.0
100071.1247048	53.67919	2587.7337884	1652.0
100072.1246982	37.70995	1679.38219895	1021.0
100074.1247405	43.05851	1901.16167665	1049.0
100075.1246833	18.88111	601.197368421	438.0
100077.1246422	46.20806	1953.44334975	1132.0
100078.1246603	52.0521	2281.22330097	1251.0
100080.1246540	48.67981	2133.01714286	1113.0
100083.1246311	44.6981	1998.475	1199.0
100085.1246334	41.63575	2119.03015075	1213.0
100086.1247268	53.78906	2220.12643678	1402.0
100087.1246709	33.23795	1383.33898305	898.0
100088.1246120	20.09986	701.882352941	331.0
100089.1247168	42.84554	2044.51530612	1155.0
100090.1246912	34.30076	1389.7761194	841.0
100091.1247210	40.93989	1755.82258065	1058.0
100092.1247222	44.52908	1880.55555556	1084.0
100095.1246168	37.03836	1667.605	1088.0
100096.1247401	37.55359	1737.26490066	921.0
100099.1247449	46.77099	2114.23463687	1127.0
100100.1246674	11.33729	335.208333333	230.0
100101.1247239	42.90375	1850.8490566	1172.0
100102.1246796	30.89393	1078.47368421	739.0
100104.1247040	36.85211	1559.56338028	829.0
100105.1247327	35.38448	1335.2	689.0
100106.1246858	44.48601	2092.51351351	1166.0
100107.1246180	52.58666	2088.8125	1325.0
100109.1247329	42.2609	1859.48447205	1031.0
100115.1246245	11.30707	432.5	281.0
100117.1247242	33.18106	1459.82758621	853.0
100128.1246258	34.87538	1429.7791411	848.0
100158.1246456	35.11288	1593.04285714	865.0
100160.1246616	7.73617	271.848484848	220.0
100161.1246172	55.094	2155.37603306	1365.0
100162.1247353	35.81572	1591.03597122	861.0
100163.1246125	31.48732	1323.86781609	923.0
100176.1246432	31.58581	1219.12080537	857.0
100177.1246647	23.14547	796.857142857	484.0
100178.1246691	59.57881	2481.92519685	1491.0
100180.1246973	27.14255	977.372093023	657.0
100181.1246841	32.20265	1200.34375	672.0
100182.1247008	34.54657	1441.25174825	823.0
100183.1246704	48.35136	1899.02298851	1370.0
100187.1246918	16.93778	674.447368421	327.0
