	PD_whole_tree	chao1	observed_otus
100001.1247426	15.63426	520.027777778	226.0
100003.1246884	15.60677	454.527777778	207.0
100009.1247231	12.21751	410.903225806	192.0
100015.1247049	18.51123	571.103448276	221.0
100016.1247155	15.50457	664.1	224.0
100043.1246460	11.76694	338.0	173.0
100046.1246388	14.05014	463.487179487	214.0
100047.1246185	14.10352	531.870967742	218.0
100048.1246661	13.2025	393.783783784	191.0
100049.1247075	21.22039	425.0	216.0
100051.1247218	15.9327	543.433333333	205.0
100052.1246453	13.00121	491.0	213.0
100058.1247305	12.48697	352.681818182	154.0
100060.1247170	14.56651	442.652173913	182.0
100062.1246762	15.98871	472.076923077	219.0
100065.1246135	13.65592	348.357142857	168.0
100068.1246376	14.22347	536.714285714	204.0
100070.1246721	11.77344	392.833333333	150.0
100071.1247048	16.72991	765.1	240.0
100072.1246982	15.09704	710.214285714	227.0
100074.1247405	15.99742	607.0	211.0
100075.1246833	9.16344	387.833333333	145.0
100077.1246422	17.7565	638.75	218.0
100078.1246603	19.2891	758.636363636	254.0
100080.1246540	15.30368	539.375	190.0
100083.1246311	18.18051	839.193548387	260.0
100085.1246334	14.4855	1059.55	236.0
100086.1247268	18.23957	858.2	266.0
100087.1246709	11.47367	453.888888889	185.0
100088.1246120	13.28636	572.2	205.0
100089.1247168	16.48541	693.588235294	256.0
100090.1246912	15.41313	491.692307692	224.0
100091.1247210	14.77643	554.12	203.0
100092.1247222	17.44902	573.833333333	238.0
100095.1246168	13.30904	531.84375	219.0
100096.1247401	16.09911	591.885714286	233.0
100099.1247449	16.07989	550.5	203.0
100100.1246674	7.48917	283.833333333	117.0
100101.1247239	15.78985	777.125	251.0
100102.1246796	12.86061	303.884615385	160.0
100104.1247040	17.05251	637.75	217.0
100105.1247327	17.51577	443.487179487	215.0
100106.1246858	16.44405	582.947368421	244.0
100107.1246180	20.65923	664.021276596	282.0
100109.1247329	16.21331	561.394736842	235.0
100115.1246245	4.91165	156.333333333	98.0
100117.1247242	14.71867	562.103448276	212.0
100128.1246258	12.16268	423.217391304	172.0
100158.1246456	15.21324	472.47826087	236.0
100160.1246616	4.09954	121.769230769	76.0
100161.1246172	18.03322	898.956521739	237.0
100162.1247353	15.48245	516.0	226.0
100163.1246125	11.94247	423.617647059	192.0
100176.1246432	9.54083	313.875	147.0
100177.1246647	10.77016	361.37037037	163.0
100178.1246691	17.48655	528.870967742	215.0
100180.1246973	11.58314	427.0	167.0
100181.1246841	14.97676	437.135135135	214.0
