	PD_whole_tree	chao1	observed_otus
32I9UAPQ.518112	19.4739	634.766666667	412.0
32I9UNA9.518098	16.59101	451.553191489	284.0
38U4VAHB.518100	40.82751	1854.69565217	1052.0
38U4VNBW.518090	31.69266	1345.12844037	681.0
41E1KAMA.517991	21.65727	624.108695652	368.0
41E1KNBP.517985	21.39133	525.529411765	332.0
59S9WAIH.518013	25.57291	1319.58163265	623.0
59S9WNC6.518055	24.80751	973.772277228	556.0
5EKFOAO4.518164	36.82915	1741.90441176	886.0
5EKFONB3.518125	35.85851	1601.77464789	868.0
5TA9VAT9.518088	29.65202	1152.90526316	619.0
5TA9VN6K.518161	40.78501	1805.32142857	932.0
6G2KBASQ.517999	36.61192	1802.08264463	816.0
6G2KBNS6.518045	45.02687	2186.25	1140.0
82S3MAZ4.518145	33.61589	1044.0	614.0
82S3MNBY.518050	31.77733	1063.97468354	566.0
8XBKGABK.517998	14.68386	363.333333333	137.0
8XBKGN9F.518085	5.02557	52.3333333333	22.0
A8A34AP9.518086	30.03722	1012.72727273	555.0
A8A34NCW.518023	28.3425	1155.11320755	510.0
BFJMKAKB.518159	12.81729	373.090909091	217.0
BFJMKNMP.518102	9.63626	204.8	104.0
C0095.N.518123	27.44963	957.097826087	511.0
C0095.T.518141	27.38674	961.318681319	504.0
C0112.N.518001	29.10832	1085.375	521.0
C0112.T.518024	18.15376	455.565217391	241.0
C0133.N.518051	33.83807	1095.1686747	562.0
C0133.T.518133	19.20883	613.163265306	306.0
C0134.N.518072	51.3546	2420.75572519	1049.0
C0134.T.517988	13.13868	395.127659574	308.0
C0149.N.518039	39.6395	1594.7593985	801.0
C0149.T.518132	41.07824	1694.25409836	787.0
C0154.N.518002	35.57461	1501.36029412	820.0
C0154.T.518091	17.64898	823.027777778	303.0
C0159.N.518042	37.26934	1824.79816514	792.0
C0159.T.518087	30.06163	1188.26506024	581.0
C0186.N.518143	33.98973	1175.89423077	602.0
C0186.T.518019	33.0855	1227.73333333	665.0
C0195.N.518110	39.6178	1469.90225564	802.0
C0195.T.517986	24.8252	866.630769231	418.0
C0198.N.518081	31.27472	1273.27631579	559.0
C0198.T.518166	25.71969	1050.04285714	480.0
C0206.N.518065	27.5791	1098.78947368	555.0
C0206.T.518053	18.69558	689.02173913	315.0
C0209.N.517984	30.58537	1074.95918367	605.0
C0209.T.518128	25.80489	783.583333333	421.0
C0211.N.518117	42.14556	1844.64383562	973.0
C0211.T.518096	40.13372	1681.68421053	853.0
C0212.N.518167	40.6797	1588.09345794	750.0
C0212.T.518155	20.81296	634.0	247.0
C0225.N.518047	30.33815	1319.84615385	581.0
C0225.T.518033	27.6812	972.6	582.0
C0230.N.517992	27.62658	880.05	390.0
C0230.T.518144	30.53584	1077.15189873	498.0
C0235.N.517993	22.40828	716.46875	367.0
C0235.T.518049	17.8738	580.0	377.0
C0240.N.518020	40.57884	1651.56692913	849.0
C0240.T.518052	40.93349	1698.13513514	788.0
C0241.N.518043	33.62554	1297.27884615	669.0
C0241.T.518067	28.89978	997.863013699	478.0
C0245.N.518071	15.84501	369.37037037	171.0
C0245.T.518151	35.04023	1457.39534884	706.0
C0252.N.518016	54.52743	2361.82926829	1115.0
C0252.T.518006	25.31085	674.459016393	377.0
C0256.N.518170	34.88076	1650.09345794	812.0
C0256.T.518080	23.20896	971.0	386.0
C0258.N.518014	40.99359	1666.99367089	918.0
C0258.T.517997	53.95334	2502.93367347	1332.0
C0268.N.518089	38.55588	1848.32142857	709.0
C0268.T.518114	23.61605	883.962264151	374.0
C0269.N.518130	49.66442	1998.8	1025.0
C0269.T.518150	42.0549	1526.32374101	872.0
C0270.N.518041	42.72593	1734.65217391	966.0
C0270.T.518163	24.31736	959.0	525.0
C0271.N.518022	55.02463	2008.58100559	1077.0
C0271.T.518078	40.17982	1302.84536082	618.0
C0275.N.518076	30.18487	1223.78	671.0
C0275.T.518032	22.77917	743.52173913	458.0
C0282.N.518138	35.96799	1310.95121951	536.0
C0282.T.518000	24.07746	653.307692308	297.0
C0285.N.518084	39.42329	1647.50980392	921.0
C0285.T.518044	32.73882	1228.024	673.0
C0294.N.517987	45.7317	1756.45454545	736.0
C0294.T.518134	39.62241	1426.87394958	698.0
C0306.N.518003	42.422	1561.30612245	871.0
C0306.T.518122	24.97592	789.078125	374.0
C0308.N.518154	48.26678	1770.5	899.0
C0308.T.518162	32.92719	1391.59036145	578.0
C0311.N.518124	28.05047	1017.5	578.0
C0311.T.518131	31.62948	1222.12307692	755.0
C0314.T.518025	14.03874	425.20754717	267.0
C0315.N.518021	34.18446	1316.44827586	804.0
C0315.T.518034	21.68741	783.0	361.0
C0318.N.518105	44.21948	1747.21428571	784.0
C0318.T.518140	27.65459	886.0	471.0
C0322.N.518165	32.99246	1345.96341463	584.0
C0322.T.518018	21.53428	655.9	293.0
C0325.N.518109	33.90203	1386.73267327	670.0
C0325.T.518083	29.99044	1340.51282051	712.0
C0330.N.518148	21.31081	532.5	288.0
C0330.T.518035	29.39539	1047.80882353	461.0
C0332.N.518027	28.78789	788.183908046	453.0
C0332.T.518017	21.00474	745.8125	383.0
C0333.N.518126	35.49151	1464.224	767.0
C0333.T.518046	23.90865	860.263157895	382.0
C0334.N.518066	31.45071	1004.10526316	532.0
C0334.T.518147	35.68359	1627.95934959	832.0
C0335.N.518107	45.78366	1924.72727273	1059.0
C0335.T.518115	32.91811	1298.31932773	690.0
C0341.N.518101	41.10538	1673.59663866	798.0
C0341.T.518113	18.10247	560.535714286	218.0
C0342.N.518068	52.37796	2306.953125	1205.0
C0342.T.518093	23.14332	758.9	320.0
C0344.N.518103	36.75272	1371.57575758	791.0
C0344.T.518029	27.86498	1034.04411765	480.0
C0349.N.517989	35.39321	1487.48387097	788.0
C0349.T.518111	31.70949	1443.15463918	689.0
C0355.N.518077	32.9749	1333.01388889	556.0
C0355.T.518157	28.89525	1017.83870968	542.0
C0362.N.518069	30.0742	1080.76744186	513.0
C0362.T.518026	16.06136	453.208333333	320.0
C0366.N.518094	45.60601	1718.86413043	977.0
C0366.T.518172	48.66712	1864.20192308	1141.0
C0371.N.518009	39.40354	1681.40993789	922.0
C0371.T.518139	38.80309	1461.48734177	875.0
C0374.N.518099	43.24701	1716.71176471	977.0
C0374.T.518127	23.32226	804.217391304	318.0
C0378.N.518158	56.83976	2184.03157895	1161.0
C0378.T.518104	34.18569	1060.93103448	640.0
C0388.N.518136	44.67008	2061.12101911	999.0
C0388.T.518015	36.66156	1401.22429907	685.0
C0394.N.518031	32.89469	1114.41176471	569.0
C0394.T.518064	17.9453	549.255319149	282.0
C0395.N.518054	36.77314	1691.2	721.0
C0395.T.518075	26.35823	841.95	456.0
C0398.N.518152	40.32197	1439.68503937	760.0
C0398.T.518092	10.73247	350.214285714	113.0
C0399.N.518011	51.28908	2219.05747126	1169.0
C0399.T.518153	33.22753	1159.60204082	575.0
C1.S.518137	26.34763	979.593220339	435.0
C1.T.518120	21.69027	717.446808511	315.0
C10.S.517995	35.69513	1443.84466019	696.0
C10.T.518056	19.24825	611.071428571	265.0
C3.S.517996	5.57848	57.25	38.0
C3.T.517994	4.09344	74.4285714286	35.0
C4.S.518169	44.70533	1808.23357664	894.0
C4.T.518118	31.16216	1226.4	633.0
C6.S.518082	25.54808	1223.41176471	441.0
C6.T.518061	25.22311	1006.08571429	460.0
G2OD5ABL.518057	35.10047	1743.16891892	907.0
G2OD5N55.518146	27.88844	1150.2244898	603.0
G3UBQAJU.518060	24.83136	880.939759036	544.0
G3UBQNDP.518121	32.37907	1390.01980198	692.0
GQ6LSABJ.518010	44.17679	1864.46728972	1112.0
GQ6LSNI6.518106	46.38625	2004.07772021	1119.0
HZIMMAM6.518095	41.21948	1853.68627451	1012.0
HZIMMNL5.518062	34.28647	1392.82677165	777.0
I7ROLN9P.518079	24.27412	1183.97058824	520.0
JIDZEAPD.518149	41.8651	1691.75796178	913.0
JIDZEN4J.518073	36.23944	1399.67346939	661.0
KIXFRARY.518160	57.06342	2309.96335079	1192.0
KIXFRNL2.518129	27.13457	942.347826087	565.0
LRQ9WAHA.518036	48.80154	2117.09923664	952.0
LRQ9WN6C.518048	32.5946	1237.224	697.0
MQE9OAS7.518008	19.93691	719.8	441.0
MQE9ONGV.518038	24.25237	940.338235294	449.0
MQETMAZC.518171	18.97239	762.317073171	329.0
MQETMNL4.518037	30.15434	1236.62376238	618.0
O436FAO8.518097	13.31704	411.021276596	314.0
O436FNP3.518007	13.29198	308.25	163.0
OTGGZAZO.518108	34.78183	1209.83333333	698.0
OTGGZN5Y.518063	45.21719	1571.62295082	805.0
QFHRSAG2.518005	45.34193	1562.03597122	832.0
QFHRSNIH.518116	44.75533	1814.63551402	828.0
R8J9ZAGC.518059	33.92494	1200.05405405	711.0
R8J9ZNOW.518040	32.73436	1103.17346939	627.0
TV28IANZ.518070	22.16535	737.857142857	425.0
TV28INUO.518004	26.11921	981.465753425	484.0
UEL2GAPI.518173	38.18429	1857.52150538	1078.0
UEL2GN92.518058	31.30619	1216.62307692	700.0
UTWNWANU.518168	18.28195	760.428571429	487.0
UTWNWN3P.518012	14.46255	477.0	334.0
UZ65XAS5.518119	40.79162	1608.18604651	832.0
UZ65XN27.518028	52.47464	2052.74	1013.0
XBS5MA8H.517990	4.25437	187.0	64.0
XBS5MNEH.518074	11.18008	322.434782609	156.0
XZ33PA3O.518135	19.37185	655.892857143	365.0
XZ33PN7O.518030	30.55321	1306.11842105	570.0
YOTV6ASH.518142	17.2422	508.162162162	226.0
YOTV6NC8.518156	31.08252	1050.43157895	556.0
