	PD_whole_tree	chao1	observed_otus
32I9UAPQ.518112	9.80982	256.12	151.0
32I9UNA9.518098	11.06859	218.285714286	134.0
38U4VAHB.518100	18.92073	834.459459459	302.0
38U4VNBW.518090	18.05168	641.636363636	261.0
41E1KAMA.517991	11.59439	278.5	142.0
41E1KNBP.517985	13.18195	294.3	148.0
59S9WAIH.518013	12.77281	592.029411765	241.0
59S9WNC6.518055	13.72966	508.37037037	193.0
5EKFOAO4.518164	16.30353	637.666666667	271.0
5EKFONB3.518125	15.83778	707.038461538	230.0
5TA9VAT9.518088	15.33249	466.615384615	192.0
5TA9VN6K.518161	17.02889	556.294117647	232.0
6G2KBASQ.517999	20.84326	874.20754717	351.0
6G2KBNS6.518045	21.359	853.934782609	335.0
82S3MAZ4.518145	16.78441	478.6	193.0
82S3MNBY.518050	16.60699	476.0	180.0
A8A34AP9.518086	14.83054	407.869565217	175.0
A8A34NCW.518023	14.72048	396.0	165.0
BFJMKAKB.518159	9.77534	358.076923077	133.0
C0095.N.518123	18.67057	681.903225806	256.0
C0095.T.518141	19.35787	739.738095238	294.0
C0112.N.518001	19.25847	584.466666667	269.0
C0133.N.518051	19.12528	477.441860465	238.0
C0133.T.518133	12.84626	356.3	147.0
C0134.N.518072	22.36284	820.875	319.0
C0134.T.517988	7.25149	220.12	129.0
C0149.N.518039	17.63099	569.833333333	234.0
C0149.T.518132	20.32279	721.9375	257.0
C0154.N.518002	15.97987	619.277777778	248.0
C0154.T.518091	14.0656	455.833333333	212.0
C0159.N.518042	17.77193	822.772727273	230.0
C0159.T.518087	16.70356	496.567567568	226.0
C0186.N.518143	18.34104	867.0	231.0
C0186.T.518019	18.66177	667.96875	240.0
C0195.N.518110	16.10396	462.193548387	200.0
C0195.T.517986	14.91214	576.473684211	188.0
C0198.N.518081	17.03814	724.0	252.0
C0198.T.518166	17.46887	624.238095238	270.0
C0206.N.518065	13.61434	398.052631579	153.0
C0206.T.518053	10.66847	348.260869565	150.0
C0209.N.517984	15.10909	399.107142857	185.0
C0209.T.518128	15.88192	400.5	194.0
C0211.N.518117	20.21434	732.45	293.0
C0211.T.518096	21.4336	783.529411765	324.0
C0212.N.518167	20.7382	515.065217391	242.0
C0225.N.518047	16.01091	624.517241379	234.0
C0225.T.518033	12.24258	425.243243243	209.0
C0230.N.517992	24.9275	691.35	336.0
C0230.T.518144	18.70094	643.571428571	257.0
C0235.N.517993	17.92897	552.534883721	253.0
