	PD_whole_tree	chao1	observed_otus
tp1.CI.E03.11dpc.1Ln.1.793122	13.29475	310.181818182	229.0
tp1.CI.E03.11dpc.1Ln.2.793497	16.62263	438.37254902	279.0
tp1.CI.E03.11dpc.1Ln.3.792334	13.09854	445.6	223.0
tp1.CI.E03.11dpc.1Ln.4.792538	15.21676	467.428571429	260.0
tp1.CI.E03.11dpc.1Ln.5.792261	14.8936	419.65	250.0
tp1.CI.E03.11dpc.1Ln.6.793401	12.89434	386.25	213.0
tp1.CI.E03.11dpc.1Ob.11.793221	10.15241	200.578947368	179.0
tp1.CI.E03.11dpc.1Ob.12.792841	10.62243	247.1	182.0
tp1.CI.E03.11dpc.1Ob.13.792151	9.38679	251.181818182	168.0
tp1.CI.E03.11dpc.1Ob.14.792618	9.38309	216.04	163.0
tp1.CI.E03.11dpc.1Ob.15.793395	10.85833	231.0	187.0
tp1.CI.E03.11dpc.1Ob.16.792727	9.9226	275.8	190.0
tp1.CI.E03.11dpc.2Ln54.10.792378	11.70753	333.23255814	238.0
tp1.CI.E03.11dpc.2Ln54.6.792874	11.11318	382.588235294	237.0
tp1.CI.E03.11dpc.2Ln54.7.793520	11.98756	391.790697674	242.0
tp1.CI.E03.11dpc.2Ln54.8.792585	12.0568	370.03030303	226.0
tp1.CI.E03.11dpc.2Ln54.9.792274	11.80246	294.153846154	209.0
tp1.CI.E03.11dpc.2Ob.1.793408	12.24571	329.243243243	221.0
tp1.CI.E03.11dpc.2Ob.2.792713	11.9336	459.807692308	225.0
tp1.CI.E03.11dpc.2Ob.3.792821	11.71329	315.571428571	232.0
tp1.CI.E03.11dpc.2Ob.4.793559	12.31247	317.375	215.0
tp1.CI.E03.11dpc.2Ob.5.792574	13.08172	369.145833333	251.0
tp1.CI.E03.11dpc.3Ln37.10.792615	11.7819	297.466666667	220.0
tp1.CI.E03.11dpc.3Ln37.6.792241	12.28258	369.947368421	229.0
tp1.CI.E03.11dpc.3Ln37.7.793220	11.242	331.818181818	226.0
tp1.CI.E03.11dpc.3Ln37.8.792359	12.39088	323.066666667	228.0
tp1.CI.E03.11dpc.3Ln37.9.792941	10.93942	322.902439024	214.0
tp1.CI.E03.11dpc.3Ob.11.792416	10.64554	302.625	187.0
tp1.CI.E03.11dpc.3Ob.12.792127	10.64378	295.071428571	206.0
tp1.CI.E03.11dpc.3Ob.13.791814	11.59666	301.765957447	224.0
tp1.CI.E03.11dpc.3Ob.14.792868	10.79108	309.394736842	204.0
tp1.CI.E03.11dpc.3Ob.15.792816	11.23959	316.073170732	229.0
tp1.CI.E03.11dpc.4Ln.1.792292	14.21908	434.638297872	275.0
tp1.CI.E03.11dpc.4Ln.2.792989	14.14781	451.769230769	293.0
tp1.CI.E03.11dpc.4Ln.3.792678	15.12951	444.964912281	309.0
tp1.CI.E03.11dpc.4Ln.4.793412	10.42249	268.885714286	174.0
