	PD_whole_tree	chao1	observed_otus
100001.518462	33.31144	1824.43157895	742.0
100003.518448	39.72494	1898.47945205	898.0
100009.518585	18.13263	742.818181818	391.0
100015.518484	37.73294	1596.94680851	718.0
100016.518511	36.66122	1792.40718563	908.0
100043.518608	23.88029	1085.14705882	490.0
100046.518563	32.67734	1471.37984496	743.0
100047.518573	31.85528	1464.32142857	723.0
100048.518556	27.70892	1184.89090909	636.0
100049.518571	46.85411	1585.02	872.0
100051.518513	37.20333	1677.70833333	866.0
100052.518548	27.46591	1094.20792079	620.0
100058.518558	31.62957	1336.25	673.0
100060.518463	30.55531	1229.375	662.0
100062.518413	35.31592	1523.64	765.0
100065.518569	33.11361	1289.2	643.0
100068.518524	35.13965	1679.89208633	870.0
100070.518622	24.44905	1099.08450704	517.0
100071.518514	37.38975	1751.85106383	860.0
100072.518459	33.78839	1673.66666667	787.0
100074.518549	39.71522	1747.06716418	853.0
100075.518638	21.13714	880.253012048	487.0
100077.518436	44.42904	2301.15	1009.0
100078.518434	48.00321	2380.39285714	1082.0
100079.518554	17.51803	719.193548387	395.0
100080.518564	40.79744	1561.41666667	841.0
100083.518623	38.49759	1796.66451613	916.0
100084.518559	34.65012	1591.26865672	800.0
100085.518596	29.95267	1428.40707965	708.0
100086.518445	43.47868	2075.74	1006.0
100087.518466	29.58745	1454.91935484	718.0
100088.518508	30.24319	1249.32291667	624.0
100089.518493	41.29556	1904.72727273	973.0
100090.518522	28.4247	1358.91764706	628.0
100091.518616	33.34667	1478.39416058	767.0
100092.518547	38.53737	1667.0591716	893.0
100095.518439	29.05729	1279.54761905	723.0
100096.518617	36.48795	1715.82352941	867.0
100099.518597	39.74583	1702.45	871.0
100100.518579	17.84209	605.119402985	370.0
100101.518475	34.97799	1636.7	851.0
100102.518495	37.30655	1910.57024793	863.0
100104.518418	37.21386	1836.81034483	825.0
100105.518417	47.29087	2295.06338028	987.0
100106.518634	37.3999	1680.62773723	838.0
100107.518577	42.51257	1694.70454545	928.0
100109.518535	38.858	1586.20945946	851.0
100115.518501	13.24031	480.308823529	331.0
100117.518496	24.93976	1070.93670886	507.0
100128.518606	34.79809	1337.00588235	802.0
100139.518500	1.47469	14.5	7.0
100143.518580	32.81063	1385.27118644	709.0
100144.518438	34.65063	1454.88888889	815.0
100150.518562	32.97159	1604.1796875	783.0
100151.518550	33.98185	1524.51973684	833.0
100154.518504	38.52872	1530.12765957	820.0
100155.518528	33.71531	1478.50684932	826.0
100156.518612	29.3651	1109.04347826	637.0
100157.518518	2.5252	105.0	14.0
100158.518625	36.78423	1748.11278195	851.0
100160.518588	8.61966	405.027027027	243.0
100161.518473	44.76417	1779.63095238	964.0
100162.518486	37.8335	1575.16326531	857.0
100163.518435	24.15541	1064.2247191	567.0
100164.518477	28.99308	1146.18584071	657.0
100165.518637	38.53727	1832.88888889	927.0
100166.518474	37.70825	1645.40740741	829.0
100167.518552	26.09351	984.679012346	499.0
100168.518433	35.33552	1635.73426573	865.0
100169.518565	19.37868	887.833333333	417.0
100170.518505	30.53305	1614.85046729	704.0
100171.518431	41.90741	2124.6744186	920.0
100172.518574	39.31653	1913.47524752	780.0
100173.518499	40.81712	1759.69364162	934.0
100174.518479	17.72049	679.133333333	305.0
