	PD_whole_tree	chao1	observed_otus
100001.518462	14.05238	520.5	198.0
100003.518448	16.78955	667.689655172	218.0
100009.518585	7.08416	185.55	100.0
100015.518484	17.99518	517.0	219.0
100016.518511	13.48705	753.545454545	204.0
100043.518608	10.68696	222.516129032	133.0
100046.518563	13.60528	560.2	193.0
100047.518573	13.46472	455.896551724	180.0
100048.518556	11.40194	376.24	162.0
100049.518571	17.81636	505.896551724	194.0
100051.518513	15.96311	574.0	214.0
100052.518548	13.4319	485.40625	190.0
100058.518558	12.62187	382.875	164.0
100060.518463	12.87768	466.4	143.0
100062.518413	13.28611	464.954545455	167.0
100065.518569	15.35591	752.4	176.0
100068.518524	14.17136	465.896551724	190.0
100070.518622	10.21828	248.625	133.0
100071.518514	15.34583	666.5	205.0
100072.518459	14.64017	497.777777778	192.0
100074.518549	15.98596	483.24	188.0
100075.518638	11.17243	599.0	162.0
100077.518436	16.76304	727.217391304	215.0
100078.518434	18.58907	633.285714286	218.0
100079.518554	8.78255	307.555555556	132.0
100080.518564	15.69432	553.034482759	198.0
100083.518623	15.80775	397.666666667	196.0
100084.518559	14.38717	601.625	202.0
100085.518596	12.2207	482.619047619	165.0
100086.518445	15.82894	557.025	231.0
100087.518466	12.01049	477.4	161.0
100088.518508	12.80889	571.652173913	190.0
100089.518493	16.46578	533.028571429	218.0
100090.518522	12.69762	413.65	151.0
100091.518616	13.42874	432.115384615	180.0
100092.518547	14.52829	652.045454545	197.0
100095.518439	12.66069	398.40625	179.0
100096.518617	15.15535	571.875	195.0
100099.518597	14.94559	474.903225806	196.0
100100.518579	8.34117	273.15	123.0
100101.518475	13.22142	493.0	183.0
100102.518495	14.64677	441.454545455	199.0
100104.518418	15.91725	533.28125	216.0
100105.518417	19.79348	1033.04166667	253.0
100106.518634	16.44295	652.384615385	211.0
100107.518577	17.56704	596.344827586	211.0
100109.518535	15.16942	536.84	191.0
100115.518501	5.92473	268.882352941	110.0
100117.518496	13.80499	498.75	181.0
100128.518606	13.74364	453.090909091	199.0
100143.518580	12.37576	469.3	175.0
100144.518438	14.07997	382.885714286	189.0
100150.518562	13.42731	630.55	185.0
100151.518550	13.36039	549.956521739	191.0
100154.518504	14.1868	503.37037037	188.0
100155.518528	13.90907	416.294117647	192.0
100156.518612	12.15909	518.0	178.0
100158.518625	13.99207	509.222222222	189.0
100160.518588	4.60584	135.0	78.0
100161.518473	17.65233	705.0	222.0
100162.518486	16.50127	520.4375	212.0
100163.518435	11.95638	536.315789474	173.0
100164.518477	13.00309	422.333333333	193.0
100165.518637	13.99792	663.5	202.0
100166.518474	16.82123	677.12	212.0
100167.518552	12.6809	772.5	162.0
100168.518433	14.63071	500.777777778	195.0
100169.518565	8.02325	182.052631579	101.0
100170.518505	13.0133	745.473684211	196.0
100171.518431	19.42271	720.833333333	242.0
100172.518574	16.1975	473.029411765	207.0
100173.518499	17.61771	591.176470588	231.0
100174.518479	10.32161	219.387096774	125.0
100175.518515	7.87708	354.545454545	109.0
100176.518428	8.51443	385.0	136.0
100177.518639	9.55948	294.555555556	119.0
100178.518498	16.48831	690.115384615	207.0
100180.518633	12.2731	438.047619048	168.0
100181.518440	15.89427	489.125	198.0
100182.518578	15.50802	494.153846154	219.0
100183.518534	14.19245	747.3125	182.0
100184.518455	11.67651	361.777777778	171.0
100187.518520	5.95709	238.0	95.0
100188.518595	13.91443	619.9	181.0
100190.518464	13.49998	582.285714286	183.0
100191.518602	13.56589	674.4	166.0
100192.518621	10.01065	316.5	132.0
100195.518533	16.82375	644.903225806	219.0
100196.518609	11.52912	324.085714286	174.0
