	PD_whole_tree	chao1	observed_otus
TS1.2.299121	29.05834	936.035714286	461.0
TS1.299139	50.95529	1737.76605505	1114.0
TS10.2.299108	21.45005	682.363636364	358.0
TS10.299123	30.00664	1248.51282051	620.0
TS100.2.298944	38.77923	1751.93333333	813.0
TS100.298999	42.31961	2199.59124088	927.0
TS101.2.299207	32.02194	1603.7265625	739.0
TS103.2.299213	34.42185	1406.05714286	738.0
TS103.299049	24.41428	913.238636364	463.0
TS104.2.299106	1.99209	15.0	5.0
TS104.299154	29.30094	1162.30927835	547.0
TS105.2.299038	23.79207	1037.75	492.0
TS105.299210	27.10446	1297.51	600.0
TS106.2.299179	30.3305	1464.56122449	638.0
TS106.299035	34.01184	1634.7593985	774.0
TS107.2.298960	45.01806	1931.95049505	1063.0
TS107.299042	37.96636	1579.63909774	772.0
TS109.2.299100	27.46001	921.693181818	481.0
TS109.299099	29.02447	1240.11904762	550.0
TS11.2.299208	26.52103	1103.05309735	584.0
TS11.298996	28.86619	1396.98913043	606.0
TS110.2.299101	31.48719	923.101010101	559.0
TS110.299019	29.09543	995.103092784	545.0
TS111.2.298964	38.15069	1371.25	687.0
TS111.299174	43.0434	1673.88888889	840.0
TS115.2.299043	35.68189	1168.22222222	641.0
TS115.298998	38.08827	1537.12931034	742.0
TS116.2.299078	36.91877	1475.67256637	697.0
TS116.299165	47.73722	1722.37735849	922.0
TS117.2.299030	38.45919	1657.53846154	845.0
TS117.298949	40.03794	1672.03636364	919.0
TS118.2.298966	39.97045	1915.28873239	879.0
TS118.299163	27.939	1216.45	542.0
TS119.2.299032	37.6745	1557.51948052	857.0
TS119.299110	31.5833	1286.33333333	638.0
TS12.2.299176	24.66589	983.303370787	476.0
TS12.299104	26.54173	1090.59813084	552.0
TS120.2.299136	40.84681	1912.90756303	835.0
TS120.298992	7.10125	154.0	55.0
TS124.2.299092	26.16817	834.846153846	439.0
TS124.298945	31.87415	1307.6952381	611.0
TS125.2.299067	28.08747	1155.19417476	569.0
TS125.298984	30.66157	1323.93814433	601.0
TS126.2.298986	33.50376	1029.68141593	578.0
TS126.299046	30.49003	1125.9	508.0
TS127.2.299143	35.43186	1372.17073171	667.0
TS127.299133	42.83318	1470.80405405	833.0
