	PD_whole_tree	chao1	observed_otus
TS1.2.299121	27.90623	952.358974359	448.0
TS1.299139	28.07302	1079.18571429	447.0
TS10.299123	22.36187	1057.0	394.0
TS100.2.298944	28.42677	1219.16666667	521.0
TS100.298999	28.05702	1359.01449275	489.0
TS101.2.299207	24.71863	1381.54285714	494.0
TS103.2.299213	24.2485	1093.26315789	408.0
TS103.299049	22.67806	843.473684211	414.0
TS104.299154	23.2226	839.4	384.0
TS105.2.299038	18.89377	764.775862069	338.0
TS105.299210	23.39693	1083.03846154	469.0
TS106.2.299179	22.68273	993.085714286	419.0
TS106.299035	24.99767	1301.44285714	483.0
TS107.2.298960	25.73078	1003.33333333	457.0
TS107.299042	25.71875	1016.01369863	438.0
TS109.2.299100	25.26211	904.545454545	410.0
TS109.299099	22.73815	875.15625	381.0
TS11.2.299208	19.43085	874.20754717	351.0
TS11.298996	21.1158	987.052631579	378.0
TS110.2.299101	21.49083	600.117647059	305.0
TS110.299019	23.3666	689.875	386.0
TS111.2.298964	28.8254	969.633802817	439.0
TS111.299174	29.96167	1111.67605634	463.0
TS115.2.299043	28.85917	976.720430108	488.0
TS115.298998	28.51016	1031.18181818	468.0
TS116.2.299078	28.22976	1140.30434783	464.0
TS116.299165	27.50707	1075.44897959	383.0
TS117.2.299030	25.25405	1316.01492537	471.0
TS117.298949	26.56628	907.866666667	475.0
TS118.2.298966	26.73866	1271.93333333	499.0
TS118.299163	22.62361	912.0	379.0
TS119.2.299032	24.97504	962.925925926	442.0
TS119.299110	23.47188	838.615384615	375.0
TS12.2.299176	21.14517	869.15625	375.0
TS12.299104	21.22629	828.48	383.0
TS120.2.299136	28.65203	1240.78571429	484.0
TS124.2.299092	20.03149	649.56	298.0
TS124.298945	24.13279	998.666666667	405.0
TS125.2.299067	23.30395	1024.31818182	424.0
TS125.298984	22.54568	831.8	380.0
TS126.2.298986	24.18942	736.5	355.0
TS126.299046	26.5254	1012.66129032	405.0
TS127.2.299143	28.35294	1112.54216867	486.0
TS127.299133	29.78051	1122.0	484.0
TS128.2.299216	28.28224	1296.72058824	474.0
TS128.299117	25.67709	948.067567568	424.0
TS129.2.299037	23.89749	878.35	372.0
TS129.299204	28.20431	1184.58441558	471.0
TS13.2.298954	27.14768	1057.97101449	438.0
TS13.299018	27.9684	1197.27631579	483.0
TS130.2.298955	16.9712	732.081081081	282.0
TS130.299178	15.90597	764.5	287.0
TS131.2.298993	20.65019	914.342465753	402.0
TS131.299040	22.42133	1099.83823529	427.0
TS132.2.299033	26.70963	1167.68	470.0
TS132.299044	23.28057	1080.05970149	424.0
TS133.2.299076	23.13014	1059.18181818	394.0
TS133.299149	25.52843	1237.23076923	452.0
TS134.2.298989	23.79054	984.084507042	430.0
TS134.299196	25.91121	1236.55384615	466.0
TS135.2.299222	23.69902	1107.41666667	409.0
TS135.299142	24.63041	961.5	439.0
TS136.2.298983	31.04099	1248.01351351	492.0
TS136.299091	32.31333	1592.0	577.0
TS137.2.299107	27.36043	1133.60273973	469.0
TS137.298959	25.05265	1109.01666667	425.0
TS138.2.299162	24.41141	1026.88888889	447.0
TS138.299141	26.16651	1157.87912088	502.0
TS139.2.299031	25.87421	1414.79710145	499.0
TS139.299195	26.42041	1199.81818182	460.0
TS14.299212	25.48745	1155.56451613	437.0
TS140.2.299087	23.3036	757.277777778	347.0
TS140.298995	25.8195	951.947368421	438.0
TS141.2.299017	28.14003	1319.14285714	491.0
TS141.299084	25.57309	1096.69230769	425.0
TS142.2.298963	22.80173	986.037735849	375.0
TS142.299170	26.51689	1262.56338028	484.0
TS143.2.299034	26.50251	1244.98507463	464.0
TS143.299098	27.43313	1239.44155844	491.0
TS144.2.299166	25.20812	1048.94285714	442.0
TS144.298946	25.35513	1001.14285714	423.0
TS145.2.299151	22.91474	646.775862069	324.0
TS145.298950	21.73131	806.178082192	390.0
TS146.2.299211	25.61269	1117.35294118	384.0
TS146.299014	26.4526	835.779411765	389.0
TS147.2.299003	27.97695	1150.78125	450.0
TS147.299111	25.15607	1143.71830986	456.0
TS148.299000	23.42205	994.25	351.0
TS149.298994	23.84289	947.633802817	417.0
TS15.2.299128	23.05448	888.474576271	386.0
TS15.299020	26.7226	1019.63076923	423.0
TS150.299173	24.15208	1150.83783784	474.0
TS151.2.298991	24.68263	823.436619718	399.0
TS151.299215	26.54688	1128.86842105	474.0
TS152.2.299097	28.1447	1057.20547945	451.0
TS152.299135	23.67892	993.103448276	390.0
TS153.299184	26.76631	1406.44444444	470.0
TS154.2.299022	26.00083	764.786885246	359.0
TS155.2.298990	27.48739	825.169491525	371.0
TS155.299082	22.30983	747.56	317.0
TS156.2.299036	28.41946	987.789473684	444.0
TS156.299155	27.01492	904.12987013	429.0
TS16.299068	24.60676	963.925925926	443.0
TS160.2.299131	22.49527	900.857142857	354.0
TS160.298976	23.65812	877.25862069	391.0
TS161.299188	20.95858	864.040540541	402.0
TS162.2.299140	16.43975	642.319148936	288.0
TS162.299124	17.29381	547.553571429	288.0
TS163.2.299114	21.77038	920.275862069	375.0
TS163.299072	23.69111	1126.3559322	421.0
TS164.2.299007	21.34251	648.043478261	345.0
TS164.299125	19.61791	528.967741935	300.0
TS165.2.299138	25.65269	562.447761194	322.0
TS165.298951	27.409	710.842105263	344.0
TS166.2.298980	23.5468	1062.35	416.0
TS166.299085	23.64221	1180.18181818	413.0
TS167.2.299004	27.35513	1262.65384615	440.0
TS167.299073	27.9593	1193.09230769	461.0
TS168.2.298985	25.52971	1002.01408451	440.0
TS168.299115	27.86927	1166.34615385	483.0
TS169.2.298975	30.80371	1356.51219512	533.0
TS169.298977	31.33067	1388.0	530.0
TS170.2.299205	24.83657	963.157894737	395.0
TS178.2.299168	26.28461	1266.35849057	437.0
TS178.299126	21.09999	775.111111111	329.0
TS179.2.299016	25.45839	1091.5	419.0
TS179.298987	25.6888	1128.01587302	435.0
TS180.299063	22.15752	695.164179104	355.0
TS181.2.299083	22.34639	888.269230769	355.0
TS181.299047	25.24812	1031.3943662	433.0
TS182.2.299113	27.87224	1246.28947368	488.0
TS182.299201	25.43191	1159.08064516	426.0
