# Constructed from biom file
#OTU ID	TS1.2.299121	TS1.299139	TS10.299123	TS100.2.298944	TS100.298999	TS101.2.299207	TS103.2.299213	TS103.299049	TS104.299154	TS105.2.299038	TS105.299210	TS106.2.299179	TS106.299035	TS107.2.298960	TS107.299042	TS109.2.299100	TS109.299099	TS11.2.299208	TS11.298996	TS110.2.299101	TS110.299019	TS111.2.298964	TS111.299174	TS115.2.299043	TS115.298998	TS116.2.299078	TS116.299165	TS117.2.299030	TS117.298949	TS118.2.298966	TS118.299163	TS119.2.299032	TS119.299110	TS12.2.299176	TS12.299104	TS120.2.299136	TS124.2.299092	TS124.298945	TS125.2.299067	TS125.298984	TS126.2.298986	TS126.299046	TS127.2.299143	TS127.299133	TS128.2.299216	TS128.299117	TS129.2.299037	TS129.299204	TS13.2.298954	TS13.299018	TS130.2.298955	TS130.299178	TS131.2.298993	TS131.299040	TS132.2.299033	TS132.299044	TS133.2.299076	TS133.299149	TS134.2.298989	TS134.299196	TS135.2.299222	TS135.299142	TS136.2.298983	TS136.299091	TS137.2.299107	TS137.298959	TS138.2.299162	TS138.299141	TS139.2.299031	TS139.299195	TS14.299212	TS140.2.299087	TS140.298995	TS141.2.299017	TS141.299084	TS142.2.298963	TS142.299170	TS143.2.299034	TS143.299098	TS144.2.299166	TS144.298946	TS145.2.299151	TS145.298950	TS146.2.299211	TS146.299014	TS147.2.299003	TS147.299111	TS148.299000	TS149.298994	TS15.2.299128	TS15.299020	TS150.299173	TS151.2.298991	TS151.299215	TS152.2.299097	TS152.299135	TS153.299184	TS154.2.299022	TS155.2.298990	TS155.299082	TS156.2.299036	TS156.299155	TS16.299068	TS160.2.299131	TS160.298976	TS161.299188	TS162.2.299140	TS162.299124	TS163.2.299114	TS163.299072	TS164.2.299007	TS164.299125	TS165.2.299138	TS165.298951	TS166.2.298980	TS166.299085	TS167.2.299004	TS167.299073	TS168.2.298985	TS168.299115	TS169.2.298975	TS169.298977	TS170.2.299205	TS178.2.299168	TS178.299126	TS179.2.299016	TS179.298987	TS180.299063	TS181.2.299083	TS181.299047	TS182.2.299113	TS182.299201	TS183.2.299060	TS183.298979	TS184.299203	TS185.2.298957	TS185.299148	TS186.299199	TS19.2.298956	TS19.298958	TS190.299218	TS191.299146	TS192.299012	TS193.2.299051	TS193.299075	TS194.2.299056	TS194.299181	TS195.2.298978	TS195.299150	TS2.2.299116	TS2.299130	TS20.2.299090	TS20.299059	TS21.2.299079	TS21.299189	TS22.299221	TS23.299159	TS25.2.299001	TS25.299024	TS26.2.299028	TS26.299185	TS27.2.299025	TS27.299223	TS28.299120	TS29.298974	TS3.2.299103	TS3.298967	TS30.2.299050	TS30.298973	TS31.2.299187	TS31.299055	TS32.2.298970	TS32.299074	TS33.2.299054	TS33.299224	TS34.299217	TS35.298981	TS37.2.299096	TS37.299147	TS38.2.299081	TS38.298997	TS39.2.299009	TS39.299167	TS4.2.298988	TS4.299175	TS43.299095	TS49.2.299169	TS49.298982	TS5.2.298961	TS5.299045	TS50.2.299158	TS50.299027	TS51.2.299062	TS51.299145	TS55.2.298952	TS55.298947	TS56.2.299192	TS56.299021	TS57.2.299112	TS57.299197	TS6.2.299094	TS6.299086	TS61.2.299186	TS62.2.299088	TS62.299066	TS63.2.299109	TS63.299005	TS64.2.299164	TS64.299137	TS65.2.299065	TS65.299182	TS66.2.299157	TS66.299194	TS67.2.299127	TS68.2.298971	TS68.299202	TS69.2.298972	TS69.299058	TS7.2.299010	TS7.299061	TS70.2.299052	TS70.299093	TS71.2.299080	TS71.298968	TS72.299209	TS73.299077	TS74.2.299132	TS74.299177	TS75.2.298948	TS75.299153	TS76.2.299161	TS76.299071	TS77.299105	TS78.2.299070	TS78.299102	TS8.299198	TS82.2.299057	TS82.299048	TS83.2.299171	TS83.299134	TS84.2.298962	TS84.299191	TS85.2.299119	TS85.299053	TS86.2.299219	TS86.299064	TS87.2.298965	TS87.299172	TS88.2.299002	TS88.299013	TS89.2.299023	TS89.299011	TS9.2.298969	TS9.299144	TS90.2.299200	TS90.298953	TS91.2.299008	TS92.2.299118	TS92.299206	TS94.2.299160	TS94.299193	TS95.2.299006	TS95.299180	TS96.2.299214	TS96.299089	TS97.2.299190	TS97.299015	TS98.2.299041	TS98.299220	TS99.2.299069
k__Bacteria;p__Actinobacteria	0.001	0.002	0.015	0.01	0.002	0.002	0.0	0.003	0.001	0.0	0.002	0.02	0.005	0.05	0.029	0.002	0.0	0.003	0.003	0.001	0.003	0.004	0.013	0.028	0.023	0.029	0.04	0.005	0.017	0.042	0.004	0.014	0.013	0.008	0.014	0.029	0.006	0.002	0.077	0.014	0.013	0.01	0.002	0.005	0.012	0.009	0.001	0.005	0.004	0.001	0.011	0.0	0.002	0.007	0.031	0.015	0.003	0.001	0.005	0.013	0.0	0.002	0.011	0.003	0.004	0.002	0.009	0.007	0.005	0.019	0.023	0.002	0.002	0.002	0.001	0.008	0.056	0.003	0.02	0.009	0.006	0.002	0.0	0.003	0.002	0.006	0.007	0.001	0.004	0.003	0.001	0.012	0.002	0.0	0.005	0.0	0.002	0.031	0.005	0.015	0.01	0.003	0.001	0.002	0.002	0.004	0.0	0.001	0.0	0.001	0.003	0.001	0.007	0.014	0.028	0.001	0.061	0.003	0.003	0.009	0.02	0.003	0.008	0.062	0.141	0.024	0.095	0.0	0.003	0.004	0.009	0.002	0.01	0.003	0.023	0.001	0.003	0.004	0.025	0.002	0.007	0.001	0.001	0.002	0.002	0.001	0.001	0.003	0.004	0.008	0.033	0.0	0.0	0.016	0.005	0.014	0.01	0.004	0.001	0.028	0.001	0.036	0.016	0.0	0.002	0.004	0.002	0.007	0.0	0.0	0.003	0.01	0.001	0.098	0.003	0.013	0.007	0.025	0.004	0.04	0.023	0.017	0.0	0.001	0.002	0.024	0.022	0.017	0.009	0.027	0.062	0.031	0.045	0.171	0.003	0.002	0.0	0.0	0.0	0.0	0.019	0.003	0.006	0.004	0.0	0.002	0.001	0.0	0.003	0.001	0.001	0.002	0.0	0.001	0.006	0.001	0.005	0.011	0.055	0.008	0.0	0.001	0.002	0.002	0.004	0.004	0.006	0.005	0.001	0.0	0.004	0.001	0.061	0.001	0.032	0.0	0.003	0.001	0.007	0.005	0.012	0.002	0.0	0.002	0.0	0.011	0.007	0.013	0.004	0.001	0.0	0.006	0.008	0.001	0.003	0.002	0.021	0.029	0.008	0.01	0.011	0.001	0.003	0.016	0.007	0.007	0.01	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes	0.258	0.279	0.237	0.05	0.349	0.032	0.35	0.17	0.399	0.61	0.073	0.359	0.215	0.063	0.263	0.392	0.466	0.372	0.41	0.35	0.113	0.317	0.305	0.309	0.308	0.202	0.182	0.302	0.212	0.146	0.501	0.262	0.298	0.284	0.379	0.236	0.538	0.333	0.017	0.448	0.166	0.052	0.193	0.233	0.154	0.427	0.52	0.36	0.123	0.257	0.624	0.603	0.33	0.326	0.389	0.425	0.403	0.278	0.225	0.178	0.511	0.369	0.264	0.109	0.102	0.367	0.387	0.085	0.224	0.012	0.016	0.522	0.282	0.23	0.291	0.542	0.116	0.362	0.208	0.447	0.476	0.402	0.377	0.357	0.38	0.305	0.331	0.538	0.368	0.317	0.287	0.012	0.273	0.229	0.233	0.306	0.281	0.347	0.363	0.455	0.187	0.339	0.364	0.522	0.47	0.217	0.483	0.655	0.344	0.341	0.36	0.432	0.382	0.266	0.016	0.499	0.028	0.077	0.249	0.17	0.152	0.198	0.468	0.229	0.018	0.36	0.014	0.551	0.487	0.416	0.25	0.439	0.49	0.664	0.4	0.338	0.197	0.343	0.0	0.211	0.225	0.509	0.445	0.144	0.27	0.233	0.339	0.304	0.369	0.267	0.221	0.388	0.29	0.086	0.197	0.037	0.075	0.192	0.355	0.184	0.5	0.041	0.199	0.16	0.035	0.134	0.217	0.218	0.174	0.441	0.291	0.165	0.414	0.006	0.069	0.04	0.267	0.218	0.462	0.053	0.062	0.249	0.447	0.462	0.486	0.279	0.183	0.035	0.025	0.064	0.146	0.003	0.414	0.108	0.36	0.2	0.0	0.347	0.004	0.196	0.327	0.368	0.331	0.081	0.604	0.093	0.312	0.358	0.368	0.206	0.154	0.427	0.327	0.242	0.237	0.351	0.278	0.315	0.036	0.315	0.185	0.27	0.305	0.267	0.315	0.489	0.13	0.198	0.193	0.235	0.138	0.428	0.005	0.362	0.454	0.257	0.218	0.4	0.32	0.248	0.326	0.517	0.439	0.218	0.334	0.238	0.114	0.141	0.462	0.521	0.306	0.308	0.291	0.401	0.323	0.461	0.249	0.062	0.116	0.374	0.37	0.431	0.448	0.302	0.351	0.186	0.229	0.525	0.407	0.705
k__Bacteria;p__Cyanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.734	0.709	0.744	0.935	0.639	0.964	0.599	0.772	0.582	0.39	0.925	0.608	0.777	0.884	0.698	0.583	0.53	0.625	0.58	0.647	0.884	0.652	0.653	0.656	0.657	0.757	0.761	0.631	0.727	0.811	0.485	0.706	0.671	0.708	0.606	0.703	0.442	0.66	0.901	0.521	0.816	0.936	0.786	0.709	0.83	0.554	0.465	0.629	0.847	0.733	0.353	0.397	0.663	0.666	0.57	0.551	0.585	0.706	0.763	0.808	0.48	0.613	0.694	0.883	0.894	0.572	0.59	0.908	0.744	0.964	0.961	0.456	0.699	0.71	0.651	0.438	0.818	0.624	0.758	0.533	0.516	0.566	0.588	0.629	0.604	0.684	0.646	0.426	0.612	0.673	0.707	0.968	0.715	0.764	0.748	0.69	0.691	0.607	0.63	0.526	0.802	0.648	0.625	0.472	0.522	0.776	0.517	0.329	0.65	0.644	0.634	0.567	0.604	0.699	0.953	0.489	0.911	0.916	0.747	0.815	0.818	0.791	0.51	0.706	0.834	0.604	0.891	0.447	0.503	0.569	0.733	0.543	0.478	0.324	0.569	0.655	0.79	0.63	0.975	0.784	0.754	0.487	0.543	0.849	0.723	0.766	0.646	0.667	0.615	0.69	0.72	0.609	0.705	0.891	0.778	0.944	0.915	0.793	0.636	0.781	0.494	0.899	0.783	0.835	0.958	0.857	0.772	0.764	0.825	0.551	0.699	0.782	0.542	0.895	0.917	0.944	0.715	0.737	0.529	0.888	0.912	0.686	0.524	0.507	0.494	0.683	0.772	0.948	0.965	0.907	0.773	0.965	0.512	0.696	0.637	0.796	0.87	0.631	0.996	0.794	0.628	0.625	0.647	0.914	0.393	0.903	0.68	0.623	0.614	0.767	0.836	0.549	0.607	0.753	0.749	0.637	0.707	0.652	0.909	0.67	0.811	0.723	0.69	0.726	0.674	0.477	0.859	0.779	0.792	0.751	0.854	0.568	0.918	0.635	0.503	0.731	0.77	0.595	0.668	0.745	0.661	0.466	0.552	0.78	0.657	0.731	0.868	0.839	0.53	0.469	0.687	0.674	0.693	0.591	0.66	0.517	0.719	0.905	0.872	0.611	0.607	0.558	0.531	0.655	0.629	0.789	0.736	0.468	0.592	0.287
k__Bacteria;p__Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.001	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	0.004	0.009	0.004	0.004	0.01	0.001	0.051	0.055	0.018	0.0	0.0	0.013	0.003	0.003	0.01	0.02	0.004	0.0	0.007	0.0	0.0	0.019	0.022	0.004	0.011	0.01	0.014	0.062	0.044	0.001	0.01	0.018	0.018	0.0	0.0	0.032	0.014	0.005	0.001	0.008	0.004	0.001	0.017	0.006	0.004	0.01	0.007	0.005	0.026	0.008	0.012	0.0	0.005	0.001	0.01	0.007	0.009	0.015	0.007	0.001	0.008	0.016	0.02	0.005	0.0	0.059	0.014	0.0	0.027	0.005	0.0	0.014	0.017	0.058	0.057	0.012	0.01	0.011	0.014	0.011	0.002	0.004	0.03	0.004	0.008	0.004	0.016	0.032	0.014	0.007	0.002	0.003	0.003	0.007	0.002	0.003	0.026	0.007	0.001	0.004	0.001	0.008	0.01	0.004	0.001	0.003	0.0	0.015	0.006	0.014	0.003	0.0	0.004	0.01	0.001	0.011	0.0	0.002	0.001	0.003	0.004	0.007	0.014	0.003	0.007	0.012	0.0	0.001	0.007	0.011	0.008	0.016	0.022	0.008	0.008	0.006	0.01	0.023	0.0	0.003	0.013	0.003	0.007	0.004	0.005	0.0	0.014	0.018	0.008	0.006	0.002	0.002	0.004	0.0	0.016	0.005	0.0	0.008	0.001	0.006	0.001	0.004	0.001	0.003	0.005	0.004	0.009	0.009	0.001	0.007	0.004	0.041	0.043	0.0	0.007	0.003	0.011	0.016	0.004	0.003	0.001	0.04	0.008	0.03	0.018	0.009	0.018	0.0	0.001	0.002	0.007	0.0	0.029	0.002	0.0	0.002	0.124	0.022	0.0	0.01	0.026	0.004	0.016	0.001	0.003	0.001	0.0	0.004	0.002	0.018	0.009	0.021	0.002	0.004	0.008	0.011	0.009	0.011	0.0	0.007	0.004	0.004	0.003	0.004	0.003	0.029	0.005	0.016	0.014	0.014	0.004	0.003	0.016	0.002	0.011	0.011	0.009	0.004	0.005	0.002	0.001	0.015	0.009	0.0	0.009	0.02	0.007	0.006	0.004	0.009	0.007	0.012	0.008	0.006	0.014	0.011	0.011	0.004	0.004	0.003	0.009	0.009	0.013	0.027	0.012	0.018	0.025	0.007	0.001	0.008
k__Bacteria;p__Synergistetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.001	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.006	0.005	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.004	0.001	0.0	0.0	0.001	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.003	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.002	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.013	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
