#SampleID	Chlortetracycline	Control	Penicillin	Vancomycin	VancomycinPenicillin
SRR515153	0.112	0.516	0.122	0.128	0.122
SRR518987	0.198	0.364	0.16	0.134	0.144
SRR521172	0.128	0.458	0.14	0.1	0.174
SRR521173	0.094	0.366	0.148	0.246	0.146
SRR521174	0.108	0.156	0.458	0.136	0.142
SRR521175	0.096	0.202	0.236	0.338	0.128
SRR521176	0.102	0.138	0.216	0.45	0.094
SRR521177	0.066	0.15	0.448	0.192	0.144
SRR521178	0.08	0.142	0.484	0.178	0.116
SRR521179	0.08	0.466	0.17	0.168	0.116
SRR521180	0.136	0.142	0.148	0.464	0.11
SRR521181	0.122	0.13	0.184	0.394	0.17
SRR521182	0.154	0.152	0.138	0.408	0.148
SRR521183	0.146	0.186	0.394	0.14	0.134
SRR521184	0.154	0.21	0.106	0.39	0.14
SRR521185	0.1	0.402	0.168	0.212	0.118
SRR521186	0.114	0.402	0.194	0.182	0.108
SRR521187	0.226	0.174	0.112	0.09	0.398
SRR521188	0.104	0.14	0.486	0.134	0.136
SRR521189	0.186	0.15	0.16	0.276	0.228
SRR521190	0.09	0.144	0.474	0.182	0.11
SRR521191	0.086	0.454	0.162	0.172	0.126
SRR521192	0.158	0.204	0.21	0.322	0.106
SRR521193	0.142	0.438	0.174	0.134	0.112
SRR521194	0.142	0.45	0.138	0.132	0.138
SRR521195	0.068	0.202	0.18	0.426	0.124
SRR521196	0.088	0.14	0.49	0.18	0.102
SRR521197	0.116	0.198	0.418	0.15	0.118
SRR521198	0.104	0.152	0.34	0.246	0.158
SRR521199	0.136	0.13	0.15	0.452	0.132
SRR521200	0.098	0.204	0.488	0.122	0.088
SRR521203	0.396	0.162	0.12	0.108	0.214
SRR521205	0.224	0.11	0.102	0.2	0.364
SRR521207	0.178	0.11	0.082	0.172	0.458
SRR521210	0.478	0.124	0.098	0.156	0.144
SRR521211	0.436	0.15	0.146	0.146	0.122
SRR521212	0.332	0.112	0.12	0.142	0.294
SRR521213	0.248	0.06	0.056	0.072	0.564
SRR521214	0.238	0.104	0.082	0.082	0.494
SRR521215	0.464	0.142	0.148	0.122	0.124
SRR521219	0.362	0.124	0.132	0.098	0.284
SRR521220	0.178	0.08	0.098	0.082	0.562
SRR521221	0.386	0.132	0.174	0.15	0.158
SRR521222	0.172	0.116	0.1	0.068	0.544
SRR521225	0.394	0.128	0.128	0.158	0.192
SRR521226	0.12	0.13	0.114	0.222	0.414
SRR521227	0.138	0.172	0.132	0.212	0.346
SRR521228	0.428	0.09	0.08	0.208	0.194
SRR521250	0.122	0.234	0.27	0.198	0.176
