#SampleID	Chlortetracycline	Control	Penicillin	Vancomycin	VancomycinPenicillin
SRR515153	0.112	0.496	0.158	0.102	0.132
SRR518987	0.122	0.452	0.174	0.112	0.14
SRR521172	0.132	0.474	0.148	0.086	0.16
SRR521173	0.052	0.318	0.218	0.22	0.192
SRR521174	0.098	0.196	0.42	0.17	0.116
SRR521175	0.066	0.178	0.29	0.304	0.162
SRR521176	0.076	0.126	0.214	0.462	0.122
SRR521177	0.052	0.162	0.416	0.26	0.11
SRR521178	0.07	0.156	0.44	0.224	0.11
SRR521179	0.072	0.43	0.208	0.162	0.128
SRR521180	0.078	0.136	0.128	0.478	0.18
SRR521181	0.128	0.124	0.152	0.334	0.262
SRR521182	0.094	0.174	0.164	0.432	0.136
SRR521183	0.086	0.218	0.424	0.138	0.134
SRR521184	0.07	0.224	0.146	0.382	0.178
SRR521185	0.136	0.372	0.16	0.174	0.158
SRR521186	0.082	0.426	0.184	0.18	0.128
SRR521187	0.134	0.192	0.126	0.132	0.416
SRR521188	0.08	0.156	0.49	0.146	0.128
SRR521189	0.14	0.186	0.176	0.352	0.146
SRR521190	0.098	0.188	0.366	0.168	0.18
SRR521191	0.11	0.39	0.142	0.198	0.16
SRR521192	0.1	0.186	0.226	0.344	0.144
SRR521193	0.14	0.42	0.122	0.13	0.188
SRR521194	0.11	0.452	0.146	0.108	0.184
SRR521195	0.068	0.114	0.252	0.432	0.134
SRR521196	0.094	0.14	0.424	0.222	0.12
SRR521197	0.12	0.21	0.352	0.176	0.142
SRR521198	0.074	0.134	0.422	0.232	0.138
SRR521199	0.088	0.12	0.22	0.436	0.136
SRR521200	0.09	0.188	0.43	0.2	0.092
SRR521203	0.314	0.146	0.15	0.102	0.288
SRR521205	0.158	0.142	0.168	0.156	0.376
SRR521207	0.13	0.17	0.11	0.188	0.402
SRR521211	0.302	0.212	0.186	0.16	0.14
SRR521212	0.254	0.12	0.15	0.178	0.298
SRR521213	0.17	0.082	0.114	0.106	0.528
SRR521214	0.11	0.16	0.086	0.086	0.558
SRR521215	0.378	0.156	0.178	0.142	0.146
SRR521219	0.288	0.156	0.158	0.162	0.236
SRR521220	0.1	0.11	0.096	0.084	0.61
SRR521221	0.366	0.178	0.15	0.15	0.156
SRR521222	0.14	0.162	0.09	0.108	0.5
SRR521225	0.316	0.174	0.138	0.166	0.206
SRR521226	0.07	0.22	0.088	0.208	0.414
SRR521227	0.146	0.136	0.198	0.208	0.312
SRR521250	0.098	0.242	0.23	0.278	0.152
