#SampleID	AGE
EM058.441637	elderly
EM066.441656	elderly
EM086.441698	elderly
EM075.441644	elderly
EM086.T3.441746	elderly
EM070.441682	elderly
EM066.T3.441647	elderly
EM144.441736	elderly
EM063.441621	elderly
EM083.441666	elderly
EM083.T3.441744	elderly
EM049.441600	elderly
EM063.T3.441695	elderly
EM065.441667	elderly
EM049.T3.441671	elderly
EM053.T3.441688	elderly
EM084.441599	elderly
EM053.441738	elderly
EM047.441722	elderly
EM065.T3.441614	elderly
EM047.T3.441645	elderly
EM089.T3.441624	elderly
EM117.441609	elderly
EM090.441664	elderly
EM090.T3.441662	elderly
EM102.441633	elderly
EM089.441742	elderly
EM100.441714	elderly
EM139.441611	elderly
EM100.T3.441627	elderly
EM109.441669	elderly
EM067.441615	elderly
EM179.441612	elderly
EM222.441725	elderly
EM148.441631	elderly
EM094.T3.441588	elderly
EM095.441717	elderly
EM099.441708	elderly
EM064.441592	elderly
EM040.441709	elderly
EM073.441594	elderly
EM110.441723	elderly
EM073.T3.441721	elderly
EM085.441675	elderly
EM135.441660	elderly
EM060.441677	elderly
EM094.441640	elderly
EM060.T3.441729	elderly
EM057.T3.441589	elderly
EM082.441607	elderly
EM155.441678	elderly
EM071.441747	elderly
EM136.441650	elderly
EM082.T3.441751	elderly
EM096.441706	elderly
EM057.441605	elderly
EM062.441720	elderly
EM095.T3.441590	elderly
EM071.T3.441734	elderly
EM044.441601	elderly
EM156.441613	elderly
EM126.441679	elderly
EM081.441618	elderly
EM113.441619	elderly
EM037.441737	elderly
EM059.441715	elderly
EM036.441587	elderly
EM059.T3.441604	elderly
EM035.441593	elderly
EM043.441739	elderly
EM147.441617	elderly
EM166.441748	elderly
EM039.441743	elderly
EM160.441703	elderly
EM068.441712	elderly
EM115.441641	elderly
EM123.441687	elderly
EM079.441724	elderly
EM046.441741	elderly
EM072.441643	elderly
EM093.441602	elderly
EM052.441625	elderly
EM209.441665	elderly
EM118.441693	elderly
EM092.441616	elderly
EM093.T3.441670	elderly
EM108.441694	elderly
EM061.441673	elderly
EM077.441646	elderly
EM174.441652	elderly
EM145.441690	elderly
EM138.441753	elderly
EM107.441620	elderly
EM134.441735	elderly
EM072.T3.441632	elderly
EM074.441596	elderly
EM140.441608	elderly
EM162.441728	elderly
EM124.441697	elderly
EM141.441684	elderly
EM105.441629	elderly
EM091.441686	elderly
EM077.T3.441639	elderly
EM122.441699	elderly
EM034.441676	elderly
EM180.441692	elderly
EM142.441711	elderly
EM103.441691	elderly
EM165.441597	elderly
EM056.T3.441716	elderly
EM131.441591	elderly
EM056.441606	elderly
EM149.441655	elderly
EM161.441598	elderly
EM106.441745	elderly
EM038.441649	elderly
EM069.441700	elderly
EM173.441754	elderly
EM137.441680	elderly
EM031.441732	elderly
EM078.441658	elderly
EM129.441689	elderly
EM050.441672	elderly
EM042.441674	elderly
EM112.441630	elderly
EM133.441663	elderly
EM076.441622	elderly
EM054.441707	elderly
EM055.441603	elderly
EM080.441727	elderly
EM178.441705	elderly
EM055.T3.441626	elderly
EM054.T3.441749	elderly
EM158.441731	elderly
EM150.441648	elderly
EM088.441638	elderly
EM101.441623	elderly
EM130.441701	elderly
EM163.441642	elderly
EM032.441683	elderly
EM159.441719	elderly
EM152.441730	elderly
EM125.441659	elderly
EM168.441668	elderly
EM146.441718	elderly
EM098.T3.441740	elderly
EM098.441733	elderly
EM111.441634	elderly
EM116.441657	elderly
EM170.441651	elderly
EM151.441595	elderly
EM132.441696	elderly
EM169.441653	elderly
EM182.441681	elderly
EM183.441654	elderly
EM114.441710	elderly
EM087.441726	elderly
EM033.441685	elderly
EM167.441702	elderly
EMC04.441704	young
EMC07.441636	young
EMC05.441628	young
EMC01.441661	young
EMC02.441750	young
EMC06.441610	young
EMC03.441713	young
EMC08.441752	young
EMC09.441635	young
