#SampleID	elderly	young
EM031.441732	0.954	0.046
EM032.441683	0.946	0.054
EM033.441685	0.934	0.066
EM034.441676	0.95	0.05
EM035.441593	0.944	0.056
EM036.441587	0.966	0.034
EM037.441737	0.986	0.014
EM038.441649	0.966	0.034
EM039.441743	0.968	0.032
EM040.441709	0.988	0.012
EM042.441674	0.922	0.078
EM043.441739	0.962	0.038
EM044.441601	0.852	0.148
EM046.441741	0.962	0.038
EM047.441722	0.998	0.002
EM047.T3.441645	0.958	0.042
EM049.441600	0.98	0.02
EM049.T3.441671	0.962	0.038
EM050.441672	0.98	0.02
EM052.441625	0.99	0.01
EM053.441738	0.876	0.124
EM053.T3.441688	0.98	0.02
EM054.441707	0.994	0.006
EM054.T3.441749	0.978	0.022
EM055.441603	0.932	0.068
EM055.T3.441626	0.932	0.068
EM056.441606	0.976	0.024
EM056.T3.441716	0.982	0.018
EM057.441605	0.974	0.026
EM057.T3.441589	0.978	0.022
EM058.441637	0.95	0.05
EM059.441715	0.972	0.028
EM059.T3.441604	0.996	0.004
EM060.441677	0.992	0.008
EM060.T3.441729	0.986	0.014
EM061.441673	0.81	0.19
EM062.441720	0.946	0.054
EM063.441621	0.902	0.098
EM063.T3.441695	0.922	0.078
EM064.441592	0.906	0.094
EM065.441667	0.986	0.014
EM065.T3.441614	0.974	0.026
EM066.441656	0.986	0.014
EM066.T3.441647	0.956	0.044
EM067.441615	0.982	0.018
EM068.441712	0.988	0.012
EM069.441700	0.994	0.006
EM070.441682	0.9	0.1
EM071.441747	0.954	0.046
EM071.T3.441734	0.978	0.022
EM072.441643	0.884	0.116
EM072.T3.441632	0.97	0.03
EM073.441594	0.996	0.004
EM073.T3.441721	0.974	0.026
EM074.441596	0.944	0.056
EM075.441644	0.954	0.046
EM076.441622	0.982	0.018
EM077.441646	0.986	0.014
EM077.T3.441639	0.926	0.074
EM078.441658	0.924	0.076
EM079.441724	0.974	0.026
EM080.441727	0.97	0.03
EM081.441618	0.84	0.16
EM082.441607	0.994	0.006
EM082.T3.441751	0.978	0.022
EM083.441666	0.928	0.072
EM083.T3.441744	0.94	0.06
EM084.441599	0.972	0.028
EM085.441675	0.96	0.04
EM086.441698	0.962	0.038
EM086.T3.441746	0.956	0.044
EM087.441726	0.994	0.006
EM088.441638	0.96	0.04
EM089.441742	0.966	0.034
EM089.T3.441624	0.916	0.084
EM090.441664	0.944	0.056
EM090.T3.441662	0.966	0.034
EM091.441686	0.888	0.112
EM092.441616	0.966	0.034
EM093.441602	0.934	0.066
EM093.T3.441670	0.98	0.02
EM094.441640	0.974	0.026
EM094.T3.441588	0.986	0.014
EM095.441717	0.984	0.016
EM095.T3.441590	0.954	0.046
EM096.441706	0.97	0.03
EM098.441733	1	0
EM098.T3.441740	0.986	0.014
EM099.441708	0.966	0.034
EM100.441714	0.942	0.058
EM100.T3.441627	0.934	0.066
EM101.441623	0.944	0.056
EM102.441633	0.97	0.03
EM103.441691	0.978	0.022
EM105.441629	0.954	0.046
EM106.441745	0.988	0.012
EM107.441620	0.958	0.042
EM108.441694	0.948	0.052
EM109.441669	0.984	0.016
EM110.441723	0.988	0.012
EM111.441634	0.98	0.02
EM112.441630	0.98	0.02
EM113.441619	0.952	0.048
EM114.441710	0.98	0.02
EM115.441641	0.982	0.018
EM116.441657	0.966	0.034
EM117.441609	0.954	0.046
EM118.441693	0.96	0.04
EM122.441699	0.954	0.046
EM123.441687	0.952	0.048
EM124.441697	0.854	0.146
EM125.441659	0.94	0.06
EM126.441679	0.988	0.012
EM129.441689	0.982	0.018
EM130.441701	0.99	0.01
EM131.441591	0.99	0.01
EM132.441696	0.992	0.008
EM133.441663	0.984	0.016
EM134.441735	0.994	0.006
EM135.441660	0.994	0.006
EM136.441650	0.98	0.02
EM137.441680	0.99	0.01
EM138.441753	0.912	0.088
EM139.441611	0.992	0.008
EM140.441608	0.972	0.028
EM141.441684	0.982	0.018
EM142.441711	0.988	0.012
EM144.441736	0.976	0.024
EM145.441690	0.886	0.114
EM146.441718	0.974	0.026
EM147.441617	0.998	0.002
EM148.441631	0.91	0.09
EM149.441655	0.95	0.05
EM150.441648	0.972	0.028
EM151.441595	0.99	0.01
EM152.441730	0.954	0.046
EM155.441678	0.962	0.038
EM156.441613	0.98	0.02
EM158.441731	0.994	0.006
EM159.441719	0.982	0.018
EM160.441703	0.95	0.05
EM161.441598	1	0
EM162.441728	0.986	0.014
EM163.441642	0.92	0.08
EM165.441597	0.988	0.012
EM166.441748	0.996	0.004
EM167.441702	1	0
EM168.441668	0.976	0.024
EM169.441653	0.994	0.006
EM170.441651	0.998	0.002
EM173.441754	0.988	0.012
EM174.441652	0.984	0.016
EM178.441705	0.972	0.028
EM179.441612	0.966	0.034
EM180.441692	0.996	0.004
EM182.441681	0.98	0.02
EM183.441654	0.978	0.022
EM209.441665	0.984	0.016
EM222.441725	0.968	0.032
EMC01.441661	0.572	0.428
EMC02.441750	0.766	0.234
EMC03.441713	0.81	0.19
EMC04.441704	0.478	0.522
EMC05.441628	0.648	0.352
EMC06.441610	0.648	0.352
EMC07.441636	0.862	0.138
EMC08.441752	0.776	0.224
EMC09.441635	0.65	0.35
