Feature_id	Mean_decrease_in_accuracy	Standard_deviation
1820513	0.00227325008278094	NA
193008	0.00210169207111254	NA
514272	0.000553038742491075	NA
189630	0.000461264661264661	NA
176014	0.000392755583135257	NA
179644	0.000356897724315757	NA
363519	0.000353110796689616	NA
185190	0.000340816673652495	NA
122656	0.000338254419655662	NA
167741	0.000303787169995525	NA
187998	0.000274786201396909	NA
197204	0.000272474227049178	NA
2877094	0.000268130428271938	NA
174611	0.000266147490942573	NA
361722	0.000262060877044836	NA
187835	0.000259138256490206	NA
4217963	0.000247290100250627	NA
232975	0.000207721704346584	NA
361811	0.000202419108669109	NA
319996	0.000196825396825397	NA
186775	0.00019171176046176	NA
184114	0.000189546654062783	NA
359993	0.000174326842747895	NA
3856408	0.000167002959375841	NA
661266	0.000166997683643882	NA
4418496	0.000164254385964912	NA
194868	0.000160555131143366	NA
187199	0.000158260019550342	NA
179534	0.000155126009297773	NA
291982	0.000141022638563622	NA
198119	0.000138301043219076	NA
279534	0.000136762127410871	NA
70512	0.000135632183908046	NA
340761	0.000133333333333333	NA
189828	0.000127064180531261	NA
184810	0.000125264455984342	NA
185486	0.000125030525030525	NA
4212012	0.000120361990950226	NA
294885	0.000113480885311871	NA
178541	0.00010978835978836	NA
3638321	0.000105461100695526	NA
1698008	0.000103174603174603	NA
4413347	0.000103030303030303	NA
4435655	0.000101358234295416	NA
187665	0.000101243913572733	NA
1766666	0.000100711548987411	NA
366352	9.87468671679198e-05	NA
180606	9.67741935483871e-05	NA
197897	9.62789487379651e-05	NA
2617854	9.60212201591512e-05	NA
182261	9.42752106931211e-05	NA
186139	9.42460317460317e-05	NA
193666	9.32844932844933e-05	NA
199534	9.23076923076923e-05	NA
359044	9.08050730631376e-05	NA
365496	8.95927601809955e-05	NA
3023610	8.95915678524374e-05	NA
175438	8.78705066218205e-05	NA
353149	7.65831179520517e-05	NA
189007	7.56917205236183e-05	NA
343709	7.40740740740741e-05	NA
2224336	7.23598435462842e-05	NA
194326	7.15197956577267e-05	NA
179358	7.14285714285714e-05	NA
351292	6.89655172413793e-05	NA
348009	6.89655172413793e-05	NA
179665	6.89655172413793e-05	NA
4300690	6.85011709601873e-05	NA
560535	6.77966101694915e-05	NA
360946	6.77966101694915e-05	NA
360268	6.77966101694915e-05	NA
176469	6.77966101694915e-05	NA
312770	6.73457838143746e-05	NA
4454586	6.68337510442774e-05	NA
177032	6.67408231368187e-05	NA
315429	6.62287903667214e-05	NA
184084	6.6120218579235e-05	NA
313672	6.55737704918033e-05	NA
187248	6.55737704918033e-05	NA
178342	6.55737704918033e-05	NA
4015729	6.55737704918033e-05	NA
179692	6.45161290322581e-05	NA
176833	6.45161290322581e-05	NA
2647328	6.45161290322581e-05	NA
4435664	6.45161290322581e-05	NA
183480	6.41025641025641e-05	NA
2201995	6.34920634920635e-05	NA
3929758	6.34920634920635e-05	NA
3991008	6.34920634920635e-05	NA
308333	6.25e-05	NA
249776	6.15530303030303e-05	NA
318348	6.15384615384615e-05	NA
186992	6.15384615384615e-05	NA
3141094	6.15384615384615e-05	NA
4376964	6.15384615384615e-05	NA
863612	6.11577964519141e-05	NA
193534	6.11577964519141e-05	NA
183604	5.97014925373134e-05	NA
4250634	4e-05	NA
338987	3.96275960849845e-05	NA
213762	3.84615384615385e-05	NA
177561	3.84615384615385e-05	NA
177600	3.77155172413793e-05	NA
191025	3.63636363636364e-05	NA
361927	3.57142857142857e-05	NA
187324	3.57142857142857e-05	NA
107044	3.57142857142857e-05	NA
585914	3.56341673856773e-05	NA
551822	3.55835757178898e-05	NA
180903	3.54166666666667e-05	NA
988542	3.50877192982456e-05	NA
319681	3.50877192982456e-05	NA
296298	3.50877192982456e-05	NA
186866	3.50877192982456e-05	NA
4073431	3.50877192982456e-05	NA
4360128	3.50877192982456e-05	NA
336043	3.44827586206897e-05	NA
192339	3.44827586206897e-05	NA
185140	3.44827586206897e-05	NA
184525	3.44827586206897e-05	NA
181171	3.44827586206897e-05	NA
149131	3.44827586206897e-05	NA
1952	3.44827586206897e-05	NA
4385326	3.44827586206897e-05	NA
4393568	3.44827586206897e-05	NA
199034	3.42298866889031e-05	NA
176660	3.42130987292278e-05	NA
851323	3.38983050847458e-05	NA
389371	3.38983050847458e-05	NA
325213	3.38983050847458e-05	NA
296717	3.38983050847458e-05	NA
195066	3.38983050847458e-05	NA
192735	3.38983050847458e-05	NA
146672	3.38983050847458e-05	NA
4299126	3.38983050847458e-05	NA
4390593	3.38983050847458e-05	NA
4420408	3.38983050847458e-05	NA
235262	3.38277387457715e-05	NA
186891	3.35808158388804e-05	NA
354850	3.33333333333333e-05	NA
268124	3.33333333333333e-05	NA
4323393	3.33333333333333e-05	NA
4453609	3.33333333333333e-05	NA
4039230	3.31890331890332e-05	NA
564140	3.27868852459016e-05	NA
370099	3.27868852459016e-05	NA
358265	3.27868852459016e-05	NA
353124	3.27868852459016e-05	NA
314996	3.27868852459016e-05	NA
287790	3.27868852459016e-05	NA
205241	3.27868852459016e-05	NA
193786	3.27868852459016e-05	NA
192945	3.27868852459016e-05	NA
189677	3.27868852459016e-05	NA
188985	3.27868852459016e-05	NA
2307695	3.27868852459016e-05	NA
4354042	3.27868852459016e-05	NA
4374780	3.27868852459016e-05	NA
4464173	3.27868852459016e-05	NA
1139021	3.27088908712459e-05	NA
197649	3.2258064516129e-05	NA
195757	3.2258064516129e-05	NA
191332	3.2258064516129e-05	NA
188832	3.2258064516129e-05	NA
187882	3.2258064516129e-05	NA
182674	3.2258064516129e-05	NA
181111	3.2258064516129e-05	NA
176806	3.2258064516129e-05	NA
1782947	3.2258064516129e-05	NA
3475269	3.2258064516129e-05	NA
3579707	3.2258064516129e-05	NA
4232045	3.2258064516129e-05	NA
362997	3.17460317460317e-05	NA
359809	3.17460317460317e-05	NA
320322	3.17460317460317e-05	NA
315589	3.17460317460317e-05	NA
309929	3.17460317460317e-05	NA
307984	3.17460317460317e-05	NA
185001	3.17460317460317e-05	NA
183703	3.17460317460317e-05	NA
1751298	3.17460317460317e-05	NA
4439396	3.17460317460317e-05	NA
575041	3.125e-05	NA
189384	3.125e-05	NA
179362	3.125e-05	NA
148722	3.125e-05	NA
4356080	3.125e-05	NA
335906	3.10910118711136e-05	NA
312986	3.07692307692308e-05	NA
212532	3.07692307692308e-05	NA
180082	3.07692307692308e-05	NA
177581	3.07692307692308e-05	NA
1733364	3.07692307692308e-05	NA
3940440	3.07692307692308e-05	NA
4426298	3.07692307692308e-05	NA
4478125	3.07692307692308e-05	NA
309433	3.03030303030303e-05	NA
196632	3.03030303030303e-05	NA
151870	3.03030303030303e-05	NA
4339144	3.03030303030303e-05	NA
342844	2.98507462686567e-05	NA
308860	2.98507462686567e-05	NA
229533	2.98507462686567e-05	NA
174846	2.98507462686567e-05	NA
916621	2.98507462686567e-05	NA
186321	2.94284097340124e-05	NA
363035	2.94117647058824e-05	NA
165118	2.94117647058824e-05	NA
189250	2.89855072463768e-05	NA
4372578	2.89855072463768e-05	NA
187751	2.86016949152542e-05	NA
4004993	2.8169014084507e-05	NA
182224	2.74429173281005e-05	NA
4381430	2.37901402080507e-05	NA
370225	1.22033898305085e-05	NA
323325	4.31848852901484e-06	NA
772282	4.21545667447307e-06	NA
180185	4.17972831765935e-06	NA
349431	3.7037037037037e-06	NA
330294	3.23275862068965e-06	NA
243150	2.40731824747232e-06	NA
3826120	1.44300144300144e-06	NA
348406	1.18941421349985e-06	NA
307661	1.14942528735632e-06	NA
1111294	0	NA
1110988	0	NA
1110378	0	NA
1110312	0	NA
1108422	0	NA
1107027	0	NA
1106862	0	NA
1105552	0	NA
1105486	0	NA
1105454	0	NA
1105343	0	NA
1099710	0	NA
1094991	0	NA
1078587	0	NA
1076818	0	NA
1073276	0	NA
1066431	0	NA
1062061	0	NA
1053898	0	NA
1040889	0	NA
1035532	0	NA
1035392	0	NA
1029949	0	NA
1016598	0	NA
999046	0	NA
989579	0	NA
988932	0	NA
988375	0	NA
976470	0	NA
975306	0	NA
971907	0	NA
967427	0	NA
953855	0	NA
941096	0	NA
930873	0	NA
929836	0	NA
927550	0	NA
918242	0	NA
916143	0	NA
905774	0	NA
899714	0	NA
888300	0	NA
878104	0	NA
874627	0	NA
868615	0	NA
866280	0	NA
860192	0	NA
858999	0	NA
851715	0	NA
851704	0	NA
850905	0	NA
850841	0	NA
850462	0	NA
850066	0	NA
846464	0	NA
846386	0	NA
846141	0	NA
845291	0	NA
844589	0	NA
844006	0	NA
843553	0	NA
843459	0	NA
843454	0	NA
842786	0	NA
842596	0	NA
841907	0	NA
840914	0	NA
840291	0	NA
839200	0	NA
833458	0	NA
828483	0	NA
827702	0	NA
823634	0	NA
817140	0	NA
813217	0	NA
806852	0	NA
804526	0	NA
797229	0	NA
791522	0	NA
782953	0	NA
780650	0	NA
777667	0	NA
772384	0	NA
769075	0	NA
766113	0	NA
752584	0	NA
746679	0	NA
743396	0	NA
739826	0	NA
725212	0	NA
721569	0	NA
712677	0	NA
708680	0	NA
701221	0	NA
696563	0	NA
688701	0	NA
687940	0	NA
687245	0	NA
686972	0	NA
682726	0	NA
659361	0	NA
647215	0	NA
646411	0	NA
644244	0	NA
642922	0	NA
641783	0	NA
636296	0	NA
628226	0	NA
621829	0	NA
621472	0	NA
621166	0	NA
606927	0	NA
594119	0	NA
593868	0	NA
593422	0	NA
593043	0	NA
592913	0	NA
592649	0	NA
592616	0	NA
592139	0	NA
591818	0	NA
591785	0	NA
591671	0	NA
591635	0	NA
591439	0	NA
591118	0	NA
589989	0	NA
589622	0	NA
589329	0	NA
589071	0	NA
588929	0	NA
588471	0	NA
588216	0	NA
588197	0	NA
587933	0	NA
587269	0	NA
587041	0	NA
586968	0	NA
586525	0	NA
586517	0	NA
586453	0	NA
586271	0	NA
585989	0	NA
585756	0	NA
585480	0	NA
585227	0	NA
585220	0	NA
584978	0	NA
584951	0	NA
584541	0	NA
584484	0	NA
584375	0	NA
584263	0	NA
584107	0	NA
584001	0	NA
583974	0	NA
583958	0	NA
583746	0	NA
583656	0	NA
583590	0	NA
583500	0	NA
583398	0	NA
583256	0	NA
583134	0	NA
583117	0	NA
583089	0	NA
581814	0	NA
581782	0	NA
581201	0	NA
581079	0	NA
581003	0	NA
580629	0	NA
580421	0	NA
580305	0	NA
580121	0	NA
580090	0	NA
579608	0	NA
579541	0	NA
579452	0	NA
578960	0	NA
578857	0	NA
578207	0	NA
578147	0	NA
578016	0	NA
577380	0	NA
577294	0	NA
577228	0	NA
577170	0	NA
576712	0	NA
576221	0	NA
575557	0	NA
575335	0	NA
574585	0	NA
574122	0	NA
573110	0	NA
573068	0	NA
572889	0	NA
572860	0	NA
572751	0	NA
572750	0	NA
572476	0	NA
572130	0	NA
571992	0	NA
571642	0	NA
571406	0	NA
571178	0	NA
571165	0	NA
571111	0	NA
570507	0	NA
569244	0	NA
569017	0	NA
568118	0	NA
567974	0	NA
567960	0	NA
566976	0	NA
566243	0	NA
565357	0	NA
565289	0	NA
564961	0	NA
564941	0	NA
564849	0	NA
564806	0	NA
564704	0	NA
564581	0	NA
564400	0	NA
564320	0	NA
564188	0	NA
563803	0	NA
563572	0	NA
562376	0	NA
562244	0	NA
562038	0	NA
561607	0	NA
560836	0	NA
560465	0	NA
560336	0	NA
559659	0	NA
559527	0	NA
559302	0	NA
559204	0	NA
558839	0	NA
558599	0	NA
558444	0	NA
558420	0	NA
557978	0	NA
