#SampleID	elderly	young
EM031.441732	0.966	0.034
EM032.441683	0.878	0.122
EM033.441685	0.964	0.036
EM034.441676	0.92	0.08
EM035.441593	0.956	0.044
EM036.441587	0.958	0.042
EM037.441737	0.978	0.022
EM038.441649	0.944	0.056
EM039.441743	0.984	0.016
EM040.441709	0.978	0.022
EM042.441674	0.944	0.056
EM043.441739	0.958	0.042
EM044.441601	0.956	0.044
EM046.441741	0.98	0.02
EM047.441722	0.994	0.006
EM047.T3.441645	0.96	0.04
EM049.441600	0.958	0.042
EM049.T3.441671	0.97	0.03
EM050.441672	0.99	0.01
EM052.441625	0.962	0.038
EM053.441738	0.918	0.082
EM053.T3.441688	0.966	0.034
EM054.441707	0.988	0.012
EM054.T3.441749	0.976	0.024
EM055.441603	0.96	0.04
EM055.T3.441626	0.968	0.032
EM056.441606	0.98	0.02
EM056.T3.441716	0.972	0.028
EM057.441605	0.942	0.058
EM057.T3.441589	0.988	0.012
EM058.441637	0.94	0.06
EM059.441715	0.96	0.04
EM059.T3.441604	0.994	0.006
EM060.441677	0.988	0.012
EM060.T3.441729	0.95	0.05
EM061.441673	0.938	0.062
EM062.441720	0.958	0.042
EM063.441621	0.956	0.044
EM063.T3.441695	0.952	0.048
EM064.441592	0.934	0.066
EM065.441667	0.978	0.022
EM065.T3.441614	0.974	0.026
EM066.441656	0.97	0.03
EM066.T3.441647	0.954	0.046
EM067.441615	0.99	0.01
EM068.441712	1	0
EM069.441700	0.978	0.022
EM070.441682	0.946	0.054
EM071.441747	0.972	0.028
EM071.T3.441734	0.966	0.034
EM072.441643	0.954	0.046
EM072.T3.441632	0.932	0.068
EM073.441594	0.966	0.034
EM073.T3.441721	0.974	0.026
EM074.441596	0.912	0.088
EM075.441644	0.966	0.034
EM076.441622	0.966	0.034
EM077.441646	0.95	0.05
EM077.T3.441639	0.924	0.076
EM078.441658	0.936	0.064
EM079.441724	0.974	0.026
EM080.441727	0.968	0.032
EM081.441618	0.886	0.114
EM082.441607	0.978	0.022
EM082.T3.441751	0.984	0.016
EM083.441666	0.916	0.084
EM083.T3.441744	0.944	0.056
EM084.441599	0.968	0.032
EM085.441675	0.98	0.02
EM086.441698	0.948	0.052
EM086.T3.441746	0.918	0.082
EM087.441726	0.986	0.014
EM088.441638	0.96	0.04
EM089.441742	0.948	0.052
EM089.T3.441624	0.93	0.07
EM090.441664	0.964	0.036
EM090.T3.441662	0.954	0.046
EM091.441686	0.902	0.098
EM092.441616	0.95	0.05
EM093.441602	0.962	0.038
EM093.T3.441670	0.968	0.032
EM094.441640	0.922	0.078
EM094.T3.441588	0.928	0.072
EM095.441717	0.914	0.086
EM095.T3.441590	0.962	0.038
EM096.441706	0.95	0.05
EM098.441733	0.986	0.014
EM098.T3.441740	0.98	0.02
EM099.441708	0.956	0.044
EM100.441714	0.962	0.038
EM100.T3.441627	0.932	0.068
EM101.441623	0.954	0.046
EM102.441633	0.984	0.016
EM103.441691	0.982	0.018
EM105.441629	0.954	0.046
EM106.441745	0.98	0.02
EM107.441620	0.954	0.046
EM108.441694	0.96	0.04
EM109.441669	0.97	0.03
EM110.441723	0.97	0.03
EM111.441634	0.964	0.036
EM112.441630	0.962	0.038
EM113.441619	0.936	0.064
EM114.441710	0.974	0.026
EM115.441641	0.976	0.024
EM116.441657	0.972	0.028
EM117.441609	0.954	0.046
EM118.441693	0.944	0.056
EM122.441699	0.96	0.04
EM123.441687	0.948	0.052
EM124.441697	0.918	0.082
EM125.441659	0.96	0.04
EM126.441679	0.968	0.032
EM129.441689	0.966	0.034
EM130.441701	0.994	0.006
EM131.441591	0.974	0.026
EM132.441696	0.988	0.012
EM133.441663	0.96	0.04
EM134.441735	0.978	0.022
EM135.441660	0.986	0.014
EM136.441650	0.982	0.018
EM137.441680	0.986	0.014
EM138.441753	0.942	0.058
EM139.441611	0.98	0.02
EM140.441608	0.978	0.022
EM141.441684	0.99	0.01
EM142.441711	0.96	0.04
EM144.441736	0.962	0.038
EM145.441690	0.918	0.082
EM146.441718	0.964	0.036
EM147.441617	0.994	0.006
EM148.441631	0.93	0.07
EM149.441655	0.922	0.078
EM150.441648	0.974	0.026
EM151.441595	0.966	0.034
EM152.441730	0.946	0.054
EM155.441678	0.956	0.044
EM156.441613	0.98	0.02
EM158.441731	0.98	0.02
EM159.441719	0.992	0.008
EM160.441703	0.958	0.042
EM162.441728	0.984	0.016
EM163.441642	0.922	0.078
EM165.441597	0.976	0.024
EM166.441748	0.984	0.016
EM167.441702	0.978	0.022
EM168.441668	0.956	0.044
EM169.441653	0.96	0.04
EM170.441651	0.984	0.016
EM173.441754	0.984	0.016
EM174.441652	0.99	0.01
EM178.441705	0.992	0.008
EM179.441612	0.976	0.024
EM180.441692	0.998	0.002
EM182.441681	0.992	0.008
EM183.441654	0.972	0.028
EM209.441665	0.99	0.01
EM222.441725	0.966	0.034
EMC01.441661	0.74	0.26
EMC02.441750	0.838	0.162
EMC03.441713	0.924	0.076
EMC04.441704	0.804	0.196
EMC05.441628	0.846	0.154
EMC06.441610	0.78	0.22
EMC07.441636	0.924	0.076
EMC08.441752	0.878	0.122
EMC09.441635	0.826	0.174
