Feature_id	Mean_decrease_in_accuracy	Standard_deviation
1820513	0.00148470188635323	0.000402353240885908
193008	0.00137780525476736	0.000587171169239637
514272	0.000347727232680211	0.000189404172578793
361722	0.000326837430456406	0.000262022416183951
167741	0.000289166570115742	0.000306255363521193
189007	0.0002363772654109	0.000181435016978951
179644	0.000234881813379005	0.000151195683443351
189630	0.000206642788144237	0.000151332839670855
319996	0.000200992510691959	0.000217535823873385
179692	0.000200547918156081	0.000201649771980993
176014	0.000189558346286714	0.000188593815715818
307661	0.000185083353411899	0.000113530301795793
197204	0.000163287682025055	0.000231967979302044
188706	0.000162755248021532	0.000168446579190011
359044	0.000157049944042087	0.000174644810905468
329820	0.000152578837524094	9.94042418082512e-05
189679	0.000136478646401047	0.000105916979765946
185190	0.000134106157643396	0.000128124150992602
4435655	0.000132813278669958	0.000149462372645022
340761	0.000129649143453122	6.32447492954046e-05
299419	0.00012665317685298	0.00014890836058265
186139	0.000126008166456593	0.000118232178543738
175438	0.000125560054282714	6.0595970595587e-05
2877094	0.000122710256626268	0.000134991458869079
4478125	0.000121644174887286	0.000119230028500822
291982	0.000119738793810351	0.000117298666778411
4299126	0.00011696347463891	9.77318623244273e-05
184114	0.000114829512335374	0.000111311397632351
187998	0.000112429560828906	0.000113639757582661
232975	0.000111073485239848	0.000109603467469601
70512	0.000110690776359025	9.88880211927752e-05
195882	0.000107794920278922	0.000186347761712309
363519	0.000107460492987986	0.000109063674682038
174323	0.000105509874184965	8.63156175446129e-05
2617854	0.000104531597434769	0.000145458923634037
360268	0.000103468104883391	9.22066990818165e-05
3638321	0.000101832149040028	0.000122532100917586
193666	0.000100771734590066	9.19974253474654e-05
189828	9.98991083480772e-05	0.000106475704971326
186775	9.50387143884689e-05	6.5325407515634e-05
185001	9.43594918366328e-05	9.38739981969925e-05
3232988	9.23867466987404e-05	9.66928132551664e-05
122656	9.15264999620271e-05	8.62149274785651e-05
661266	9.09857438747626e-05	0.000119653117731751
294885	8.76644598356383e-05	9.08692623818318e-05
187199	8.57391016879088e-05	7.4668178790029e-05
187388	8.40297049661882e-05	9.62106896817066e-05
4073431	8.2414672487279e-05	0.000109114857664493
174611	8.13223620654597e-05	0.000128133944689965
307984	7.96817771809261e-05	9.20982695895634e-05
365496	7.90926953255211e-05	0.000101555223769399
4217963	7.1844561203514e-05	0.000113809533230033
3991008	7.06155549787288e-05	7.30206809472281e-05
198788	7.01569772313902e-05	8.45483869186611e-05
313672	6.98818636980263e-05	7.29719103577185e-05
199034	6.89188711410491e-05	5.08003965600175e-05
187835	6.61822918224512e-05	6.98453273984108e-05
279534	6.60152894317368e-05	0.000105119222519976
194868	6.31054597751512e-05	0.000117592104560107
3856408	6.22742340554129e-05	0.000116876665629355
185486	6.18894997471021e-05	8.23221682739567e-05
179358	6.10958611250592e-05	5.43012678735134e-05
1766666	5.8149250680257e-05	7.40084321010984e-05
186321	5.74911010581866e-05	0.000106773736722433
3943183	5.53777328926034e-05	0.000107192692715768
174943	5.51174709104397e-05	7.33894623358301e-05
178957	5.42589181766281e-05	7.69408607186306e-05
181236	5.23301753396599e-05	7.07576784377594e-05
198119	5.11107698768606e-05	5.28726346093752e-05
350091	4.87689337893353e-05	6.92792884732243e-05
361811	4.85875717625204e-05	4.87549501113965e-05
191660	4.84182429039066e-05	6.19423447265418e-05
183385	4.81074579103125e-05	9.76901162405699e-05
819353	4.73215173297699e-05	8.85608555480974e-05
187751	4.62881980767804e-05	6.0236050443037e-05
197897	4.51630979959153e-05	8.83769620443916e-05
178541	4.38450875693864e-05	4.87783598816507e-05
1698008	4.30039477557406e-05	6.94117582846112e-05
182986	4.29782465742112e-05	6.41037053095212e-05
4418496	4.05750911746411e-05	9.73983253059713e-05
2921213	4.01509081051317e-05	5.46222369690153e-05
183604	4.00728986187672e-05	5.14167280819938e-05
4300690	3.96713844803988e-05	8.84477911981713e-05
360240	3.96133662644475e-05	4.6611900989018e-05
3439403	3.95122470568633e-05	7.26785416514239e-05
343709	3.83269777693842e-05	8.79829280434389e-05
772282	3.78050271167259e-05	3.93938290909898e-05
184386	3.76308196622254e-05	4.79416080775632e-05
189152	3.70352775038713e-05	3.78621160078821e-05
551822	3.64166612442475e-05	6.12201506854414e-05
3195932	3.60385701673437e-05	0.000135883761339895
359809	3.55568491821617e-05	6.64952966640796e-05
192339	3.54081499616368e-05	3.43296457934811e-05
2201995	3.51948352600443e-05	6.8411604835418e-05
328617	3.46691256442994e-05	6.27573599626097e-05
297635	3.42786345775143e-05	7.12781184074405e-05
179534	3.29385276093067e-05	7.5377342367394e-05
161007	3.24615115994357e-05	0.000116884489325778
182224	3.22881882389269e-05	8.9070499774074e-05
359993	3.17648732662682e-05	0.000152118310539584
177561	3.08500114572794e-05	0.000131375621788138
352733	3.00574997685795e-05	4.68829133181785e-05
168509	3.00543508712429e-05	3.4616393609649e-05
4015729	2.90025665432946e-05	5.92088463705616e-05
4481195	2.87804201756535e-05	7.79726281590179e-05
372348	2.85998484274346e-05	4.70728650891793e-05
1139021	2.83419209361956e-05	7.88416857867049e-05
186891	2.82860093953132e-05	5.64997939196228e-05
192231	2.80736405485753e-05	6.58160852613417e-05
180903	2.77316377698072e-05	6.23773368219133e-05
3141094	2.75735894473995e-05	5.61107632424162e-05
194129	2.75693022456312e-05	5.2536106733071e-05
3023610	2.67174730601472e-05	6.31795995236408e-05
3256931	2.64527881007654e-05	4.68663197409982e-05
158404	2.60794166225518e-05	5.36839048639303e-05
174403	2.52290176805251e-05	7.32067195318575e-05
184971	2.40325677526145e-05	7.96083264934989e-05
3056461	2.37421899206367e-05	3.09863202271464e-05
307978	2.35413727293594e-05	6.3901166702664e-05
4250634	2.30624696790853e-05	3.2207986235933e-05
202162	2.25998698919591e-05	6.57177005692764e-05
4381635	2.2467130250287e-05	3.0556875998547e-05
366352	2.23973137424678e-05	5.39893467117104e-05
389371	2.21810972996024e-05	4.31752340505235e-05
2858770	2.20978699110277e-05	5.70595622508419e-05
4393568	2.18497917177162e-05	4.90241194673745e-05
176167	2.16999196375978e-05	5.69544069178019e-05
197144	2.16148114172758e-05	5.85802530548288e-05
4447072	2.14855270480561e-05	3.34934720465398e-05
308333	2.14801064511368e-05	3.18350403930081e-05
336012	2.1422477207753e-05	3.76848750385624e-05
176269	2.1420814479638e-05	2.9567520444058e-05
2497335	2.09994445660041e-05	4.881283006004e-05
291090	2.08509153492807e-05	2.94155713386923e-05
191755	2.08179315528744e-05	3.27559989738606e-05
