#SampleID	CD	control	IC	UC
100001.1247426	0.418	0.09	0.138	0.354
100003.1246884	0.5	0.09	0.064	0.346
100009.1247231	0.438	0.118	0.066	0.378
100015.1247049	0.37	0.134	0.088	0.408
100016.1247155	0.48	0.122	0.054	0.344
100043.1246460	0.544	0.066	0.054	0.336
100046.1246388	0.484	0.094	0.068	0.354
100047.1246185	0.44	0.05	0.086	0.424
100048.1246661	0.332	0.108	0.106	0.454
100049.1247075	0.454	0.164	0.068	0.314
100051.1247218	0.4	0.086	0.08	0.434
100052.1246453	0.462	0.094	0.108	0.336
100058.1247305	0.512	0.18	0.076	0.232
100060.1247170	0.382	0.174	0.11	0.334
100062.1246762	0.332	0.112	0.134	0.422
100065.1246135	0.382	0.116	0.082	0.42
100068.1246376	0.428	0.082	0.112	0.378
100070.1246721	0.444	0.132	0.17	0.254
100071.1247048	0.384	0.062	0.13	0.424
100072.1246982	0.382	0.062	0.112	0.444
100074.1247405	0.386	0.198	0.078	0.338
100075.1246833	0.488	0.138	0.044	0.33
100077.1246422	0.416	0.11	0.092	0.382
100078.1246603	0.41	0.088	0.044	0.458
100080.1246540	0.364	0.112	0.086	0.438
100083.1246311	0.342	0.08	0.122	0.456
100085.1246334	0.328	0.096	0.084	0.492
100086.1247268	0.384	0.108	0.112	0.396
100087.1246709	0.35	0.096	0.078	0.476
100088.1246120	0.386	0.27	0.056	0.288
100089.1247168	0.376	0.092	0.078	0.454
100090.1246912	0.436	0.066	0.104	0.394
100091.1247210	0.37	0.062	0.066	0.502
100092.1247222	0.4	0.06	0.094	0.446
100095.1246168	0.38	0.084	0.114	0.422
100096.1247401	0.4	0.08	0.084	0.436
100099.1247449	0.348	0.096	0.072	0.484
100100.1246674	0.798	0.066	0.044	0.092
100101.1247239	0.39	0.076	0.11	0.424
100102.1246796	0.438	0.102	0.114	0.346
100104.1247040	0.454	0.15	0.114	0.282
100105.1247327	0.45	0.112	0.08	0.358
100106.1246858	0.43	0.09	0.092	0.388
100107.1246180	0.37	0.078	0.074	0.478
100109.1247329	0.406	0.098	0.064	0.432
100115.1246245	0.74	0.078	0.054	0.128
100117.1247242	0.432	0.092	0.074	0.402
100128.1246258	0.438	0.076	0.096	0.39
100158.1246456	0.412	0.056	0.072	0.46
100160.1246616	0.508	0.094	0.13	0.268
100161.1246172	0.342	0.094	0.106	0.458
100162.1247353	0.514	0.088	0.074	0.324
100163.1246125	0.45	0.12	0.11	0.32
100176.1246432	0.542	0.058	0.092	0.308
100177.1246647	0.596	0.096	0.096	0.212
100178.1246691	0.32	0.114	0.086	0.48
100180.1246973	0.608	0.088	0.078	0.226
100181.1246841	0.382	0.208	0.082	0.328
100182.1247008	0.396	0.124	0.14	0.34
100183.1246704	0.316	0.096	0.128	0.46
100187.1246918	0.686	0.146	0.028	0.14
100188.1247093	0.41	0.112	0.094	0.384
100190.1246494	0.584	0.062	0.032	0.322
100191.1246961	0.332	0.158	0.078	0.432
100192.1247106	0.54	0.058	0.158	0.244
100195.1247038	0.404	0.13	0.05	0.416
100196.1246487	0.43	0.074	0.064	0.432
100197.1246801	0.398	0.104	0.088	0.41
100198.1246877	0.478	0.122	0.108	0.292
100200.1246541	0.416	0.134	0.116	0.334
100203.1246754	0.364	0.164	0.1	0.372
100204.1247092	0.594	0.128	0.076	0.202
100205.1246838	0.494	0.11	0.1	0.296
100206.1246938	0.42	0.15	0.082	0.348
