#SampleID	CD	control	IC	UC
100001.1247426	0.574	0.046	0.058	0.322
100003.1246884	0.498	0.082	0.058	0.362
100009.1247231	0.42	0.186	0.064	0.33
100015.1247049	0.44	0.076	0.098	0.386
100016.1247155	0.444	0.124	0.064	0.368
100043.1246460	0.582	0.044	0.054	0.32
100046.1246388	0.598	0.064	0.058	0.28
100047.1246185	0.462	0.07	0.08	0.388
100048.1246661	0.402	0.142	0.078	0.378
100049.1247075	0.584	0.134	0.028	0.254
100051.1247218	0.51	0.104	0.06	0.326
100052.1246453	0.558	0.058	0.052	0.332
100058.1247305	0.692	0.028	0.044	0.236
100060.1247170	0.514	0.11	0.07	0.306
100062.1246762	0.462	0.106	0.096	0.336
100065.1246135	0.52	0.072	0.042	0.366
100068.1246376	0.408	0.104	0.058	0.43
100070.1246721	0.626	0.094	0.092	0.188
100071.1247048	0.498	0.09	0.048	0.364
100072.1246982	0.49	0.076	0.042	0.392
100074.1247405	0.464	0.142	0.066	0.328
100075.1246833	0.778	0.052	0.018	0.152
100077.1246422	0.512	0.088	0.048	0.352
100078.1246603	0.312	0.166	0.08	0.442
100080.1246540	0.44	0.128	0.058	0.374
100083.1246311	0.442	0.122	0.076	0.36
100085.1246334	0.43	0.108	0.06	0.402
100086.1247268	0.36	0.164	0.066	0.41
100087.1246709	0.396	0.094	0.092	0.418
100088.1246120	0.52	0.136	0.052	0.292
100089.1247168	0.384	0.238	0.052	0.326
100090.1246912	0.492	0.102	0.062	0.344
100091.1247210	0.406	0.06	0.076	0.458
100092.1247222	0.396	0.144	0.024	0.436
100095.1246168	0.528	0.086	0.062	0.324
100096.1247401	0.442	0.074	0.078	0.406
100099.1247449	0.492	0.122	0.052	0.334
100100.1246674	0.822	0.036	0.016	0.126
100101.1247239	0.442	0.112	0.062	0.384
100102.1246796	0.506	0.034	0.118	0.342
100104.1247040	0.602	0.086	0.066	0.246
100105.1247327	0.386	0.122	0.074	0.418
100106.1246858	0.51	0.104	0.044	0.342
100107.1246180	0.34	0.164	0.048	0.448
100109.1247329	0.492	0.122	0.046	0.34
100115.1246245	0.892	0.036	0.012	0.06
100117.1247242	0.598	0.11	0.06	0.232
100128.1246258	0.56	0.084	0.054	0.302
100158.1246456	0.374	0.142	0.066	0.418
100160.1246616	0.782	0.01	0.034	0.174
100161.1246172	0.33	0.146	0.07	0.454
100162.1247353	0.492	0.06	0.116	0.332
100163.1246125	0.624	0.074	0.052	0.25
100176.1246432	0.706	0.056	0.026	0.212
100177.1246647	0.66	0.056	0.064	0.22
100178.1246691	0.446	0.136	0.04	0.378
100180.1246973	0.756	0.052	0.044	0.148
100181.1246841	0.516	0.164	0.07	0.25
100182.1247008	0.564	0.102	0.09	0.244
100183.1246704	0.498	0.106	0.07	0.326
100187.1246918	0.884	0.002	0.002	0.112
100188.1247093	0.532	0.13	0.068	0.27
100190.1246494	0.552	0.08	0.052	0.316
100191.1246961	0.434	0.118	0.078	0.37
100192.1247106	0.692	0.068	0.034	0.206
100195.1247038	0.558	0.096	0.068	0.278
100196.1246487	0.564	0.09	0.042	0.304
100197.1246801	0.436	0.172	0.07	0.322
100198.1246877	0.598	0.098	0.054	0.25
100200.1246541	0.474	0.208	0.034	0.284
100203.1246754	0.532	0.116	0.068	0.284
100204.1247092	0.764	0.022	0.008	0.206
100205.1246838	0.59	0.128	0.046	0.236
100206.1246938	0.698	0.05	0.026	0.226
100207.1247256	0.452	0.174	0.054	0.32
100209.1247393	0.586	0.058	0.076	0.28
100210.1247298	0.61	0.174	0.038	0.178
100211.1246832	0.702	0.048	0.012	0.238
100212.1247085	0.36	0.086	0.07	0.484
100214.1246953	0.474	0.044	0.128	0.354
100216.1246217	0.64	0.082	0.076	0.202
100217.1246514	0.602	0.09	0.054	0.254
100219.1247117	0.52	0.112	0.068	0.3
100220.1247083	0.526	0.144	0.044	0.286
100222.1247291	0.414	0.19	0.07	0.326
100225.1246548	0.7	0.06	0.022	0.218
100226.1246263	0.408	0.186	0.062	0.344
100227.1246626	0.63	0.056	0.066	0.248
100228.1246589	0.588	0.074	0.022	0.316
100233.1246246	0.64	0.108	0.038	0.214
100234.1246324	0.47	0.07	0.062	0.398
120153.1246821	0.426	0.124	0.046	0.404
120155.1246996	0.566	0.138	0.076	0.22
120156.1246895	0.512	0.188	0.082	0.218
120157.1246601	0.602	0.08	0.046	0.272
121154.1246277	0.418	0.2	0.064	0.318
121181.1246741	0.654	0.056	0.058	0.232
121182.1246215	0.408	0.156	0.06	0.376
121183.1246254	0.656	0.062	0.064	0.218
121185.1247360	0.876	0.024	0.008	0.092
121186.1246365	0.544	0.114	0.054	0.288
121187.1246148	0.906	0.046	0.002	0.046
121188.1247234	0.652	0.114	0.024	0.21
121189.1247011	0.566	0.08	0.03	0.324
121190.1246356	0.476	0.164	0.06	0.3
121192.1247127	0.786	0.05	0.026	0.138
121193.1247063	0.586	0.142	0.06	0.212
121194.1246890	0.596	0.052	0.062	0.29
121195.1246166	0.716	0.056	0.026	0.202
121196.1247031	0.584	0.052	0.096	0.268
121197.1247171	0.64	0.072	0.048	0.24
121198.1246569	0.802	0.016	0.032	0.15
121199.1246159	0.718	0.04	0.024	0.218
121200.1246461	0.648	0.072	0.074	0.206
121201.1247061	0.744	0.048	0.046	0.162
121212.1246767	0.846	0.036	0.03	0.088
121213.1246142	0.622	0.118	0.042	0.218
121215.1247158	0.628	0.066	0.05	0.256
121216.1247056	0.664	0.082	0.05	0.204
121217.1246974	0.848	0.014	0.024	0.114
121218.1246965	0.638	0.076	0.032	0.254
121219.1247140	0.72	0.058	0.022	0.2
121279.1246886	0.432	0.138	0.078	0.352
121280.1246751	0.812	0.032	0.036	0.12
121281.1246713	0.866	0.03	0.02	0.084
121282.1246224	0.642	0.102	0.044	0.212
121283.1246600	0.582	0.144	0.058	0.216
121284.1246668	0.466	0.118	0.078	0.338
121285.1246733	0.736	0.062	0.01	0.192
121307.1246550	0.604	0.072	0.058	0.266
121308.1246337	0.59	0.208	0.07	0.132
121309.1246542	0.434	0.25	0.064	0.252
121310.1247096	0.568	0.064	0.08	0.288
121311.1246878	0.89	0.056	0.012	0.042
121312.1246929	0.866	0.026	0.008	0.1
121313.1246613	0.644	0.058	0.034	0.264
121314.1247259	0.95	0.012	0.002	0.036
121385.1246584	0.582	0.07	0.044	0.304
121386.1246649	0.77	0.042	0.016	0.172
121387.1247113	0.758	0.04	0.052	0.15
121388.1246171	0.826	0.03	0.018	0.126
121389.1246126	0.59	0.084	0.052	0.274
121398.1247197	0.454	0.088	0.068	0.39
121400.1246372	0.522	0.112	0.042	0.324
121401.1247192	0.514	0.15	0.056	0.28
121402.1247186	0.638	0.052	0.06	0.25
121403.1247087	0.514	0.18	0.044	0.262
