#SampleID	Healthy	None	Tumor
32I9UAPQ.518112	0.296	0.122	0.582
32I9UNA9.518098	0.228	0.032	0.74
38U4VAHB.518100	0.534	0.014	0.452
38U4VNBW.518090	0.714	0.004	0.282
41E1KAMA.517991	0.302	0.082	0.616
41E1KNBP.517985	0.334	0.036	0.63
59S9WAIH.518013	0.34	0.012	0.648
59S9WNC6.518055	0.7	0.006	0.294
5EKFOAO4.518164	0.554	0.016	0.43
5EKFONB3.518125	0.79	0.002	0.208
5TA9VAT9.518088	0.306	0.064	0.63
5TA9VN6K.518161	0.746	0.016	0.238
6G2KBASQ.517999	0.428	0.02	0.552
6G2KBNS6.518045	0.736	0.008	0.256
82S3MAZ4.518145	0.39	0.028	0.582
82S3MNBY.518050	0.428	0.016	0.556
8XBKGABK.517998	0.192	0.01	0.798
8XBKGN9F.518085	0.186	0	0.814
A8A34AP9.518086	0.442	0.056	0.502
A8A34NCW.518023	0.494	0.032	0.474
BFJMKAKB.518159	0.592	0.04	0.368
BFJMKNMP.518102	0.372	0	0.628
C0095.N.518123	0.67	0.012	0.318
C0095.T.518141	0.21	0.024	0.766
C0112.N.518001	0.75	0.01	0.24
C0112.T.518024	0.216	0.002	0.782
C0133.N.518051	0.732	0.014	0.254
C0133.T.518133	0.258	0.026	0.716
C0134.N.518072	0.834	0.01	0.156
C0134.T.517988	0.116	0.072	0.812
C0149.N.518039	0.784	0.008	0.208
C0149.T.518132	0.442	0.018	0.54
C0154.N.518002	0.838	0.002	0.16
C0154.T.518091	0.186	0.022	0.792
C0159.N.518042	0.73	0.01	0.26
C0159.T.518087	0.292	0.04	0.668
C0186.N.518143	0.816	0.006	0.178
C0186.T.518019	0.486	0.012	0.502
C0195.N.518110	0.856	0.002	0.142
C0195.T.517986	0.166	0.022	0.812
C0198.N.518081	0.782	0.002	0.216
C0198.T.518166	0.32	0.012	0.668
C0206.N.518065	0.516	0.032	0.452
C0206.T.518053	0.24	0.006	0.754
C0209.N.517984	0.674	0.022	0.304
C0209.T.518128	0.326	0.012	0.662
C0211.N.518117	0.724	0.012	0.264
C0211.T.518096	0.398	0.032	0.57
C0212.N.518167	0.75	0.008	0.242
C0212.T.518155	0.264	0.006	0.73
C0225.N.518047	0.754	0.012	0.234
C0225.T.518033	0.21	0.062	0.728
C0230.N.517992	0.564	0.002	0.434
C0230.T.518144	0.256	0.016	0.728
C0235.N.517993	0.486	0.006	0.508
C0235.T.518049	0.196	0.028	0.776
C0240.N.518020	0.784	0	0.216
C0240.T.518052	0.484	0.026	0.49
C0241.N.518043	0.746	0.014	0.24
C0241.T.518067	0.208	0.054	0.738
C0245.N.518071	0.424	0.014	0.562
C0245.T.518151	0.184	0.056	0.76
C0252.N.518016	0.836	0.004	0.16
C0252.T.518006	0.172	0.042	0.786
C0256.N.518170	0.694	0.006	0.3
C0256.T.518080	0.292	0.046	0.662
C0258.N.518014	0.824	0.01	0.166
C0258.T.517997	0.478	0.022	0.5
C0268.N.518089	0.832	0.004	0.164
C0268.T.518114	0.186	0.012	0.802
C0269.N.518130	0.814	0.038	0.148
C0269.T.518150	0.252	0.088	0.66
C0270.N.518041	0.746	0.004	0.25
C0270.T.518163	0.374	0.014	0.612
C0271.N.518022	0.828	0.004	0.168
C0271.T.518078	0.39	0.052	0.558
C0275.N.518076	0.754	0.008	0.238
C0275.T.518032	0.19	0.048	0.762
C0282.N.518138	0.702	0.038	0.26
C0282.T.518000	0.258	0.006	0.736
C0285.N.518084	0.688	0.014	0.298
C0285.T.518044	0.3	0.022	0.678
C0294.N.517987	0.692	0.008	0.3
C0294.T.518134	0.262	0.046	0.692
C0306.N.518003	0.776	0.02	0.204
C0306.T.518122	0.222	0.014	0.764
C0308.N.518154	0.698	0.012	0.29
C0308.T.518162	0.344	0.032	0.624
C0311.N.518124	0.472	0.022	0.506
C0311.T.518131	0.316	0.034	0.65
C0314.T.518025	0.294	0.004	0.702
C0315.N.518021	0.704	0.01	0.286
C0315.T.518034	0.336	0.008	0.656
C0318.N.518105	0.696	0.034	0.27
C0318.T.518140	0.2	0.026	0.774
C0322.N.518165	0.708	0.008	0.284
C0322.T.518018	0.31	0.002	0.688
C0325.N.518109	0.808	0.006	0.186
C0325.T.518083	0.552	0.008	0.44
C0330.N.518148	0.448	0.004	0.548
C0330.T.518035	0.292	0.02	0.688
