#SampleID	Healthy	None	Tumor
32I9UAPQ.518112	0.144	0.088	0.768
32I9UNA9.518098	0.3	0.04	0.66
38U4VAHB.518100	0.308	0.024	0.668
38U4VNBW.518090	0.602	0.028	0.37
41E1KAMA.517991	0.256	0.048	0.696
41E1KNBP.517985	0.484	0.024	0.492
59S9WAIH.518013	0.372	0.016	0.612
59S9WNC6.518055	0.64	0.004	0.356
5EKFOAO4.518164	0.442	0.006	0.552
5EKFONB3.518125	0.804	0	0.196
5TA9VAT9.518088	0.302	0.036	0.662
5TA9VN6K.518161	0.742	0.014	0.244
6G2KBASQ.517999	0.478	0.014	0.508
6G2KBNS6.518045	0.77	0.006	0.224
82S3MAZ4.518145	0.602	0.004	0.394
82S3MNBY.518050	0.382	0.016	0.602
A8A34AP9.518086	0.496	0.016	0.488
A8A34NCW.518023	0.396	0.03	0.574
BFJMKAKB.518159	0.358	0.02	0.622
C0095.N.518123	0.604	0.012	0.384
C0095.T.518141	0.276	0.02	0.704
C0112.N.518001	0.758	0.002	0.24
C0133.N.518051	0.684	0.014	0.302
C0133.T.518133	0.392	0.018	0.59
C0134.N.518072	0.66	0.02	0.32
C0134.T.517988	0.182	0.052	0.766
C0149.N.518039	0.678	0.008	0.314
C0149.T.518132	0.512	0.006	0.482
C0154.N.518002	0.75	0.002	0.248
C0154.T.518091	0.306	0.048	0.646
C0159.N.518042	0.664	0.008	0.328
C0159.T.518087	0.26	0.026	0.714
C0186.N.518143	0.808	0.004	0.188
C0186.T.518019	0.488	0.006	0.506
C0195.N.518110	0.776	0.018	0.206
C0195.T.517986	0.268	0.056	0.676
C0198.N.518081	0.746	0.006	0.248
C0198.T.518166	0.428	0.006	0.566
C0206.N.518065	0.556	0.012	0.432
C0206.T.518053	0.266	0.002	0.732
C0209.N.517984	0.63	0.012	0.358
C0209.T.518128	0.6	0.008	0.392
C0211.N.518117	0.586	0.014	0.4
C0211.T.518096	0.368	0.024	0.608
C0212.N.518167	0.684	0.004	0.312
C0225.N.518047	0.734	0	0.266
C0225.T.518033	0.226	0.076	0.698
C0230.N.517992	0.74	0.008	0.252
C0230.T.518144	0.27	0.04	0.69
C0235.N.517993	0.578	0.008	0.414
C0235.T.518049	0.164	0.014	0.822
C0240.N.518020	0.718	0.004	0.278
C0240.T.518052	0.524	0.02	0.456
C0241.N.518043	0.64	0.022	0.338
C0241.T.518067	0.272	0.03	0.698
C0245.T.518151	0.186	0.046	0.768
C0252.N.518016	0.716	0.006	0.278
C0252.T.518006	0.186	0.056	0.758
C0256.N.518170	0.736	0.004	0.26
C0256.T.518080	0.464	0.008	0.528
C0258.N.518014	0.774	0.002	0.224
C0258.T.517997	0.36	0.012	0.628
C0268.N.518089	0.796	0.008	0.196
C0268.T.518114	0.23	0.03	0.74
C0269.N.518130	0.606	0.076	0.318
C0269.T.518150	0.226	0.068	0.706
C0270.N.518041	0.626	0.026	0.348
C0270.T.518163	0.352	0.01	0.638
C0271.N.518022	0.78	0	0.22
C0271.T.518078	0.488	0.064	0.448
C0275.N.518076	0.694	0.008	0.298
C0275.T.518032	0.192	0.04	0.768
C0282.N.518138	0.78	0.03	0.19
C0282.T.518000	0.322	0.024	0.654
C0285.N.518084	0.64	0.01	0.35
C0285.T.518044	0.386	0.022	0.592
C0294.N.517987	0.73	0.01	0.26
C0294.T.518134	0.3	0.022	0.678
C0306.N.518003	0.706	0.018	0.276
C0306.T.518122	0.294	0.046	0.66
C0308.N.518154	0.704	0.004	0.292
C0308.T.518162	0.406	0.03	0.564
C0311.N.518124	0.352	0.03	0.618
C0311.T.518131	0.238	0.02	0.742
C0314.T.518025	0.27	0.002	0.728
C0315.N.518021	0.626	0.006	0.368
C0315.T.518034	0.46	0.008	0.532
C0318.N.518105	0.574	0.006	0.42
C0318.T.518140	0.252	0.018	0.73
C0322.N.518165	0.712	0.002	0.286
C0322.T.518018	0.498	0.008	0.494
C0325.N.518109	0.734	0	0.266
C0325.T.518083	0.552	0	0.448
C0330.N.518148	0.688	0.002	0.31
C0330.T.518035	0.452	0.012	0.536
C0332.N.518027	0.716	0.01	0.274
C0332.T.518017	0.33	0.026	0.644
C0333.N.518126	0.72	0.004	0.276
C0333.T.518046	0.474	0.012	0.514
C0334.N.518066	0.696	0.006	0.298
C0334.T.518147	0.474	0.008	0.518
C0335.N.518107	0.71	0.004	0.286
C0335.T.518115	0.49	0.012	0.498
C0341.N.518101	0.758	0.004	0.238
C0341.T.518113	0.436	0.004	0.56
C0342.N.518068	0.688	0.016	0.296
C0342.T.518093	0.376	0.014	0.61
C0344.N.518103	0.684	0.004	0.312
C0344.T.518029	0.538	0.006	0.456
C0349.N.517989	0.832	0.002	0.166
C0349.T.518111	0.164	0.048	0.788
C0355.N.518077	0.79	0.008	0.202
C0355.T.518157	0.302	0.024	0.674
C0362.N.518069	0.674	0.012	0.314
C0362.T.518026	0.184	0.038	0.778
C0366.N.518094	0.692	0.008	0.3
C0366.T.518172	0.476	0.014	0.51
C0371.N.518009	0.502	0.014	0.484
C0371.T.518139	0.256	0.04	0.704
C0374.N.518099	0.782	0.006	0.212
C0374.T.518127	0.454	0.01	0.536
C0378.N.518158	0.644	0.022	0.334
C0378.T.518104	0.266	0.024	0.71
C0388.N.518136	0.686	0.002	0.312
C0388.T.518015	0.466	0.006	0.528
C0394.N.518031	0.806	0.006	0.188
C0394.T.518064	0.302	0.056	0.642
C0395.N.518054	0.782	0.002	0.216
C0395.T.518075	0.278	0.062	0.66
C0398.N.518152	0.462	0.038	0.5
C0399.N.518011	0.79	0.004	0.206
C0399.T.518153	0.52	0.008	0.472
C1.S.518137	0.726	0	0.274
C1.T.518120	0.478	0.002	0.52
C10.S.517995	0.758	0.004	0.238
C10.T.518056	0.384	0.016	0.6
C4.S.518169	0.792	0.006	0.202
C4.T.518118	0.318	0.04	0.642
C6.S.518082	0.638	0.016	0.346
C6.T.518061	0.262	0.03	0.708
G2OD5ABL.518057	0.256	0.018	0.726
G2OD5N55.518146	0.798	0	0.202
G3UBQAJU.518060	0.176	0.054	0.77
G3UBQNDP.518121	0.552	0.018	0.43
GQ6LSABJ.518010	0.41	0.014	0.576
GQ6LSNI6.518106	0.798	0	0.202
HZIMMAM6.518095	0.356	0.036	0.608
HZIMMNL5.518062	0.732	0.002	0.266
I7ROLN9P.518079	0.63	0	0.37
JIDZEAPD.518149	0.406	0.008	0.586
JIDZEN4J.518073	0.758	0.006	0.236
KIXFRARY.518160	0.474	0.004	0.522
KIXFRNL2.518129	0.398	0.044	0.558
LRQ9WAHA.518036	0.46	0.004	0.536
LRQ9WN6C.518048	0.644	0.008	0.348
MQE9OAS7.518008	0.204	0.07	0.726
MQE9ONGV.518038	0.674	0.01	0.316
MQETMAZC.518171	0.422	0.018	0.56
MQETMNL4.518037	0.494	0.018	0.488
O436FAO8.518097	0.226	0.036	0.738
O436FNP3.518007	0.414	0.01	0.576
OTGGZAZO.518108	0.25	0.074	0.676
OTGGZN5Y.518063	0.592	0.016	0.392
QFHRSAG2.518005	0.414	0.004	0.582
QFHRSNIH.518116	0.61	0.01	0.38
R8J9ZAGC.518059	0.312	0.02	0.668
R8J9ZNOW.518040	0.49	0.022	0.488
TV28IANZ.518070	0.434	0.016	0.55
TV28INUO.518004	0.568	0	0.432
UEL2GAPI.518173	0.532	0.004	0.464
UEL2GN92.518058	0.714	0	0.286
UTWNWANU.518168	0.536	0.004	0.46
UTWNWN3P.518012	0.682	0.004	0.314
UZ65XAS5.518119	0.392	0.004	0.604
UZ65XN27.518028	0.66	0.002	0.338
XBS5MNEH.518074	0.376	0.002	0.622
XZ33PA3O.518135	0.512	0.032	0.456
XZ33PN7O.518030	0.556	0.006	0.438
YOTV6ASH.518142	0.39	0.03	0.58
YOTV6NC8.518156	0.584	0.022	0.394
