#SampleID	Lean	Obese
TS1.299139	0.588	0.412
TS10.299123	0.14	0.86
TS100.298999	0.158	0.842
TS103.299049	0.102	0.898
TS104.299154	0.144	0.856
TS105.299210	0.112	0.888
TS106.299035	0.162	0.838
TS107.299042	0.14	0.86
TS109.299099	0.178	0.822
TS11.298996	0.2	0.8
TS110.299019	0.254	0.746
TS111.299174	0.39	0.61
TS115.298998	0.114	0.886
TS116.299165	0.36	0.64
TS117.298949	0.264	0.736
TS118.299163	0.102	0.898
TS119.299110	0.142	0.858
TS12.299104	0.104	0.896
TS120.298992	0.002	0.998
TS124.298945	0.17	0.83
TS126.299046	0.168	0.832
TS127.299133	0.304	0.696
TS128.299117	0.286	0.714
TS129.299204	0.208	0.792
TS13.299018	0.548	0.452
TS130.299178	0.126	0.874
TS131.299040	0.206	0.794
TS132.299044	0.218	0.782
TS133.299149	0.118	0.882
TS134.299196	0.106	0.894
TS135.299142	0.232	0.768
TS137.298959	0.234	0.766
TS138.299141	0.2	0.8
TS139.299195	0.196	0.804
TS14.299212	0.518	0.482
TS140.298995	0.134	0.866
TS141.299084	0.152	0.848
TS142.299170	0.122	0.878
TS143.299098	0.202	0.798
TS144.298946	0.12	0.88
TS145.298950	0.306	0.694
TS146.299014	0.292	0.708
TS147.299111	0.25	0.75
TS148.299000	0.28	0.72
TS149.298994	0.446	0.554
TS150.299173	0.366	0.634
TS151.299215	0.21	0.79
TS152.299135	0.196	0.804
TS155.299082	0.108	0.892
TS156.299155	0.154	0.846
TS16.299068	0.384	0.616
TS160.298976	0.082	0.918
TS161.299188	0.102	0.898
TS162.299124	0.274	0.726
TS163.299072	0.112	0.888
TS164.299125	0.118	0.882
TS165.298951	0.256	0.744
TS166.299085	0.262	0.738
TS167.299073	0.216	0.784
TS168.299115	0.356	0.644
TS169.298977	0.278	0.722
TS17.299122	0.096	0.904
TS170.299156	0.002	0.998
TS178.299126	0.07	0.93
TS179.298987	0.134	0.866
TS180.299063	0.182	0.818
TS181.299047	0.172	0.828
TS183.298979	0.124	0.876
TS184.299203	0.106	0.894
TS185.299148	0.164	0.836
TS19.298958	0.412	0.588
TS190.299218	0.144	0.856
TS191.299146	0.194	0.806
TS193.299075	0.132	0.868
TS194.299181	0.218	0.782
TS195.299150	0.156	0.844
TS2.299130	0.646	0.354
TS20.299059	0.534	0.466
TS21.299189	0.596	0.404
TS22.299221	0.36	0.64
TS23.299159	0.13	0.87
TS25.299024	0.524	0.476
TS26.299185	0.644	0.356
TS27.299223	0.53	0.47
TS28.299120	0.47	0.53
TS29.298974	0.258	0.742
TS31.299055	0.64	0.36
TS32.299074	0.318	0.682
TS34.299217	0.106	0.894
TS35.298981	0.172	0.828
TS37.299147	0.23	0.77
TS39.299167	0.28	0.72
TS4.299175	0.386	0.614
TS43.299095	0.19	0.81
TS44.299183	0.112	0.888
TS49.298982	0.482	0.518
TS5.299045	0.4	0.6
TS50.299027	0.56	0.44
TS51.299145	0.54	0.46
TS55.298947	0.228	0.772
TS56.299021	0.208	0.792
TS57.299197	0.132	0.868
TS6.299086	0.352	0.648
TS61.299129	0.024	0.976
TS62.299066	0.158	0.842
TS63.299005	0.272	0.728
TS65.299182	0.314	0.686
TS66.299194	0.352	0.648
TS67.299039	0.052	0.948
TS68.299202	0.172	0.828
TS69.299058	0.258	0.742
TS7.299061	0.49	0.51
TS70.299093	0.196	0.804
TS71.298968	0.178	0.822
TS72.299209	0.168	0.832
TS73.299077	0.256	0.744
TS74.299177	0.126	0.874
TS75.299153	0.118	0.882
TS76.299071	0.144	0.856
TS78.299102	0.048	0.952
TS8.299198	0.632	0.368
TS82.299048	0.04	0.96
TS83.299134	0.116	0.884
TS84.299191	0.086	0.914
TS86.299064	0.256	0.744
TS87.299172	0.286	0.714
TS88.299013	0.07	0.93
TS89.299011	0.152	0.848
TS90.298953	0.262	0.738
TS91.299152	0.046	0.954
TS92.299206	0.11	0.89
TS94.299193	0.192	0.808
TS95.299180	0.252	0.748
TS96.299089	0.09	0.91
TS97.299015	0.132	0.868
TS98.299220	0.226	0.774
