#SampleID	Lean	Obese
TS1.299139	0.384	0.616
TS10.299123	0.208	0.792
TS100.298999	0.132	0.868
TS103.299049	0.238	0.762
TS104.299154	0.216	0.784
TS105.299210	0.224	0.776
TS106.299035	0.254	0.746
TS107.299042	0.12	0.88
TS109.299099	0.226	0.774
TS11.298996	0.256	0.744
TS110.299019	0.282	0.718
TS111.299174	0.304	0.696
TS115.298998	0.152	0.848
TS116.299165	0.246	0.754
TS117.298949	0.244	0.756
TS118.299163	0.176	0.824
TS119.299110	0.154	0.846
TS12.299104	0.138	0.862
TS124.298945	0.21	0.79
TS126.299046	0.232	0.768
TS127.299133	0.302	0.698
TS128.299117	0.24	0.76
TS129.299204	0.29	0.71
TS13.299018	0.368	0.632
TS130.299178	0.118	0.882
TS131.299040	0.244	0.756
TS132.299044	0.31	0.69
TS133.299149	0.132	0.868
TS134.299196	0.234	0.766
TS135.299142	0.242	0.758
TS137.298959	0.176	0.824
TS138.299141	0.21	0.79
TS139.299195	0.2	0.8
TS14.299212	0.286	0.714
TS140.298995	0.166	0.834
TS141.299084	0.196	0.804
TS142.299170	0.164	0.836
TS143.299098	0.184	0.816
TS144.298946	0.198	0.802
TS145.298950	0.338	0.662
TS146.299014	0.248	0.752
TS147.299111	0.218	0.782
TS148.299000	0.154	0.846
TS149.298994	0.184	0.816
TS150.299173	0.24	0.76
TS151.299215	0.338	0.662
TS152.299135	0.212	0.788
TS155.299082	0.166	0.834
TS156.299155	0.25	0.75
TS16.299068	0.288	0.712
TS160.298976	0.174	0.826
TS161.299188	0.17	0.83
TS162.299124	0.252	0.748
TS163.299072	0.192	0.808
TS164.299125	0.16	0.84
TS165.298951	0.208	0.792
TS166.299085	0.208	0.792
TS167.299073	0.32	0.68
TS168.299115	0.37	0.63
TS169.298977	0.244	0.756
TS178.299126	0.108	0.892
TS179.298987	0.248	0.752
TS180.299063	0.21	0.79
TS181.299047	0.194	0.806
TS183.298979	0.188	0.812
TS184.299203	0.108	0.892
TS185.299148	0.244	0.756
TS19.298958	0.252	0.748
TS190.299218	0.206	0.794
TS191.299146	0.202	0.798
TS193.299075	0.214	0.786
TS194.299181	0.286	0.714
TS195.299150	0.188	0.812
TS2.299130	0.26	0.74
TS20.299059	0.262	0.738
TS21.299189	0.254	0.746
TS22.299221	0.312	0.688
TS23.299159	0.282	0.718
TS25.299024	0.262	0.738
TS26.299185	0.304	0.696
TS27.299223	0.316	0.684
TS28.299120	0.262	0.738
TS29.298974	0.298	0.702
TS31.299055	0.234	0.766
TS32.299074	0.102	0.898
TS34.299217	0.172	0.828
TS35.298981	0.18	0.82
TS37.299147	0.214	0.786
TS39.299167	0.208	0.792
TS4.299175	0.206	0.794
TS43.299095	0.228	0.772
TS49.298982	0.248	0.752
TS5.299045	0.294	0.706
TS50.299027	0.306	0.694
TS51.299145	0.274	0.726
TS55.298947	0.256	0.744
TS56.299021	0.16	0.84
TS57.299197	0.1	0.9
TS6.299086	0.202	0.798
TS62.299066	0.228	0.772
TS63.299005	0.284	0.716
TS65.299182	0.356	0.644
TS66.299194	0.392	0.608
TS68.299202	0.184	0.816
TS69.299058	0.184	0.816
TS7.299061	0.228	0.772
TS70.299093	0.29	0.71
TS71.298968	0.266	0.734
TS72.299209	0.3	0.7
TS73.299077	0.188	0.812
TS74.299177	0.148	0.852
TS75.299153	0.19	0.81
TS76.299071	0.204	0.796
TS78.299102	0.104	0.896
TS8.299198	0.288	0.712
TS82.299048	0.168	0.832
TS83.299134	0.238	0.762
TS84.299191	0.096	0.904
TS86.299064	0.194	0.806
TS87.299172	0.242	0.758
TS88.299013	0.182	0.818
TS89.299011	0.23	0.77
TS90.298953	0.276	0.724
TS92.299206	0.196	0.804
TS94.299193	0.214	0.786
TS95.299180	0.35	0.65
TS96.299089	0.216	0.784
TS97.299015	0.214	0.786
TS98.299220	0.226	0.774
