#SampleID	Factor1
SRR515153	Control
SRR521173	Control
SRR518987	Control
SRR521172	Control
SRR521194	Control
SRR521193	Control
SRR521185	Control
SRR521179	Control
SRR521186	Control
SRR521191	Control
SRR521198	Penicillin
SRR521174	Penicillin
SRR521196	Penicillin
SRR521190	Penicillin
SRR521177	Penicillin
SRR521178	Penicillin
SRR521200	Penicillin
SRR521197	Penicillin
SRR521183	Penicillin
SRR521188	Penicillin
SRR521212	Chlortetracycline
SRR521221	Chlortetracycline
SRR521210	Chlortetracycline
SRR521203	Chlortetracycline
SRR521219	Chlortetracycline
SRR521215	Chlortetracycline
SRR521211	Chlortetracycline
SRR521225	Chlortetracycline
SRR521228	Chlortetracycline
SRR521182	Vancomycin
SRR521180	Vancomycin
SRR521195	Vancomycin
SRR521199	Vancomycin
SRR521175	Vancomycin
SRR521176	Vancomycin
SRR521192	Vancomycin
SRR521189	Vancomycin
SRR521181	Vancomycin
SRR521184	Vancomycin
SRR521187	VancomycinPenicillin
SRR521250	VancomycinPenicillin
SRR521222	VancomycinPenicillin
SRR521220	VancomycinPenicillin
SRR521213	VancomycinPenicillin
SRR521214	VancomycinPenicillin
SRR521226	VancomycinPenicillin
SRR521227	VancomycinPenicillin
SRR521205	VancomycinPenicillin
SRR521207	VancomycinPenicillin
